record_id,source_pdf,source_page,source_type,extractor,evidence,name_raw,name_std,smiles_raw,smiles_canonical,inchikey,pubchem_cid,cas,formula,mw,iupac_name,target_raw,assay_type_raw,assay_type_std,organism_raw,organism_std,property,value_raw,unit_raw,value_std,unit_std,conversion_note,validation,validation_detail,dup_group,dup_level,is_primary,conflict_group,conflict_flag,needs_review,review_reason,extracted_at
r_2a3a490f7fab,acsomega.2c06142.pdf,,text,regex+openchemie,")phenyl)-1,3,4-thiadiazole-2-amine (_ _**5a** )._ Yield: 68%. Mp:",5a,5a,Cc1cc2nc(-c3ccc(-c4nnc(N)s4)cc3)[nH]c2cc1C,Cc1cc2nc(-c3ccc(-c4nnc(N)s4)cc3)[nH]c2cc1C,AXFMUCBNUOMLEW-UHFFFAOYSA-N,,,,,,,,,,,yield,68,%,68.0,%,already canonical,passed,rdkit canonical,,,True,,False,True,"structure from OpenChemIE coref (label-matched, verify)",2026-06-26T20:18:07+00:00
r_6bf32d6d367b,acsomega.2c06142.pdf,,text,regex,"l)phenyl)1,3,4-thiadiazole-2-amine (_ _**5b** )._ Yield: 69%. Mp:",5b,5b,,,,,,,,,,,,,,yield,69,%,69.0,%,already canonical,unverified,name did not resolve,,,True,,False,True,compound label '5b' (needs cross-reference to a structure),2026-06-26T20:18:07+00:00
r_6cae22fefa16,acsomega.2c06142.pdf,,text,regex,")phenyl)-1,3,4-thiadiazole-2-amine (_ _**5c** )._ Yield: 66%. Mp:",5c,5c,,,,,,,,,,,,,,yield,66,%,66.0,%,already canonical,unverified,name did not resolve,,,True,,False,True,compound label '5c' (needs cross-reference to a structure),2026-06-26T20:18:07+00:00
r_495e424085c4,acsomega.2c06142.pdf,,text,regex,")phenyl)-1,3,4-thiadiazole-2-amine (_ _**5d** )._ Yield: 70%. Mp:",5d,5d,,,,,,,,,,,,,,yield,70,%,70.0,%,already canonical,unverified,name did not resolve,,,True,,False,True,compound label '5d' (needs cross-reference to a structure),2026-06-26T20:18:07+00:00
r_83acfd3a4878,acsomega.2c06142.pdf,,text,regex,")phenyl)-1,3,4-thiadiazole-2-amine (_ _**5e** )._ Yield: 73%. Mp:",5e,5e,,,,,,,,,,,,,,yield,73,%,73.0,%,already canonical,unverified,name did not resolve,,,True,,False,True,compound label '5e' (needs cross-reference to a structure),2026-06-26T20:18:07+00:00
r_09625b42e27c,acsomega.2c06142.pdf,,text,regex,")phenyl)-1,3,4-thiadiazole-2-amine (_ _**5f** )._ Yield: 73%. Mp:",5f,5f,,,,,,,,,,,,,,yield,73,%,73.0,%,already canonical,unverified,name did not resolve,,,True,,False,True,compound label '5f' (needs cross-reference to a structure),2026-06-26T20:18:07+00:00
r_e3445547d028,acsomega.2c06142.pdf,,text,regex,")phenyl)-1,3,4-thiadiazole-2-amine (_ _**5g** )._ Yield: 68%. Mp:",5g,5g,,,,,,,,,,,,,,yield,68,%,68.0,%,already canonical,unverified,name did not resolve,,,True,,False,True,compound label '5g' (needs cross-reference to a structure),2026-06-26T20:18:07+00:00
r_9180c014da67,acsomega.2c06142.pdf,,text,regex,")phenyl)-1,3,4-thiadiazole-2-amine (_ _**5h** )._ Yield: 74%. Mp:",5h,5h,,,,,,,,,,,,,,yield,74,%,74.0,%,already canonical,unverified,name did not resolve,,,True,,False,True,compound label '5h' (needs cross-reference to a structure),2026-06-26T20:18:07+00:00
r_b9a63b0523cb,acsomega.2c06142.pdf,,text,opsin:text,"Some New** − **Benzimidazole Thiadiazole Hybrids**   Ismail Celik,* Ul",Thiadiazole,Thiadiazole,S1N=NC=C1,c1csnn1,UGUHFDPGDQDVGX-UHFFFAOYSA-N,67518,288-48-2,C2H2N2S,86.12,thiadiazole,,,,,,,,,,,,passed,rdkit canonical,dup_001,2,True,,False,False,,2026-06-26T20:18:09+00:00
r_da4ebcb144c4,acsomega.2c06142.pdf,,text,opsin:text,"with sodium metabisulfite in ethanol to obtain compound 1, the sod",ethanol,ethanol,C(C)O,CCO,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,702,64-17-5,C2H6O,46.07,ethanol,,,,,,,,,,,,passed,rdkit canonical,dup_002,2,True,,False,False,,2026-06-26T20:18:09+00:00
