domain,pdf,doi,pdf_file,pdf_exists,metrics_csv,n_metric_rows
benzimidazole,d2ra06667j,10.1039/d2ra06667j,data/pdfs/pdf_benzimidazole/d2ra06667j.pdf,True,data/datasets/benzimidazole_metrics_matched.csv,186
benzimidazole,intechopen.108949,10.5772/intechopen.108949,data/pdfs/pdf_benzimidazole/intechopen.108949.pdf,True,data/datasets/benzimidazole_metrics_matched.csv,8
benzimidazole,s13065-018-0479-1,10.1186/s13065-018-0479-1,data/pdfs/pdf_benzimidazole/s13065-018-0479-1.pdf,True,data/datasets/benzimidazole_metrics_matched.csv,24
benzimidazole,s41598-022-21435-6,10.1038/s41598-022-21435-6,data/pdfs/pdf_benzimidazole/s41598-022-21435-6.pdf,True,data/datasets/benzimidazole_metrics_matched.csv,8
cocrystals,Eesam2020,10.1186/s43094-020-00083-5,data/pdfs/pdf_cocrystals/Eesam2020.pdf,True,data/datasets/cocrystals_metrics_matched.csv,1
cocrystals,Teraoka2019,10.1248/cpb.c18-00812,data/pdfs/pdf_cocrystals/Teraoka2019.pdf,True,data/datasets/cocrystals_metrics_matched.csv,3
complexes,abram2006,10.1590/S0103-50532006000800004,data/pdfs/pdf_complexes/abram2006.pdf,True,data/datasets/complexes_metrics_matched.csv,22
cytotox,106_jiang2013.pdf,10.1371/journal.pone.0065756,data/pdfs/pdf_cytotox/106_jiang2013.pdf,True,data/datasets/cytotox_metrics_matched.csv,30
cytotox,109_long2017.pdf,10.1186/s12951-017-0318-x,data/pdfs/pdf_cytotox/109_long2017.pdf,True,data/datasets/cytotox_metrics_matched.csv,20
cytotox,10_soenen2014.pdf,10.1002/ppsc.201300357,data/pdfs/pdf_cytotox/10_soenen2014.pdf,True,data/datasets/cytotox_metrics_matched.csv,42
cytotox,110_zakrzewska2015.pdf,10.1371/journal.pone.0122579,data/pdfs/pdf_cytotox/110_zakrzewska2015.pdf,True,data/datasets/cytotox_metrics_matched.csv,24
cytotox,128_sonkusre2014.pdf,10.4172/2157-7439.1000194,data/pdfs/pdf_cytotox/128_sonkusre2014.pdf,True,data/datasets/cytotox_metrics_matched.csv,4
cytotox,133_mccracken2013.pdf,10.1021/tx400231u,data/pdfs/pdf_cytotox/133_mccracken2013.pdf,True,data/datasets/cytotox_metrics_matched.csv,18
cytotox,136_hanley2009.pdf,10.1007/s11671-009-9413-8,data/pdfs/pdf_cytotox/136_hanley2009.pdf,True,data/datasets/cytotox_metrics_matched.csv,34
cytotox,139_landgraf2015.pdf,10.3762/bjnano.6.28,data/pdfs/pdf_cytotox/139_landgraf2015.pdf,True,data/datasets/cytotox_metrics_matched.csv,30
cytotox,146_10.1186@1743-8977-5-22.pdf,10.1186/1743-8977-5-22,data/pdfs/pdf_cytotox/146_10.1186@1743-8977-5-22.pdf,True,data/datasets/cytotox_metrics_matched.csv,36
cytotox,156_lanone2009.pdf,10.1186/1743-8977-6-14,data/pdfs/pdf_cytotox/156_lanone2009.pdf,True,data/datasets/cytotox_metrics_matched.csv,80
cytotox,161_uboldi2009.pdf,10.1186/1743-8977-6-18,data/pdfs/pdf_cytotox/161_uboldi2009.pdf,True,data/datasets/cytotox_metrics_matched.csv,87
cytotox,28_10.1186@s11671-019-2967-1.pdf,10.1186/s11671-019-2967-1,data/pdfs/pdf_cytotox/28_10.1186@s11671-019-2967-1.pdf,True,data/datasets/cytotox_metrics_matched.csv,65
cytotox,43_201915-pdf.pdf,10.3762/bxiv.2019.15.v1,data/pdfs/pdf_cytotox/43_201915-pdf.pdf,True,data/datasets/cytotox_metrics_matched.csv,28
cytotox,44_10.1007@s10856-019-6221-2.pdf,10.1007/s10856-019-6221-2,data/pdfs/pdf_cytotox/44_10.1007@s10856-019-6221-2.pdf,True,data/datasets/cytotox_metrics_matched.csv,90
cytotox,46_boyles2015.pdf,10.1186/s12989-016-0160-6,data/pdfs/pdf_cytotox/46_boyles2015.pdf,True,data/datasets/cytotox_metrics_matched.csv,12
cytotox,72_10.1007@s11051-018-4406-0.pdf,10.1007/s11051-018-4406-0,data/pdfs/pdf_cytotox/72_10.1007@s11051-018-4406-0.pdf,True,data/datasets/cytotox_metrics_matched.csv,16
cytotox,74_liu2014.pdf,10.1371/journal.pone.0099175,data/pdfs/pdf_cytotox/74_liu2014.pdf,True,data/datasets/cytotox_metrics_matched.csv,24
cytotox,81_feng2018.pdf,10.1038/s41598-018-19628-z,data/pdfs/pdf_cytotox/81_feng2018.pdf,True,data/datasets/cytotox_metrics_matched.csv,36
cytotox,98_siddiqui2013.pdf,10.1371/journal.pone.0069534,data/pdfs/pdf_cytotox/98_siddiqui2013.pdf,True,data/datasets/cytotox_metrics_matched.csv,10
nanomag,1.2739217.pdf,10.1063/1.2739217,data/pdfs/pdf_nanomag/1.2739217.pdf,True,data/datasets/nanomag_metrics_matched.csv,5
nanomag,5.0015339.pdf,10.1063/5.0015339,data/pdfs/pdf_nanomag/5.0015339.pdf,True,data/datasets/nanomag_metrics_matched.csv,3
nanomag,D1RA01902C.pdf,10.1039/D1RA01902C,data/pdfs/pdf_nanomag/D1RA01902C.pdf,True,data/datasets/nanomag_metrics_matched.csv,6
nanomag,D2MA00629D.pdf,10.1039/D2MA00629D,data/pdfs/pdf_nanomag/D2MA00629D.pdf,True,data/datasets/nanomag_metrics_matched.csv,4
nanomag,D2TC03144B.pdf,10.1039/D2TC03144B,data/pdfs/pdf_nanomag/D2TC03144B.pdf,True,data/datasets/nanomag_metrics_matched.csv,19
nanomag,D3NA01108A.pdf,10.1039/D3NA01108A,data/pdfs/pdf_nanomag/D3NA01108A.pdf,True,data/datasets/nanomag_metrics_matched.csv,10
nanomag,PhysRevB.80.064427.pdf,10.1103/PhysRevB.80.064427,data/pdfs/pdf_nanomag/PhysRevB.80.064427.pdf,True,data/datasets/nanomag_metrics_matched.csv,1
nanomag,PhysRevB.94.184410.pdf,10.1103/PhysRevB.94.184410,data/pdfs/pdf_nanomag/PhysRevB.94.184410.pdf,True,data/datasets/nanomag_metrics_matched.csv,9
nanomag,ab65e4.pdf,10.1088/2053-1591/ab65e4,data/pdfs/pdf_nanomag/ab65e4.pdf,True,data/datasets/nanomag_metrics_matched.csv,8
nanomag,acsami.3c18334.pdf,10.1021/acsami.3c18334,data/pdfs/pdf_nanomag/acsami.3c18334.pdf,True,data/datasets/nanomag_metrics_matched.csv,2
nanomag,c5nr00055f.pdf,10.1039/c5nr00055f,data/pdfs/pdf_nanomag/c5nr00055f.pdf,True,data/datasets/nanomag_metrics_matched.csv,20
nanomag,c5nr00774g.pdf,10.1039/c5nr00774g,data/pdfs/pdf_nanomag/c5nr00774g.pdf,True,data/datasets/nanomag_metrics_matched.csv,5
nanomag,c6nr01303a.pdf,10.1039/c6nr01303a,data/pdfs/pdf_nanomag/c6nr01303a.pdf,True,data/datasets/nanomag_metrics_matched.csv,2
nanomag,c7ra05495e.pdf,10.1039/c7ra05495e,data/pdfs/pdf_nanomag/c7ra05495e.pdf,True,data/datasets/nanomag_metrics_matched.csv,6
nanomag,cmmi.1473.pdf,10.1002/cmmi.1473,data/pdfs/pdf_nanomag/cmmi.1473.pdf,True,data/datasets/nanomag_metrics_matched.csv,4
nanomag,d0na00820f.pdf,10.1039/d0na00820f,data/pdfs/pdf_nanomag/d0na00820f.pdf,True,data/datasets/nanomag_metrics_matched.csv,4
nanomag,d1na00312g.pdf,10.1039/d1na00312g,data/pdfs/pdf_nanomag/d1na00312g.pdf,True,data/datasets/nanomag_metrics_matched.csv,4
