smiles,doi,title,publisher,year,access,compound_id,target_type,target_relation,target_value,target_units,bacteria,bacteria_unified,page_bacteria,origin_bacteria,section_bacteria,subsection_bacteria,page_target,origin_target,section_target,subsection_target,page_scaffold,origin_scaffold,page_residue,origin_residue,pdf,pdf_file,pdf_downloaded
O=C(Cn1c[n+](CC(=O)c2ccc(-c3ccccc3)cc2)c2ccccc21)Nc1cccc2cccnc12.[Br-],10.1038/s41598-022-21435-6,Quinoline–imidazole/benzimidazole derivatives as dual-/multi-targeting hybrids inhibitors with anticancer and antimicrobial activity,Springer Science and Business Media LLC,2022,1,11h,MIC,'=',"0,004",µg/mL,E. coli Escherichia coli ATCC 25922,Escherichia coli,9,table 6 (caption),,,9,table 6,,,4,figure 3,4.0,figure 3,s41598-022-21435-6,data/pdfs/pdf_benzimidazole/s41598-022-21435-6.pdf,True
O=C(CCn1c[n+](CC(=O)c2ccc(-c3ccccc3)cc2)c2ccccc21)Nc1cccc2cccnc12.[Br-],10.1038/s41598-022-21435-6,Quinoline–imidazole/benzimidazole derivatives as dual-/multi-targeting hybrids inhibitors with anticancer and antimicrobial activity,Springer Science and Business Media LLC,2022,1,12h,MIC,'=',"0,004",µg/mL,E. coli Escherichia coli ATCC 25922,Escherichia coli,9,table 6 (caption),,,9,table 6,,,4,figure 3,4.0,figure 3,s41598-022-21435-6,data/pdfs/pdf_benzimidazole/s41598-022-21435-6.pdf,True
O=C(Cn1c[n+](CC(=O)c2ccc(F)cc2)c2ccccc21)Nc1cccc2cccnc12.[Br-],10.1038/s41598-022-21435-6,Quinoline–imidazole/benzimidazole derivatives as dual-/multi-targeting hybrids inhibitors with anticancer and antimicrobial activity,Springer Science and Business Media LLC,2022,1,11f,MIC,'=',"0,009",µg/mL,E. coli Escherichia coli ATCC 25922,Escherichia coli,9,table 6 (caption),,,9,table 6,,,4,figure 3,4.0,figure 3,s41598-022-21435-6,data/pdfs/pdf_benzimidazole/s41598-022-21435-6.pdf,True
O=C(Cn1c[n+](CC(=O)c2ccc(Br)cc2)c2ccccc21)Nc1cccc2cccnc12.[Br-],10.1038/s41598-022-21435-6,Quinoline–imidazole/benzimidazole derivatives as dual-/multi-targeting hybrids inhibitors with anticancer and antimicrobial activity,Springer Science and Business Media LLC,2022,1,7h,MIC,'=',"0,001",µg/mL,E. coli Escherichia coli ATCC 25922,Escherichia coli,9,table 6 (caption),,,9,table 6,,,4,figure 3,4.0,figure 3,s41598-022-21435-6,data/pdfs/pdf_benzimidazole/s41598-022-21435-6.pdf,True
Fc1ccc(-c2cc(-c3nc4ncccc4[nH]3)c3cc(Cl)ccc3n2)cc1,10.5772/intechopen.108949,Current Development in the Synthesis of Benzimidazole-Quinoline Hybrid Analogues and Their Biological Applications,IntechOpen,2023,1,XLV,MIC,'=',"6,25",µg/mL,E.coli,Escherichia coli,8,text,2. Biological applications of benzimidazole-quinoline hybrids,2.2 Antimicrobial activity,8,text,2. Biological applications of benzimidazole-quinoline hybrids,2.2 Antimicrobial activity,8,figure 17,8.0,figure 17,intechopen.108949,data/pdfs/pdf_benzimidazole/intechopen.108949.pdf,True
Fc1ccc(-c2cc(-c3nc4cc(Cl)c(Cl)cc4[nH]3)c3cc(Cl)ccc3n2)cc1,10.5772/intechopen.108949,Current Development in the Synthesis of Benzimidazole-Quinoline Hybrid Analogues and Their Biological Applications,IntechOpen,2023,1,XLVI,MIC,'=',"6,25",µg/mL,E.coli,Escherichia coli,8,text,2. Biological applications of benzimidazole-quinoline hybrids,2.2 Antimicrobial activity,8,text,2. Biological applications of benzimidazole-quinoline hybrids,2.2 Antimicrobial activity,8,figure 17,8.0,figure 17,intechopen.108949,data/pdfs/pdf_benzimidazole/intechopen.108949.pdf,True
Fc1ccc(-c2cc(-c3nc4ncccc4[nH]3)c3ccccc3n2)cc1,10.5772/intechopen.108949,Current Development in the Synthesis of Benzimidazole-Quinoline Hybrid Analogues and Their Biological Applications,IntechOpen,2023,1,XLVII,MIC,'=',"6,25",µg/mL,E.coli,Escherichia coli,8,text,2. Biological applications of benzimidazole-quinoline hybrids,2.2 Antimicrobial activity,8,text,2. Biological applications of benzimidazole-quinoline hybrids,2.2 Antimicrobial activity,8,figure 17,8.0,figure 17,intechopen.108949,data/pdfs/pdf_benzimidazole/intechopen.108949.pdf,True
Fc1ccc(-c2cc(-c3nc4cc(Cl)c(Cl)cc4[nH]3)c3ccccc3n2)cc1,10.5772/intechopen.108949,Current Development in the Synthesis of Benzimidazole-Quinoline Hybrid Analogues and Their Biological Applications,IntechOpen,2023,1,XLVIII,MIC,'=',"6,25",µg/mL,E.coli,Escherichia coli,8,text,2. Biological applications of benzimidazole-quinoline hybrids,2.2 Antimicrobial activity,8,text,2. Biological applications of benzimidazole-quinoline hybrids,2.2 Antimicrobial activity,8,figure 17,8.0,figure 17,intechopen.108949,data/pdfs/pdf_benzimidazole/intechopen.108949.pdf,True
N=C(N)NS(=O)(=O)c1ccc(-n2cc(CSc3nc4ccccc4[nH]3)nn2)cc1,10.1186/s13065-018-0479-1,"Design, synthesis, ADME prediction and pharmacological evaluation of novel benzimidazole-1,2,3-triazole-sulfonamide hybrids as antimicrobial and antiproliferative agents",Springer Science and Business Media LLC,2018,1,4f,MIC,'=',256,µg/mL,Ec,Escherichia coli,6,table 1,,,6,table 1,,,3,scheme 2,3.0,scheme 2,s13065-018-0479-1,data/pdfs/pdf_benzimidazole/s13065-018-0479-1.pdf,True
O=S(=O)(Nc1ccccn1)c1ccc(-n2cc(CSc3nc4ccccc4[nH]3)nn2)cc1,10.1186/s13065-018-0479-1,"Design, synthesis, ADME prediction and pharmacological evaluation of novel benzimidazole-1,2,3-triazole-sulfonamide hybrids as antimicrobial and antiproliferative agents",Springer Science and Business Media LLC,2018,1,4c,MIC,'=',64,µg/mL,Ec,Escherichia coli,6,table 1,,,6,table 1,,,3,scheme 2,3.0,scheme 2,s13065-018-0479-1,data/pdfs/pdf_benzimidazole/s13065-018-0479-1.pdf,True
