sn,material,shape,coat_functional_group,synthesis_method,surface_charge,size_in_medium_nm,zeta_in_medium_mv,no_of_cells_cells_well,human_animal,cell_source,cell_tissue,cell_morphology,cell_age,time_hr,concentration,test,test_indicator,viability_%,doi,article_list,core_nm,hydrodynamic_nm,potential_mv,cell_type,journal_name,publisher,year,title,journal_is_oa,is_oa,oa_status,pdf,access,pdf_file,pdf_downloaded
288,Au,Sphere,PEG,Chemical Reduction,Negative,,,50000.0,A,Rat,,,,24,,MTT,TetrazoliumSalt,96.951,10.1002/ppsc.201300357,10,,4.6,-7.6,PC12,Particle &amp; Particle Systems Characterization,Wiley,2014,The Cellular Interactions of PEGylated Gold Nanoparticles: Effect of PEGylation on Cellular Uptake and Cytotoxicity,False,TRUE,green,10_soenen2014.pdf,1,data/pdfs/pdf_cytotox/10_soenen2014.pdf,True
289,Au,Sphere,PEG,Chemical Reduction,Negative,,,50000.0,A,Rat,,,,24,,MTT,TetrazoliumSalt,95.654,10.1002/ppsc.201300357,10,,4.6,-7.6,PC12,Particle &amp; Particle Systems Characterization,Wiley,2014,The Cellular Interactions of PEGylated Gold Nanoparticles: Effect of PEGylation on Cellular Uptake and Cytotoxicity,False,TRUE,green,10_soenen2014.pdf,1,data/pdfs/pdf_cytotox/10_soenen2014.pdf,True
290,Au,Sphere,PEG,Chemical Reduction,Negative,,,50000.0,A,Rat,,,,24,,MTT,TetrazoliumSalt,94.214,10.1002/ppsc.201300357,10,,4.6,-7.6,PC12,Particle &amp; Particle Systems Characterization,Wiley,2014,The Cellular Interactions of PEGylated Gold Nanoparticles: Effect of PEGylation on Cellular Uptake and Cytotoxicity,False,TRUE,green,10_soenen2014.pdf,1,data/pdfs/pdf_cytotox/10_soenen2014.pdf,True
291,Au,Sphere,PEG,Chemical Reduction,Negative,,,50000.0,A,Rat,,,,24,,MTT,TetrazoliumSalt,92.053,10.1002/ppsc.201300357,10,,4.6,-7.6,PC12,Particle &amp; Particle Systems Characterization,Wiley,2014,The Cellular Interactions of PEGylated Gold Nanoparticles: Effect of PEGylation on Cellular Uptake and Cytotoxicity,False,TRUE,green,10_soenen2014.pdf,1,data/pdfs/pdf_cytotox/10_soenen2014.pdf,True
292,Au,Sphere,PEG,Chemical Reduction,Negative,,,50000.0,A,Rat,,,,24,,MTT,TetrazoliumSalt,94.934,10.1002/ppsc.201300357,10,,4.6,-7.6,PC12,Particle &amp; Particle Systems Characterization,Wiley,2014,The Cellular Interactions of PEGylated Gold Nanoparticles: Effect of PEGylation on Cellular Uptake and Cytotoxicity,False,TRUE,green,10_soenen2014.pdf,1,data/pdfs/pdf_cytotox/10_soenen2014.pdf,True
293,Au,Sphere,PEG,Chemical Reduction,Negative,,,50000.0,A,Rat,,,,24,,MTT,TetrazoliumSalt,84.706,10.1002/ppsc.201300357,10,,4.6,-7.6,PC12,Particle &amp; Particle Systems Characterization,Wiley,2014,The Cellular Interactions of PEGylated Gold Nanoparticles: Effect of PEGylation on Cellular Uptake and Cytotoxicity,False,TRUE,green,10_soenen2014.pdf,1,data/pdfs/pdf_cytotox/10_soenen2014.pdf,True
294,Au,Sphere,PEG,Chemical Reduction,Negative,,,50000.0,A,Rat,,,,24,,MTT,TetrazoliumSalt,77.647,10.1002/ppsc.201300357,10,,4.6,-7.6,PC12,Particle &amp; Particle Systems Characterization,Wiley,2014,The Cellular Interactions of PEGylated Gold Nanoparticles: Effect of PEGylation on Cellular Uptake and Cytotoxicity,False,TRUE,green,10_soenen2014.pdf,1,data/pdfs/pdf_cytotox/10_soenen2014.pdf,True
295,Au,Sphere,PEG,Chemical Reduction,Negative,,,50000.0,H,Human,Umbilical Vein,Endothelial,,24,,MTT,TetrazoliumSalt,94.934,10.1002/ppsc.201300357,10,,4.6,-7.6,HUVEC,Particle &amp; Particle Systems Characterization,Wiley,2014,The Cellular Interactions of PEGylated Gold Nanoparticles: Effect of PEGylation on Cellular Uptake and Cytotoxicity,False,TRUE,green,10_soenen2014.pdf,1,data/pdfs/pdf_cytotox/10_soenen2014.pdf,True
296,Au,Sphere,PEG,Chemical Reduction,Negative,,,50000.0,H,Human,Umbilical Vein,Endothelial,,24,,MTT,TetrazoliumSalt,96.807,10.1002/ppsc.201300357,10,,4.6,-7.6,HUVEC,Particle &amp; Particle Systems Characterization,Wiley,2014,The Cellular Interactions of PEGylated Gold Nanoparticles: Effect of PEGylation on Cellular Uptake and Cytotoxicity,False,TRUE,green,10_soenen2014.pdf,1,data/pdfs/pdf_cytotox/10_soenen2014.pdf,True
297,Au,Sphere,PEG,Chemical Reduction,Negative,,,50000.0,H,Human,Umbilical Vein,Endothelial,,24,,MTT,TetrazoliumSalt,94.646,10.1002/ppsc.201300357,10,,4.6,-7.6,HUVEC,Particle &amp; Particle Systems Characterization,Wiley,2014,The Cellular Interactions of PEGylated Gold Nanoparticles: Effect of PEGylation on Cellular Uptake and Cytotoxicity,False,TRUE,green,10_soenen2014.pdf,1,data/pdfs/pdf_cytotox/10_soenen2014.pdf,True
298,Au,Sphere,PEG,Chemical Reduction,Negative,,,50000.0,H,Human,Umbilical Vein,Endothelial,,24,,MTT,TetrazoliumSalt,91.909,10.1002/ppsc.201300357,10,,4.6,-7.6,HUVEC,Particle &amp; Particle Systems Characterization,Wiley,2014,The Cellular Interactions of PEGylated Gold Nanoparticles: Effect of PEGylation on Cellular Uptake and Cytotoxicity,False,TRUE,green,10_soenen2014.pdf,1,data/pdfs/pdf_cytotox/10_soenen2014.pdf,True
299,Au,Sphere,PEG,Chemical Reduction,Negative,,,50000.0,H,Human,Umbilical Vein,Endothelial,,24,,MTT,TetrazoliumSalt,86.002,10.1002/ppsc.201300357,10,,4.6,-7.6,HUVEC,Particle &amp; Particle Systems Characterization,Wiley,2014,The Cellular Interactions of PEGylated Gold Nanoparticles: Effect of PEGylation on Cellular Uptake and Cytotoxicity,False,TRUE,green,10_soenen2014.pdf,1,data/pdfs/pdf_cytotox/10_soenen2014.pdf,True
300,Au,Sphere,PEG,Chemical Reduction,Negative,,,50000.0,H,Human,Umbilical Vein,Endothelial,,24,,MTT,TetrazoliumSalt,72.029,10.1002/ppsc.201300357,10,,4.6,-7.6,HUVEC,Particle &amp; Particle Systems Characterization,Wiley,2014,The Cellular Interactions of PEGylated Gold Nanoparticles: Effect of PEGylation on Cellular Uptake and Cytotoxicity,False,TRUE,green,10_soenen2014.pdf,1,data/pdfs/pdf_cytotox/10_soenen2014.pdf,True
301,Au,Sphere,PEG,Chemical Reduction,Negative,,,50000.0,H,Human,Umbilical Vein,Endothelial,,24,,MTT,TetrazoliumSalt,53.733,10.1002/ppsc.201300357,10,,4.6,-7.6,HUVEC,Particle &amp; Particle Systems Characterization,Wiley,2014,The Cellular Interactions of PEGylated Gold Nanoparticles: Effect of PEGylation on Cellular Uptake and Cytotoxicity,False,TRUE,green,10_soenen2014.pdf,1,data/pdfs/pdf_cytotox/10_soenen2014.pdf,True
302,Au,Sphere,PEG,Chemical Reduction,Negative,,,50000.0,A,Mouse,Cerebellum,Neuronal,,24,,MTT,TetrazoliumSalt,91.477,10.1002/ppsc.201300357,10,,4.6,-7.6,C17.2,Particle &amp; Particle Systems Characterization,Wiley,2014,The Cellular Interactions of PEGylated Gold Nanoparticles: Effect of PEGylation on Cellular Uptake and Cytotoxicity,False,TRUE,green,10_soenen2014.pdf,1,data/pdfs/pdf_cytotox/10_soenen2014.pdf,True
303,Au,Sphere,PEG,Chemical Reduction,Negative,,,50000.0,A,Mouse,Cerebellum,Neuronal,,24,,MTT,TetrazoliumSalt,93.637,10.1002/ppsc.201300357,10,,4.6,-7.6,C17.2,Particle &amp; Particle Systems Characterization,Wiley,2014,The Cellular Interactions of PEGylated Gold Nanoparticles: Effect of PEGylation on Cellular Uptake and Cytotoxicity,False,TRUE,green,10_soenen2014.pdf,1,data/pdfs/pdf_cytotox/10_soenen2014.pdf,True
304,Au,Sphere,PEG,Chemical Reduction,Negative,,,50000.0,A,Mouse,Cerebellum,Neuronal,,24,,MTT,TetrazoliumSalt,95.51,10.1002/ppsc.201300357,10,,4.6,-7.6,C17.2,Particle &amp; Particle Systems Characterization,Wiley,2014,The Cellular Interactions of PEGylated Gold Nanoparticles: Effect of PEGylation on Cellular Uptake and Cytotoxicity,False,TRUE,green,10_soenen2014.pdf,1,data/pdfs/pdf_cytotox/10_soenen2014.pdf,True
