name,np_shell_2,np_hydro_size,xrd_scherrer_size,zfc_h_meas,htherm_sar,mri_r1,mri_r2,emic_size,instrument,core_shell_formula,np_core,np_shell,space_group_core,space_group_shell,squid_h_max,fc_field_T,squid_temperature,squid_sat_mag,coercivity,squid_rem_mag,exchange_bias_shift_Oe,vertical_loop_shift_M_vsl_emu_g,hc_kOe,doi,pdf,supp,journal,publisher,year,title,access,verification required,verified_by,verification_date,has_mistake_in_matadata,comment,article_name_folder,supp_info_name_folder,pdf_file,pdf_downloaded
,,,6.1,,19.0,,,7.5,,,Co1Fe2O4,,,,70.0,,300.0,92.0,0.0,0.0,,,,10.1039/c6nr01303a,c6nr01303a.pdf,0,Nanoscale,Royal Society of Chemistry (RSC),2016,Studying the effect of Zn-substitution on the magnetic and hyperthermic properties of cobalt ferrite nanoparticles,1.0,,,,,,dataset1_31,0,data/pdfs/pdf_nanomag/c6nr01303a.pdf,True
,,,5.9,,6.0,,,7.1,,,Zn0.30Co0.70Fe2.00O4,,,,70.0,,300.0,94.0,0.0,0.0,,,,10.1039/c6nr01303a,c6nr01303a.pdf,0,Nanoscale,Royal Society of Chemistry (RSC),2016,Studying the effect of Zn-substitution on the magnetic and hyperthermic properties of cobalt ferrite nanoparticles,1.0,,,,,,dataset1_31,0,data/pdfs/pdf_nanomag/c6nr01303a.pdf,True
,,75.0,,,7.5,,,7.2,,,Fe1Fe2O4,carboxymethylcellulose,,,10.0,,300.0,20.0,0.0,0.0,,,,10.1039/d0na00820f,d0na00820f.pdf,0,Nanoscale Advances,Royal Society of Chemistry (RSC),2021,Tunable magnetothermal properties of cobalt-doped magnetite–carboxymethylcellulose ferrofluids: smart nanoplatforms for potential magnetic hyperthermia applications in cancer therapy,1.0,,,,,,dataset1_32,0,data/pdfs/pdf_nanomag/d0na00820f.pdf,True
,,49.0,,,11.8,,,7.1,,,Co0.03Fe0.97Fe2O4,carboxymethylcellulose,,,10.0,,300.0,20.0,0.0,0.0,,,,10.1039/d0na00820f,d0na00820f.pdf,0,Nanoscale Advances,Royal Society of Chemistry (RSC),2021,Tunable magnetothermal properties of cobalt-doped magnetite–carboxymethylcellulose ferrofluids: smart nanoplatforms for potential magnetic hyperthermia applications in cancer therapy,1.0,,,,,,dataset1_32,0,data/pdfs/pdf_nanomag/d0na00820f.pdf,True
,,59.0,,,13.3,,,6.9,,,Co0.05Fe0.95Fe2O4,carboxymethylcellulose,,,10.0,,300.0,20.0,0.0,0.0,,,,10.1039/d0na00820f,d0na00820f.pdf,0,Nanoscale Advances,Royal Society of Chemistry (RSC),2021,Tunable magnetothermal properties of cobalt-doped magnetite–carboxymethylcellulose ferrofluids: smart nanoplatforms for potential magnetic hyperthermia applications in cancer therapy,1.0,,,,,,dataset1_32,0,data/pdfs/pdf_nanomag/d0na00820f.pdf,True
,,47.0,,,13.8,,,7.1,,,Co0.1Fe0.9Fe2O4,carboxymethylcellulose,,,10.0,,300.0,20.0,0.0,0.0,,,,10.1039/d0na00820f,d0na00820f.pdf,0,Nanoscale Advances,Royal Society of Chemistry (RSC),2021,Tunable magnetothermal properties of cobalt-doped magnetite–carboxymethylcellulose ferrofluids: smart nanoplatforms for potential magnetic hyperthermia applications in cancer therapy,1.0,,,,,,dataset1_32,0,data/pdfs/pdf_nanomag/d0na00820f.pdf,True
,,,,,,,94.0,10.0,,,Fe1Fe2O4,POSS,,,20.0,,300.0,30.0,,,,,,10.1002/cmmi.1473,cmmi.1473.pdf,cmmi.1473_SI.pdf,Contrast Media &amp; Molecular Imaging,Wiley,2012,"Uniform mesoporous silica coated iron oxide nanoparticles as a highly efficient, nontoxic MRI <i>T</i><sub>2</sub> contrast agent with tunable proton relaxivities",1.0,,,,,,dataset2_14,dataset2_14_supp,data/pdfs/pdf_nanomag/cmmi.1473.pdf,True
,,,,,,,68.0,14.0,,,Fe1Fe2O4,Si1O2,,,20.0,,300.0,10.0,,,,,,10.1002/cmmi.1473,cmmi.1473.pdf,cmmi.1473_SI.pdf,Contrast Media &amp; Molecular Imaging,Wiley,2012,"Uniform mesoporous silica coated iron oxide nanoparticles as a highly efficient, nontoxic MRI <i>T</i><sub>2</sub> contrast agent with tunable proton relaxivities",1.0,,,,,,dataset2_14,dataset2_14_supp,data/pdfs/pdf_nanomag/cmmi.1473.pdf,True
,,,,,,,47.0,19.0,,,Fe1Fe2O4,Si1O2,,,20.0,,300.0,2.5,,,,,,10.1002/cmmi.1473,cmmi.1473.pdf,cmmi.1473_SI.pdf,Contrast Media &amp; Molecular Imaging,Wiley,2012,"Uniform mesoporous silica coated iron oxide nanoparticles as a highly efficient, nontoxic MRI <i>T</i><sub>2</sub> contrast agent with tunable proton relaxivities",1.0,,,,,,dataset2_14,dataset2_14_supp,data/pdfs/pdf_nanomag/cmmi.1473.pdf,True
,,,,,,,32.0,21.0,,,Fe1Fe2O4,Si1O2,,,20.0,,300.0,1.4,,,,,,10.1002/cmmi.1473,cmmi.1473.pdf,cmmi.1473_SI.pdf,Contrast Media &amp; Molecular Imaging,Wiley,2012,"Uniform mesoporous silica coated iron oxide nanoparticles as a highly efficient, nontoxic MRI <i>T</i><sub>2</sub> contrast agent with tunable proton relaxivities",1.0,,,,,,dataset2_14,dataset2_14_supp,data/pdfs/pdf_nanomag/cmmi.1473.pdf,True
,,,,,,1.38,70.2,5.2,,,Fe1Fe2O4,PEG-PMMA,,,50.0,,300.0,43.18,0.0,0.0,,,,10.1038/ncomms15468,ncomms15468.pdf,ncomms15468_SI.pdf,Nature Communications,Springer Science and Business Media LLC,2017,Artificial local magnetic field inhomogeneity enhances T2 relaxivity,1.0,,,,,,dataset2_74,dataset2_74_supp,data/pdfs/pdf_nanomag/ncomms15468.pdf,True
,,,,,,1.17,127.4,15.1,,,Fe1Fe2O4,PEG-PMMA,,,50.0,,300.0,65.1,0.0,0.0,,,,10.1038/ncomms15468,ncomms15468.pdf,ncomms15468_SI.pdf,Nature Communications,Springer Science and Business Media LLC,2017,Artificial local magnetic field inhomogeneity enhances T2 relaxivity,1.0,,,,,,dataset2_74,dataset2_74_supp,data/pdfs/pdf_nanomag/ncomms15468.pdf,True
,,134.3,,,,2.11,231.6,115.5,,,Fe1Fe2O4,,,,50.0,,300.0,40.28,0.0,0.0,,,,10.1038/ncomms15468,ncomms15468.pdf,ncomms15468_SI.pdf,Nature Communications,Springer Science and Business Media LLC,2017,Artificial local magnetic field inhomogeneity enhances T2 relaxivity,1.0,,,,,,dataset2_74,dataset2_74_supp,data/pdfs/pdf_nanomag/ncomms15468.pdf,True
,,136.9,,,,0.8,358.3,127.8,,,Fe1Fe2O4,,,,50.0,,300.0,60.37,0.0,0.0,,,,10.1038/ncomms15468,ncomms15468.pdf,ncomms15468_SI.pdf,Nature Communications,Springer Science and Business Media LLC,2017,Artificial local magnetic field inhomogeneity enhances T2 relaxivity,1.0,,,,,,dataset2_74,dataset2_74_supp,data/pdfs/pdf_nanomag/ncomms15468.pdf,True
,,151.5,,,,0.92,533.4,129.2,,,Fe1Fe2O4,,,,50.0,,300.0,53.69,0.0,0.0,,,,10.1038/ncomms15468,ncomms15468.pdf,ncomms15468_SI.pdf,Nature Communications,Springer Science and Business Media LLC,2017,Artificial local magnetic field inhomogeneity enhances T2 relaxivity,1.0,,,,,,dataset2_74,dataset2_74_supp,data/pdfs/pdf_nanomag/ncomms15468.pdf,True
,,,,,,1.56,515.3,145.8,,,Fe1Fe2O4,,,,50.0,,300.0,54.73,,,,,,10.1038/ncomms15468,ncomms15468.pdf,ncomms15468_SI.pdf,Nature Communications,Springer Science and Business Media LLC,2017,Artificial local magnetic field inhomogeneity enhances T2 relaxivity,1.0,,,,,,dataset2_74,dataset2_74_supp,data/pdfs/pdf_nanomag/ncomms15468.pdf,True
,,,,,,1.35,445.8,238.9,,,Fe1Fe2O4,,,,50.0,,300.0,50.22,,,,,,10.1038/ncomms15468,ncomms15468.pdf,ncomms15468_SI.pdf,Nature Communications,Springer Science and Business Media LLC,2017,Artificial local magnetic field inhomogeneity enhances T2 relaxivity,1.0,,,,,,dataset2_74,dataset2_74_supp,data/pdfs/pdf_nanomag/ncomms15468.pdf,True
,,,,,,0.9,157.9,12.0,,,Fe1Fe2O4,,,,50.0,,300.0,61.31,,,,,,10.1038/ncomms15468,ncomms15468.pdf,ncomms15468_SI.pdf,Nature Communications,Springer Science and Business Media LLC,2017,Artificial local magnetic field inhomogeneity enhances T2 relaxivity,1.0,,,,,,dataset2_74,dataset2_74_supp,data/pdfs/pdf_nanomag/ncomms15468.pdf,True
