formula,activity,syngony,length,width,depth,surface,km_value,km_unit,vmax_value,vmax_unit,target_source,reaction_type,c_min,c_max,c_const,c_const_unit,ccat_value,ccat_unit,ph,temperature,doi,pdf,access,title,journal,year,pdf_file,pdf_downloaded
MnO2,oxidase,,,,,,0.03,mM,0.046,,text,ABTS,0.005,1.0,,,0.01,mcg/ml,3.8,25.0,10.1080/03067319.2019.1599875,03067319.2019.1599875,0,MnO <sub>2</sub> nanozyme induced the chromogenic reactions of ABTS and TMB to visual detection of Fe <sup>2+</sup> and Pb <sup>2+</sup> ions in water,International Journal of Environmental Analytical Chemistry,2019,data/pdfs/pdf_nanozymes/03067319.2019.1599875.pdf,False
MnO2,oxidase,,,,,,0.027,mM,0.113,,text,TMB,0.005,1.0,,,0.01,mcg/ml,3.8,25.0,10.1080/03067319.2019.1599875,03067319.2019.1599875,0,MnO <sub>2</sub> nanozyme induced the chromogenic reactions of ABTS and TMB to visual detection of Fe <sup>2+</sup> and Pb <sup>2+</sup> ions in water,International Journal of Environmental Analytical Chemistry,2019,data/pdfs/pdf_nanozymes/03067319.2019.1599875.pdf,False
Fe2O3,peroxidase,,,,,,0.115,M,2.89,10−2 μM · s-1,text,H2O2 + TMB,,,,,0.00278,mcg/ml,,,10.1088/1361-6528/aaddc2,AADDC2,0,Bandgap control of <i>Î±</i>-Fe<sub>2</sub>O<sub>3</sub> nanozymes and their superior visible light promoted peroxidase-like catalytic activity,Nanotechnology,2018,data/pdfs/pdf_nanozymes/AADDC2.pdf,False
Fe2O3,peroxidase,,,,,,0.45,mM,0.961,10−2 μM · s-1,text,TMB + H2O2,,,,,0.00278,mcg/ml,,,10.1088/1361-6528/aaddc2,AADDC2,0,Bandgap control of <i>Î±</i>-Fe<sub>2</sub>O<sub>3</sub> nanozymes and their superior visible light promoted peroxidase-like catalytic activity,Nanotechnology,2018,data/pdfs/pdf_nanozymes/AADDC2.pdf,False
Fe2O3,peroxidase,,,,,,0.214,mM,2.12,10−2 μM · s-1,text,TMB + H2O2,,,,,0.00278,mcg/ml,,,10.1088/1361-6528/aaddc2,AADDC2,0,Bandgap control of <i>Î±</i>-Fe<sub>2</sub>O<sub>3</sub> nanozymes and their superior visible light promoted peroxidase-like catalytic activity,Nanotechnology,2018,data/pdfs/pdf_nanozymes/AADDC2.pdf,False
Fe2O3,peroxidase,,,,,,0.0571,mM,9.08,10−2 μM · s-1,text,TMB + H2O2,,,,,0.00278,mcg/ml,,,10.1088/1361-6528/aaddc2,AADDC2,0,Bandgap control of <i>Î±</i>-Fe<sub>2</sub>O<sub>3</sub> nanozymes and their superior visible light promoted peroxidase-like catalytic activity,Nanotechnology,2018,data/pdfs/pdf_nanozymes/AADDC2.pdf,False
Fe2O3,peroxidase,,,,,,0.236,M,16.6,10−2 μM · s-1,text,H2O2 + TMB,,,,,0.00278,mcg/ml,,,10.1088/1361-6528/aaddc2,AADDC2,0,Bandgap control of <i>Î±</i>-Fe<sub>2</sub>O<sub>3</sub> nanozymes and their superior visible light promoted peroxidase-like catalytic activity,Nanotechnology,2018,data/pdfs/pdf_nanozymes/AADDC2.pdf,False
Fe2O3,peroxidase,,,,,,0.581,mM,3.92,10−2 μM · s-1,text,TMB + H2O2,,,,,0.00278,mcg/ml,,,10.1088/1361-6528/aaddc2,AADDC2,0,Bandgap control of <i>Î±</i>-Fe<sub>2</sub>O<sub>3</sub> nanozymes and their superior visible light promoted peroxidase-like catalytic activity,Nanotechnology,2018,data/pdfs/pdf_nanozymes/AADDC2.pdf,False
Fe2O3,peroxidase,,,,,,0.452,M,39.2,10−2 μM · s-1,text,H2O2 + TMB,,,,,0.00278,mcg/ml,,,10.1088/1361-6528/aaddc2,AADDC2,0,Bandgap control of <i>Î±</i>-Fe<sub>2</sub>O<sub>3</sub> nanozymes and their superior visible light promoted peroxidase-like catalytic activity,Nanotechnology,2018,data/pdfs/pdf_nanozymes/AADDC2.pdf,False
Fe3O4,peroxidase,cubic,3.5,3.5,3.5,dopamine,2.75,10−3 mM,1.42,10−8 M·s−1,text,H2O2 + TMB,0.0,0.0001,3.65,mM,20.0,μg mL-1,4.6,25.0,10.1088/1361-6463/aa5bf6,AA5BF6,0,Facile method to synthesize dopamine-capped mixed ferrite nanoparticles and their peroxidase-like activity,Journal of Physics D: Applied Physics,2017,data/pdfs/pdf_nanozymes/AA5BF6.pdf,False
NiFe2O4,peroxidase,cubic,2.6,2.6,2.6,dopamine,0.34,10−3 mM,3.96,10−8 M·s−1,text,H2O2 + TMB,0.0,0.0001,3.65,mM,20.0,μg mL-1,4.6,25.0,10.1088/1361-6463/aa5bf6,AA5BF6,0,Facile method to synthesize dopamine-capped mixed ferrite nanoparticles and their peroxidase-like activity,Journal of Physics D: Applied Physics,2017,data/pdfs/pdf_nanozymes/AA5BF6.pdf,False
CuFe2O4,peroxidase,cubic,2.3,2.3,2.3,dopamine,1.18,10−3 mM,8.23,10−8 M·s−1,text,H2O2 + TMB,0.0,0.0001,3.65,mM,20.0,μg mL-1,4.6,25.0,10.1088/1361-6463/aa5bf6,AA5BF6,0,Facile method to synthesize dopamine-capped mixed ferrite nanoparticles and their peroxidase-like activity,Journal of Physics D: Applied Physics,2017,data/pdfs/pdf_nanozymes/AA5BF6.pdf,False
MnFe2O4,peroxidase,cubic,2.7,2.7,2.7,dopamine,0.34,10−3 mM,11.92,10−8 M·s−1,text,H2O2 + TMB,0.0,0.0001,3.65,mM,20.0,μg mL-1,4.6,25.0,10.1088/1361-6463/aa5bf6,AA5BF6,0,Facile method to synthesize dopamine-capped mixed ferrite nanoparticles and their peroxidase-like activity,Journal of Physics D: Applied Physics,2017,data/pdfs/pdf_nanozymes/AA5BF6.pdf,False
CoFe2O4,peroxidase,cubic,2.2,2.2,2.2,dopamine,5.21,10−3 mM,23.9,10−8 M·s−1,text,H2O2 + TMB,0.0,0.0001,3.65,mM,20.0,μg mL-1,4.6,25.0,10.1088/1361-6463/aa5bf6,AA5BF6,0,Facile method to synthesize dopamine-capped mixed ferrite nanoparticles and their peroxidase-like activity,Journal of Physics D: Applied Physics,2017,data/pdfs/pdf_nanozymes/AA5BF6.pdf,False
MnO2,oxidase,,,,,,0.005,,0.155,,text,"2,6-DMP",0.005,0.2,,,0.1,mg mL−1,3.8,25.0,10.1155/2019/5416963,5416963,1,Oxidase-Like Catalytic Performance of Nano-MnO<sub>2</sub> and Its Potential Application for Metal Ions Detection in Water,International Journal of Analytical Chemistry,2019,data/pdfs/pdf_nanozymes/5416963.pdf,False
ZnFe2O4,peroxidase,,200,200,200,,0.85,mM,13.31,10−8 M·s−1,text,TMB + H2O2,,,0.2,mM,40.0,μg mL-1,4.5,40.0,10.1021/ac300939z,AC300939Z,0,Colorimetric Detection of Urine Glucose Based ZnFe<sub>2</sub>O<sub>4</sub> Magnetic Nanoparticles,Analytical Chemistry,2012,data/pdfs/pdf_nanozymes/AC300939Z.pdf,False
