sn,np,coating,bacteria,mdr,strain,np_synthesis,method,mic_np_µg_ml,concentration,zoi_np_mm,np_size_min_nm,np_size_max_nm,np_size_avg_nm,shape,time_set_hours,zeta_potential_mV,solvent_for_extract,temperature_for_extract_C,duration_preparing_extract_min,precursor_of_np,concentration_of_precursor_mM,hydrodynamic_diameter_nm,ph_during_synthesis,reference,doi,article_list,journal_name,publisher,year,title,journal_is_oa,is_oa,oa_status,pdf,access,pdf_file,pdf_downloaded
1,Ag,0,Enterococcus faecalis,0,,green_synthesis,MIC,32,,,10.0,40.0,20.0,spherical,24.0,,water (deionized),21.0,,AgNO3,1.0,,,http://www.nanomedicine-rj.com/article_38645.html,10.22034/nmrj.2020.01.006,38,Nanomedicine Research Journal,Tehran University of Medical Sciences,2020,Synergistic Activity of Green Silver Nanoparticles with Antibiotics,True,True,green,38_NMRJ_Volume 5_Issue 1_Pages 44-54.pdf,1,data/pdfs/pdf_seltox/38_NMRJ_Volume_5_Issue_1_Pages_44-54.pdf,False
2,Ag,0,Escherichia coli,0,,green_synthesis,MIC,64,,,15.0,25.0,20.0,spherical,24.0,,water (deionized),21.0,,AgNO3,1.0,,,http://www.nanomedicine-rj.com/article_38645.html,10.22034/nmrj.2020.01.006,38,Nanomedicine Research Journal,Tehran University of Medical Sciences,2020,Synergistic Activity of Green Silver Nanoparticles with Antibiotics,True,True,green,38_NMRJ_Volume 5_Issue 1_Pages 44-54.pdf,1,data/pdfs/pdf_seltox/38_NMRJ_Volume_5_Issue_1_Pages_44-54.pdf,False
3,Ag,0,Proteus vulgaris,0,,green_synthesis,MIC,16,,,10.0,40.0,20.0,spherical,24.0,,water (deionized),21.0,,AgNO3,1.0,,,http://www.nanomedicine-rj.com/article_38645.html,10.22034/nmrj.2020.01.006,38,Nanomedicine Research Journal,Tehran University of Medical Sciences,2020,Synergistic Activity of Green Silver Nanoparticles with Antibiotics,True,True,green,38_NMRJ_Volume 5_Issue 1_Pages 44-54.pdf,1,data/pdfs/pdf_seltox/38_NMRJ_Volume_5_Issue_1_Pages_44-54.pdf,False
4,Ag,0,Salmonella typhi,0,,green_synthesis,MIC,32,,,10.0,40.0,20.0,spherical,24.0,,water (deionized),21.0,,AgNO3,1.0,,,http://www.nanomedicine-rj.com/article_38645.html,10.22034/nmrj.2020.01.006,38,Nanomedicine Research Journal,Tehran University of Medical Sciences,2020,Synergistic Activity of Green Silver Nanoparticles with Antibiotics,True,True,green,38_NMRJ_Volume 5_Issue 1_Pages 44-54.pdf,1,data/pdfs/pdf_seltox/38_NMRJ_Volume_5_Issue_1_Pages_44-54.pdf,False
5,Ag,0,Staphylococcus aureus,0,,green_synthesis,MIC,4,,,10.0,40.0,20.0,spherical,24.0,,water (deionized),21.0,,AgNO3,1.0,,,http://www.nanomedicine-rj.com/article_38645.html,10.22034/nmrj.2020.01.006,38,Nanomedicine Research Journal,Tehran University of Medical Sciences,2020,Synergistic Activity of Green Silver Nanoparticles with Antibiotics,True,True,green,38_NMRJ_Volume 5_Issue 1_Pages 44-54.pdf,1,data/pdfs/pdf_seltox/38_NMRJ_Volume_5_Issue_1_Pages_44-54.pdf,False
6,Ag,0,Vibrio cholerae,0,,green_synthesis,MIC,16,,,10.0,40.0,20.0,spherical,24.0,,water (deionized),21.0,,AgNO3,1.0,,,http://www.nanomedicine-rj.com/article_38645.html,10.22034/nmrj.2020.01.006,38,Nanomedicine Research Journal,Tehran University of Medical Sciences,2020,Synergistic Activity of Green Silver Nanoparticles with Antibiotics,True,True,green,38_NMRJ_Volume 5_Issue 1_Pages 44-54.pdf,1,data/pdfs/pdf_seltox/38_NMRJ_Volume_5_Issue_1_Pages_44-54.pdf,False
7,Ag,0,Pseudomonas aeruginosa,0,,green_synthesis,MIC,128,,,5.34,70.0,26.06,spherical,24.0,,,,,,,,,https://academic.oup.com/lambio/article/75/3/680/6989369,10.1111/lam.13759,22,Letters in Applied Microbiology,Oxford University Press (OUP),2022,Biologically synthesized silver nanoparticles as potent antibacterial effective against multidrug-resistant Pseudomonas aeruginosa,False,True,hybrid,22_lambio0680.pdf,1,data/pdfs/pdf_seltox/22_lambio0680.pdf,False
8,Ag,0,Pseudomonas aeruginosa,0,,green_synthesis,MIC,128,,,5.34,70.0,26.06,spherical,24.0,,,,,,,,,https://academic.oup.com/lambio/article/75/3/680/6989369,10.1111/lam.13759,22,Letters in Applied Microbiology,Oxford University Press (OUP),2022,Biologically synthesized silver nanoparticles as potent antibacterial effective against multidrug-resistant Pseudomonas aeruginosa,False,True,hybrid,22_lambio0680.pdf,1,data/pdfs/pdf_seltox/22_lambio0680.pdf,False
9,Ag,0,Pseudomonas aeruginosa,0,,green_synthesis,MIC,128,,,5.34,70.0,26.06,spherical,24.0,,,,,,,,,https://academic.oup.com/lambio/article/75/3/680/6989369,10.1111/lam.13759,22,Letters in Applied Microbiology,Oxford University Press (OUP),2022,Biologically synthesized silver nanoparticles as potent antibacterial effective against multidrug-resistant Pseudomonas aeruginosa,False,True,hybrid,22_lambio0680.pdf,1,data/pdfs/pdf_seltox/22_lambio0680.pdf,False
10,Ag,0,Pseudomonas aeruginosa,0,,green_synthesis,MIC,128,,,5.34,70.0,26.06,spherical,24.0,,,,,,,,,https://academic.oup.com/lambio/article/75/3/680/6989369,10.1111/lam.13759,22,Letters in Applied Microbiology,Oxford University Press (OUP),2022,Biologically synthesized silver nanoparticles as potent antibacterial effective against multidrug-resistant Pseudomonas aeruginosa,False,True,hybrid,22_lambio0680.pdf,1,data/pdfs/pdf_seltox/22_lambio0680.pdf,False
