sn,np,coating,bacteria,mdr,strain,np_synthesis,method,mic_np_µg_ml,concentration,zoi_np_mm,np_size_min_nm,np_size_max_nm,np_size_avg_nm,shape,time_set_hours,zeta_potential_mV,solvent_for_extract,temperature_for_extract_C,duration_preparing_extract_min,precursor_of_np,concentration_of_precursor_mM,hydrodynamic_diameter_nm,ph_during_synthesis,reference,doi,article_list,journal_name,publisher,year,title,journal_is_oa,is_oa,oa_status,pdf,access,pdf_file,pdf_downloaded
43,Ag,0,Bacillus subtilis,0,,chemical_synthesis,MIC,11,,,20.0,50.0,35.0,spherical,24.0,-18.0,,,,,,,,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0224904,10.1371/journal.pone.0224904,28,PLOS ONE,Public Library of Science (PLoS),2019,Enhancement of antibiotics antimicrobial activity due to the silver nanoparticles impact on the cell membrane,True,True,gold,28_10.1371@journal.pone.0224904.pdf,1,data/pdfs/pdf_seltox/28_10.1371@journal.pone.0224904.pdf,True
44,Ag,0,Bacillus subtilis,0,,chemical_synthesis,MIC,11,,,20.0,50.0,35.0,spherical,24.0,-18.0,,,,,,,,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0224904,10.1371/journal.pone.0224904,28,PLOS ONE,Public Library of Science (PLoS),2019,Enhancement of antibiotics antimicrobial activity due to the silver nanoparticles impact on the cell membrane,True,True,gold,28_10.1371@journal.pone.0224904.pdf,1,data/pdfs/pdf_seltox/28_10.1371@journal.pone.0224904.pdf,True
45,Ag,0,Bacillus subtilis,0,,chemical_synthesis,MIC,11,,,20.0,50.0,35.0,spherical,24.0,-18.0,,,,,,,,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0224904,10.1371/journal.pone.0224904,28,PLOS ONE,Public Library of Science (PLoS),2019,Enhancement of antibiotics antimicrobial activity due to the silver nanoparticles impact on the cell membrane,True,True,gold,28_10.1371@journal.pone.0224904.pdf,1,data/pdfs/pdf_seltox/28_10.1371@journal.pone.0224904.pdf,True
46,Ag,0,Bacillus subtilis,0,,chemical_synthesis,MIC,11,,,20.0,50.0,35.0,spherical,24.0,-18.0,,,,,,,,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0224904,10.1371/journal.pone.0224904,28,PLOS ONE,Public Library of Science (PLoS),2019,Enhancement of antibiotics antimicrobial activity due to the silver nanoparticles impact on the cell membrane,True,True,gold,28_10.1371@journal.pone.0224904.pdf,1,data/pdfs/pdf_seltox/28_10.1371@journal.pone.0224904.pdf,True
47,Ag,0,Bacillus subtilis,0,,chemical_synthesis,MIC,11,,,20.0,50.0,35.0,spherical,24.0,-18.0,,,,,,,,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0224904,10.1371/journal.pone.0224904,28,PLOS ONE,Public Library of Science (PLoS),2019,Enhancement of antibiotics antimicrobial activity due to the silver nanoparticles impact on the cell membrane,True,True,gold,28_10.1371@journal.pone.0224904.pdf,1,data/pdfs/pdf_seltox/28_10.1371@journal.pone.0224904.pdf,True
48,Ag,0,Escherichia coli,0,,chemical_synthesis,MIC,10,,,20.0,50.0,35.0,spherical,24.0,-18.0,,,,,,,,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0224904,10.1371/journal.pone.0224904,28,PLOS ONE,Public Library of Science (PLoS),2019,Enhancement of antibiotics antimicrobial activity due to the silver nanoparticles impact on the cell membrane,True,True,gold,28_10.1371@journal.pone.0224904.pdf,1,data/pdfs/pdf_seltox/28_10.1371@journal.pone.0224904.pdf,True
49,Ag,0,Escherichia coli,0,,chemical_synthesis,MIC,10,,,20.0,50.0,35.0,spherical,24.0,-18.0,,,,,,,,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0224904,10.1371/journal.pone.0224904,28,PLOS ONE,Public Library of Science (PLoS),2019,Enhancement of antibiotics antimicrobial activity due to the silver nanoparticles impact on the cell membrane,True,True,gold,28_10.1371@journal.pone.0224904.pdf,1,data/pdfs/pdf_seltox/28_10.1371@journal.pone.0224904.pdf,True
50,Ag,0,Escherichia coli,0,,chemical_synthesis,MIC,10,,,20.0,50.0,35.0,spherical,24.0,-18.0,,,,,,,,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0224904,10.1371/journal.pone.0224904,28,PLOS ONE,Public Library of Science (PLoS),2019,Enhancement of antibiotics antimicrobial activity due to the silver nanoparticles impact on the cell membrane,True,True,gold,28_10.1371@journal.pone.0224904.pdf,1,data/pdfs/pdf_seltox/28_10.1371@journal.pone.0224904.pdf,True
51,Ag,0,Escherichia coli,0,,chemical_synthesis,MIC,10,,,20.0,50.0,35.0,spherical,24.0,-18.0,,,,,,,,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0224904,10.1371/journal.pone.0224904,28,PLOS ONE,Public Library of Science (PLoS),2019,Enhancement of antibiotics antimicrobial activity due to the silver nanoparticles impact on the cell membrane,True,True,gold,28_10.1371@journal.pone.0224904.pdf,1,data/pdfs/pdf_seltox/28_10.1371@journal.pone.0224904.pdf,True
52,Ag,0,Escherichia coli,0,,chemical_synthesis,MIC,10,,,20.0,50.0,35.0,spherical,24.0,-18.0,,,,,,,,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0224904,10.1371/journal.pone.0224904,28,PLOS ONE,Public Library of Science (PLoS),2019,Enhancement of antibiotics antimicrobial activity due to the silver nanoparticles impact on the cell membrane,True,True,gold,28_10.1371@journal.pone.0224904.pdf,1,data/pdfs/pdf_seltox/28_10.1371@journal.pone.0224904.pdf,True
53,Ag,0,Salmonella typhimurium,0,ATCC SC14028,chemical_synthesis,MIC,10,,,20.0,50.0,35.0,spherical,24.0,-18.0,,,,,,,,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0224904,10.1371/journal.pone.0224904,28,PLOS ONE,Public Library of Science (PLoS),2019,Enhancement of antibiotics antimicrobial activity due to the silver nanoparticles impact on the cell membrane,True,True,gold,28_10.1371@journal.pone.0224904.pdf,1,data/pdfs/pdf_seltox/28_10.1371@journal.pone.0224904.pdf,True
