domain,stem,pdf,doi,n_rows,pdf_path,csv_path
benzimidazole,d2ra06667j,d2ra06667j,10.1039/d2ra06667j,186,data/pairs/benzimidazole/d2ra06667j.pdf,data/pairs/benzimidazole/d2ra06667j.csv
benzimidazole,intechopen.108949,intechopen.108949,10.5772/intechopen.108949,8,data/pairs/benzimidazole/intechopen.108949.pdf,data/pairs/benzimidazole/intechopen.108949.csv
benzimidazole,s13065-018-0479-1,s13065-018-0479-1,10.1186/s13065-018-0479-1,24,data/pairs/benzimidazole/s13065-018-0479-1.pdf,data/pairs/benzimidazole/s13065-018-0479-1.csv
benzimidazole,s41598-022-21435-6,s41598-022-21435-6,10.1038/s41598-022-21435-6,8,data/pairs/benzimidazole/s41598-022-21435-6.pdf,data/pairs/benzimidazole/s41598-022-21435-6.csv
cocrystals,Eesam2020,Eesam2020,10.1186/s43094-020-00083-5,1,data/pairs/cocrystals/Eesam2020.pdf,data/pairs/cocrystals/Eesam2020.csv
cocrystals,Teraoka2019,Teraoka2019,10.1248/cpb.c18-00812,3,data/pairs/cocrystals/Teraoka2019.pdf,data/pairs/cocrystals/Teraoka2019.csv
complexes,abram2006,abram2006,10.1590/S0103-50532006000800004,22,data/pairs/complexes/abram2006.pdf,data/pairs/complexes/abram2006.csv
cytotox,106_jiang2013,106_jiang2013.pdf,10.1371/journal.pone.0065756,30,data/pairs/cytotox/106_jiang2013.pdf,data/pairs/cytotox/106_jiang2013.csv
cytotox,109_long2017,109_long2017.pdf,10.1186/s12951-017-0318-x,20,data/pairs/cytotox/109_long2017.pdf,data/pairs/cytotox/109_long2017.csv
cytotox,10_soenen2014,10_soenen2014.pdf,10.1002/ppsc.201300357,42,data/pairs/cytotox/10_soenen2014.pdf,data/pairs/cytotox/10_soenen2014.csv
cytotox,110_zakrzewska2015,110_zakrzewska2015.pdf,10.1371/journal.pone.0122579,24,data/pairs/cytotox/110_zakrzewska2015.pdf,data/pairs/cytotox/110_zakrzewska2015.csv
cytotox,128_sonkusre2014,128_sonkusre2014.pdf,10.4172/2157-7439.1000194,4,data/pairs/cytotox/128_sonkusre2014.pdf,data/pairs/cytotox/128_sonkusre2014.csv
cytotox,133_mccracken2013,133_mccracken2013.pdf,10.1021/tx400231u,18,data/pairs/cytotox/133_mccracken2013.pdf,data/pairs/cytotox/133_mccracken2013.csv
cytotox,136_hanley2009,136_hanley2009.pdf,10.1007/s11671-009-9413-8,34,data/pairs/cytotox/136_hanley2009.pdf,data/pairs/cytotox/136_hanley2009.csv
cytotox,139_landgraf2015,139_landgraf2015.pdf,10.3762/bjnano.6.28,30,data/pairs/cytotox/139_landgraf2015.pdf,data/pairs/cytotox/139_landgraf2015.csv
cytotox,146_10.1186@1743-8977-5-22,146_10.1186@1743-8977-5-22.pdf,10.1186/1743-8977-5-22,36,data/pairs/cytotox/146_10.1186@1743-8977-5-22.pdf,data/pairs/cytotox/146_10.1186@1743-8977-5-22.csv
cytotox,156_lanone2009,156_lanone2009.pdf,10.1186/1743-8977-6-14,80,data/pairs/cytotox/156_lanone2009.pdf,data/pairs/cytotox/156_lanone2009.csv
cytotox,161_uboldi2009,161_uboldi2009.pdf,10.1186/1743-8977-6-18,87,data/pairs/cytotox/161_uboldi2009.pdf,data/pairs/cytotox/161_uboldi2009.csv
cytotox,28_10.1186@s11671-019-2967-1,28_10.1186@s11671-019-2967-1.pdf,10.1186/s11671-019-2967-1,65,data/pairs/cytotox/28_10.1186@s11671-019-2967-1.pdf,data/pairs/cytotox/28_10.1186@s11671-019-2967-1.csv
cytotox,43_201915-pdf,43_201915-pdf.pdf,10.3762/bxiv.2019.15.v1,28,data/pairs/cytotox/43_201915-pdf.pdf,data/pairs/cytotox/43_201915-pdf.csv
cytotox,44_10.1007@s10856-019-6221-2,44_10.1007@s10856-019-6221-2.pdf,10.1007/s10856-019-6221-2,90,data/pairs/cytotox/44_10.1007@s10856-019-6221-2.pdf,data/pairs/cytotox/44_10.1007@s10856-019-6221-2.csv
cytotox,46_boyles2015,46_boyles2015.pdf,10.1186/s12989-016-0160-6,12,data/pairs/cytotox/46_boyles2015.pdf,data/pairs/cytotox/46_boyles2015.csv
cytotox,72_10.1007@s11051-018-4406-0,72_10.1007@s11051-018-4406-0.pdf,10.1007/s11051-018-4406-0,16,data/pairs/cytotox/72_10.1007@s11051-018-4406-0.pdf,data/pairs/cytotox/72_10.1007@s11051-018-4406-0.csv
cytotox,74_liu2014,74_liu2014.pdf,10.1371/journal.pone.0099175,24,data/pairs/cytotox/74_liu2014.pdf,data/pairs/cytotox/74_liu2014.csv
cytotox,81_feng2018,81_feng2018.pdf,10.1038/s41598-018-19628-z,36,data/pairs/cytotox/81_feng2018.pdf,data/pairs/cytotox/81_feng2018.csv
cytotox,98_siddiqui2013,98_siddiqui2013.pdf,10.1371/journal.pone.0069534,10,data/pairs/cytotox/98_siddiqui2013.pdf,data/pairs/cytotox/98_siddiqui2013.csv
nanomag,1.2739217,1.2739217.pdf,10.1063/1.2739217,5,data/pairs/nanomag/1.2739217.pdf,data/pairs/nanomag/1.2739217.csv
nanomag,5.0015339,5.0015339.pdf,10.1063/5.0015339,3,data/pairs/nanomag/5.0015339.pdf,data/pairs/nanomag/5.0015339.csv
nanomag,D1RA01902C,D1RA01902C.pdf,10.1039/D1RA01902C,6,data/pairs/nanomag/D1RA01902C.pdf,data/pairs/nanomag/D1RA01902C.csv
