smiles,doi,title,publisher,year,access,compound_id,target_type,target_relation,target_value,target_units,bacteria,bacteria_unified,page_bacteria,origin_bacteria,section_bacteria,subsection_bacteria,page_target,origin_target,section_target,subsection_target,page_scaffold,origin_scaffold,page_residue,origin_residue,pdf
Clc1ccc(-c2nc3ccccc3[nH]2)c(Cl)c1,10.1039/d2ra06667j,"N,2,6-Trisubstituted 1H-benzimidazole derivatives as a new scaffold of antimicrobial and anticancer agents: design, synthesis, in vitro evaluation, and in silico studies",Royal Society of Chemistry (RSC),2022,1,1c,MIC,'=',128,µg mL-1,Escherichia coli ATCC 25922,Escherichia coli,7,table 3 (caption),,,6,table 3,,,3,scheme 1,4.0,table 1,d2ra06667j
Clc1ccc(-c2nc3ccccc3[nH]2)cc1Cl,10.1039/d2ra06667j,"N,2,6-Trisubstituted 1H-benzimidazole derivatives as a new scaffold of antimicrobial and anticancer agents: design, synthesis, in vitro evaluation, and in silico studies",Royal Society of Chemistry (RSC),2022,1,1d,MIC,'=',32,µg mL-1,Escherichia coli ATCC 25922,Escherichia coli,7,table 3 (caption),,,6,table 3,,,3,scheme 1,4.0,table 1,d2ra06667j
Fc1cccc(Cl)c1-c1nc2ccccc2[nH]1,10.1039/d2ra06667j,"N,2,6-Trisubstituted 1H-benzimidazole derivatives as a new scaffold of antimicrobial and anticancer agents: design, synthesis, in vitro evaluation, and in silico studies",Royal Society of Chemistry (RSC),2022,1,1e,MIC,'=',64,µg mL-1,Escherichia coli ATCC 25922,Escherichia coli,7,table 3 (caption),,,6,table 3,,,3,scheme 1,4.0,table 1,d2ra06667j
Fc1ccc(-c2nc3ccccc3[nH]2)cc1,10.1039/d2ra06667j,"N,2,6-Trisubstituted 1H-benzimidazole derivatives as a new scaffold of antimicrobial and anticancer agents: design, synthesis, in vitro evaluation, and in silico studies",Royal Society of Chemistry (RSC),2022,1,1i,MIC,'=',256,µg mL-1,Escherichia coli ATCC 25922,Escherichia coli,7,table 3 (caption),,,6,table 3,,,3,scheme 1,4.0,table 1,d2ra06667j
Oc1ccc(Br)cc1-c1nc2ccccc2[nH]1,10.1039/d2ra06667j,"N,2,6-Trisubstituted 1H-benzimidazole derivatives as a new scaffold of antimicrobial and anticancer agents: design, synthesis, in vitro evaluation, and in silico studies",Royal Society of Chemistry (RSC),2022,1,1k,MIC,'=',64,µg mL-1,Escherichia coli ATCC 25922,Escherichia coli,7,table 3 (caption),,,6,table 3,,,3,scheme 1,4.0,table 1,d2ra06667j
Oc1cccc(-c2nc3ccccc3[nH]2)c1,10.1039/d2ra06667j,"N,2,6-Trisubstituted 1H-benzimidazole derivatives as a new scaffold of antimicrobial and anticancer agents: design, synthesis, in vitro evaluation, and in silico studies",Royal Society of Chemistry (RSC),2022,1,1l,MIC,'=',64,µg mL-1,Escherichia coli ATCC 25922,Escherichia coli,7,table 3 (caption),,,6,table 3,,,3,scheme 1,4.0,table 1,d2ra06667j
COc1ccc(-c2nc3ccccc3[nH]2)cc1O,10.1039/d2ra06667j,"N,2,6-Trisubstituted 1H-benzimidazole derivatives as a new scaffold of antimicrobial and anticancer agents: design, synthesis, in vitro evaluation, and in silico studies",Royal Society of Chemistry (RSC),2022,1,1m,MIC,'=',256,µg mL-1,Escherichia coli ATCC 25922,Escherichia coli,7,table 3 (caption),,,6,table 3,,,3,scheme 1,4.0,table 1,d2ra06667j
COc1cccc(-c2nc3ccccc3[nH]2)c1,10.1039/d2ra06667j,"N,2,6-Trisubstituted 1H-benzimidazole derivatives as a new scaffold of antimicrobial and anticancer agents: design, synthesis, in vitro evaluation, and in silico studies",Royal Society of Chemistry (RSC),2022,1,1n,MIC,'=',256,µg mL-1,Escherichia coli ATCC 25922,Escherichia coli,7,table 3 (caption),,,6,table 3,,,3,scheme 1,4.0,table 1,d2ra06667j
CSc1ccc(-c2nc3ccccc3[nH]2)cc1,10.1039/d2ra06667j,"N,2,6-Trisubstituted 1H-benzimidazole derivatives as a new scaffold of antimicrobial and anticancer agents: design, synthesis, in vitro evaluation, and in silico studies",Royal Society of Chemistry (RSC),2022,1,1o,MIC,'=',64,µg mL-1,Escherichia coli ATCC 25922,Escherichia coli,7,table 3 (caption),,,6,table 3,,,3,scheme 1,4.0,table 1,d2ra06667j
O=[N+]([O-])c1ccc(-c2nc3ccccc3[nH]2)cc1,10.1039/d2ra06667j,"N,2,6-Trisubstituted 1H-benzimidazole derivatives as a new scaffold of antimicrobial and anticancer agents: design, synthesis, in vitro evaluation, and in silico studies",Royal Society of Chemistry (RSC),2022,1,1q,MIC,'=',128,µg mL-1,Escherichia coli ATCC 25922,Escherichia coli,7,table 3 (caption),,,6,table 3,,,3,scheme 1,4.0,table 1,d2ra06667j
