sn,material,shape,coat_functional_group,synthesis_method,surface_charge,size_in_medium_nm,zeta_in_medium_mv,no_of_cells_cells_well,human_animal,cell_source,cell_tissue,cell_morphology,cell_age,time_hr,concentration,test,test_indicator,viability_%,doi,article_list,core_nm,hydrodynamic_nm,potential_mv,cell_type,journal_name,publisher,year,title,journal_is_oa,is_oa,oa_status,pdf,access
3337,C,Sphere,,Commercial,,,,100000.0,A,Mouse,Ascites,Monocyte/Macrophage,Adult,24,5.0,WST-1,,98.923,10.1371/journal.pone.0065756,106,,21.0,,RAW264.7,PLoS ONE,Public Library of Science (PLoS),2013,Modulation of Apoptotic Pathways of Macrophages by Surface-Functionalized Multi-Walled Carbon Nanotubes,True,True,gold,106_jiang2013.pdf,1
3338,C,Sphere,,Commercial,,,,100000.0,A,Mouse,Ascites,Monocyte/Macrophage,Adult,24,25.0,WST-1,,97.981,10.1371/journal.pone.0065756,106,,21.0,,RAW264.7,PLoS ONE,Public Library of Science (PLoS),2013,Modulation of Apoptotic Pathways of Macrophages by Surface-Functionalized Multi-Walled Carbon Nanotubes,True,True,gold,106_jiang2013.pdf,1
3339,C,Sphere,,Commercial,,,,100000.0,A,Mouse,Ascites,Monocyte/Macrophage,Adult,24,50.0,WST-1,,95.155,10.1371/journal.pone.0065756,106,,21.0,,RAW264.7,PLoS ONE,Public Library of Science (PLoS),2013,Modulation of Apoptotic Pathways of Macrophages by Surface-Functionalized Multi-Walled Carbon Nanotubes,True,True,gold,106_jiang2013.pdf,1
3340,C,Sphere,,Commercial,,,,100000.0,A,Mouse,Ascites,Monocyte/Macrophage,Adult,24,75.0,WST-1,,94.886,10.1371/journal.pone.0065756,106,,21.0,,RAW264.7,PLoS ONE,Public Library of Science (PLoS),2013,Modulation of Apoptotic Pathways of Macrophages by Surface-Functionalized Multi-Walled Carbon Nanotubes,True,True,gold,106_jiang2013.pdf,1
3341,C,Sphere,,Commercial,,,,100000.0,A,Mouse,Ascites,Monocyte/Macrophage,Adult,24,100.0,WST-1,,93.809,10.1371/journal.pone.0065756,106,,21.0,,RAW264.7,PLoS ONE,Public Library of Science (PLoS),2013,Modulation of Apoptotic Pathways of Macrophages by Surface-Functionalized Multi-Walled Carbon Nanotubes,True,True,gold,106_jiang2013.pdf,1
3342,C,Nanotube,COOH,Chemical Vapor Deposition,Negative,,-20.2,100000.0,A,Mouse,Ascites,Monocyte/Macrophage,Adult,24,5.0,WST-1,,97.981,10.1371/journal.pone.0065756,106,,24.6,,RAW264.7,PLoS ONE,Public Library of Science (PLoS),2013,Modulation of Apoptotic Pathways of Macrophages by Surface-Functionalized Multi-Walled Carbon Nanotubes,True,True,gold,106_jiang2013.pdf,1
3343,C,Nanotube,COOH,Chemical Vapor Deposition,Negative,,-20.2,100000.0,A,Mouse,Ascites,Monocyte/Macrophage,Adult,24,25.0,WST-1,,91.117,10.1371/journal.pone.0065756,106,,24.6,,RAW264.7,PLoS ONE,Public Library of Science (PLoS),2013,Modulation of Apoptotic Pathways of Macrophages by Surface-Functionalized Multi-Walled Carbon Nanotubes,True,True,gold,106_jiang2013.pdf,1
3344,C,Nanotube,COOH,Chemical Vapor Deposition,Negative,,-20.2,100000.0,A,Mouse,Ascites,Monocyte/Macrophage,Adult,24,50.0,WST-1,,76.312,10.1371/journal.pone.0065756,106,,24.6,,RAW264.7,PLoS ONE,Public Library of Science (PLoS),2013,Modulation of Apoptotic Pathways of Macrophages by Surface-Functionalized Multi-Walled Carbon Nanotubes,True,True,gold,106_jiang2013.pdf,1
3345,C,Nanotube,COOH,Chemical Vapor Deposition,Negative,,-20.2,100000.0,A,Mouse,Ascites,Monocyte/Macrophage,Adult,24,75.0,WST-1,,59.758,10.1371/journal.pone.0065756,106,,24.6,,RAW264.7,PLoS ONE,Public Library of Science (PLoS),2013,Modulation of Apoptotic Pathways of Macrophages by Surface-Functionalized Multi-Walled Carbon Nanotubes,True,True,gold,106_jiang2013.pdf,1
3346,C,Nanotube,COOH,Chemical Vapor Deposition,Negative,,-20.2,100000.0,A,Mouse,Ascites,Monocyte/Macrophage,Adult,24,100.0,WST-1,,44.684,10.1371/journal.pone.0065756,106,,24.6,,RAW264.7,PLoS ONE,Public Library of Science (PLoS),2013,Modulation of Apoptotic Pathways of Macrophages by Surface-Functionalized Multi-Walled Carbon Nanotubes,True,True,gold,106_jiang2013.pdf,1
3347,C,Nanotube,PEG,Chemical Vapor Deposition,Negative,,-35.6,100000.0,A,Mouse,Ascites,Monocyte/Macrophage,Adult,24,5.0,WST-1,,98.654,10.1371/journal.pone.0065756,106,,27.3,,RAW264.7,PLoS ONE,Public Library of Science (PLoS),2013,Modulation of Apoptotic Pathways of Macrophages by Surface-Functionalized Multi-Walled Carbon Nanotubes,True,True,gold,106_jiang2013.pdf,1
3348,C,Nanotube,PEG,Chemical Vapor Deposition,Negative,,-35.6,100000.0,A,Mouse,Ascites,Monocyte/Macrophage,Adult,24,25.0,WST-1,,96.904,10.1371/journal.pone.0065756,106,,27.3,,RAW264.7,PLoS ONE,Public Library of Science (PLoS),2013,Modulation of Apoptotic Pathways of Macrophages by Surface-Functionalized Multi-Walled Carbon Nanotubes,True,True,gold,106_jiang2013.pdf,1
3349,C,Nanotube,PEG,Chemical Vapor Deposition,Negative,,-35.6,100000.0,A,Mouse,Ascites,Monocyte/Macrophage,Adult,24,50.0,WST-1,,84.253,10.1371/journal.pone.0065756,106,,27.3,,RAW264.7,PLoS ONE,Public Library of Science (PLoS),2013,Modulation of Apoptotic Pathways of Macrophages by Surface-Functionalized Multi-Walled Carbon Nanotubes,True,True,gold,106_jiang2013.pdf,1
