sn,material,shape,coat_functional_group,synthesis_method,surface_charge,size_in_medium_nm,zeta_in_medium_mv,no_of_cells_cells_well,human_animal,cell_source,cell_tissue,cell_morphology,cell_age,time_hr,concentration,test,test_indicator,viability_%,doi,article_list,core_nm,hydrodynamic_nm,potential_mv,cell_type,journal_name,publisher,year,title,journal_is_oa,is_oa,oa_status,pdf,access
3430,C,Nanotube,,Commercial,Neutral,,,40000.0,H,Human,Umbilical Vein,Endothelial,Embryonic,24,2.0,CCK-8,TetrazoliumSalt,97.09,10.1186/s12951-017-0318-x,109,,17.6,0.9,HUVEC,Journal of Nanobiotechnology,Springer Science and Business Media LLC,2017,The adverse vascular effects of multi-walled carbon nanotubes (MWCNTs) to human vein endothelial cells (HUVECs) in vitro: role of length of MWCNTs,True,True,gold,109_long2017.pdf,1
3431,C,Nanotube,,Commercial,Neutral,,,40000.0,H,Human,Umbilical Vein,Endothelial,Embryonic,24,4.0,CCK-8,TetrazoliumSalt,95.865,10.1186/s12951-017-0318-x,109,,17.6,0.9,HUVEC,Journal of Nanobiotechnology,Springer Science and Business Media LLC,2017,The adverse vascular effects of multi-walled carbon nanotubes (MWCNTs) to human vein endothelial cells (HUVECs) in vitro: role of length of MWCNTs,True,True,gold,109_long2017.pdf,1
3432,C,Nanotube,,Commercial,Neutral,,,40000.0,H,Human,Umbilical Vein,Endothelial,Embryonic,24,8.0,CCK-8,TetrazoliumSalt,92.496,10.1186/s12951-017-0318-x,109,,17.6,0.9,HUVEC,Journal of Nanobiotechnology,Springer Science and Business Media LLC,2017,The adverse vascular effects of multi-walled carbon nanotubes (MWCNTs) to human vein endothelial cells (HUVECs) in vitro: role of length of MWCNTs,True,True,gold,109_long2017.pdf,1
3433,C,Nanotube,,Commercial,Neutral,,,40000.0,H,Human,Umbilical Vein,Endothelial,Embryonic,24,16.0,CCK-8,TetrazoliumSalt,90.812,10.1186/s12951-017-0318-x,109,,17.6,0.9,HUVEC,Journal of Nanobiotechnology,Springer Science and Business Media LLC,2017,The adverse vascular effects of multi-walled carbon nanotubes (MWCNTs) to human vein endothelial cells (HUVECs) in vitro: role of length of MWCNTs,True,True,gold,109_long2017.pdf,1
3434,C,Nanotube,,Commercial,Neutral,,,40000.0,H,Human,Umbilical Vein,Endothelial,Embryonic,24,32.0,CCK-8,TetrazoliumSalt,85.452,10.1186/s12951-017-0318-x,109,,17.6,0.9,HUVEC,Journal of Nanobiotechnology,Springer Science and Business Media LLC,2017,The adverse vascular effects of multi-walled carbon nanotubes (MWCNTs) to human vein endothelial cells (HUVECs) in vitro: role of length of MWCNTs,True,True,gold,109_long2017.pdf,1
3435,C,Nanotube,,Commercial,Negative,,,40000.0,H,Human,Umbilical Vein,Endothelial,Embryonic,24,2.0,CCK-8,TetrazoliumSalt,92.496,10.1186/s12951-017-0318-x,109,,17.4,-18.9,HUVEC,Journal of Nanobiotechnology,Springer Science and Business Media LLC,2017,The adverse vascular effects of multi-walled carbon nanotubes (MWCNTs) to human vein endothelial cells (HUVECs) in vitro: role of length of MWCNTs,True,True,gold,109_long2017.pdf,1
3436,C,Nanotube,,Commercial,Negative,,,40000.0,H,Human,Umbilical Vein,Endothelial,Embryonic,24,4.0,CCK-8,TetrazoliumSalt,93.262,10.1186/s12951-017-0318-x,109,,17.4,-18.9,HUVEC,Journal of Nanobiotechnology,Springer Science and Business Media LLC,2017,The adverse vascular effects of multi-walled carbon nanotubes (MWCNTs) to human vein endothelial cells (HUVECs) in vitro: role of length of MWCNTs,True,True,gold,109_long2017.pdf,1
3437,C,Nanotube,,Commercial,Negative,,,40000.0,H,Human,Umbilical Vein,Endothelial,Embryonic,24,8.0,CCK-8,TetrazoliumSalt,89.587,10.1186/s12951-017-0318-x,109,,17.4,-18.9,HUVEC,Journal of Nanobiotechnology,Springer Science and Business Media LLC,2017,The adverse vascular effects of multi-walled carbon nanotubes (MWCNTs) to human vein endothelial cells (HUVECs) in vitro: role of length of MWCNTs,True,True,gold,109_long2017.pdf,1
3438,C,Nanotube,,Commercial,Negative,,,40000.0,H,Human,Umbilical Vein,Endothelial,Embryonic,24,16.0,CCK-8,TetrazoliumSalt,85.911,10.1186/s12951-017-0318-x,109,,17.4,-18.9,HUVEC,Journal of Nanobiotechnology,Springer Science and Business Media LLC,2017,The adverse vascular effects of multi-walled carbon nanotubes (MWCNTs) to human vein endothelial cells (HUVECs) in vitro: role of length of MWCNTs,True,True,gold,109_long2017.pdf,1
3439,C,Nanotube,,Commercial,Negative,,,40000.0,H,Human,Umbilical Vein,Endothelial,Embryonic,24,32.0,CCK-8,TetrazoliumSalt,81.317,10.1186/s12951-017-0318-x,109,,17.4,-18.9,HUVEC,Journal of Nanobiotechnology,Springer Science and Business Media LLC,2017,The adverse vascular effects of multi-walled carbon nanotubes (MWCNTs) to human vein endothelial cells (HUVECs) in vitro: role of length of MWCNTs,True,True,gold,109_long2017.pdf,1
