sn,material,shape,coat_functional_group,synthesis_method,surface_charge,size_in_medium_nm,zeta_in_medium_mv,no_of_cells_cells_well,human_animal,cell_source,cell_tissue,cell_morphology,cell_age,time_hr,concentration,test,test_indicator,viability_%,doi,article_list,core_nm,hydrodynamic_nm,potential_mv,cell_type,journal_name,publisher,year,title,journal_is_oa,is_oa,oa_status,pdf,access
3450,C,Sphere,,Explosion,Negative,,,10000.0,H,Human,Brain,,,2,20.0,MTT,TetrazoliumSalt,98.956,10.1371/journal.pone.0122579,110,,4.0,-35.6,U87,PLOS ONE,Public Library of Science (PLoS),2015,"Analysis of the Cytotoxicity of Carbon-Based Nanoparticles, Diamond and Graphite, in Human Glioblastoma and Hepatoma Cell Lines",True,True,gold,110_zakrzewska2015.pdf,1
3451,C,Sphere,,Explosion,Negative,,,10000.0,H,Human,Brain,,,2,50.0,MTT,TetrazoliumSalt,100.42,10.1371/journal.pone.0122579,110,,4.0,-35.6,U87,PLOS ONE,Public Library of Science (PLoS),2015,"Analysis of the Cytotoxicity of Carbon-Based Nanoparticles, Diamond and Graphite, in Human Glioblastoma and Hepatoma Cell Lines",True,True,gold,110_zakrzewska2015.pdf,1
3452,C,Sphere,,Explosion,Negative,,,10000.0,H,Human,Brain,,,2,100.0,MTT,TetrazoliumSalt,102.92,10.1371/journal.pone.0122579,110,,4.0,-35.6,U87,PLOS ONE,Public Library of Science (PLoS),2015,"Analysis of the Cytotoxicity of Carbon-Based Nanoparticles, Diamond and Graphite, in Human Glioblastoma and Hepatoma Cell Lines",True,True,gold,110_zakrzewska2015.pdf,1
3453,C,Sphere,,Explosion,Positive,,,10000.0,H,Human,Brain,,,2,20.0,MTT,TetrazoliumSalt,70.146,10.1371/journal.pone.0122579,110,,4.0,31.4,U87,PLOS ONE,Public Library of Science (PLoS),2015,"Analysis of the Cytotoxicity of Carbon-Based Nanoparticles, Diamond and Graphite, in Human Glioblastoma and Hepatoma Cell Lines",True,True,gold,110_zakrzewska2015.pdf,1
3454,C,Sphere,,Explosion,Positive,,,10000.0,H,Human,Brain,,,2,50.0,MTT,TetrazoliumSalt,78.288,10.1371/journal.pone.0122579,110,,4.0,31.4,U87,PLOS ONE,Public Library of Science (PLoS),2015,"Analysis of the Cytotoxicity of Carbon-Based Nanoparticles, Diamond and Graphite, in Human Glioblastoma and Hepatoma Cell Lines",True,True,gold,110_zakrzewska2015.pdf,1
3455,C,Sphere,,Explosion,Positive,,,10000.0,H,Human,Brain,,,2,100.0,MTT,TetrazoliumSalt,66.806,10.1371/journal.pone.0122579,110,,4.0,31.4,U87,PLOS ONE,Public Library of Science (PLoS),2015,"Analysis of the Cytotoxicity of Carbon-Based Nanoparticles, Diamond and Graphite, in Human Glioblastoma and Hepatoma Cell Lines",True,True,gold,110_zakrzewska2015.pdf,1
3456,C,Sphere,,Explosion,Negative,,,30000.0,H,Human,Liver,,,2,20.0,MTT,TetrazoliumSalt,113.14,10.1371/journal.pone.0122579,110,,4.0,-35.6,C3A,PLOS ONE,Public Library of Science (PLoS),2015,"Analysis of the Cytotoxicity of Carbon-Based Nanoparticles, Diamond and Graphite, in Human Glioblastoma and Hepatoma Cell Lines",True,True,gold,110_zakrzewska2015.pdf,1
3457,C,Sphere,,Explosion,Negative,,,30000.0,H,Human,Liver,,,2,50.0,MTT,TetrazoliumSalt,118.48,10.1371/journal.pone.0122579,110,,4.0,-35.6,C3A,PLOS ONE,Public Library of Science (PLoS),2015,"Analysis of the Cytotoxicity of Carbon-Based Nanoparticles, Diamond and Graphite, in Human Glioblastoma and Hepatoma Cell Lines",True,True,gold,110_zakrzewska2015.pdf,1
3458,C,Sphere,,Explosion,Negative,,,30000.0,H,Human,Liver,,,2,100.0,MTT,TetrazoliumSalt,113.14,10.1371/journal.pone.0122579,110,,4.0,-35.6,C3A,PLOS ONE,Public Library of Science (PLoS),2015,"Analysis of the Cytotoxicity of Carbon-Based Nanoparticles, Diamond and Graphite, in Human Glioblastoma and Hepatoma Cell Lines",True,True,gold,110_zakrzewska2015.pdf,1
3459,C,Sphere,,Explosion,Positive,,,30000.0,H,Human,Liver,,,2,20.0,MTT,TetrazoliumSalt,89.528,10.1371/journal.pone.0122579,110,,4.0,31.4,C3A,PLOS ONE,Public Library of Science (PLoS),2015,"Analysis of the Cytotoxicity of Carbon-Based Nanoparticles, Diamond and Graphite, in Human Glioblastoma and Hepatoma Cell Lines",True,True,gold,110_zakrzewska2015.pdf,1
3460,C,Sphere,,Explosion,Positive,,,30000.0,H,Human,Liver,,,2,50.0,MTT,TetrazoliumSalt,110.06,10.1371/journal.pone.0122579,110,,4.0,31.4,C3A,PLOS ONE,Public Library of Science (PLoS),2015,"Analysis of the Cytotoxicity of Carbon-Based Nanoparticles, Diamond and Graphite, in Human Glioblastoma and Hepatoma Cell Lines",True,True,gold,110_zakrzewska2015.pdf,1
3461,C,Sphere,,Explosion,Positive,,,30000.0,H,Human,Liver,,,2,100.0,MTT,TetrazoliumSalt,99.179,10.1371/journal.pone.0122579,110,,4.0,31.4,C3A,PLOS ONE,Public Library of Science (PLoS),2015,"Analysis of the Cytotoxicity of Carbon-Based Nanoparticles, Diamond and Graphite, in Human Glioblastoma and Hepatoma Cell Lines",True,True,gold,110_zakrzewska2015.pdf,1
3462,C,Sphere,,Explosion,Negative,,,10000.0,H,Human,Brain,,,24,20.0,MTT,TetrazoliumSalt,90.947,10.1371/journal.pone.0122579,110,,4.0,-35.6,U87,PLOS ONE,Public Library of Science (PLoS),2015,"Analysis of the Cytotoxicity of Carbon-Based Nanoparticles, Diamond and Graphite, in Human Glioblastoma and Hepatoma Cell Lines",True,True,gold,110_zakrzewska2015.pdf,1
3463,C,Sphere,,Explosion,Negative,,,10000.0,H,Human,Brain,,,24,50.0,MTT,TetrazoliumSalt,96.091,10.1371/journal.pone.0122579,110,,4.0,-35.6,U87,PLOS ONE,Public Library of Science (PLoS),2015,"Analysis of the Cytotoxicity of Carbon-Based Nanoparticles, Diamond and Graphite, in Human Glioblastoma and Hepatoma Cell Lines",True,True,gold,110_zakrzewska2015.pdf,1
3464,C,Sphere,,Explosion,Negative,,,10000.0,H,Human,Brain,,,24,100.0,MTT,TetrazoliumSalt,103.09,10.1371/journal.pone.0122579,110,,4.0,-35.6,U87,PLOS ONE,Public Library of Science (PLoS),2015,"Analysis of the Cytotoxicity of Carbon-Based Nanoparticles, Diamond and Graphite, in Human Glioblastoma and Hepatoma Cell Lines",True,True,gold,110_zakrzewska2015.pdf,1
3465,C,Sphere,,Explosion,Positive,,,10000.0,H,Human,Brain,,,24,20.0,MTT,TetrazoliumSalt,75.309,10.1371/journal.pone.0122579,110,,4.0,31.4,U87,PLOS ONE,Public Library of Science (PLoS),2015,"Analysis of the Cytotoxicity of Carbon-Based Nanoparticles, Diamond and Graphite, in Human Glioblastoma and Hepatoma Cell Lines",True,True,gold,110_zakrzewska2015.pdf,1
3466,C,Sphere,,Explosion,Positive,,,10000.0,H,Human,Brain,,,24,50.0,MTT,TetrazoliumSalt,68.724,10.1371/journal.pone.0122579,110,,4.0,31.4,U87,PLOS ONE,Public Library of Science (PLoS),2015,"Analysis of the Cytotoxicity of Carbon-Based Nanoparticles, Diamond and Graphite, in Human Glioblastoma and Hepatoma Cell Lines",True,True,gold,110_zakrzewska2015.pdf,1
3467,C,Sphere,,Explosion,Positive,,,10000.0,H,Human,Brain,,,24,100.0,MTT,TetrazoliumSalt,57.613,10.1371/journal.pone.0122579,110,,4.0,31.4,U87,PLOS ONE,Public Library of Science (PLoS),2015,"Analysis of the Cytotoxicity of Carbon-Based Nanoparticles, Diamond and Graphite, in Human Glioblastoma and Hepatoma Cell Lines",True,True,gold,110_zakrzewska2015.pdf,1
3468,C,Sphere,,Explosion,Negative,,,30000.0,H,Human,Liver,,,24,20.0,MTT,TetrazoliumSalt,100.85,10.1371/journal.pone.0122579,110,,4.0,-35.6,C3A,PLOS ONE,Public Library of Science (PLoS),2015,"Analysis of the Cytotoxicity of Carbon-Based Nanoparticles, Diamond and Graphite, in Human Glioblastoma and Hepatoma Cell Lines",True,True,gold,110_zakrzewska2015.pdf,1
3469,C,Sphere,,Explosion,Negative,,,30000.0,H,Human,Liver,,,24,50.0,MTT,TetrazoliumSalt,106.13,10.1371/journal.pone.0122579,110,,4.0,-35.6,C3A,PLOS ONE,Public Library of Science (PLoS),2015,"Analysis of the Cytotoxicity of Carbon-Based Nanoparticles, Diamond and Graphite, in Human Glioblastoma and Hepatoma Cell Lines",True,True,gold,110_zakrzewska2015.pdf,1
3470,C,Sphere,,Explosion,Negative,,,30000.0,H,Human,Liver,,,24,100.0,MTT,TetrazoliumSalt,110.36,10.1371/journal.pone.0122579,110,,4.0,-35.6,C3A,PLOS ONE,Public Library of Science (PLoS),2015,"Analysis of the Cytotoxicity of Carbon-Based Nanoparticles, Diamond and Graphite, in Human Glioblastoma and Hepatoma Cell Lines",True,True,gold,110_zakrzewska2015.pdf,1
3471,C,Sphere,,Explosion,Positive,,,30000.0,H,Human,Liver,,,24,20.0,MTT,TetrazoliumSalt,103.81,10.1371/journal.pone.0122579,110,,4.0,31.4,C3A,PLOS ONE,Public Library of Science (PLoS),2015,"Analysis of the Cytotoxicity of Carbon-Based Nanoparticles, Diamond and Graphite, in Human Glioblastoma and Hepatoma Cell Lines",True,True,gold,110_zakrzewska2015.pdf,1
3472,C,Sphere,,Explosion,Positive,,,30000.0,H,Human,Liver,,,24,50.0,MTT,TetrazoliumSalt,101.27,10.1371/journal.pone.0122579,110,,4.0,31.4,C3A,PLOS ONE,Public Library of Science (PLoS),2015,"Analysis of the Cytotoxicity of Carbon-Based Nanoparticles, Diamond and Graphite, in Human Glioblastoma and Hepatoma Cell Lines",True,True,gold,110_zakrzewska2015.pdf,1
3473,C,Sphere,,Explosion,Positive,,,30000.0,H,Human,Liver,,,24,100.0,MTT,TetrazoliumSalt,96.617,10.1371/journal.pone.0122579,110,,4.0,31.4,C3A,PLOS ONE,Public Library of Science (PLoS),2015,"Analysis of the Cytotoxicity of Carbon-Based Nanoparticles, Diamond and Graphite, in Human Glioblastoma and Hepatoma Cell Lines",True,True,gold,110_zakrzewska2015.pdf,1
