sn,material,shape,coat_functional_group,synthesis_method,surface_charge,size_in_medium_nm,zeta_in_medium_mv,no_of_cells_cells_well,human_animal,cell_source,cell_tissue,cell_morphology,cell_age,time_hr,concentration,test,test_indicator,viability_%,doi,article_list,core_nm,hydrodynamic_nm,potential_mv,cell_type,journal_name,publisher,year,title,journal_is_oa,is_oa,oa_status,pdf,access
4250,ZnO,,,,,,,,H,Human,Colon,Epithelial,A,24,,,Sytox Red,98.0,10.1021/tx400231u,133,,112.0,,Caco-2,Chemical Research in Toxicology,American Chemical Society (ACS),2013,Minimal Intestinal Epithelial Cell Toxicity in Response to Short- and Long-Term Food-Relevant Inorganic Nanoparticle Exposure,False,True,green,133_mccracken2013.pdf,1
4251,ZnO,,,,,,,,H,Human,Colon,Epithelial,A,24,,,Annexin V,100.0,10.1021/tx400231u,133,,112.0,,Caco-2,Chemical Research in Toxicology,American Chemical Society (ACS),2013,Minimal Intestinal Epithelial Cell Toxicity in Response to Short- and Long-Term Food-Relevant Inorganic Nanoparticle Exposure,False,True,green,133_mccracken2013.pdf,1
4252,ZnO,,,,,,,,H,Human,Colon,Epithelial,A,24,,LDH,LDH activity assay kit,81.05264,10.1021/tx400231u,133,,112.0,,Caco-2,Chemical Research in Toxicology,American Chemical Society (ACS),2013,Minimal Intestinal Epithelial Cell Toxicity in Response to Short- and Long-Term Food-Relevant Inorganic Nanoparticle Exposure,False,True,green,133_mccracken2013.pdf,1
4253,ZnO,,,,,,,,H,Human,Colon,Epithelial,A,24,,MTT,tetrazolium salt,69.63232,10.1021/tx400231u,133,,112.0,,Caco-2,Chemical Research in Toxicology,American Chemical Society (ACS),2013,Minimal Intestinal Epithelial Cell Toxicity in Response to Short- and Long-Term Food-Relevant Inorganic Nanoparticle Exposure,False,True,green,133_mccracken2013.pdf,1
4979,TiO2,,,,,,,,H,Human,Colon,Epithelial,A,24,,Live/Dead,Sytox Red,100.0,10.1021/tx400231u,133,,115.0,,Caco-2,Chemical Research in Toxicology,American Chemical Society (ACS),2013,Minimal Intestinal Epithelial Cell Toxicity in Response to Short- and Long-Term Food-Relevant Inorganic Nanoparticle Exposure,False,True,green,133_mccracken2013.pdf,1
4980,TiO2,,,,,,,,H,Human,Colon,Epithelial,A,24,,Live/Dead,Annexin V,100.0,10.1021/tx400231u,133,,115.0,,Caco-2,Chemical Research in Toxicology,American Chemical Society (ACS),2013,Minimal Intestinal Epithelial Cell Toxicity in Response to Short- and Long-Term Food-Relevant Inorganic Nanoparticle Exposure,False,True,green,133_mccracken2013.pdf,1
4981,TiO2,,,,,,,,H,Human,Colon,Epithelial,A,24,,LDH,LDH activity assay kit,100.2105,10.1021/tx400231u,133,,115.0,,Caco-2,Chemical Research in Toxicology,American Chemical Society (ACS),2013,Minimal Intestinal Epithelial Cell Toxicity in Response to Short- and Long-Term Food-Relevant Inorganic Nanoparticle Exposure,False,True,green,133_mccracken2013.pdf,1
4982,TiO2,,,,,,,,H,Human,Colon,Epithelial,A,24,,MTT,tetrazolium salt,99.42357,10.1021/tx400231u,133,,115.0,,Caco-2,Chemical Research in Toxicology,American Chemical Society (ACS),2013,Minimal Intestinal Epithelial Cell Toxicity in Response to Short- and Long-Term Food-Relevant Inorganic Nanoparticle Exposure,False,True,green,133_mccracken2013.pdf,1
4983,TiO2,,Digestive enzymes,,,,,,H,Human,Colon,Epithelial,A,24,,Live/Dead,Sytox Red,100.6091,10.1021/tx400231u,133,,115.0,,Caco-2,Chemical Research in Toxicology,American Chemical Society (ACS),2013,Minimal Intestinal Epithelial Cell Toxicity in Response to Short- and Long-Term Food-Relevant Inorganic Nanoparticle Exposure,False,True,green,133_mccracken2013.pdf,1
4984,TiO2,,Digestive enzymes,,,,,,H,Human,Colon,Epithelial,A,24,,Live/Dead,Annexin V,100.0,10.1021/tx400231u,133,,115.0,,Caco-2,Chemical Research in Toxicology,American Chemical Society (ACS),2013,Minimal Intestinal Epithelial Cell Toxicity in Response to Short- and Long-Term Food-Relevant Inorganic Nanoparticle Exposure,False,True,green,133_mccracken2013.pdf,1
4985,TiO2,,Digestive enzymes,,,,,,H,Human,Colon,Epithelial,A,24,,MTT,tetrazolium salt,89.2683,10.1021/tx400231u,133,,115.0,,Caco-2,Chemical Research in Toxicology,American Chemical Society (ACS),2013,Minimal Intestinal Epithelial Cell Toxicity in Response to Short- and Long-Term Food-Relevant Inorganic Nanoparticle Exposure,False,True,green,133_mccracken2013.pdf,1
5782,SiO2,,,,,,,,H,Human,Colon,Epithelial,A,24,,Live/Dead,Sytox Red,100.0,10.1021/tx400231u,133,,96.0,-11.0,Caco-2,Chemical Research in Toxicology,American Chemical Society (ACS),2013,Minimal Intestinal Epithelial Cell Toxicity in Response to Short- and Long-Term Food-Relevant Inorganic Nanoparticle Exposure,False,True,green,133_mccracken2013.pdf,1
5783,SiO2,,,,,,,,H,Human,Colon,Epithelial,A,24,,Live/Dead,Annexin V,100.0,10.1021/tx400231u,133,,96.0,-11.0,Caco-2,Chemical Research in Toxicology,American Chemical Society (ACS),2013,Minimal Intestinal Epithelial Cell Toxicity in Response to Short- and Long-Term Food-Relevant Inorganic Nanoparticle Exposure,False,True,green,133_mccracken2013.pdf,1
5784,SiO2,,,,,,,,H,Human,Colon,Epithelial,A,24,,LDH,LDH activity assay kit,105.3684,10.1021/tx400231u,133,,96.0,-11.0,Caco-2,Chemical Research in Toxicology,American Chemical Society (ACS),2013,Minimal Intestinal Epithelial Cell Toxicity in Response to Short- and Long-Term Food-Relevant Inorganic Nanoparticle Exposure,False,True,green,133_mccracken2013.pdf,1
