sn,material,shape,coat_functional_group,synthesis_method,surface_charge,size_in_medium_nm,zeta_in_medium_mv,no_of_cells_cells_well,human_animal,cell_source,cell_tissue,cell_morphology,cell_age,time_hr,concentration,test,test_indicator,viability_%,doi,article_list,core_nm,hydrodynamic_nm,potential_mv,cell_type,journal_name,publisher,year,title,journal_is_oa,is_oa,oa_status,pdf,access
4335,ZnO,,,,,,,,H,Human,Blood,,A,24,,,propidium iodide,79.84496,10.1007/s11671-009-9413-8,136,,8.0,,CD3+ T cells,Nanoscale Research Letters,Springer Science and Business Media LLC,2009,The Influences of Cell Type and ZnO Nanoparticle Size on Immune Cell Cytotoxicity and Cytokine Induction,True,True,gold,136_hanley2009.pdf,1
4336,ZnO,,,,,,,,H,Human,Blood,,A,24,,,propidium iodide,72.48062,10.1007/s11671-009-9413-8,136,,8.0,,CD3+ T cells,Nanoscale Research Letters,Springer Science and Business Media LLC,2009,The Influences of Cell Type and ZnO Nanoparticle Size on Immune Cell Cytotoxicity and Cytokine Induction,True,True,gold,136_hanley2009.pdf,1
4337,ZnO,,,,,,,,H,Human,Blood,,A,24,,,propidium iodide,64.72868,10.1007/s11671-009-9413-8,136,,8.0,,CD3+ T cells,Nanoscale Research Letters,Springer Science and Business Media LLC,2009,The Influences of Cell Type and ZnO Nanoparticle Size on Immune Cell Cytotoxicity and Cytokine Induction,True,True,gold,136_hanley2009.pdf,1
4338,ZnO,,,,,,,,H,Human,Blood,,A,24,,,propidium iodide,43.79845,10.1007/s11671-009-9413-8,136,,8.0,,CD3+ T cells,Nanoscale Research Letters,Springer Science and Business Media LLC,2009,The Influences of Cell Type and ZnO Nanoparticle Size on Immune Cell Cytotoxicity and Cytokine Induction,True,True,gold,136_hanley2009.pdf,1
4339,ZnO,,,,,,,,H,Human,Blood,,A,24,,,propidium iodide,14.72868,10.1007/s11671-009-9413-8,136,,8.0,,CD3+ T cells,Nanoscale Research Letters,Springer Science and Business Media LLC,2009,The Influences of Cell Type and ZnO Nanoparticle Size on Immune Cell Cytotoxicity and Cytokine Induction,True,True,gold,136_hanley2009.pdf,1
4340,ZnO,,,,,,,,H,Human,Blood,,A,24,,,propidium iodide,69.37985,10.1007/s11671-009-9413-8,136,,8.0,,CD4+T cells,Nanoscale Research Letters,Springer Science and Business Media LLC,2009,The Influences of Cell Type and ZnO Nanoparticle Size on Immune Cell Cytotoxicity and Cytokine Induction,True,True,gold,136_hanley2009.pdf,1
4341,ZnO,,,,,,,,H,Human,Blood,,A,24,,,propidium iodide,68.21706,10.1007/s11671-009-9413-8,136,,8.0,,CD4+T cells,Nanoscale Research Letters,Springer Science and Business Media LLC,2009,The Influences of Cell Type and ZnO Nanoparticle Size on Immune Cell Cytotoxicity and Cytokine Induction,True,True,gold,136_hanley2009.pdf,1
4342,ZnO,,,,,,,,H,Human,Blood,,A,24,,,propidium iodide,64.34109,10.1007/s11671-009-9413-8,136,,8.0,,CD4+T cells,Nanoscale Research Letters,Springer Science and Business Media LLC,2009,The Influences of Cell Type and ZnO Nanoparticle Size on Immune Cell Cytotoxicity and Cytokine Induction,True,True,gold,136_hanley2009.pdf,1
4343,ZnO,,,,,,,,H,Human,Blood,,A,24,,,propidium iodide,47.67442,10.1007/s11671-009-9413-8,136,,8.0,,CD4+T cells,Nanoscale Research Letters,Springer Science and Business Media LLC,2009,The Influences of Cell Type and ZnO Nanoparticle Size on Immune Cell Cytotoxicity and Cytokine Induction,True,True,gold,136_hanley2009.pdf,1
4344,ZnO,,,,,,,,H,Human,Blood,,A,24,,,propidium iodide,24.8062,10.1007/s11671-009-9413-8,136,,8.0,,CD4+T cells,Nanoscale Research Letters,Springer Science and Business Media LLC,2009,The Influences of Cell Type and ZnO Nanoparticle Size on Immune Cell Cytotoxicity and Cytokine Induction,True,True,gold,136_hanley2009.pdf,1
