sn,material,shape,coat_functional_group,synthesis_method,surface_charge,size_in_medium_nm,zeta_in_medium_mv,no_of_cells_cells_well,human_animal,cell_source,cell_tissue,cell_morphology,cell_age,time_hr,concentration,test,test_indicator,viability_%,doi,article_list,core_nm,hydrodynamic_nm,potential_mv,cell_type,journal_name,publisher,year,title,journal_is_oa,is_oa,oa_status,pdf,access
4686,Fe3O4,,PEG,,,,,,H,Human,Skin,Endothelial-like,E,24,,ATPLite,luciferase,109.8165,10.3762/bjnano.6.28,139,,16.0,,HMEC-1,Beilstein Journal of Nanotechnology,Beilstein Institut,2015,Comparative evaluation of the impact on endothelial cells induced by different nanoparticle structures and functionalization,True,True,gold,139_landgraf2015.pdf,1
4687,Fe3O4,,PEG,,,,,,H,Human,Skin,Endothelial-like,E,72,,ATPLite,luciferase,111.4815,10.3762/bjnano.6.28,139,,16.0,,HMEC-1,Beilstein Journal of Nanotechnology,Beilstein Institut,2015,Comparative evaluation of the impact on endothelial cells induced by different nanoparticle structures and functionalization,True,True,gold,139_landgraf2015.pdf,1
4688,Fe3O4,,PEG-NH2,,,,,,H,Human,Skin,Endothelial-like,E,24,,ATPLite,luciferase,86.69725,10.3762/bjnano.6.28,139,,16.0,,HMEC-1,Beilstein Journal of Nanotechnology,Beilstein Institut,2015,Comparative evaluation of the impact on endothelial cells induced by different nanoparticle structures and functionalization,True,True,gold,139_landgraf2015.pdf,1
4689,Fe3O4,,PEG-NH2,,,,,,H,Human,Skin,Endothelial-like,E,72,,ATPLite,luciferase,79.07407,10.3762/bjnano.6.28,139,,16.0,,HMEC-1,Beilstein Journal of Nanotechnology,Beilstein Institut,2015,Comparative evaluation of the impact on endothelial cells induced by different nanoparticle structures and functionalization,True,True,gold,139_landgraf2015.pdf,1
5273,MnO,,PEG,,,,,,A,Human,,Endothelial,A,24,,ATPLite,,64.94846,10.3762/bjnano.6.28,139,,24.0,,HMEC-1,Beilstein Journal of Nanotechnology,Beilstein Institut,2015,Comparative evaluation of the impact on endothelial cells induced by different nanoparticle structures and functionalization,True,True,gold,139_landgraf2015.pdf,1
5274,MnO,,PEG,,,,,,A,Human,,Endothelial,A,72,,ATPLite,,7.0,10.3762/bjnano.6.28,139,,24.0,,HMEC-1,Beilstein Journal of Nanotechnology,Beilstein Institut,2015,Comparative evaluation of the impact on endothelial cells induced by different nanoparticle structures and functionalization,True,True,gold,139_landgraf2015.pdf,1
5275,MnO,,PEG-NH2,,,,,,A,Human,,Endothelial,A,24,,ATPLite,,62.7835,10.3762/bjnano.6.28,139,,24.0,,HMEC-1,Beilstein Journal of Nanotechnology,Beilstein Institut,2015,Comparative evaluation of the impact on endothelial cells induced by different nanoparticle structures and functionalization,True,True,gold,139_landgraf2015.pdf,1
5276,MnO,,PEG-NH2,,,,,,A,Human,,Endothelial,A,72,,ATPLite,,2.8,10.3762/bjnano.6.28,139,,24.0,,HMEC-1,Beilstein Journal of Nanotechnology,Beilstein Institut,2015,Comparative evaluation of the impact on endothelial cells induced by different nanoparticle structures and functionalization,True,True,gold,139_landgraf2015.pdf,1
5277,MnO,,,,,,,,A,Human,,Endothelial,A,24,,ATPLite,,94.58823,10.3762/bjnano.6.28,139,,10.0,,HMEC-1,Beilstein Journal of Nanotechnology,Beilstein Institut,2015,Comparative evaluation of the impact on endothelial cells induced by different nanoparticle structures and functionalization,True,True,gold,139_landgraf2015.pdf,1
5278,MnO,,,,,,,,A,Human,,Endothelial,A,24,,ATPLite,,82.58823,10.3762/bjnano.6.28,139,,10.0,,HMEC-1,Beilstein Journal of Nanotechnology,Beilstein Institut,2015,Comparative evaluation of the impact on endothelial cells induced by different nanoparticle structures and functionalization,True,True,gold,139_landgraf2015.pdf,1
5279,MnO,,,,,,,,A,Human,,Endothelial,A,24,,ATPLite,,89.64706,10.3762/bjnano.6.28,139,,10.0,,HMEC-1,Beilstein Journal of Nanotechnology,Beilstein Institut,2015,Comparative evaluation of the impact on endothelial cells induced by different nanoparticle structures and functionalization,True,True,gold,139_landgraf2015.pdf,1
5280,MnO,,,,,,,,A,Human,,Endothelial,A,24,,ATPLite,,79.76471,10.3762/bjnano.6.28,139,,10.0,,HMEC-1,Beilstein Journal of Nanotechnology,Beilstein Institut,2015,Comparative evaluation of the impact on endothelial cells induced by different nanoparticle structures and functionalization,True,True,gold,139_landgraf2015.pdf,1
5281,MnO,,,,,,,,A,Human,,Endothelial,A,24,,ATPLite,,43.76471,10.3762/bjnano.6.28,139,,10.0,,HMEC-1,Beilstein Journal of Nanotechnology,Beilstein Institut,2015,Comparative evaluation of the impact on endothelial cells induced by different nanoparticle structures and functionalization,True,True,gold,139_landgraf2015.pdf,1
5282,MnO,,,,,,,,A,Human,,Endothelial,A,24,,ATPLite,,89.64706,10.3762/bjnano.6.28,139,,24.0,,HMEC-1,Beilstein Journal of Nanotechnology,Beilstein Institut,2015,Comparative evaluation of the impact on endothelial cells induced by different nanoparticle structures and functionalization,True,True,gold,139_landgraf2015.pdf,1
5283,MnO,,,,,,,,A,Human,,Endothelial,A,24,,ATPLite,,93.17647,10.3762/bjnano.6.28,139,,24.0,,HMEC-1,Beilstein Journal of Nanotechnology,Beilstein Institut,2015,Comparative evaluation of the impact on endothelial cells induced by different nanoparticle structures and functionalization,True,True,gold,139_landgraf2015.pdf,1
5284,MnO,,,,,,,,A,Human,,Endothelial,A,24,,ATPLite,,67.76471,10.3762/bjnano.6.28,139,,24.0,,HMEC-1,Beilstein Journal of Nanotechnology,Beilstein Institut,2015,Comparative evaluation of the impact on endothelial cells induced by different nanoparticle structures and functionalization,True,True,gold,139_landgraf2015.pdf,1
5285,MnO,,,,,,,,A,Human,,Endothelial,A,24,,ATPLite,,50.11765,10.3762/bjnano.6.28,139,,24.0,,HMEC-1,Beilstein Journal of Nanotechnology,Beilstein Institut,2015,Comparative evaluation of the impact on endothelial cells induced by different nanoparticle structures and functionalization,True,True,gold,139_landgraf2015.pdf,1
5286,MnO,,,,,,,,A,Human,,Endothelial,A,24,,ATPLite,,2.117647,10.3762/bjnano.6.28,139,,24.0,,HMEC-1,Beilstein Journal of Nanotechnology,Beilstein Institut,2015,Comparative evaluation of the impact on endothelial cells induced by different nanoparticle structures and functionalization,True,True,gold,139_landgraf2015.pdf,1
5941,Au,,PEG-OCH3,,,,,,A,Mouse,axillary lymph node,Endothelial,A,24,,ATPLite,luciferase,44.33333,10.3762/bjnano.6.28,139,,40.0,,SVEC4-10,Beilstein Journal of Nanotechnology,Beilstein Institut,2015,Comparative evaluation of the impact on endothelial cells induced by different nanoparticle structures and functionalization,True,True,gold,139_landgraf2015.pdf,1
5942,Au,,PEG-OCH3,,,,,,A,Mouse,axillary lymph node,Endothelial,A,72,,ATPLite,luciferase,75.09091,10.3762/bjnano.6.28,139,,40.0,,SVEC4-10,Beilstein Journal of Nanotechnology,Beilstein Institut,2015,Comparative evaluation of the impact on endothelial cells induced by different nanoparticle structures and functionalization,True,True,gold,139_landgraf2015.pdf,1
5943,Au,,PEG-OCH3,,,,,,A,Mouse,axillary lymph node,Endothelial,A,24,,ATPLite,luciferase,25.24242,10.3762/bjnano.6.28,139,,40.0,,SVEC4-10,Beilstein Journal of Nanotechnology,Beilstein Institut,2015,Comparative evaluation of the impact on endothelial cells induced by different nanoparticle structures and functionalization,True,True,gold,139_landgraf2015.pdf,1
5944,Au,,PEG-OCH3,,,,,,A,Mouse,axillary lymph node,Endothelial,A,72,,ATPLite,luciferase,45.81818,10.3762/bjnano.6.28,139,,40.0,,SVEC4-10,Beilstein Journal of Nanotechnology,Beilstein Institut,2015,Comparative evaluation of the impact on endothelial cells induced by different nanoparticle structures and functionalization,True,True,gold,139_landgraf2015.pdf,1
5945,Au,,PEG-COOH,,,,,,A,Mouse,axillary lymph node,Endothelial,A,24,,ATPLite,luciferase,27.78788,10.3762/bjnano.6.28,139,,40.0,,SVEC4-10,Beilstein Journal of Nanotechnology,Beilstein Institut,2015,Comparative evaluation of the impact on endothelial cells induced by different nanoparticle structures and functionalization,True,True,gold,139_landgraf2015.pdf,1
5946,Au,,PEG-COOH,,,,,,A,Mouse,axillary lymph node,Endothelial,A,72,,ATPLite,luciferase,5.090909,10.3762/bjnano.6.28,139,,40.0,,SVEC4-10,Beilstein Journal of Nanotechnology,Beilstein Institut,2015,Comparative evaluation of the impact on endothelial cells induced by different nanoparticle structures and functionalization,True,True,gold,139_landgraf2015.pdf,1
5947,Au,,PEG-COOH,,,,,,A,Mouse,axillary lymph node,Endothelial,A,24,,ATPLite,luciferase,27.78788,10.3762/bjnano.6.28,139,,40.0,,SVEC4-10,Beilstein Journal of Nanotechnology,Beilstein Institut,2015,Comparative evaluation of the impact on endothelial cells induced by different nanoparticle structures and functionalization,True,True,gold,139_landgraf2015.pdf,1
5948,Au,,PEG-COOH,,,,,,A,Mouse,axillary lymph node,Endothelial,A,72,,ATPLite,luciferase,42.0,10.3762/bjnano.6.28,139,,40.0,,SVEC4-10,Beilstein Journal of Nanotechnology,Beilstein Institut,2015,Comparative evaluation of the impact on endothelial cells induced by different nanoparticle structures and functionalization,True,True,gold,139_landgraf2015.pdf,1
5949,Au,,PEG-NH2,,,,,,A,Mouse,axillary lymph node,Endothelial,A,24,,ATPLite,luciferase,43.06061,10.3762/bjnano.6.28,139,,40.0,,SVEC4-10,Beilstein Journal of Nanotechnology,Beilstein Institut,2015,Comparative evaluation of the impact on endothelial cells induced by different nanoparticle structures and functionalization,True,True,gold,139_landgraf2015.pdf,1
5950,Au,,PEG-NH2,,,,,,A,Mouse,axillary lymph node,Endothelial,A,72,,ATPLite,luciferase,98.0,10.3762/bjnano.6.28,139,,40.0,,SVEC4-10,Beilstein Journal of Nanotechnology,Beilstein Institut,2015,Comparative evaluation of the impact on endothelial cells induced by different nanoparticle structures and functionalization,True,True,gold,139_landgraf2015.pdf,1
5951,Au,,PEG-NH2,,,,,,A,Mouse,axillary lymph node,Endothelial,A,24,,ATPLite,luciferase,23.9697,10.3762/bjnano.6.28,139,,40.0,,SVEC4-10,Beilstein Journal of Nanotechnology,Beilstein Institut,2015,Comparative evaluation of the impact on endothelial cells induced by different nanoparticle structures and functionalization,True,True,gold,139_landgraf2015.pdf,1
5952,Au,,PEG-NH2,,,,,,A,Mouse,axillary lymph node,Endothelial,A,72,,ATPLite,luciferase,47.09091,10.3762/bjnano.6.28,139,,40.0,,SVEC4-10,Beilstein Journal of Nanotechnology,Beilstein Institut,2015,Comparative evaluation of the impact on endothelial cells induced by different nanoparticle structures and functionalization,True,True,gold,139_landgraf2015.pdf,1
