sn,material,shape,coat_functional_group,synthesis_method,surface_charge,size_in_medium_nm,zeta_in_medium_mv,no_of_cells_cells_well,human_animal,cell_source,cell_tissue,cell_morphology,cell_age,time_hr,concentration,test,test_indicator,viability_%,doi,article_list,core_nm,hydrodynamic_nm,potential_mv,cell_type,journal_name,publisher,year,title,journal_is_oa,is_oa,oa_status,pdf,access
5004,TiO2,,,,,,,,H,Human,Kidney,Spindle,A,24,,WST-1,tetrazolium salt,99.10314,10.1186/1743-8977-5-22,146,,11.69,,IP15,Particle and Fibre Toxicology,Springer Science and Business Media LLC,2008,In vitro effects of nanoparticles on renal cells,True,True,gold,146_10.1186@1743-8977-5-22.pdf,1
5005,TiO2,,,,,,,,H,Human,Kidney,Spindle,A,24,,WST-1,tetrazolium salt,93.72197,10.1186/1743-8977-5-22,146,,11.69,,IP15,Particle and Fibre Toxicology,Springer Science and Business Media LLC,2008,In vitro effects of nanoparticles on renal cells,True,True,gold,146_10.1186@1743-8977-5-22.pdf,1
5006,TiO2,,,,,,,,H,Human,Kidney,Spindle,A,24,,WST-1,tetrazolium salt,95.5157,10.1186/1743-8977-5-22,146,,11.69,,IP15,Particle and Fibre Toxicology,Springer Science and Business Media LLC,2008,In vitro effects of nanoparticles on renal cells,True,True,gold,146_10.1186@1743-8977-5-22.pdf,1
5007,TiO2,,,,,,,,H,Human,Kidney,Spindle,A,24,,WST-1,tetrazolium salt,92.82511,10.1186/1743-8977-5-22,146,,11.69,,IP15,Particle and Fibre Toxicology,Springer Science and Business Media LLC,2008,In vitro effects of nanoparticles on renal cells,True,True,gold,146_10.1186@1743-8977-5-22.pdf,1
5008,TiO2,,,,,,,,H,Human,Kidney,Spindle,A,24,,WST-1,tetrazolium salt,93.27354,10.1186/1743-8977-5-22,146,,11.69,,IP15,Particle and Fibre Toxicology,Springer Science and Business Media LLC,2008,In vitro effects of nanoparticles on renal cells,True,True,gold,146_10.1186@1743-8977-5-22.pdf,1
5009,TiO2,,,,,,,,H,Human,Kidney,Spindle,A,24,,WST-1,tetrazolium salt,93.27354,10.1186/1743-8977-5-22,146,,11.69,,IP15,Particle and Fibre Toxicology,Springer Science and Business Media LLC,2008,In vitro effects of nanoparticles on renal cells,True,True,gold,146_10.1186@1743-8977-5-22.pdf,1
5010,TiO2,,,,,,,,H,Human,Kidney,Spindle,A,24,,WST-1,tetrazolium salt,90.58296,10.1186/1743-8977-5-22,146,,11.69,,IP15,Particle and Fibre Toxicology,Springer Science and Business Media LLC,2008,In vitro effects of nanoparticles on renal cells,True,True,gold,146_10.1186@1743-8977-5-22.pdf,1
5011,TiO2,,,,,,,,H,Human,Kidney,Spindle,A,24,,WST-1,tetrazolium salt,83.40807,10.1186/1743-8977-5-22,146,,11.69,,IP15,Particle and Fibre Toxicology,Springer Science and Business Media LLC,2008,In vitro effects of nanoparticles on renal cells,True,True,gold,146_10.1186@1743-8977-5-22.pdf,1
5012,TiO2,,,,,,,,H,Human,Kidney,Spindle,A,24,,WST-1,tetrazolium salt,78.92377,10.1186/1743-8977-5-22,146,,11.69,,IP15,Particle and Fibre Toxicology,Springer Science and Business Media LLC,2008,In vitro effects of nanoparticles on renal cells,True,True,gold,146_10.1186@1743-8977-5-22.pdf,1
5013,TiO2,,,,,,,,A,Pig,Kidney,Epithelial,A,24,,WST-1,tetrazolium salt,100.0,10.1186/1743-8977-5-22,146,,11.69,,LLC-PK1,Particle and Fibre Toxicology,Springer Science and Business Media LLC,2008,In vitro effects of nanoparticles on renal cells,True,True,gold,146_10.1186@1743-8977-5-22.pdf,1
5014,TiO2,,,,,,,,A,Pig,Kidney,Epithelial,A,24,,WST-1,tetrazolium salt,100.0,10.1186/1743-8977-5-22,146,,11.69,,LLC-PK1,Particle and Fibre Toxicology,Springer Science and Business Media LLC,2008,In vitro effects of nanoparticles on renal cells,True,True,gold,146_10.1186@1743-8977-5-22.pdf,1
5015,TiO2,,,,,,,,A,Pig,Kidney,Epithelial,A,24,,WST-1,tetrazolium salt,97.30942,10.1186/1743-8977-5-22,146,,11.69,,LLC-PK1,Particle and Fibre Toxicology,Springer Science and Business Media LLC,2008,In vitro effects of nanoparticles on renal cells,True,True,gold,146_10.1186@1743-8977-5-22.pdf,1
5016,TiO2,,,,,,,,A,Pig,Kidney,Epithelial,A,24,,WST-1,tetrazolium salt,100.0,10.1186/1743-8977-5-22,146,,11.69,,LLC-PK1,Particle and Fibre Toxicology,Springer Science and Business Media LLC,2008,In vitro effects of nanoparticles on renal cells,True,True,gold,146_10.1186@1743-8977-5-22.pdf,1
5017,TiO2,,,,,,,,A,Pig,Kidney,Epithelial,A,24,,WST-1,tetrazolium salt,100.0,10.1186/1743-8977-5-22,146,,11.69,,LLC-PK1,Particle and Fibre Toxicology,Springer Science and Business Media LLC,2008,In vitro effects of nanoparticles on renal cells,True,True,gold,146_10.1186@1743-8977-5-22.pdf,1
5018,TiO2,,,,,,,,A,Pig,Kidney,Epithelial,A,24,,WST-1,tetrazolium salt,100.0,10.1186/1743-8977-5-22,146,,11.69,,LLC-PK1,Particle and Fibre Toxicology,Springer Science and Business Media LLC,2008,In vitro effects of nanoparticles on renal cells,True,True,gold,146_10.1186@1743-8977-5-22.pdf,1
5019,TiO2,,,,,,,,A,Pig,Kidney,Epithelial,A,24,,WST-1,tetrazolium salt,97.75785,10.1186/1743-8977-5-22,146,,11.69,,LLC-PK1,Particle and Fibre Toxicology,Springer Science and Business Media LLC,2008,In vitro effects of nanoparticles on renal cells,True,True,gold,146_10.1186@1743-8977-5-22.pdf,1
5020,TiO2,,,,,,,,A,Pig,Kidney,Epithelial,A,24,,WST-1,tetrazolium salt,61.43498,10.1186/1743-8977-5-22,146,,11.69,,LLC-PK1,Particle and Fibre Toxicology,Springer Science and Business Media LLC,2008,In vitro effects of nanoparticles on renal cells,True,True,gold,146_10.1186@1743-8977-5-22.pdf,1
5021,TiO2,,,,,,,,A,Pig,Kidney,Epithelial,A,24,,WST-1,tetrazolium salt,30.9417,10.1186/1743-8977-5-22,146,,11.69,,LLC-PK1,Particle and Fibre Toxicology,Springer Science and Business Media LLC,2008,In vitro effects of nanoparticles on renal cells,True,True,gold,146_10.1186@1743-8977-5-22.pdf,1
