sn,material,shape,coat_functional_group,synthesis_method,surface_charge,size_in_medium_nm,zeta_in_medium_mv,no_of_cells_cells_well,human_animal,cell_source,cell_tissue,cell_morphology,cell_age,time_hr,concentration,test,test_indicator,viability_%,doi,article_list,core_nm,hydrodynamic_nm,potential_mv,cell_type,journal_name,publisher,year,title,journal_is_oa,is_oa,oa_status,pdf,access
5514,Cu2O,,,,,,,,H,Human,Lung,Epithelial,A,3,,NR,neutral red,96.39751,10.1186/1743-8977-6-14,156,,88.5,,A549,Particle and Fibre Toxicology,Springer Science and Business Media LLC,2009,Comparative toxicity of 24 manufactured nanoparticles in human alveolar epithelial and macrophage cell lines,True,True,gold,156_lanone2009.pdf,1
5515,Cu2O,,,,,,,,H,Human,Lung,Epithelial,A,3,,NR,neutral red,94.90683,10.1186/1743-8977-6-14,156,,88.5,,A549,Particle and Fibre Toxicology,Springer Science and Business Media LLC,2009,Comparative toxicity of 24 manufactured nanoparticles in human alveolar epithelial and macrophage cell lines,True,True,gold,156_lanone2009.pdf,1
5516,Cu2O,,,,,,,,H,Human,Lung,Epithelial,A,3,,NR,neutral red,94.90683,10.1186/1743-8977-6-14,156,,88.5,,A549,Particle and Fibre Toxicology,Springer Science and Business Media LLC,2009,Comparative toxicity of 24 manufactured nanoparticles in human alveolar epithelial and macrophage cell lines,True,True,gold,156_lanone2009.pdf,1
5517,Cu2O,,,,,,,,H,Human,Lung,Epithelial,A,3,,NR,neutral red,102.8571,10.1186/1743-8977-6-14,156,,88.5,,A549,Particle and Fibre Toxicology,Springer Science and Business Media LLC,2009,Comparative toxicity of 24 manufactured nanoparticles in human alveolar epithelial and macrophage cell lines,True,True,gold,156_lanone2009.pdf,1
5518,Cu2O,,,,,,,,H,Human,Lung,Epithelial,A,3,,NR,neutral red,95.90062,10.1186/1743-8977-6-14,156,,88.5,,A549,Particle and Fibre Toxicology,Springer Science and Business Media LLC,2009,Comparative toxicity of 24 manufactured nanoparticles in human alveolar epithelial and macrophage cell lines,True,True,gold,156_lanone2009.pdf,1
5519,Cu2O,,,,,,,,H,Human,Lung,Epithelial,A,3,,NR,neutral red,103.354,10.1186/1743-8977-6-14,156,,88.5,,A549,Particle and Fibre Toxicology,Springer Science and Business Media LLC,2009,Comparative toxicity of 24 manufactured nanoparticles in human alveolar epithelial and macrophage cell lines,True,True,gold,156_lanone2009.pdf,1
5520,Cu2O,,,,,,,,H,Human,Lung,Epithelial,A,3,,NR,neutral red,77.01863,10.1186/1743-8977-6-14,156,,88.5,,A549,Particle and Fibre Toxicology,Springer Science and Business Media LLC,2009,Comparative toxicity of 24 manufactured nanoparticles in human alveolar epithelial and macrophage cell lines,True,True,gold,156_lanone2009.pdf,1
5521,Cu2O,,,,,,,,H,Human,Lung,Epithelial,A,3,,NR,neutral red,69.06832,10.1186/1743-8977-6-14,156,,88.5,,A549,Particle and Fibre Toxicology,Springer Science and Business Media LLC,2009,Comparative toxicity of 24 manufactured nanoparticles in human alveolar epithelial and macrophage cell lines,True,True,gold,156_lanone2009.pdf,1
5522,Cu2O,,,,,,,,H,Human,Lung,Epithelial,A,3,,NR,neutral red,94.40994,10.1186/1743-8977-6-14,156,,88.5,,A549,Particle and Fibre Toxicology,Springer Science and Business Media LLC,2009,Comparative toxicity of 24 manufactured nanoparticles in human alveolar epithelial and macrophage cell lines,True,True,gold,156_lanone2009.pdf,1
5523,Cu2O,,,,,,,,H,Human,Lung,Epithelial,A,3,,NR,neutral red,78.01242,10.1186/1743-8977-6-14,156,,88.5,,A549,Particle and Fibre Toxicology,Springer Science and Business Media LLC,2009,Comparative toxicity of 24 manufactured nanoparticles in human alveolar epithelial and macrophage cell lines,True,True,gold,156_lanone2009.pdf,1
