sn,material,shape,coat_functional_group,synthesis_method,surface_charge,size_in_medium_nm,zeta_in_medium_mv,no_of_cells_cells_well,human_animal,cell_source,cell_tissue,cell_morphology,cell_age,time_hr,concentration,test,test_indicator,viability_%,doi,article_list,core_nm,hydrodynamic_nm,potential_mv,cell_type,journal_name,publisher,year,title,journal_is_oa,is_oa,oa_status,pdf,access
5953,Au,,PVP,,,,,,H,Human,Lung,Epithelial,A,24,,MTT,tetrazolium salt,98.4,10.1186/1743-8977-6-18,161,,21.2,,A549,Particle and Fibre Toxicology,Springer Science and Business Media LLC,2009,Gold nanoparticles induce cytotoxicity in the alveolar type-II cell lines A549 and NCIH441,True,True,gold,161_uboldi2009.pdf,1
5954,Au,,PVP,,,,,,H,Human,Lung,Epithelial,A,48,,MTT,tetrazolium salt,98.66666,10.1186/1743-8977-6-18,161,,21.2,,A549,Particle and Fibre Toxicology,Springer Science and Business Media LLC,2009,Gold nanoparticles induce cytotoxicity in the alveolar type-II cell lines A549 and NCIH441,True,True,gold,161_uboldi2009.pdf,1
5955,Au,,PVP,,,,,,H,Human,Lung,Epithelial,A,72,,MTT,tetrazolium salt,100.8,10.1186/1743-8977-6-18,161,,21.2,,A549,Particle and Fibre Toxicology,Springer Science and Business Media LLC,2009,Gold nanoparticles induce cytotoxicity in the alveolar type-II cell lines A549 and NCIH441,True,True,gold,161_uboldi2009.pdf,1
5956,Au,,PVP,,,,,,H,Human,Lung,Epithelial,A,24,,MTT,tetrazolium salt,96.53333,10.1186/1743-8977-6-18,161,,21.2,,A549,Particle and Fibre Toxicology,Springer Science and Business Media LLC,2009,Gold nanoparticles induce cytotoxicity in the alveolar type-II cell lines A549 and NCIH441,True,True,gold,161_uboldi2009.pdf,1
5957,Au,,PVP,,,,,,H,Human,Lung,Epithelial,A,48,,MTT,tetrazolium salt,100.8,10.1186/1743-8977-6-18,161,,21.2,,A549,Particle and Fibre Toxicology,Springer Science and Business Media LLC,2009,Gold nanoparticles induce cytotoxicity in the alveolar type-II cell lines A549 and NCIH441,True,True,gold,161_uboldi2009.pdf,1
5958,Au,,PVP,,,,,,H,Human,Lung,Epithelial,A,72,,MTT,tetrazolium salt,97.6,10.1186/1743-8977-6-18,161,,21.2,,A549,Particle and Fibre Toxicology,Springer Science and Business Media LLC,2009,Gold nanoparticles induce cytotoxicity in the alveolar type-II cell lines A549 and NCIH441,True,True,gold,161_uboldi2009.pdf,1
5959,Au,,PVP,,,,,,H,Human,Lung,Epithelial,A,24,,MTT,tetrazolium salt,96.53333,10.1186/1743-8977-6-18,161,,21.2,,A549,Particle and Fibre Toxicology,Springer Science and Business Media LLC,2009,Gold nanoparticles induce cytotoxicity in the alveolar type-II cell lines A549 and NCIH441,True,True,gold,161_uboldi2009.pdf,1
5960,Au,,PVP,,,,,,H,Human,Lung,Epithelial,A,48,,MTT,tetrazolium salt,93.06667,10.1186/1743-8977-6-18,161,,21.2,,A549,Particle and Fibre Toxicology,Springer Science and Business Media LLC,2009,Gold nanoparticles induce cytotoxicity in the alveolar type-II cell lines A549 and NCIH441,True,True,gold,161_uboldi2009.pdf,1
5961,Au,,PVP,,,,,,H,Human,Lung,Epithelial,A,72,,MTT,tetrazolium salt,96.8,10.1186/1743-8977-6-18,161,,21.2,,A549,Particle and Fibre Toxicology,Springer Science and Business Media LLC,2009,Gold nanoparticles induce cytotoxicity in the alveolar type-II cell lines A549 and NCIH441,True,True,gold,161_uboldi2009.pdf,1
5962,Au,,PVP,,,,,,H,Human,Lung,Epithelial,A,24,,MTT,tetrazolium salt,99.2,10.1186/1743-8977-6-18,161,,21.2,,A549,Particle and Fibre Toxicology,Springer Science and Business Media LLC,2009,Gold nanoparticles induce cytotoxicity in the alveolar type-II cell lines A549 and NCIH441,True,True,gold,161_uboldi2009.pdf,1
5963,Au,,PVP,,,,,,H,Human,Lung,Epithelial,A,48,,MTT,tetrazolium salt,94.4,10.1186/1743-8977-6-18,161,,21.2,,A549,Particle and Fibre Toxicology,Springer Science and Business Media LLC,2009,Gold nanoparticles induce cytotoxicity in the alveolar type-II cell lines A549 and NCIH441,True,True,gold,161_uboldi2009.pdf,1
5964,Au,,PVP,,,,,,H,Human,Lung,Epithelial,A,72,,MTT,tetrazolium salt,94.66666,10.1186/1743-8977-6-18,161,,21.2,,A549,Particle and Fibre Toxicology,Springer Science and Business Media LLC,2009,Gold nanoparticles induce cytotoxicity in the alveolar type-II cell lines A549 and NCIH441,True,True,gold,161_uboldi2009.pdf,1
5965,Au,,PVP,,,,,,H,Human,Lung,Epithelial,A,24,,MTT,tetrazolium salt,99.68819,10.1186/1743-8977-6-18,161,,21.2,,NCIH441,Particle and Fibre Toxicology,Springer Science and Business Media LLC,2009,Gold nanoparticles induce cytotoxicity in the alveolar type-II cell lines A549 and NCIH441,True,True,gold,161_uboldi2009.pdf,1
5966,Au,,PVP,,,,,,H,Human,Lung,Epithelial,A,48,,MTT,tetrazolium salt,99.68819,10.1186/1743-8977-6-18,161,,21.2,,NCIH441,Particle and Fibre Toxicology,Springer Science and Business Media LLC,2009,Gold nanoparticles induce cytotoxicity in the alveolar type-II cell lines A549 and NCIH441,True,True,gold,161_uboldi2009.pdf,1
5967,Au,,PVP,,,,,,H,Human,Lung,Epithelial,A,72,,MTT,tetrazolium salt,99.42094,10.1186/1743-8977-6-18,161,,21.2,,NCIH441,Particle and Fibre Toxicology,Springer Science and Business Media LLC,2009,Gold nanoparticles induce cytotoxicity in the alveolar type-II cell lines A549 and NCIH441,True,True,gold,161_uboldi2009.pdf,1
5968,Au,,PVP,,,,,,H,Human,Lung,Epithelial,A,24,,MTT,tetrazolium salt,95.41203,10.1186/1743-8977-6-18,161,,21.2,,NCIH441,Particle and Fibre Toxicology,Springer Science and Business Media LLC,2009,Gold nanoparticles induce cytotoxicity in the alveolar type-II cell lines A549 and NCIH441,True,True,gold,161_uboldi2009.pdf,1
5969,Au,,PVP,,,,,,H,Human,Lung,Epithelial,A,48,,MTT,tetrazolium salt,98.88641,10.1186/1743-8977-6-18,161,,21.2,,NCIH441,Particle and Fibre Toxicology,Springer Science and Business Media LLC,2009,Gold nanoparticles induce cytotoxicity in the alveolar type-II cell lines A549 and NCIH441,True,True,gold,161_uboldi2009.pdf,1
5970,Au,,PVP,,,,,,H,Human,Lung,Epithelial,A,72,,MTT,tetrazolium salt,100.49,10.1186/1743-8977-6-18,161,,21.2,,NCIH441,Particle and Fibre Toxicology,Springer Science and Business Media LLC,2009,Gold nanoparticles induce cytotoxicity in the alveolar type-II cell lines A549 and NCIH441,True,True,gold,161_uboldi2009.pdf,1
5971,Au,,PVP,,,,,,H,Human,Lung,Epithelial,A,24,,MTT,tetrazolium salt,99.15367,10.1186/1743-8977-6-18,161,,21.2,,NCIH441,Particle and Fibre Toxicology,Springer Science and Business Media LLC,2009,Gold nanoparticles induce cytotoxicity in the alveolar type-II cell lines A549 and NCIH441,True,True,gold,161_uboldi2009.pdf,1
5972,Au,,PVP,,,,,,H,Human,Lung,Epithelial,A,48,,MTT,tetrazolium salt,99.42094,10.1186/1743-8977-6-18,161,,21.2,,NCIH441,Particle and Fibre Toxicology,Springer Science and Business Media LLC,2009,Gold nanoparticles induce cytotoxicity in the alveolar type-II cell lines A549 and NCIH441,True,True,gold,161_uboldi2009.pdf,1
5973,Au,,PVP,,,,,,H,Human,Lung,Epithelial,A,72,,MTT,tetrazolium salt,105.5679,10.1186/1743-8977-6-18,161,,21.2,,NCIH441,Particle and Fibre Toxicology,Springer Science and Business Media LLC,2009,Gold nanoparticles induce cytotoxicity in the alveolar type-II cell lines A549 and NCIH441,True,True,gold,161_uboldi2009.pdf,1
5974,Au,,PVP,,,,,,H,Human,Lung,Epithelial,A,24,,MTT,tetrazolium salt,98.88641,10.1186/1743-8977-6-18,161,,21.2,,NCIH441,Particle and Fibre Toxicology,Springer Science and Business Media LLC,2009,Gold nanoparticles induce cytotoxicity in the alveolar type-II cell lines A549 and NCIH441,True,True,gold,161_uboldi2009.pdf,1
