sn,material,shape,coat_functional_group,synthesis_method,surface_charge,size_in_medium_nm,zeta_in_medium_mv,no_of_cells_cells_well,human_animal,cell_source,cell_tissue,cell_morphology,cell_age,time_hr,concentration,test,test_indicator,viability_%,doi,article_list,core_nm,hydrodynamic_nm,potential_mv,cell_type,journal_name,publisher,year,title,journal_is_oa,is_oa,oa_status,pdf,access
1544,Ag,Sphere,CYS,Chemical Reduction,Negative,,,5000.0,A,Mouse,SubcutaneousConnectiveTissue,Fibroblast,Adult,24,1.0,MTT,TetrazoliumSalt,103.7,10.3762/bxiv.2019.15.v1,43,,8.0,-56.9,L929,,Beilstein Institut,2019,Interaction of Small Biothiols with Silver and Gold Nanoparticles,False,True,green,43_201915-pdf.pdf,1
1545,Ag,Sphere,CYS,Chemical Reduction,Negative,,,5000.0,A,Mouse,SubcutaneousConnectiveTissue,Fibroblast,Adult,24,5.0,MTT,TetrazoliumSalt,98.413,10.3762/bxiv.2019.15.v1,43,,8.0,-56.9,L929,,Beilstein Institut,2019,Interaction of Small Biothiols with Silver and Gold Nanoparticles,False,True,green,43_201915-pdf.pdf,1
1546,Ag,Sphere,CYS,Chemical Reduction,Negative,,,5000.0,A,,,Fibroblast,,24,10.0,MTT,TetrazoliumSalt,85.185,10.3762/bxiv.2019.15.v1,43,,8.0,-56.9,L929,,Beilstein Institut,2019,Interaction of Small Biothiols with Silver and Gold Nanoparticles,False,True,green,43_201915-pdf.pdf,1
1547,Ag,Sphere,CYS,Chemical Reduction,Negative,,,5000.0,A,,,Fibroblast,,24,25.0,MTT,TetrazoliumSalt,74.074,10.3762/bxiv.2019.15.v1,43,,8.0,-56.9,L929,,Beilstein Institut,2019,Interaction of Small Biothiols with Silver and Gold Nanoparticles,False,True,green,43_201915-pdf.pdf,1
1548,Ag,Sphere,CYS,Chemical Reduction,Negative,,,5000.0,A,,,Fibroblast,,24,50.0,MTT,TetrazoliumSalt,41.799,10.3762/bxiv.2019.15.v1,43,,8.0,-56.9,L929,,Beilstein Institut,2019,Interaction of Small Biothiols with Silver and Gold Nanoparticles,False,True,green,43_201915-pdf.pdf,1
1549,Ag,Sphere,CYS,Chemical Reduction,Negative,,,5000.0,A,,,Fibroblast,,24,75.0,MTT,TetrazoliumSalt,16.931,10.3762/bxiv.2019.15.v1,43,,8.0,-56.9,L929,,Beilstein Institut,2019,Interaction of Small Biothiols with Silver and Gold Nanoparticles,False,True,green,43_201915-pdf.pdf,1
1550,Ag,Sphere,CYS,Chemical Reduction,Negative,,,5000.0,A,,,Fibroblast,,24,100.0,MTT,TetrazoliumSalt,18.519,10.3762/bxiv.2019.15.v1,43,,8.0,-56.9,L929,,Beilstein Institut,2019,Interaction of Small Biothiols with Silver and Gold Nanoparticles,False,True,green,43_201915-pdf.pdf,1
1551,Ag,Sphere,GSH,Chemical Reduction,Negative,,,5000.0,A,,,Fibroblast,,24,1.0,MTT,TetrazoliumSalt,103.17,10.3762/bxiv.2019.15.v1,43,,6.0,-50.9,L929,,Beilstein Institut,2019,Interaction of Small Biothiols with Silver and Gold Nanoparticles,False,True,green,43_201915-pdf.pdf,1
1552,Ag,Sphere,GSH,Chemical Reduction,Negative,,,5000.0,A,,,Fibroblast,,24,5.0,MTT,TetrazoliumSalt,77.249,10.3762/bxiv.2019.15.v1,43,,6.0,-50.9,L929,,Beilstein Institut,2019,Interaction of Small Biothiols with Silver and Gold Nanoparticles,False,True,green,43_201915-pdf.pdf,1
1553,Ag,Sphere,GSH,Chemical Reduction,Negative,,,5000.0,A,,,Fibroblast,,24,10.0,MTT,TetrazoliumSalt,50.794,10.3762/bxiv.2019.15.v1,43,,6.0,-50.9,L929,,Beilstein Institut,2019,Interaction of Small Biothiols with Silver and Gold Nanoparticles,False,True,green,43_201915-pdf.pdf,1
1554,Ag,Sphere,GSH,Chemical Reduction,Negative,,,5000.0,A,,,Fibroblast,,24,25.0,MTT,TetrazoliumSalt,23.81,10.3762/bxiv.2019.15.v1,43,,6.0,-50.9,L929,,Beilstein Institut,2019,Interaction of Small Biothiols with Silver and Gold Nanoparticles,False,True,green,43_201915-pdf.pdf,1
1555,Ag,Sphere,GSH,Chemical Reduction,Negative,,,5000.0,A,,,Fibroblast,,24,50.0,MTT,TetrazoliumSalt,20.106,10.3762/bxiv.2019.15.v1,43,,6.0,-50.9,L929,,Beilstein Institut,2019,Interaction of Small Biothiols with Silver and Gold Nanoparticles,False,True,green,43_201915-pdf.pdf,1
1556,Ag,Sphere,GSH,Chemical Reduction,Negative,,,5000.0,A,,,Fibroblast,,24,75.0,MTT,TetrazoliumSalt,16.931,10.3762/bxiv.2019.15.v1,43,,6.0,-50.9,L929,,Beilstein Institut,2019,Interaction of Small Biothiols with Silver and Gold Nanoparticles,False,True,green,43_201915-pdf.pdf,1
1557,Ag,Sphere,GSH,Chemical Reduction,Negative,,,5000.0,A,,,Fibroblast,,24,100.0,MTT,TetrazoliumSalt,16.931,10.3762/bxiv.2019.15.v1,43,,6.0,-50.9,L929,,Beilstein Institut,2019,Interaction of Small Biothiols with Silver and Gold Nanoparticles,False,True,green,43_201915-pdf.pdf,1
1558,Au,Sphere,CYS,Chemical Reduction,Negative,,,5000.0,A,,,Fibroblast,,24,1.0,MTT,TetrazoliumSalt,105.29,10.3762/bxiv.2019.15.v1,43,,100.0,-46.8,L929,,Beilstein Institut,2019,Interaction of Small Biothiols with Silver and Gold Nanoparticles,False,True,green,43_201915-pdf.pdf,1
1559,Au,Sphere,CYS,Chemical Reduction,Negative,,,5000.0,A,,,Fibroblast,,24,5.0,MTT,TetrazoliumSalt,102.65,10.3762/bxiv.2019.15.v1,43,,100.0,-46.8,L929,,Beilstein Institut,2019,Interaction of Small Biothiols with Silver and Gold Nanoparticles,False,True,green,43_201915-pdf.pdf,1
1560,Au,Sphere,CYS,Chemical Reduction,Negative,,,5000.0,A,,,Fibroblast,,24,10.0,MTT,TetrazoliumSalt,104.23,10.3762/bxiv.2019.15.v1,43,,100.0,-46.8,L929,,Beilstein Institut,2019,Interaction of Small Biothiols with Silver and Gold Nanoparticles,False,True,green,43_201915-pdf.pdf,1
1561,Au,Sphere,CYS,Chemical Reduction,Negative,,,5000.0,A,,,Fibroblast,,24,25.0,MTT,TetrazoliumSalt,96.825,10.3762/bxiv.2019.15.v1,43,,100.0,-46.8,L929,,Beilstein Institut,2019,Interaction of Small Biothiols with Silver and Gold Nanoparticles,False,True,green,43_201915-pdf.pdf,1
1562,Au,Sphere,CYS,Chemical Reduction,Negative,,,5000.0,A,,,Fibroblast,,24,50.0,MTT,TetrazoliumSalt,90.476,10.3762/bxiv.2019.15.v1,43,,100.0,-46.8,L929,,Beilstein Institut,2019,Interaction of Small Biothiols with Silver and Gold Nanoparticles,False,True,green,43_201915-pdf.pdf,1
1563,Au,Sphere,CYS,Chemical Reduction,Negative,,,5000.0,A,,,Fibroblast,,24,100.0,MTT,TetrazoliumSalt,87.831,10.3762/bxiv.2019.15.v1,43,,100.0,-46.8,L929,,Beilstein Institut,2019,Interaction of Small Biothiols with Silver and Gold Nanoparticles,False,True,green,43_201915-pdf.pdf,1
1564,Au,Sphere,CYS,Chemical Reduction,Negative,,,5000.0,A,,,Fibroblast,,24,300.0,MTT,TetrazoliumSalt,69.312,10.3762/bxiv.2019.15.v1,43,,100.0,-46.8,L929,,Beilstein Institut,2019,Interaction of Small Biothiols with Silver and Gold Nanoparticles,False,True,green,43_201915-pdf.pdf,1
1565,Au,Sphere,GSH,Chemical Reduction,Negative,,,5000.0,A,,,Fibroblast,,24,1.0,MTT,TetrazoliumSalt,106.35,10.3762/bxiv.2019.15.v1,43,,100.0,-58.0,L929,,Beilstein Institut,2019,Interaction of Small Biothiols with Silver and Gold Nanoparticles,False,True,green,43_201915-pdf.pdf,1
1566,Au,Sphere,GSH,Chemical Reduction,Negative,,,5000.0,A,,,Fibroblast,,24,5.0,MTT,TetrazoliumSalt,109.52,10.3762/bxiv.2019.15.v1,43,,100.0,-58.0,L929,,Beilstein Institut,2019,Interaction of Small Biothiols with Silver and Gold Nanoparticles,False,True,green,43_201915-pdf.pdf,1
