sn,material,shape,coat_functional_group,synthesis_method,surface_charge,size_in_medium_nm,zeta_in_medium_mv,no_of_cells_cells_well,human_animal,cell_source,cell_tissue,cell_morphology,cell_age,time_hr,concentration,test,test_indicator,viability_%,doi,article_list,core_nm,hydrodynamic_nm,potential_mv,cell_type,journal_name,publisher,year,title,journal_is_oa,is_oa,oa_status,pdf,access
1682,CuO,,,Commercial,Positive,214.0,-10.5,,H,Human,Lung,Epithelial,Adult,4,5.0,CellTiterBlue,AlamarBlue,124.78,10.1186/s12989-016-0160-6,46,,28.2,35.9,A549,Particle and Fibre Toxicology,Springer Science and Business Media LLC,2015,Copper oxide nanoparticle toxicity profiling using untargeted metabolomics,True,True,gold,46_boyles2015.pdf,1
1683,CuO,,,Commercial,Positive,214.0,-10.5,,H,Human,Lung,Epithelial,Adult,4,10.0,CellTiterBlue,AlamarBlue,128.04,10.1186/s12989-016-0160-6,46,,28.2,35.9,A549,Particle and Fibre Toxicology,Springer Science and Business Media LLC,2015,Copper oxide nanoparticle toxicity profiling using untargeted metabolomics,True,True,gold,46_boyles2015.pdf,1
1684,CuO,,,Commercial,Positive,214.0,-10.5,,H,Human,Lung,Epithelial,Adult,4,20.0,CellTiterBlue,AlamarBlue,126.3,10.1186/s12989-016-0160-6,46,,28.2,35.9,A549,Particle and Fibre Toxicology,Springer Science and Business Media LLC,2015,Copper oxide nanoparticle toxicity profiling using untargeted metabolomics,True,True,gold,46_boyles2015.pdf,1
1685,CuO,,,Commercial,Positive,214.0,-10.5,,H,Human,Lung,Epithelial,Adult,4,40.0,CellTiterBlue,AlamarBlue,101.09,10.1186/s12989-016-0160-6,46,,28.2,35.9,A549,Particle and Fibre Toxicology,Springer Science and Business Media LLC,2015,Copper oxide nanoparticle toxicity profiling using untargeted metabolomics,True,True,gold,46_boyles2015.pdf,1
1686,CuO,,,Commercial,Positive,214.0,-10.5,,H,Human,Lung,Epithelial,Adult,24,5.0,CellTiterBlue,AlamarBlue,110.22,10.1186/s12989-016-0160-6,46,,28.2,35.9,A549,Particle and Fibre Toxicology,Springer Science and Business Media LLC,2015,Copper oxide nanoparticle toxicity profiling using untargeted metabolomics,True,True,gold,46_boyles2015.pdf,1
1687,CuO,,,Commercial,Positive,214.0,-10.5,,H,Human,Lung,Epithelial,Adult,24,10.0,CellTiterBlue,AlamarBlue,98.261,10.1186/s12989-016-0160-6,46,,28.2,35.9,A549,Particle and Fibre Toxicology,Springer Science and Business Media LLC,2015,Copper oxide nanoparticle toxicity profiling using untargeted metabolomics,True,True,gold,46_boyles2015.pdf,1
1688,CuO,,,Commercial,Positive,214.0,-10.5,,H,Human,Lung,Epithelial,Adult,24,20.0,CellTiterBlue,AlamarBlue,45.217,10.1186/s12989-016-0160-6,46,,28.2,35.9,A549,Particle and Fibre Toxicology,Springer Science and Business Media LLC,2015,Copper oxide nanoparticle toxicity profiling using untargeted metabolomics,True,True,gold,46_boyles2015.pdf,1
1689,CuO,,,Commercial,Positive,214.0,-10.5,,H,Human,Lung,Epithelial,Adult,24,40.0,CellTiterBlue,AlamarBlue,20.0,10.1186/s12989-016-0160-6,46,,28.2,35.9,A549,Particle and Fibre Toxicology,Springer Science and Business Media LLC,2015,Copper oxide nanoparticle toxicity profiling using untargeted metabolomics,True,True,gold,46_boyles2015.pdf,1
1690,CuO,,,Commercial,Positive,214.0,-10.5,,H,Human,Lung,Epithelial,Adult,48,5.0,CellTiterBlue,AlamarBlue,100.0,10.1186/s12989-016-0160-6,46,,28.2,35.9,A549,Particle and Fibre Toxicology,Springer Science and Business Media LLC,2015,Copper oxide nanoparticle toxicity profiling using untargeted metabolomics,True,True,gold,46_boyles2015.pdf,1
1691,CuO,,,Commercial,Positive,214.0,-10.5,,H,Human,Lung,Epithelial,Adult,48,10.0,CellTiterBlue,AlamarBlue,66.739,10.1186/s12989-016-0160-6,46,,28.2,35.9,A549,Particle and Fibre Toxicology,Springer Science and Business Media LLC,2015,Copper oxide nanoparticle toxicity profiling using untargeted metabolomics,True,True,gold,46_boyles2015.pdf,1
1692,CuO,,,Commercial,Positive,214.0,-10.5,,H,Human,Lung,Epithelial,Adult,48,20.0,CellTiterBlue,AlamarBlue,17.609,10.1186/s12989-016-0160-6,46,,28.2,35.9,A549,Particle and Fibre Toxicology,Springer Science and Business Media LLC,2015,Copper oxide nanoparticle toxicity profiling using untargeted metabolomics,True,True,gold,46_boyles2015.pdf,1
1693,CuO,,,Commercial,Positive,214.0,-10.5,,H,Human,Lung,Epithelial,Adult,48,40.0,CellTiterBlue,AlamarBlue,7.1739,10.1186/s12989-016-0160-6,46,,28.2,35.9,A549,Particle and Fibre Toxicology,Springer Science and Business Media LLC,2015,Copper oxide nanoparticle toxicity profiling using untargeted metabolomics,True,True,gold,46_boyles2015.pdf,1
