sn,material,shape,coat_functional_group,synthesis_method,surface_charge,size_in_medium_nm,zeta_in_medium_mv,no_of_cells_cells_well,human_animal,cell_source,cell_tissue,cell_morphology,cell_age,time_hr,concentration,test,test_indicator,viability_%,doi,article_list,core_nm,hydrodynamic_nm,potential_mv,cell_type,journal_name,publisher,year,title,journal_is_oa,is_oa,oa_status,pdf,access
2231,Au,Sphere,Citrate,Chemical Reduction,Negative,,,500000.0,H,Human,Blood,Lymphoblast,Adult,24,15.0,MTT,TetrazoliumSalt,71.03,10.1007/s11051-018-4406-0,72,,14.5,-158.0,PBMC,Journal of Nanoparticle Research,Springer Science and Business Media LLC,2018,Influence of size and surface capping on photoluminescence and cytotoxicity of gold nanoparticles,False,True,hybrid,72_10.1007@s11051-018-4406-0.pdf,1
2232,Au,Sphere,CyA,Chemical Reduction,Positive,,,500000.0,H,Human,Blood,Lymphoblast,Adult,24,15.0,MTT,TetrazoliumSalt,75.567,10.1007/s11051-018-4406-0,72,,6.5,88.0,PBMC,Journal of Nanoparticle Research,Springer Science and Business Media LLC,2018,Influence of size and surface capping on photoluminescence and cytotoxicity of gold nanoparticles,False,True,hybrid,72_10.1007@s11051-018-4406-0.pdf,1
2233,Au,Sphere,GSH,Chemical Reduction,Negative,,,500000.0,H,Human,Blood,Lymphoblast,Adult,24,15.0,MTT,TetrazoliumSalt,72.251,10.1007/s11051-018-4406-0,72,,3.8,-140.0,PBMC,Journal of Nanoparticle Research,Springer Science and Business Media LLC,2018,Influence of size and surface capping on photoluminescence and cytotoxicity of gold nanoparticles,False,True,hybrid,72_10.1007@s11051-018-4406-0.pdf,1
2234,Au,Sphere,Citrate,Chemical Reduction,Negative,,,500000.0,H,Human,Blood,Lymphoblast,Adult,24,15.0,MTT,TetrazoliumSalt,83.072,10.1007/s11051-018-4406-0,72,,7.0,-99.0,PBMC,Journal of Nanoparticle Research,Springer Science and Business Media LLC,2018,Influence of size and surface capping on photoluminescence and cytotoxicity of gold nanoparticles,False,True,hybrid,72_10.1007@s11051-018-4406-0.pdf,1
2235,Au,Sphere,Citrate,Chemical Reduction,Negative,,,500000.0,H,Human,Blood,Lymphoblast,Adult,24,1.5,MTT,TetrazoliumSalt,87.053,10.1007/s11051-018-4406-0,72,,14.5,-158.0,PBMC,Journal of Nanoparticle Research,Springer Science and Business Media LLC,2018,Influence of size and surface capping on photoluminescence and cytotoxicity of gold nanoparticles,False,True,hybrid,72_10.1007@s11051-018-4406-0.pdf,1
2236,Au,Sphere,CyA,Chemical Reduction,Positive,,,500000.0,H,Human,Blood,Lymphoblast,Adult,24,1.5,MTT,TetrazoliumSalt,99.319,10.1007/s11051-018-4406-0,72,,6.5,88.0,PBMC,Journal of Nanoparticle Research,Springer Science and Business Media LLC,2018,Influence of size and surface capping on photoluminescence and cytotoxicity of gold nanoparticles,False,True,hybrid,72_10.1007@s11051-018-4406-0.pdf,1
2237,Au,Sphere,GSH,Chemical Reduction,Negative,,,500000.0,H,Human,Blood,Lymphoblast,Adult,24,1.5,MTT,TetrazoliumSalt,102.21,10.1007/s11051-018-4406-0,72,,3.8,-140.0,PBMC,Journal of Nanoparticle Research,Springer Science and Business Media LLC,2018,Influence of size and surface capping on photoluminescence and cytotoxicity of gold nanoparticles,False,True,hybrid,72_10.1007@s11051-018-4406-0.pdf,1
2238,Au,Sphere,Citrate,Chemical Reduction,Negative,,,500000.0,H,Human,Blood,Lymphoblast,Adult,24,1.5,MTT,TetrazoliumSalt,85.349,10.1007/s11051-018-4406-0,72,,7.0,-99.0,PBMC,Journal of Nanoparticle Research,Springer Science and Business Media LLC,2018,Influence of size and surface capping on photoluminescence and cytotoxicity of gold nanoparticles,False,True,hybrid,72_10.1007@s11051-018-4406-0.pdf,1
2239,Au,Sphere,Citrate,Chemical Reduction,Negative,,,500000.0,H,Human,Blood,Lymphoblast,Adult,24,15.0,MTT,TetrazoliumSalt,93.309,10.1007/s11051-018-4406-0,72,,14.5,-158.0,Jurkat,Journal of Nanoparticle Research,Springer Science and Business Media LLC,2018,Influence of size and surface capping on photoluminescence and cytotoxicity of gold nanoparticles,False,True,hybrid,72_10.1007@s11051-018-4406-0.pdf,1
2240,Au,Sphere,CyA,Chemical Reduction,Positive,,,500000.0,H,Human,Blood,Lymphoblast,Adult,24,15.0,MTT,TetrazoliumSalt,83.457,10.1007/s11051-018-4406-0,72,,6.5,88.0,Jurkat,Journal of Nanoparticle Research,Springer Science and Business Media LLC,2018,Influence of size and surface capping on photoluminescence and cytotoxicity of gold nanoparticles,False,True,hybrid,72_10.1007@s11051-018-4406-0.pdf,1
