sn,material,shape,coat_functional_group,synthesis_method,surface_charge,size_in_medium_nm,zeta_in_medium_mv,no_of_cells_cells_well,human_animal,cell_source,cell_tissue,cell_morphology,cell_age,time_hr,concentration,test,test_indicator,viability_%,doi,article_list,core_nm,hydrodynamic_nm,potential_mv,cell_type,journal_name,publisher,year,title,journal_is_oa,is_oa,oa_status,pdf,access
2277,Au,Sphere,Citrate,Chemical Reduction,,,,2000.0,H,Human,Lung,Epithelial,Adult,24,50.0,CCK-8,TetrazoliumSalt,99.758,10.1371/journal.pone.0099175,74,,5.0,,A549,PLoS ONE,Public Library of Science (PLoS),2014,Effects of Internalized Gold Nanoparticles with Respect to Cytotoxicity and Invasion Activity in Lung Cancer Cells,True,True,gold,74_liu2014.pdf,1
2278,Au,Sphere,Citrate,Chemical Reduction,,,,2000.0,H,Human,Lung,Epithelial,Adult,24,50.0,CCK-8,TetrazoliumSalt,102.17,10.1371/journal.pone.0099175,74,,10.0,,A549,PLoS ONE,Public Library of Science (PLoS),2014,Effects of Internalized Gold Nanoparticles with Respect to Cytotoxicity and Invasion Activity in Lung Cancer Cells,True,True,gold,74_liu2014.pdf,1
2279,Au,Sphere,Citrate,Chemical Reduction,,,,2000.0,H,Human,Lung,Epithelial,Adult,24,50.0,CCK-8,TetrazoliumSalt,107.97,10.1371/journal.pone.0099175,74,,20.0,,A549,PLoS ONE,Public Library of Science (PLoS),2014,Effects of Internalized Gold Nanoparticles with Respect to Cytotoxicity and Invasion Activity in Lung Cancer Cells,True,True,gold,74_liu2014.pdf,1
2280,Au,Sphere,Citrate,Chemical Reduction,,,,2000.0,H,Human,Lung,Epithelial,Adult,24,50.0,CCK-8,TetrazoliumSalt,113.53,10.1371/journal.pone.0099175,74,,40.0,,A549,PLoS ONE,Public Library of Science (PLoS),2014,Effects of Internalized Gold Nanoparticles with Respect to Cytotoxicity and Invasion Activity in Lung Cancer Cells,True,True,gold,74_liu2014.pdf,1
2281,Au,Sphere,Citrate,Chemical Reduction,,,,2000.0,H,Human,Lung,Epithelial,Adult,48,50.0,CCK-8,TetrazoliumSalt,85.99,10.1371/journal.pone.0099175,74,,5.0,,A549,PLoS ONE,Public Library of Science (PLoS),2014,Effects of Internalized Gold Nanoparticles with Respect to Cytotoxicity and Invasion Activity in Lung Cancer Cells,True,True,gold,74_liu2014.pdf,1
2282,Au,Sphere,Citrate,Chemical Reduction,,,,2000.0,H,Human,Lung,Epithelial,Adult,48,50.0,CCK-8,TetrazoliumSalt,102.17,10.1371/journal.pone.0099175,74,,10.0,,A549,PLoS ONE,Public Library of Science (PLoS),2014,Effects of Internalized Gold Nanoparticles with Respect to Cytotoxicity and Invasion Activity in Lung Cancer Cells,True,True,gold,74_liu2014.pdf,1
2283,Au,Sphere,Citrate,Chemical Reduction,,,,2000.0,H,Human,Lung,Epithelial,Adult,48,50.0,CCK-8,TetrazoliumSalt,105.31,10.1371/journal.pone.0099175,74,,20.0,,A549,PLoS ONE,Public Library of Science (PLoS),2014,Effects of Internalized Gold Nanoparticles with Respect to Cytotoxicity and Invasion Activity in Lung Cancer Cells,True,True,gold,74_liu2014.pdf,1
2284,Au,Sphere,Citrate,Chemical Reduction,,,,2000.0,H,Human,Lung,Epithelial,Adult,48,50.0,CCK-8,TetrazoliumSalt,112.56,10.1371/journal.pone.0099175,74,,40.0,,A549,PLoS ONE,Public Library of Science (PLoS),2014,Effects of Internalized Gold Nanoparticles with Respect to Cytotoxicity and Invasion Activity in Lung Cancer Cells,True,True,gold,74_liu2014.pdf,1
2285,Au,Sphere,Citrate,Chemical Reduction,,,,2000.0,H,Human,Lung,Epithelial,Adult,72,50.0,CCK-8,TetrazoliumSalt,70.29,10.1371/journal.pone.0099175,74,,5.0,,A549,PLoS ONE,Public Library of Science (PLoS),2014,Effects of Internalized Gold Nanoparticles with Respect to Cytotoxicity and Invasion Activity in Lung Cancer Cells,True,True,gold,74_liu2014.pdf,1
2286,Au,Sphere,Citrate,Chemical Reduction,,,,2000.0,H,Human,Lung,Epithelial,Adult,72,50.0,CCK-8,TetrazoliumSalt,100.97,10.1371/journal.pone.0099175,74,,10.0,,A549,PLoS ONE,Public Library of Science (PLoS),2014,Effects of Internalized Gold Nanoparticles with Respect to Cytotoxicity and Invasion Activity in Lung Cancer Cells,True,True,gold,74_liu2014.pdf,1
2287,Au,Sphere,Citrate,Chemical Reduction,,,,2000.0,H,Human,Lung,Epithelial,Adult,72,50.0,CCK-8,TetrazoliumSalt,107.73,10.1371/journal.pone.0099175,74,,20.0,,A549,PLoS ONE,Public Library of Science (PLoS),2014,Effects of Internalized Gold Nanoparticles with Respect to Cytotoxicity and Invasion Activity in Lung Cancer Cells,True,True,gold,74_liu2014.pdf,1
2288,Au,Sphere,Citrate,Chemical Reduction,,,,2000.0,H,Human,Lung,Epithelial,Adult,72,50.0,CCK-8,TetrazoliumSalt,117.63,10.1371/journal.pone.0099175,74,,40.0,,A549,PLoS ONE,Public Library of Science (PLoS),2014,Effects of Internalized Gold Nanoparticles with Respect to Cytotoxicity and Invasion Activity in Lung Cancer Cells,True,True,gold,74_liu2014.pdf,1
2289,Au,Sphere,Citrate,Chemical Reduction,,,,2000.0,H,Human,Lung,Epithelial,Adult,24,50.0,CCK-8,TetrazoliumSalt,62.53,10.1371/journal.pone.0099175,74,,5.0,,95D,PLoS ONE,Public Library of Science (PLoS),2014,Effects of Internalized Gold Nanoparticles with Respect to Cytotoxicity and Invasion Activity in Lung Cancer Cells,True,True,gold,74_liu2014.pdf,1
2290,Au,Sphere,Citrate,Chemical Reduction,,,,2000.0,H,Human,Lung,Epithelial,Adult,24,50.0,CCK-8,TetrazoliumSalt,106.21,10.1371/journal.pone.0099175,74,,10.0,,95D,PLoS ONE,Public Library of Science (PLoS),2014,Effects of Internalized Gold Nanoparticles with Respect to Cytotoxicity and Invasion Activity in Lung Cancer Cells,True,True,gold,74_liu2014.pdf,1
