sn,material,shape,coat_functional_group,synthesis_method,surface_charge,size_in_medium_nm,zeta_in_medium_mv,no_of_cells_cells_well,human_animal,cell_source,cell_tissue,cell_morphology,cell_age,time_hr,concentration,test,test_indicator,viability_%,doi,article_list,core_nm,hydrodynamic_nm,potential_mv,cell_type,journal_name,publisher,year,title,journal_is_oa,is_oa,oa_status,pdf,access
2560,Fe3O4,Sphere,PEI,Commercial,Positive,,,,A,Mouse,Ascites,Monocyte/Macrophage,Adult,48,3.125,MTS,TetrazoliumSalt,98.282,10.1038/s41598-018-19628-z,81,,10.0,29.28,RAW264.7,Scientific Reports,Springer Science and Business Media LLC,2018,"Uptake, distribution, clearance, and toxicity of iron oxide nanoparticles with different sizes and coatings",True,True,gold,81_feng2018.pdf,1
2561,Fe3O4,Sphere,PEI,Commercial,Positive,,,,A,Mouse,Ascites,Monocyte/Macrophage,Adult,48,6.25,MTS,TetrazoliumSalt,82.646,10.1038/s41598-018-19628-z,81,,10.0,29.28,RAW264.7,Scientific Reports,Springer Science and Business Media LLC,2018,"Uptake, distribution, clearance, and toxicity of iron oxide nanoparticles with different sizes and coatings",True,True,gold,81_feng2018.pdf,1
2562,Fe3O4,Sphere,PEI,Commercial,Positive,,,,A,Mouse,Ascites,Monocyte/Macrophage,Adult,48,12.5,MTS,TetrazoliumSalt,15.636,10.1038/s41598-018-19628-z,81,,10.0,29.28,RAW264.7,Scientific Reports,Springer Science and Business Media LLC,2018,"Uptake, distribution, clearance, and toxicity of iron oxide nanoparticles with different sizes and coatings",True,True,gold,81_feng2018.pdf,1
2563,Fe3O4,Sphere,PEI,Commercial,Positive,,,,A,Mouse,Ascites,Monocyte/Macrophage,Adult,48,25.0,MTS,TetrazoliumSalt,5.4983,10.1038/s41598-018-19628-z,81,,10.0,29.28,RAW264.7,Scientific Reports,Springer Science and Business Media LLC,2018,"Uptake, distribution, clearance, and toxicity of iron oxide nanoparticles with different sizes and coatings",True,True,gold,81_feng2018.pdf,1
2564,Fe3O4,Sphere,PEI,Commercial,Positive,,,,A,Mouse,Ascites,Monocyte/Macrophage,Adult,48,50.0,MTS,TetrazoliumSalt,2.921,10.1038/s41598-018-19628-z,81,,10.0,29.28,RAW264.7,Scientific Reports,Springer Science and Business Media LLC,2018,"Uptake, distribution, clearance, and toxicity of iron oxide nanoparticles with different sizes and coatings",True,True,gold,81_feng2018.pdf,1
2565,Fe3O4,Sphere,PEI,Commercial,Positive,,,,A,Mouse,Ascites,Monocyte/Macrophage,Adult,48,100.0,MTS,TetrazoliumSalt,1.2027,10.1038/s41598-018-19628-z,81,,10.0,29.28,RAW264.7,Scientific Reports,Springer Science and Business Media LLC,2018,"Uptake, distribution, clearance, and toxicity of iron oxide nanoparticles with different sizes and coatings",True,True,gold,81_feng2018.pdf,1
2566,Fe3O4,Sphere,PEG,Commercial,Neutral,,,,A,Mouse,Ascites,Monocyte/Macrophage,Adult,48,3.125,MTS,TetrazoliumSalt,100.86,10.1038/s41598-018-19628-z,81,,10.0,-0.52,RAW264.7,Scientific Reports,Springer Science and Business Media LLC,2018,"Uptake, distribution, clearance, and toxicity of iron oxide nanoparticles with different sizes and coatings",True,True,gold,81_feng2018.pdf,1
2567,Fe3O4,Sphere,PEG,Commercial,Neutral,,,,A,Mouse,Ascites,Monocyte/Macrophage,Adult,48,6.25,MTS,TetrazoliumSalt,101.89,10.1038/s41598-018-19628-z,81,,10.0,-0.52,RAW264.7,Scientific Reports,Springer Science and Business Media LLC,2018,"Uptake, distribution, clearance, and toxicity of iron oxide nanoparticles with different sizes and coatings",True,True,gold,81_feng2018.pdf,1
2568,Fe3O4,Sphere,PEG,Commercial,Neutral,,,,A,Mouse,Ascites,Monocyte/Macrophage,Adult,48,12.5,MTS,TetrazoliumSalt,103.78,10.1038/s41598-018-19628-z,81,,10.0,-0.52,RAW264.7,Scientific Reports,Springer Science and Business Media LLC,2018,"Uptake, distribution, clearance, and toxicity of iron oxide nanoparticles with different sizes and coatings",True,True,gold,81_feng2018.pdf,1
2569,Fe3O4,Sphere,PEG,Commercial,Neutral,,,,A,Mouse,Ascites,Monocyte/Macrophage,Adult,48,25.0,MTS,TetrazoliumSalt,101.2,10.1038/s41598-018-19628-z,81,,10.0,-0.52,RAW264.7,Scientific Reports,Springer Science and Business Media LLC,2018,"Uptake, distribution, clearance, and toxicity of iron oxide nanoparticles with different sizes and coatings",True,True,gold,81_feng2018.pdf,1
2570,Fe3O4,Sphere,PEG,Commercial,Neutral,,,,A,Mouse,Ascites,Monocyte/Macrophage,Adult,48,50.0,MTS,TetrazoliumSalt,83.333,10.1038/s41598-018-19628-z,81,,10.0,-0.52,RAW264.7,Scientific Reports,Springer Science and Business Media LLC,2018,"Uptake, distribution, clearance, and toxicity of iron oxide nanoparticles with different sizes and coatings",True,True,gold,81_feng2018.pdf,1
2571,Fe3O4,Sphere,PEG,Commercial,Neutral,,,,A,Mouse,Ascites,Monocyte/Macrophage,Adult,48,100.0,MTS,TetrazoliumSalt,56.701,10.1038/s41598-018-19628-z,81,,10.0,-0.52,RAW264.7,Scientific Reports,Springer Science and Business Media LLC,2018,"Uptake, distribution, clearance, and toxicity of iron oxide nanoparticles with different sizes and coatings",True,True,gold,81_feng2018.pdf,1
2572,Fe3O4,Sphere,PEG,Commercial,Neutral,,,,A,Mouse,Ascites,Monocyte/Macrophage,Adult,48,3.125,MTS,TetrazoliumSalt,97.595,10.1038/s41598-018-19628-z,81,,30.0,-0.52,RAW264.7,Scientific Reports,Springer Science and Business Media LLC,2018,"Uptake, distribution, clearance, and toxicity of iron oxide nanoparticles with different sizes and coatings",True,True,gold,81_feng2018.pdf,1
2573,Fe3O4,Sphere,PEG,Commercial,Neutral,,,,A,Mouse,Ascites,Monocyte/Macrophage,Adult,48,6.25,MTS,TetrazoliumSalt,97.079,10.1038/s41598-018-19628-z,81,,30.0,-0.52,RAW264.7,Scientific Reports,Springer Science and Business Media LLC,2018,"Uptake, distribution, clearance, and toxicity of iron oxide nanoparticles with different sizes and coatings",True,True,gold,81_feng2018.pdf,1
2574,Fe3O4,Sphere,PEG,Commercial,Neutral,,,,A,Mouse,Ascites,Monocyte/Macrophage,Adult,48,12.5,MTS,TetrazoliumSalt,103.26,10.1038/s41598-018-19628-z,81,,30.0,-0.52,RAW264.7,Scientific Reports,Springer Science and Business Media LLC,2018,"Uptake, distribution, clearance, and toxicity of iron oxide nanoparticles with different sizes and coatings",True,True,gold,81_feng2018.pdf,1
2575,Fe3O4,Sphere,PEG,Commercial,Neutral,,,,A,Mouse,Ascites,Monocyte/Macrophage,Adult,48,25.0,MTS,TetrazoliumSalt,107.73,10.1038/s41598-018-19628-z,81,,30.0,-0.52,RAW264.7,Scientific Reports,Springer Science and Business Media LLC,2018,"Uptake, distribution, clearance, and toxicity of iron oxide nanoparticles with different sizes and coatings",True,True,gold,81_feng2018.pdf,1
2576,Fe3O4,Sphere,PEG,Commercial,Neutral,,,,A,Mouse,Ascites,Monocyte/Macrophage,Adult,48,50.0,MTS,TetrazoliumSalt,88.144,10.1038/s41598-018-19628-z,81,,30.0,-0.52,RAW264.7,Scientific Reports,Springer Science and Business Media LLC,2018,"Uptake, distribution, clearance, and toxicity of iron oxide nanoparticles with different sizes and coatings",True,True,gold,81_feng2018.pdf,1
2577,Fe3O4,Sphere,PEG,Commercial,Neutral,,,,A,Mouse,Ascites,Monocyte/Macrophage,Adult,48,100.0,MTS,TetrazoliumSalt,73.196,10.1038/s41598-018-19628-z,81,,30.0,-0.52,RAW264.7,Scientific Reports,Springer Science and Business Media LLC,2018,"Uptake, distribution, clearance, and toxicity of iron oxide nanoparticles with different sizes and coatings",True,True,gold,81_feng2018.pdf,1
2578,Fe3O4,Sphere,PEI,Commercial,Positive,,,,H,Human,Ovary,Epithelial,Adult,48,3.125,MTS,TetrazoliumSalt,70.872,10.1038/s41598-018-19628-z,81,,10.0,29.28,SKOV-3,Scientific Reports,Springer Science and Business Media LLC,2018,"Uptake, distribution, clearance, and toxicity of iron oxide nanoparticles with different sizes and coatings",True,True,gold,81_feng2018.pdf,1
2579,Fe3O4,Sphere,PEI,Commercial,Positive,,,,H,Human,Ovary,Epithelial,Adult,48,6.25,MTS,TetrazoliumSalt,8.9054,10.1038/s41598-018-19628-z,81,,10.0,29.28,SKOV-3,Scientific Reports,Springer Science and Business Media LLC,2018,"Uptake, distribution, clearance, and toxicity of iron oxide nanoparticles with different sizes and coatings",True,True,gold,81_feng2018.pdf,1
2580,Fe3O4,Sphere,PEI,Commercial,Positive,,,,H,Human,Ovary,Epithelial,Adult,48,12.5,MTS,TetrazoliumSalt,7.0501,10.1038/s41598-018-19628-z,81,,10.0,29.28,SKOV-3,Scientific Reports,Springer Science and Business Media LLC,2018,"Uptake, distribution, clearance, and toxicity of iron oxide nanoparticles with different sizes and coatings",True,True,gold,81_feng2018.pdf,1
2581,Fe3O4,Sphere,PEI,Commercial,Positive,,,,H,Human,Ovary,Epithelial,Adult,48,25.0,MTS,TetrazoliumSalt,3.525,10.1038/s41598-018-19628-z,81,,10.0,29.28,SKOV-3,Scientific Reports,Springer Science and Business Media LLC,2018,"Uptake, distribution, clearance, and toxicity of iron oxide nanoparticles with different sizes and coatings",True,True,gold,81_feng2018.pdf,1
2582,Fe3O4,Sphere,PEI,Commercial,Positive,,,,H,Human,Ovary,Epithelial,Adult,48,50.0,MTS,TetrazoliumSalt,2.7829,10.1038/s41598-018-19628-z,81,,10.0,29.28,SKOV-3,Scientific Reports,Springer Science and Business Media LLC,2018,"Uptake, distribution, clearance, and toxicity of iron oxide nanoparticles with different sizes and coatings",True,True,gold,81_feng2018.pdf,1
2583,Fe3O4,Sphere,PEI,Commercial,Positive,,,,H,Human,Ovary,Epithelial,Adult,48,100.0,MTS,TetrazoliumSalt,1.4842,10.1038/s41598-018-19628-z,81,,10.0,29.28,SKOV-3,Scientific Reports,Springer Science and Business Media LLC,2018,"Uptake, distribution, clearance, and toxicity of iron oxide nanoparticles with different sizes and coatings",True,True,gold,81_feng2018.pdf,1
2584,Fe3O4,Sphere,PEG,Commercial,Neutral,,,,H,Human,Ovary,Epithelial,Adult,48,3.125,MTS,TetrazoliumSalt,101.11,10.1038/s41598-018-19628-z,81,,10.0,-0.52,SKOV-3,Scientific Reports,Springer Science and Business Media LLC,2018,"Uptake, distribution, clearance, and toxicity of iron oxide nanoparticles with different sizes and coatings",True,True,gold,81_feng2018.pdf,1
2585,Fe3O4,Sphere,PEG,Commercial,Neutral,,,,H,Human,Ovary,Epithelial,Adult,48,6.25,MTS,TetrazoliumSalt,102.23,10.1038/s41598-018-19628-z,81,,10.0,-0.52,SKOV-3,Scientific Reports,Springer Science and Business Media LLC,2018,"Uptake, distribution, clearance, and toxicity of iron oxide nanoparticles with different sizes and coatings",True,True,gold,81_feng2018.pdf,1
2586,Fe3O4,Sphere,PEG,Commercial,Neutral,,,,H,Human,Ovary,Epithelial,Adult,48,12.5,MTS,TetrazoliumSalt,105.38,10.1038/s41598-018-19628-z,81,,10.0,-0.52,SKOV-3,Scientific Reports,Springer Science and Business Media LLC,2018,"Uptake, distribution, clearance, and toxicity of iron oxide nanoparticles with different sizes and coatings",True,True,gold,81_feng2018.pdf,1
2587,Fe3O4,Sphere,PEG,Commercial,Neutral,,,,H,Human,Ovary,Epithelial,Adult,48,25.0,MTS,TetrazoliumSalt,91.466,10.1038/s41598-018-19628-z,81,,10.0,-0.52,SKOV-3,Scientific Reports,Springer Science and Business Media LLC,2018,"Uptake, distribution, clearance, and toxicity of iron oxide nanoparticles with different sizes and coatings",True,True,gold,81_feng2018.pdf,1
2588,Fe3O4,Sphere,PEG,Commercial,Neutral,,,,H,Human,Ovary,Epithelial,Adult,48,50.0,MTS,TetrazoliumSalt,77.922,10.1038/s41598-018-19628-z,81,,10.0,-0.52,SKOV-3,Scientific Reports,Springer Science and Business Media LLC,2018,"Uptake, distribution, clearance, and toxicity of iron oxide nanoparticles with different sizes and coatings",True,True,gold,81_feng2018.pdf,1
2589,Fe3O4,Sphere,PEG,Commercial,Neutral,,,,H,Human,Ovary,Epithelial,Adult,48,100.0,MTS,TetrazoliumSalt,56.215,10.1038/s41598-018-19628-z,81,,10.0,-0.52,SKOV-3,Scientific Reports,Springer Science and Business Media LLC,2018,"Uptake, distribution, clearance, and toxicity of iron oxide nanoparticles with different sizes and coatings",True,True,gold,81_feng2018.pdf,1
2590,Fe3O4,Sphere,PEG,Commercial,Neutral,,,,H,Human,Ovary,Epithelial,Adult,48,3.125,MTS,TetrazoliumSalt,98.33,10.1038/s41598-018-19628-z,81,,30.0,-0.52,SKOV-3,Scientific Reports,Springer Science and Business Media LLC,2018,"Uptake, distribution, clearance, and toxicity of iron oxide nanoparticles with different sizes and coatings",True,True,gold,81_feng2018.pdf,1
2591,Fe3O4,Sphere,PEG,Commercial,Neutral,,,,H,Human,Ovary,Epithelial,Adult,48,6.25,MTS,TetrazoliumSalt,99.629,10.1038/s41598-018-19628-z,81,,30.0,-0.52,SKOV-3,Scientific Reports,Springer Science and Business Media LLC,2018,"Uptake, distribution, clearance, and toxicity of iron oxide nanoparticles with different sizes and coatings",True,True,gold,81_feng2018.pdf,1
2592,Fe3O4,Sphere,PEG,Commercial,Neutral,,,,H,Human,Ovary,Epithelial,Adult,48,12.5,MTS,TetrazoliumSalt,100.0,10.1038/s41598-018-19628-z,81,,30.0,-0.52,SKOV-3,Scientific Reports,Springer Science and Business Media LLC,2018,"Uptake, distribution, clearance, and toxicity of iron oxide nanoparticles with different sizes and coatings",True,True,gold,81_feng2018.pdf,1
2593,Fe3O4,Sphere,PEG,Commercial,Neutral,,,,H,Human,Ovary,Epithelial,Adult,48,25.0,MTS,TetrazoliumSalt,98.887,10.1038/s41598-018-19628-z,81,,30.0,-0.52,SKOV-3,Scientific Reports,Springer Science and Business Media LLC,2018,"Uptake, distribution, clearance, and toxicity of iron oxide nanoparticles with different sizes and coatings",True,True,gold,81_feng2018.pdf,1
2594,Fe3O4,Sphere,PEG,Commercial,Neutral,,,,H,Human,Ovary,Epithelial,Adult,48,50.0,MTS,TetrazoliumSalt,82.56,10.1038/s41598-018-19628-z,81,,30.0,-0.52,SKOV-3,Scientific Reports,Springer Science and Business Media LLC,2018,"Uptake, distribution, clearance, and toxicity of iron oxide nanoparticles with different sizes and coatings",True,True,gold,81_feng2018.pdf,1
2595,Fe3O4,Sphere,PEG,Commercial,Neutral,,,,H,Human,Ovary,Epithelial,Adult,48,100.0,MTS,TetrazoliumSalt,66.605,10.1038/s41598-018-19628-z,81,,30.0,-0.52,SKOV-3,Scientific Reports,Springer Science and Business Media LLC,2018,"Uptake, distribution, clearance, and toxicity of iron oxide nanoparticles with different sizes and coatings",True,True,gold,81_feng2018.pdf,1
