sn,material,shape,coat_functional_group,synthesis_method,surface_charge,size_in_medium_nm,zeta_in_medium_mv,no_of_cells_cells_well,human_animal,cell_source,cell_tissue,cell_morphology,cell_age,time_hr,concentration,test,test_indicator,viability_%,doi,article_list,core_nm,hydrodynamic_nm,potential_mv,cell_type,journal_name,publisher,year,title,journal_is_oa,is_oa,oa_status,pdf,access
3132,CuO,Sphere,,Precipitation,Negative,167.48,-25.41,10000.0,H,Human,Liver,Epithelial,Adult,24,2.0,MTT,TetrazoliumSalt,83.404,10.1371/journal.pone.0069534,98,,22.83,-20.36,HepG2,PLoS ONE,Public Library of Science (PLoS),2013,Copper Oxide Nanoparticles Induced Mitochondria Mediated Apoptosis in Human Hepatocarcinoma Cells,True,True,gold,98_siddiqui2013.pdf,1
3133,CuO,Sphere,,Precipitation,Negative,167.48,-25.41,10000.0,H,Human,Liver,Epithelial,Adult,24,5.0,MTT,TetrazoliumSalt,69.094,10.1371/journal.pone.0069534,98,,22.83,-20.36,HepG2,PLoS ONE,Public Library of Science (PLoS),2013,Copper Oxide Nanoparticles Induced Mitochondria Mediated Apoptosis in Human Hepatocarcinoma Cells,True,True,gold,98_siddiqui2013.pdf,1
3134,CuO,Sphere,,Precipitation,Negative,167.48,-25.41,10000.0,H,Human,Liver,Epithelial,Adult,24,10.0,MTT,TetrazoliumSalt,51.412,10.1371/journal.pone.0069534,98,,22.83,-20.36,HepG2,PLoS ONE,Public Library of Science (PLoS),2013,Copper Oxide Nanoparticles Induced Mitochondria Mediated Apoptosis in Human Hepatocarcinoma Cells,True,True,gold,98_siddiqui2013.pdf,1
3135,CuO,Sphere,,Precipitation,Negative,167.48,-25.41,10000.0,H,Human,Liver,Epithelial,Adult,24,25.0,MTT,TetrazoliumSalt,34.027,10.1371/journal.pone.0069534,98,,22.83,-20.36,HepG2,PLoS ONE,Public Library of Science (PLoS),2013,Copper Oxide Nanoparticles Induced Mitochondria Mediated Apoptosis in Human Hepatocarcinoma Cells,True,True,gold,98_siddiqui2013.pdf,1
3136,CuO,Sphere,,Precipitation,Negative,167.48,-25.41,10000.0,H,Human,Liver,Epithelial,Adult,24,50.0,MTT,TetrazoliumSalt,27.935,10.1371/journal.pone.0069534,98,,22.83,-20.36,HepG2,PLoS ONE,Public Library of Science (PLoS),2013,Copper Oxide Nanoparticles Induced Mitochondria Mediated Apoptosis in Human Hepatocarcinoma Cells,True,True,gold,98_siddiqui2013.pdf,1
3137,CuO,Sphere,,Precipitation,Negative,167.48,-25.41,10000.0,H,Human,Liver,Epithelial,Adult,24,2.0,NRU,NeutralRed,81.395,10.1371/journal.pone.0069534,98,,22.83,-20.36,HepG2,PLoS ONE,Public Library of Science (PLoS),2013,Copper Oxide Nanoparticles Induced Mitochondria Mediated Apoptosis in Human Hepatocarcinoma Cells,True,True,gold,98_siddiqui2013.pdf,1
3138,CuO,Sphere,,Precipitation,Negative,167.48,-25.41,10000.0,H,Human,Liver,Epithelial,Adult,24,5.0,NRU,NeutralRed,66.202,10.1371/journal.pone.0069534,98,,22.83,-20.36,HepG2,PLoS ONE,Public Library of Science (PLoS),2013,Copper Oxide Nanoparticles Induced Mitochondria Mediated Apoptosis in Human Hepatocarcinoma Cells,True,True,gold,98_siddiqui2013.pdf,1
3139,CuO,Sphere,,Precipitation,Negative,167.48,-25.41,10000.0,H,Human,Liver,Epithelial,Adult,24,10.0,NRU,NeutralRed,51.163,10.1371/journal.pone.0069534,98,,22.83,-20.36,HepG2,PLoS ONE,Public Library of Science (PLoS),2013,Copper Oxide Nanoparticles Induced Mitochondria Mediated Apoptosis in Human Hepatocarcinoma Cells,True,True,gold,98_siddiqui2013.pdf,1
3140,CuO,Sphere,,Precipitation,Negative,167.48,-25.41,10000.0,H,Human,Liver,Epithelial,Adult,24,25.0,NRU,NeutralRed,40.155,10.1371/journal.pone.0069534,98,,22.83,-20.36,HepG2,PLoS ONE,Public Library of Science (PLoS),2013,Copper Oxide Nanoparticles Induced Mitochondria Mediated Apoptosis in Human Hepatocarcinoma Cells,True,True,gold,98_siddiqui2013.pdf,1
3141,CuO,Sphere,,Precipitation,Negative,167.48,-25.41,10000.0,H,Human,Liver,Epithelial,Adult,24,50.0,NRU,NeutralRed,33.333,10.1371/journal.pone.0069534,98,,22.83,-20.36,HepG2,PLoS ONE,Public Library of Science (PLoS),2013,Copper Oxide Nanoparticles Induced Mitochondria Mediated Apoptosis in Human Hepatocarcinoma Cells,True,True,gold,98_siddiqui2013.pdf,1
