name,np_shell_2,np_hydro_size,xrd_scherrer_size,zfc_h_meas,htherm_sar,mri_r1,mri_r2,emic_size,instrument,core_shell_formula,np_core,np_shell,space_group_core,space_group_shell,squid_h_max,fc_field_T,squid_temperature,squid_sat_mag,coercivity,squid_rem_mag,exchange_bias_shift_Oe,vertical_loop_shift_M_vsl_emu_g,hc_kOe,doi,pdf,supp,journal,publisher,year,title,access,verification required,verified_by,verification_date,has_mistake_in_matadata,comment,article_name_folder,supp_info_name_folder
,,,,,,,,,,Fe3O4-MgO,Fe3O4,MgO,Fd-3m,Fm-3m,20.0,5,5.0,"38,4",5491,"12,549",-50,0,,10.1039/D2TC03144B,D2TC03144B.pdf,D2TC03144B_SI.pdf,Journal of Materials Chemistry C,Royal Society of Chemistry (RSC),2022,Onion-like Fe<sub>3</sub>O<sub>4</sub>/MgO/CoFe<sub>2</sub>O<sub>4</sub> magnetic nanoparticles: new ways to control magnetic coupling between soft and hard magnetic phases,1.0,,,,,,dataset3_98,dataset3_98_supp
,,,,,,,,,,Fe3O4-MgO,Fe3O4,MgO,Fd-3m,Fm-3m,20.0,0,25.0,"30,17","5033,95","15,932","-101,55",0,,10.1039/D2TC03144B,D2TC03144B.pdf,D2TC03144B_SI.pdf,Journal of Materials Chemistry C,Royal Society of Chemistry (RSC),2022,Onion-like Fe<sub>3</sub>O<sub>4</sub>/MgO/CoFe<sub>2</sub>O<sub>4</sub> magnetic nanoparticles: new ways to control magnetic coupling between soft and hard magnetic phases,1.0,,,,,,dataset3_98,dataset3_98_supp
,,,,,,,,,,Fe3O4-MgO,Fe3O4,MgO,Fd-3m,Fm-3m,20.0,0,50.0,"30,5",3534,"14,9","-127,295",0,,10.1039/D2TC03144B,D2TC03144B.pdf,D2TC03144B_SI.pdf,Journal of Materials Chemistry C,Royal Society of Chemistry (RSC),2022,Onion-like Fe<sub>3</sub>O<sub>4</sub>/MgO/CoFe<sub>2</sub>O<sub>4</sub> magnetic nanoparticles: new ways to control magnetic coupling between soft and hard magnetic phases,1.0,,,,,,dataset3_98,dataset3_98_supp
,,,,,,,,,,Fe3O4-MgO,Fe3O4,MgO,Fd-3m,Fm-3m,20.0,0,75.0,"30,5","2746,15","13,9","-101,65",0,,10.1039/D2TC03144B,D2TC03144B.pdf,D2TC03144B_SI.pdf,Journal of Materials Chemistry C,Royal Society of Chemistry (RSC),2022,Onion-like Fe<sub>3</sub>O<sub>4</sub>/MgO/CoFe<sub>2</sub>O<sub>4</sub> magnetic nanoparticles: new ways to control magnetic coupling between soft and hard magnetic phases,1.0,,,,,,dataset3_98,dataset3_98_supp
,,,,,,,,,,Fe3O4-MgO,Fe3O4,MgO,Fd-3m,Fm-3m,20.0,0,100.0,30,"2161,55","12,288","-76,25",0,,10.1039/D2TC03144B,D2TC03144B.pdf,D2TC03144B_SI.pdf,Journal of Materials Chemistry C,Royal Society of Chemistry (RSC),2022,Onion-like Fe<sub>3</sub>O<sub>4</sub>/MgO/CoFe<sub>2</sub>O<sub>4</sub> magnetic nanoparticles: new ways to control magnetic coupling between soft and hard magnetic phases,1.0,,,,,,dataset3_98,dataset3_98_supp
,,,,,,,,,,Fe3O4-MgO,Fe3O4,MgO,Fd-3m,Fm-3m,20.0,0,125.0,"30,25","1525,8","11,61",-101,0,,10.1039/D2TC03144B,D2TC03144B.pdf,D2TC03144B_SI.pdf,Journal of Materials Chemistry C,Royal Society of Chemistry (RSC),2022,Onion-like Fe<sub>3</sub>O<sub>4</sub>/MgO/CoFe<sub>2</sub>O<sub>4</sub> magnetic nanoparticles: new ways to control magnetic coupling between soft and hard magnetic phases,1.0,,,,,,dataset3_98,dataset3_98_supp
,,,,,,,,,,Fe3O4-MgO,Fe3O4,MgO,Fd-3m,Fm-3m,20.0,0,150.0,"30,339","941,295","10,763","-76,9",0,,10.1039/D2TC03144B,D2TC03144B.pdf,D2TC03144B_SI.pdf,Journal of Materials Chemistry C,Royal Society of Chemistry (RSC),2022,Onion-like Fe<sub>3</sub>O<sub>4</sub>/MgO/CoFe<sub>2</sub>O<sub>4</sub> magnetic nanoparticles: new ways to control magnetic coupling between soft and hard magnetic phases,1.0,,,,,,dataset3_98,dataset3_98_supp
,,,,,,,,,,Fe3O4-MgO,Fe3O4,MgO,Fd-3m,Fm-3m,20.0,0,200.0,"29,32","457,615","9,326","-50,845",0,,10.1039/D2TC03144B,D2TC03144B.pdf,D2TC03144B_SI.pdf,Journal of Materials Chemistry C,Royal Society of Chemistry (RSC),2022,Onion-like Fe<sub>3</sub>O<sub>4</sub>/MgO/CoFe<sub>2</sub>O<sub>4</sub> magnetic nanoparticles: new ways to control magnetic coupling between soft and hard magnetic phases,1.0,,,,,,dataset3_98,dataset3_98_supp
,,,,,,,,,,Fe3O4-MgO,Fe3O4,MgO,Fd-3m,Fm-3m,20.0,0,250.0,"27,967",,"6,5","-25,559",0,,10.1039/D2TC03144B,D2TC03144B.pdf,D2TC03144B_SI.pdf,Journal of Materials Chemistry C,Royal Society of Chemistry (RSC),2022,Onion-like Fe<sub>3</sub>O<sub>4</sub>/MgO/CoFe<sub>2</sub>O<sub>4</sub> magnetic nanoparticles: new ways to control magnetic coupling between soft and hard magnetic phases,1.0,,,,,,dataset3_98,dataset3_98_supp
,,,,,,,,,,Fe3O4-MgO,Fe3O4,MgO,Fd-3m,Fm-3m,20.0,0,300.0,"26,187",,6,"-0,199",0,,10.1039/D2TC03144B,D2TC03144B.pdf,D2TC03144B_SI.pdf,Journal of Materials Chemistry C,Royal Society of Chemistry (RSC),2022,Onion-like Fe<sub>3</sub>O<sub>4</sub>/MgO/CoFe<sub>2</sub>O<sub>4</sub> magnetic nanoparticles: new ways to control magnetic coupling between soft and hard magnetic phases,1.0,,,,,,dataset3_98,dataset3_98_supp
