name,np_shell_2,np_hydro_size,xrd_scherrer_size,zfc_h_meas,htherm_sar,mri_r1,mri_r2,emic_size,instrument,core_shell_formula,np_core,np_shell,space_group_core,space_group_shell,squid_h_max,fc_field_T,squid_temperature,squid_sat_mag,coercivity,squid_rem_mag,exchange_bias_shift_Oe,vertical_loop_shift_M_vsl_emu_g,hc_kOe,doi,pdf,supp,journal,publisher,year,title,access,verification required,verified_by,verification_date,has_mistake_in_matadata,comment,article_name_folder,supp_info_name_folder
,,,,,,,,,,Fe3O4-CoO,Fe3O4,CoO,Fd-3m,,70.0,7,10.0,69,400,,0,0,,10.1039/D3NA01108A,D3NA01108A.pdf,D3NA01108A_SI.pdf,Nanoscale Advances,Royal Society of Chemistry (RSC),2024,Magnetic anisotropy engineering in onion-structured metal oxide nanoparticles combining dual exchange coupling and proximity effects,1.0,,,,,,dataset3_161,dataset3_161_supp
,,,,,,,,,,Fe3O4-CoO,Fe3O4,CoO,Fd-3m,,70.0,7,10.0,68,19800,"41,67",-5300,"11,67",,10.1039/D3NA01108A,D3NA01108A.pdf,D3NA01108A_SI.pdf,Nanoscale Advances,Royal Society of Chemistry (RSC),2024,Magnetic anisotropy engineering in onion-structured metal oxide nanoparticles combining dual exchange coupling and proximity effects,1.0,,,,,,dataset3_161,dataset3_161_supp
,,,,,,,,,,Fe3O4-CoO,Fe3O4,CoO,Fd-3m,,70.0,7,10.0,"68,8",18500,"50,5",-2800,"4,5",,10.1039/D3NA01108A,D3NA01108A.pdf,D3NA01108A_SI.pdf,Nanoscale Advances,Royal Society of Chemistry (RSC),2024,Magnetic anisotropy engineering in onion-structured metal oxide nanoparticles combining dual exchange coupling and proximity effects,1.0,,,,,,dataset3_161,dataset3_161_supp
,,,,,,,,,,Fe3O4-CoO,Fe3O4,CoO,Fd-3m,,70.0,7,10.0,"68,9",17900,50,-900,"3,67",,10.1039/D3NA01108A,D3NA01108A.pdf,D3NA01108A_SI.pdf,Nanoscale Advances,Royal Society of Chemistry (RSC),2024,Magnetic anisotropy engineering in onion-structured metal oxide nanoparticles combining dual exchange coupling and proximity effects,1.0,,,,,,dataset3_161,dataset3_161_supp
,,,,,,,,,,Fe3O4-CoO,Fe3O4,CoO,Fd-3m,,70.0,7,10.0,"68,8",15800,"51,5",-500,"1,9",,10.1039/D3NA01108A,D3NA01108A.pdf,D3NA01108A_SI.pdf,Nanoscale Advances,Royal Society of Chemistry (RSC),2024,Magnetic anisotropy engineering in onion-structured metal oxide nanoparticles combining dual exchange coupling and proximity effects,1.0,,,,,,dataset3_161,dataset3_161_supp
,,,,,,,,,,Fe3O4-CoO,Fe3O4,CoO,Fd-3m,,70.0,0,10.0,"58,67",400,,,,,10.1039/D3NA01108A,D3NA01108A.pdf,D3NA01108A_SI.pdf,Nanoscale Advances,Royal Society of Chemistry (RSC),2024,Magnetic anisotropy engineering in onion-structured metal oxide nanoparticles combining dual exchange coupling and proximity effects,1.0,,,,,,dataset3_161,dataset3_161_supp
,,,,,,,,,,Fe3O4-CoO,Fe3O4,CoO,Fd-3m,,70.0,0,10.0,"39,668",16400,"15,5",-2002,"0,83",,10.1039/D3NA01108A,D3NA01108A.pdf,D3NA01108A_SI.pdf,Nanoscale Advances,Royal Society of Chemistry (RSC),2024,Magnetic anisotropy engineering in onion-structured metal oxide nanoparticles combining dual exchange coupling and proximity effects,1.0,,,,,,dataset3_161,dataset3_161_supp
,,,,,,,,,,Fe3O4-CoO,Fe3O4,CoO,Fd-3m,,70.0,0,10.0,"50,335",17500,"37,5",-100,"0,832",,10.1039/D3NA01108A,D3NA01108A.pdf,D3NA01108A_SI.pdf,Nanoscale Advances,Royal Society of Chemistry (RSC),2024,Magnetic anisotropy engineering in onion-structured metal oxide nanoparticles combining dual exchange coupling and proximity effects,1.0,,,,,,dataset3_161,dataset3_161_supp
,,,,,,,,,,Fe3O4-CoO,Fe3O4,CoO,Fd-3m,,70.0,0,10.0,"54,667",17200,"42,5",-926,"1,5",,10.1039/D3NA01108A,D3NA01108A.pdf,D3NA01108A_SI.pdf,Nanoscale Advances,Royal Society of Chemistry (RSC),2024,Magnetic anisotropy engineering in onion-structured metal oxide nanoparticles combining dual exchange coupling and proximity effects,1.0,,,,,,dataset3_161,dataset3_161_supp
,,,,,,,,,,Fe3O4-CoO,Fe3O4,CoO,Fd-3m,,70.0,0,10.0,"70,67",15000,"46,67",-602,"0,67",,10.1039/D3NA01108A,D3NA01108A.pdf,D3NA01108A_SI.pdf,Nanoscale Advances,Royal Society of Chemistry (RSC),2024,Magnetic anisotropy engineering in onion-structured metal oxide nanoparticles combining dual exchange coupling and proximity effects,1.0,,,,,,dataset3_161,dataset3_161_supp
