name,np_shell_2,np_hydro_size,xrd_scherrer_size,zfc_h_meas,htherm_sar,mri_r1,mri_r2,emic_size,instrument,core_shell_formula,np_core,np_shell,space_group_core,space_group_shell,squid_h_max,fc_field_T,squid_temperature,squid_sat_mag,coercivity,squid_rem_mag,exchange_bias_shift_Oe,vertical_loop_shift_M_vsl_emu_g,hc_kOe,doi,pdf,supp,journal,publisher,year,title,access,verification required,verified_by,verification_date,has_mistake_in_matadata,comment,article_name_folder,supp_info_name_folder
,,71.0,,200.0,,,312.0,30.0,,,Fe1Fe2O4,PEI,,,40.0,,300.0,50.0,0.0,0.0,,,,10.1039/c5nr00055f,c5nr00055f.pdf,c5nr00055f_SI.pdf,Nanoscale,Royal Society of Chemistry (RSC),2015,Iron oxide nanorods as high-performance magnetic resonance imaging contrast agents,1.0,,,,,,dataset2_84,dataset2_84_supp
,,76.0,,200.0,,,381.0,40.0,,,Fe1Fe2O4,PEI,,,40.0,,300.0,54.0,0.0,0.0,,,,10.1039/c5nr00055f,c5nr00055f.pdf,c5nr00055f_SI.pdf,Nanoscale,Royal Society of Chemistry (RSC),2015,Iron oxide nanorods as high-performance magnetic resonance imaging contrast agents,1.0,,,,,,dataset2_84,dataset2_84_supp
,,86.0,,,,,427.0,50.0,,,Fe1Fe2O4,PEI,,,40.0,,300.0,58.0,0.0,0.0,,,,10.1039/c5nr00055f,c5nr00055f.pdf,c5nr00055f_SI.pdf,Nanoscale,Royal Society of Chemistry (RSC),2015,Iron oxide nanorods as high-performance magnetic resonance imaging contrast agents,1.0,,,,,,dataset2_84,dataset2_84_supp
,,95.0,,,,,545.0,60.0,,,Fe1Fe2O4,PEI,,,40.0,,300.0,63.0,0.0,0.0,,,,10.1039/c5nr00055f,c5nr00055f.pdf,c5nr00055f_SI.pdf,Nanoscale,Royal Society of Chemistry (RSC),2015,Iron oxide nanorods as high-performance magnetic resonance imaging contrast agents,1.0,,,,,,dataset2_84,dataset2_84_supp
,,105.0,,,,,608.0,70.0,,,Fe1Fe2O4,PEI,,,40.0,,300.0,66.0,0.0,0.0,,,,10.1039/c5nr00055f,c5nr00055f.pdf,c5nr00055f_SI.pdf,Nanoscale,Royal Society of Chemistry (RSC),2015,Iron oxide nanorods as high-performance magnetic resonance imaging contrast agents,1.0,,,,,,dataset2_84,dataset2_84_supp
,,35.0,,200.0,,,141.0,4.0,,,Fe1Fe2O4,PEI,,,40.0,,300.0,56.0,0.0,0.0,,,,10.1039/c5nr00055f,c5nr00055f.pdf,c5nr00055f_SI.pdf,Nanoscale,Royal Society of Chemistry (RSC),2015,Iron oxide nanorods as high-performance magnetic resonance imaging contrast agents,1.0,,,,,,dataset2_84,dataset2_84_supp
,,38.0,,200.0,,,185.0,6.0,,,Fe1Fe2O4,PEI,,,40.0,,300.0,63.0,0.0,0.0,,,,10.1039/c5nr00055f,c5nr00055f.pdf,c5nr00055f_SI.pdf,Nanoscale,Royal Society of Chemistry (RSC),2015,Iron oxide nanorods as high-performance magnetic resonance imaging contrast agents,1.0,,,,,,dataset2_84,dataset2_84_supp
,,41.0,,200.0,,,218.0,8.0,,,Fe1Fe2O4,PEI,,,40.0,,300.0,70.0,0.0,0.0,,,,10.1039/c5nr00055f,c5nr00055f.pdf,c5nr00055f_SI.pdf,Nanoscale,Royal Society of Chemistry (RSC),2015,Iron oxide nanorods as high-performance magnetic resonance imaging contrast agents,1.0,,,,,,dataset2_84,dataset2_84_supp
,,44.0,,200.0,,,249.0,12.0,,,Fe1Fe2O4,PEI,,,40.0,,300.0,78.0,0.0,0.0,,,,10.1039/c5nr00055f,c5nr00055f.pdf,c5nr00055f_SI.pdf,Nanoscale,Royal Society of Chemistry (RSC),2015,Iron oxide nanorods as high-performance magnetic resonance imaging contrast agents,1.0,,,,,,dataset2_84,dataset2_84_supp
,,48.0,,200.0,,,297.0,16.0,,,Fe1Fe2O4,PEI,,,40.0,,300.0,83.0,0.0,0.0,,,,10.1039/c5nr00055f,c5nr00055f.pdf,c5nr00055f_SI.pdf,Nanoscale,Royal Society of Chemistry (RSC),2015,Iron oxide nanorods as high-performance magnetic resonance imaging contrast agents,1.0,,,,,,dataset2_84,dataset2_84_supp
,,71.0,,,,,312.0,30.0,,,Fe1Fe2O4,PEI,,,40.0,,300.0,50.0,0.0,0.0,,,,10.1039/c5nr00055f,c5nr00055f.pdf,c5nr00055f_SI.pdf,Nanoscale,Royal Society of Chemistry (RSC),2015,Iron oxide nanorods as high-performance magnetic resonance imaging contrast agents,1.0,,,,,,dataset2_84,dataset2_84_supp
