name,np_shell_2,np_hydro_size,xrd_scherrer_size,zfc_h_meas,htherm_sar,mri_r1,mri_r2,emic_size,instrument,core_shell_formula,np_core,np_shell,space_group_core,space_group_shell,squid_h_max,fc_field_T,squid_temperature,squid_sat_mag,coercivity,squid_rem_mag,exchange_bias_shift_Oe,vertical_loop_shift_M_vsl_emu_g,hc_kOe,doi,pdf,supp,journal,publisher,year,title,access,verification required,verified_by,verification_date,has_mistake_in_matadata,comment,article_name_folder,supp_info_name_folder
,,,30.06,,,,,,MPMS-3,Co/CoO,Co,Co1O1,fm-3m,fm-3m,8.0,1.0,4.0,30.68,1840.0,22.4,-56.0,0.0,10.0,10.3390/nano12183159,nano12183159.pdf,0,Nanomaterials,MDPI AG,2022,Dependence of Exchange Bias on Interparticle Interactions in Co/CoO Core/Shell Nanostructures,1.0,,,,,,dataset3_83,0
,,,,,,,,,MPMS-3,Co/CoO,Co,Co1O1,fm-3m,fm-3m,8.0,1.0,4.0,27.55,1793.0,9.75,-60.146,0.0,10.0,10.3390/nano12183159,nano12183159.pdf,0,Nanomaterials,MDPI AG,2022,Dependence of Exchange Bias on Interparticle Interactions in Co/CoO Core/Shell Nanostructures,1.0,,,,,,dataset3_83,0
,,,,,,,,,MPMS-3,Co/CoO,Co,Co1O1,fm-3m,fm-3m,8.0,1.0,4.0,30.11,1600.0,9.9,-180.446,0.0,10.0,10.3390/nano12183159,nano12183159.pdf,0,Nanomaterials,MDPI AG,2022,Dependence of Exchange Bias on Interparticle Interactions in Co/CoO Core/Shell Nanostructures,1.0,,,,,,dataset3_83,0
,,,,,,,,,MPMS-3,Co/CoO,Co,Co1O1,fm-3m,fm-3m,8.0,1.0,4.0,33.06,1520.0,9.629,-533.957,0.0,10.0,10.3390/nano12183159,nano12183159.pdf,0,Nanomaterials,MDPI AG,2022,Dependence of Exchange Bias on Interparticle Interactions in Co/CoO Core/Shell Nanostructures,1.0,,,,,,dataset3_83,0
,,,,,,,,,MPMS-3,Co/CoO,Co,Co1O1,fm-3m,fm-3m,8.0,1.0,4.0,35.4,1440.0,10.2439,-578.9,0.0,10.0,10.3390/nano12183159,nano12183159.pdf,0,Nanomaterials,MDPI AG,2022,Dependence of Exchange Bias on Interparticle Interactions in Co/CoO Core/Shell Nanostructures,1.0,,,,,,dataset3_83,0
,,,,,,,,,MPMS-3,Co/CoO,Co,Co1O1,fm-3m,fm-3m,8.0,1.0,4.0,37.8,1440.0,9.268,,0.0,10.0,10.3390/nano12183159,nano12183159.pdf,0,Nanomaterials,MDPI AG,2022,Dependence of Exchange Bias on Interparticle Interactions in Co/CoO Core/Shell Nanostructures,1.0,,,,,,dataset3_83,0
,,,,,,,,,MPMS-3,Co/CoO,Co,Co1O1,fm-3m,fm-3m,8.0,1.0,4.0,59.78,1360.0,10.3448,,0.0,10.0,10.3390/nano12183159,nano12183159.pdf,0,Nanomaterials,MDPI AG,2022,Dependence of Exchange Bias on Interparticle Interactions in Co/CoO Core/Shell Nanostructures,1.0,,,,,,dataset3_83,0
,,,,,,,,,MPMS-3,Co/CoO,Co,Co1O1,fm-3m,fm-3m,8.0,1.0,4.0,112.416,1191.0,17.78,,0.0,10.0,10.3390/nano12183159,nano12183159.pdf,0,Nanomaterials,MDPI AG,2022,Dependence of Exchange Bias on Interparticle Interactions in Co/CoO Core/Shell Nanostructures,1.0,,,,,,dataset3_83,0
,,,,,,,,,MPMS-3,Co/CoO,Co,Co1O1,fm-3m,fm-3m,40.0,1.0,5.0,37.17,1448.97,,,,10.0,10.3390/nano12183159,nano12183159.pdf,0,Nanomaterials,MDPI AG,2022,Dependence of Exchange Bias on Interparticle Interactions in Co/CoO Core/Shell Nanostructures,1.0,,,,,,dataset3_83,0
,,,,,,,,,MPMS-3,Co/CoO,Co,Co1O1,fm-3m,fm-3m,40.0,1.0,50.0,33.385,1443.868,,-50.685,,10.0,10.3390/nano12183159,nano12183159.pdf,0,Nanomaterials,MDPI AG,2022,Dependence of Exchange Bias on Interparticle Interactions in Co/CoO Core/Shell Nanostructures,1.0,,,,,,dataset3_83,0
