name,np_shell_2,np_hydro_size,xrd_scherrer_size,zfc_h_meas,htherm_sar,mri_r1,mri_r2,emic_size,instrument,core_shell_formula,np_core,np_shell,space_group_core,space_group_shell,squid_h_max,fc_field_T,squid_temperature,squid_sat_mag,coercivity,squid_rem_mag,exchange_bias_shift_Oe,vertical_loop_shift_M_vsl_emu_g,hc_kOe,doi,pdf,supp,journal,publisher,year,title,access,verification required,verified_by,verification_date,has_mistake_in_matadata,comment,article_name_folder,supp_info_name_folder
,,,,,,1.38,70.2,5.2,,,Fe1Fe2O4,PEG-PMMA,,,50.0,,300.0,43.18,0.0,0.0,,,,10.1038/ncomms15468,ncomms15468.pdf,ncomms15468_SI.pdf,Nature Communications,Springer Science and Business Media LLC,2017,Artificial local magnetic field inhomogeneity enhances T2 relaxivity,1.0,,,,,,dataset2_74,dataset2_74_supp
,,,,,,1.17,127.4,15.1,,,Fe1Fe2O4,PEG-PMMA,,,50.0,,300.0,65.1,0.0,0.0,,,,10.1038/ncomms15468,ncomms15468.pdf,ncomms15468_SI.pdf,Nature Communications,Springer Science and Business Media LLC,2017,Artificial local magnetic field inhomogeneity enhances T2 relaxivity,1.0,,,,,,dataset2_74,dataset2_74_supp
,,134.3,,,,2.11,231.6,115.5,,,Fe1Fe2O4,,,,50.0,,300.0,40.28,0.0,0.0,,,,10.1038/ncomms15468,ncomms15468.pdf,ncomms15468_SI.pdf,Nature Communications,Springer Science and Business Media LLC,2017,Artificial local magnetic field inhomogeneity enhances T2 relaxivity,1.0,,,,,,dataset2_74,dataset2_74_supp
,,136.9,,,,0.8,358.3,127.8,,,Fe1Fe2O4,,,,50.0,,300.0,60.37,0.0,0.0,,,,10.1038/ncomms15468,ncomms15468.pdf,ncomms15468_SI.pdf,Nature Communications,Springer Science and Business Media LLC,2017,Artificial local magnetic field inhomogeneity enhances T2 relaxivity,1.0,,,,,,dataset2_74,dataset2_74_supp
,,151.5,,,,0.92,533.4,129.2,,,Fe1Fe2O4,,,,50.0,,300.0,53.69,0.0,0.0,,,,10.1038/ncomms15468,ncomms15468.pdf,ncomms15468_SI.pdf,Nature Communications,Springer Science and Business Media LLC,2017,Artificial local magnetic field inhomogeneity enhances T2 relaxivity,1.0,,,,,,dataset2_74,dataset2_74_supp
,,,,,,1.56,515.3,145.8,,,Fe1Fe2O4,,,,50.0,,300.0,54.73,,,,,,10.1038/ncomms15468,ncomms15468.pdf,ncomms15468_SI.pdf,Nature Communications,Springer Science and Business Media LLC,2017,Artificial local magnetic field inhomogeneity enhances T2 relaxivity,1.0,,,,,,dataset2_74,dataset2_74_supp
,,,,,,1.35,445.8,238.9,,,Fe1Fe2O4,,,,50.0,,300.0,50.22,,,,,,10.1038/ncomms15468,ncomms15468.pdf,ncomms15468_SI.pdf,Nature Communications,Springer Science and Business Media LLC,2017,Artificial local magnetic field inhomogeneity enhances T2 relaxivity,1.0,,,,,,dataset2_74,dataset2_74_supp
,,,,,,0.9,157.9,12.0,,,Fe1Fe2O4,,,,50.0,,300.0,61.31,,,,,,10.1038/ncomms15468,ncomms15468.pdf,ncomms15468_SI.pdf,Nature Communications,Springer Science and Business Media LLC,2017,Artificial local magnetic field inhomogeneity enhances T2 relaxivity,1.0,,,,,,dataset2_74,dataset2_74_supp
,,,,,,1.44,204.5,,,,Fe1Fe2O4,,,,50.0,,300.0,57.6,,,,,,10.1038/ncomms15468,ncomms15468.pdf,ncomms15468_SI.pdf,Nature Communications,Springer Science and Business Media LLC,2017,Artificial local magnetic field inhomogeneity enhances T2 relaxivity,1.0,,,,,,dataset2_74,dataset2_74_supp
,,95.0,,,,2.24,589.3,85.7,,,Fe1Fe2O4,,,,50.0,,300.0,51.23,,,,,,10.1038/ncomms15468,ncomms15468.pdf,ncomms15468_SI.pdf,Nature Communications,Springer Science and Business Media LLC,2017,Artificial local magnetic field inhomogeneity enhances T2 relaxivity,1.0,,,,,,dataset2_74,dataset2_74_supp
,,103.0,,,,2.76,487.7,91.6,,,Fe1Fe2O4,,,,50.0,,300.0,51.38,,,,,,10.1038/ncomms15468,ncomms15468.pdf,ncomms15468_SI.pdf,Nature Communications,Springer Science and Business Media LLC,2017,Artificial local magnetic field inhomogeneity enhances T2 relaxivity,1.0,,,,,,dataset2_74,dataset2_74_supp
