name,np_shell_2,np_hydro_size,xrd_scherrer_size,zfc_h_meas,htherm_sar,mri_r1,mri_r2,emic_size,instrument,core_shell_formula,np_core,np_shell,space_group_core,space_group_shell,squid_h_max,fc_field_T,squid_temperature,squid_sat_mag,coercivity,squid_rem_mag,exchange_bias_shift_Oe,vertical_loop_shift_M_vsl_emu_g,hc_kOe,doi,pdf,supp,journal,publisher,year,title,access,verification required,verified_by,verification_date,has_mistake_in_matadata,comment,article_name_folder,supp_info_name_folder
,,,,,,1.6,14.0,2.5,,,Fe1Fe2O4,PASP,,,,,,,,,,,,10.1186/s12951-022-01562-y,s12951-022-01562-y.pdf,s12951-022-01562-y_SI.pdf,Journal of Nanobiotechnology,Springer Science and Business Media LLC,2022,Biodegradable and biocompatible exceedingly small magnetic iron oxide nanoparticles for T1-weighted magnetic resonance imaging of tumors,1.0,,,,,,dataset2_103,dataset2_103_supp
,,,,,,4.7,89.3,6.0,,,Fe1Fe2O4,PASP,,,,,,,,,,,,10.1186/s12951-022-01562-y,s12951-022-01562-y.pdf,s12951-022-01562-y_SI.pdf,Journal of Nanobiotechnology,Springer Science and Business Media LLC,2022,Biodegradable and biocompatible exceedingly small magnetic iron oxide nanoparticles for T1-weighted magnetic resonance imaging of tumors,1.0,,,,,,dataset2_103,dataset2_103_supp
,,,,,,5.4,154.2,8.0,,,Fe1Fe2O4,PASP,,,,,,,,,,,,10.1186/s12951-022-01562-y,s12951-022-01562-y.pdf,s12951-022-01562-y_SI.pdf,Journal of Nanobiotechnology,Springer Science and Business Media LLC,2022,Biodegradable and biocompatible exceedingly small magnetic iron oxide nanoparticles for T1-weighted magnetic resonance imaging of tumors,1.0,,,,,,dataset2_103,dataset2_103_supp
,,,,,,5.5,31.9,3.3,,,Fe1Fe2O4,PASP,,,,,,,,,,,,10.1186/s12951-022-01562-y,s12951-022-01562-y.pdf,s12951-022-01562-y_SI.pdf,Journal of Nanobiotechnology,Springer Science and Business Media LLC,2022,Biodegradable and biocompatible exceedingly small magnetic iron oxide nanoparticles for T1-weighted magnetic resonance imaging of tumors,1.0,,,,,,dataset2_103,dataset2_103_supp
,,,,,,5.2,27.8,3.8,,,Fe1Fe2O4,PASP,,,,,,,,,,,,10.1186/s12951-022-01562-y,s12951-022-01562-y.pdf,s12951-022-01562-y_SI.pdf,Journal of Nanobiotechnology,Springer Science and Business Media LLC,2022,Biodegradable and biocompatible exceedingly small magnetic iron oxide nanoparticles for T1-weighted magnetic resonance imaging of tumors,1.0,,,,,,dataset2_103,dataset2_103_supp
,,,,,,3.5,25.6,2.6,,,Fe1Fe2O4,PASP,,,,,,,,,,,,10.1186/s12951-022-01562-y,s12951-022-01562-y.pdf,s12951-022-01562-y_SI.pdf,Journal of Nanobiotechnology,Springer Science and Business Media LLC,2022,Biodegradable and biocompatible exceedingly small magnetic iron oxide nanoparticles for T1-weighted magnetic resonance imaging of tumors,1.0,,,,,,dataset2_103,dataset2_103_supp
,,,,,,0.4,5.7,2.4,,,Fe1Fe2O4,PASP,,,,,,,,,,,,10.1186/s12951-022-01562-y,s12951-022-01562-y.pdf,s12951-022-01562-y_SI.pdf,Journal of Nanobiotechnology,Springer Science and Business Media LLC,2022,Biodegradable and biocompatible exceedingly small magnetic iron oxide nanoparticles for T1-weighted magnetic resonance imaging of tumors,1.0,,,,,,dataset2_103,dataset2_103_supp
,,,,,,7.0,34.0,3.7,,,Fe1Fe2O4,PASP,,,30.0,,300.0,16.0,0.0,0.0,,,,10.1186/s12951-022-01562-y,s12951-022-01562-y.pdf,s12951-022-01562-y_SI.pdf,Journal of Nanobiotechnology,Springer Science and Business Media LLC,2022,Biodegradable and biocompatible exceedingly small magnetic iron oxide nanoparticles for T1-weighted magnetic resonance imaging of tumors,1.0,,,,,,dataset2_103,dataset2_103_supp
,,,,,,0.9,48.9,3.7,,,Fe1Fe2O4,PASP,,,30.0,,300.0,16.0,0.0,0.0,,,,10.1186/s12951-022-01562-y,s12951-022-01562-y.pdf,s12951-022-01562-y_SI.pdf,Journal of Nanobiotechnology,Springer Science and Business Media LLC,2022,Biodegradable and biocompatible exceedingly small magnetic iron oxide nanoparticles for T1-weighted magnetic resonance imaging of tumors,1.0,,,,,,dataset2_103,dataset2_103_supp
,,,,,,6.2,34.6,4.0,,,Fe1Fe2O4,PASP,,,,,,,,,,,,10.1186/s12951-022-01562-y,s12951-022-01562-y.pdf,s12951-022-01562-y_SI.pdf,Journal of Nanobiotechnology,Springer Science and Business Media LLC,2022,Biodegradable and biocompatible exceedingly small magnetic iron oxide nanoparticles for T1-weighted magnetic resonance imaging of tumors,1.0,,,,,,dataset2_103,dataset2_103_supp
,,,,,,6.0,38.8,4.8,,,Fe1Fe2O4,PASP,,,,,,,,,,,,10.1186/s12951-022-01562-y,s12951-022-01562-y.pdf,s12951-022-01562-y_SI.pdf,Journal of Nanobiotechnology,Springer Science and Business Media LLC,2022,Biodegradable and biocompatible exceedingly small magnetic iron oxide nanoparticles for T1-weighted magnetic resonance imaging of tumors,1.0,,,,,,dataset2_103,dataset2_103_supp
