sn,np,coating,bacteria,mdr,strain,np_synthesis,method,mic_np_µg_ml,concentration,zoi_np_mm,np_size_min_nm,np_size_max_nm,np_size_avg_nm,shape,time_set_hours,zeta_potential_mV,solvent_for_extract,temperature_for_extract_C,duration_preparing_extract_min,precursor_of_np,concentration_of_precursor_mM,hydrodynamic_diameter_nm,ph_during_synthesis,reference,doi,article_list,journal_name,publisher,year,title,journal_is_oa,is_oa,oa_status,pdf,access
574,ZnO,0,Escherichia coli,0,,green_synthesis using Acacia arabica leaf extract,MIC,7.6,,,16.0,20.0,18.0,rod-shaped,0.0,,,,,,,,,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0259190#sec024,10.1371/journal.pone.0259190,105,PLOS ONE,Public Library of Science (PLoS),2022,Biofabrication of ZnO nanoparticles using Acacia arabica leaf extract and their antibiofilm and antioxidant potential against foodborne pathogens,True,True,gold,105_journal.pone.0259190.pdf,1
575,ZnO,0,Escherichia coli,0,,green_synthesis using Acacia arabica leaf extract,MIC,8.11,,,16.0,20.0,18.0,rod-shaped,1.0,,,,,,,,,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0259190#sec024,10.1371/journal.pone.0259190,105,PLOS ONE,Public Library of Science (PLoS),2022,Biofabrication of ZnO nanoparticles using Acacia arabica leaf extract and their antibiofilm and antioxidant potential against foodborne pathogens,True,True,gold,105_journal.pone.0259190.pdf,1
576,ZnO,0,Escherichia coli,0,,green_synthesis using Acacia arabica leaf extract,MIC,8.65,,,16.0,20.0,18.0,rod-shaped,2.0,,,,,,,,,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0259190#sec024,10.1371/journal.pone.0259190,105,PLOS ONE,Public Library of Science (PLoS),2022,Biofabrication of ZnO nanoparticles using Acacia arabica leaf extract and their antibiofilm and antioxidant potential against foodborne pathogens,True,True,gold,105_journal.pone.0259190.pdf,1
577,ZnO,0,Escherichia coli,0,,green_synthesis using Acacia arabica leaf extract,MIC,9.1,,,16.0,20.0,18.0,rod-shaped,3.0,,,,,,,,,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0259190#sec024,10.1371/journal.pone.0259190,105,PLOS ONE,Public Library of Science (PLoS),2022,Biofabrication of ZnO nanoparticles using Acacia arabica leaf extract and their antibiofilm and antioxidant potential against foodborne pathogens,True,True,gold,105_journal.pone.0259190.pdf,1
578,ZnO,0,Escherichia coli,0,,green_synthesis using Acacia arabica leaf extract,MIC,9.5,,,16.0,20.0,18.0,rod-shaped,4.0,,,,,,,,,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0259190#sec024,10.1371/journal.pone.0259190,105,PLOS ONE,Public Library of Science (PLoS),2022,Biofabrication of ZnO nanoparticles using Acacia arabica leaf extract and their antibiofilm and antioxidant potential against foodborne pathogens,True,True,gold,105_journal.pone.0259190.pdf,1
579,ZnO,0,Escherichia coli,0,,green_synthesis using Acacia arabica leaf extract,MIC,7.6,,,16.0,20.0,18.0,rod-shaped,0.0,,,,,,,,,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0259190#sec024,10.1371/journal.pone.0259190,105,PLOS ONE,Public Library of Science (PLoS),2022,Biofabrication of ZnO nanoparticles using Acacia arabica leaf extract and their antibiofilm and antioxidant potential against foodborne pathogens,True,True,gold,105_journal.pone.0259190.pdf,1
580,ZnO,0,Escherichia coli,0,,green_synthesis using Acacia arabica leaf extract,MIC,7.9,,,16.0,20.0,18.0,rod-shaped,1.0,,,,,,,,,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0259190#sec024,10.1371/journal.pone.0259190,105,PLOS ONE,Public Library of Science (PLoS),2022,Biofabrication of ZnO nanoparticles using Acacia arabica leaf extract and their antibiofilm and antioxidant potential against foodborne pathogens,True,True,gold,105_journal.pone.0259190.pdf,1
581,ZnO,0,Escherichia coli,0,,green_synthesis using Acacia arabica leaf extract,MIC,8.14,,,16.0,20.0,18.0,rod-shaped,2.0,,,,,,,,,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0259190#sec024,10.1371/journal.pone.0259190,105,PLOS ONE,Public Library of Science (PLoS),2022,Biofabrication of ZnO nanoparticles using Acacia arabica leaf extract and their antibiofilm and antioxidant potential against foodborne pathogens,True,True,gold,105_journal.pone.0259190.pdf,1
582,ZnO,0,Escherichia coli,0,,green_synthesis using Acacia arabica leaf extract,MIC,8.32,,,16.0,20.0,18.0,rod-shaped,3.0,,,,,,,,,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0259190#sec024,10.1371/journal.pone.0259190,105,PLOS ONE,Public Library of Science (PLoS),2022,Biofabrication of ZnO nanoparticles using Acacia arabica leaf extract and their antibiofilm and antioxidant potential against foodborne pathogens,True,True,gold,105_journal.pone.0259190.pdf,1
583,ZnO,0,Escherichia coli,0,,green_synthesis using Acacia arabica leaf extract,MIC,8.55,,,16.0,20.0,18.0,rod-shaped,4.0,,,,,,,,,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0259190#sec024,10.1371/journal.pone.0259190,105,PLOS ONE,Public Library of Science (PLoS),2022,Biofabrication of ZnO nanoparticles using Acacia arabica leaf extract and their antibiofilm and antioxidant potential against foodborne pathogens,True,True,gold,105_journal.pone.0259190.pdf,1
584,ZnO,0,Escherichia coli,0,,green_synthesis using Acacia arabica leaf extract,MIC,7.6,,,16.0,20.0,18.0,rod-shaped,0.0,,,,,,,,,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0259190#sec024,10.1371/journal.pone.0259190,105,PLOS ONE,Public Library of Science (PLoS),2022,Biofabrication of ZnO nanoparticles using Acacia arabica leaf extract and their antibiofilm and antioxidant potential against foodborne pathogens,True,True,gold,105_journal.pone.0259190.pdf,1
585,ZnO,0,Escherichia coli,0,,green_synthesis using Acacia arabica leaf extract,MIC,6.4,,,16.0,20.0,18.0,rod-shaped,1.0,,,,,,,,,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0259190#sec024,10.1371/journal.pone.0259190,105,PLOS ONE,Public Library of Science (PLoS),2022,Biofabrication of ZnO nanoparticles using Acacia arabica leaf extract and their antibiofilm and antioxidant potential against foodborne pathogens,True,True,gold,105_journal.pone.0259190.pdf,1
586,ZnO,0,Escherichia coli,0,,green_synthesis using Acacia arabica leaf extract,MIC,4.9,,,16.0,20.0,18.0,rod-shaped,2.0,,,,,,,,,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0259190#sec024,10.1371/journal.pone.0259190,105,PLOS ONE,Public Library of Science (PLoS),2022,Biofabrication of ZnO nanoparticles using Acacia arabica leaf extract and their antibiofilm and antioxidant potential against foodborne pathogens,True,True,gold,105_journal.pone.0259190.pdf,1
587,ZnO,0,Escherichia coli,0,,green_synthesis using Acacia arabica leaf extract,MIC,4.3,,,16.0,20.0,18.0,rod-shaped,3.0,,,,,,,,,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0259190#sec024,10.1371/journal.pone.0259190,105,PLOS ONE,Public Library of Science (PLoS),2022,Biofabrication of ZnO nanoparticles using Acacia arabica leaf extract and their antibiofilm and antioxidant potential against foodborne pathogens,True,True,gold,105_journal.pone.0259190.pdf,1
