sn,np,coating,bacteria,mdr,strain,np_synthesis,method,mic_np_µg_ml,concentration,zoi_np_mm,np_size_min_nm,np_size_max_nm,np_size_avg_nm,shape,time_set_hours,zeta_potential_mV,solvent_for_extract,temperature_for_extract_C,duration_preparing_extract_min,precursor_of_np,concentration_of_precursor_mM,hydrodynamic_diameter_nm,ph_during_synthesis,reference,doi,article_list,journal_name,publisher,year,title,journal_is_oa,is_oa,oa_status,pdf,access
176,Ag,0,Bacillus cereus,0,ATCC 13061,green_synthesis,MIC,25,,,31.0,69.0,45.26,spherical,24.0,,,,,,,,,https://www.frontiersin.org/articles/10.3389/fmicb.2017.00167/full,10.3389/fmicb.2017.00167,12,Frontiers in Microbiology,Frontiers Media SA,2017,Antibacterial Activity and Synergistic Antibacterial Potential of Biosynthesized Silver Nanoparticles against Foodborne Pathogenic Bacteria along with its Anticandidal and Antioxidant Effects,True,True,gold,12_patra2017.pdf,1
177,Ag,0,Bacillus cereus,0,ATCC 13061,green_synthesis,MBC,50,,,31.0,69.0,45.26,spherical,24.0,,,,,,,,,https://www.frontiersin.org/articles/10.3389/fmicb.2017.00167/full,10.3389/fmicb.2017.00167,12,Frontiers in Microbiology,Frontiers Media SA,2017,Antibacterial Activity and Synergistic Antibacterial Potential of Biosynthesized Silver Nanoparticles against Foodborne Pathogenic Bacteria along with its Anticandidal and Antioxidant Effects,True,True,gold,12_patra2017.pdf,1
178,Ag,0,Escherichia coli,0,ATCC 43890,green_synthesis,MIC,50,,,31.0,69.0,45.26,spherical,24.0,,,,,,,,,https://www.frontiersin.org/articles/10.3389/fmicb.2017.00167/full,10.3389/fmicb.2017.00167,12,Frontiers in Microbiology,Frontiers Media SA,2017,Antibacterial Activity and Synergistic Antibacterial Potential of Biosynthesized Silver Nanoparticles against Foodborne Pathogenic Bacteria along with its Anticandidal and Antioxidant Effects,True,True,gold,12_patra2017.pdf,1
179,Ag,0,Escherichia coli,0,ATCC 43890,green_synthesis,MBC,100,,,31.0,69.0,45.26,spherical,24.0,,,,,,,,,https://www.frontiersin.org/articles/10.3389/fmicb.2017.00167/full,10.3389/fmicb.2017.00167,12,Frontiers in Microbiology,Frontiers Media SA,2017,Antibacterial Activity and Synergistic Antibacterial Potential of Biosynthesized Silver Nanoparticles against Foodborne Pathogenic Bacteria along with its Anticandidal and Antioxidant Effects,True,True,gold,12_patra2017.pdf,1
180,Ag,0,Listeria monocytogenes,0,ATCC 19115,green_synthesis,MIC,25,,,31.0,69.0,45.26,spherical,24.0,,,,,,,,,https://www.frontiersin.org/articles/10.3389/fmicb.2017.00167/full,10.3389/fmicb.2017.00167,12,Frontiers in Microbiology,Frontiers Media SA,2017,Antibacterial Activity and Synergistic Antibacterial Potential of Biosynthesized Silver Nanoparticles against Foodborne Pathogenic Bacteria along with its Anticandidal and Antioxidant Effects,True,True,gold,12_patra2017.pdf,1
181,Ag,0,Listeria monocytogenes,0,ATCC 19115,green_synthesis,MBC,50,,,31.0,69.0,45.26,spherical,24.0,,,,,,,,,https://www.frontiersin.org/articles/10.3389/fmicb.2017.00167/full,10.3389/fmicb.2017.00167,12,Frontiers in Microbiology,Frontiers Media SA,2017,Antibacterial Activity and Synergistic Antibacterial Potential of Biosynthesized Silver Nanoparticles against Foodborne Pathogenic Bacteria along with its Anticandidal and Antioxidant Effects,True,True,gold,12_patra2017.pdf,1
182,Ag,0,Salmonella typhimurium,0,ATCC 43174,green_synthesis,MIC,50,,,31.0,69.0,45.26,spherical,24.0,,,,,,,,,https://www.frontiersin.org/articles/10.3389/fmicb.2017.00167/full,10.3389/fmicb.2017.00167,12,Frontiers in Microbiology,Frontiers Media SA,2017,Antibacterial Activity and Synergistic Antibacterial Potential of Biosynthesized Silver Nanoparticles against Foodborne Pathogenic Bacteria along with its Anticandidal and Antioxidant Effects,True,True,gold,12_patra2017.pdf,1
183,Ag,0,Salmonella typhimurium,0,ATCC 43174,green_synthesis,MBC,100,,,31.0,69.0,45.26,spherical,24.0,,,,,,,,,https://www.frontiersin.org/articles/10.3389/fmicb.2017.00167/full,10.3389/fmicb.2017.00167,12,Frontiers in Microbiology,Frontiers Media SA,2017,Antibacterial Activity and Synergistic Antibacterial Potential of Biosynthesized Silver Nanoparticles against Foodborne Pathogenic Bacteria along with its Anticandidal and Antioxidant Effects,True,True,gold,12_patra2017.pdf,1
184,Ag,0,Staphylococcus aureus,0,ATCC 49444,green_synthesis,MIC,12.5,,,31.0,69.0,45.26,spherical,24.0,,,,,,,,,https://www.frontiersin.org/articles/10.3389/fmicb.2017.00167/full,10.3389/fmicb.2017.00167,12,Frontiers in Microbiology,Frontiers Media SA,2017,Antibacterial Activity and Synergistic Antibacterial Potential of Biosynthesized Silver Nanoparticles against Foodborne Pathogenic Bacteria along with its Anticandidal and Antioxidant Effects,True,True,gold,12_patra2017.pdf,1
185,Ag,0,Staphylococcus aureus,0,ATCC 49444,green_synthesis,MBC,25,,,31.0,69.0,45.26,spherical,24.0,,,,,,,,,https://www.frontiersin.org/articles/10.3389/fmicb.2017.00167/full,10.3389/fmicb.2017.00167,12,Frontiers in Microbiology,Frontiers Media SA,2017,Antibacterial Activity and Synergistic Antibacterial Potential of Biosynthesized Silver Nanoparticles against Foodborne Pathogenic Bacteria along with its Anticandidal and Antioxidant Effects,True,True,gold,12_patra2017.pdf,1
