sn,np,coating,bacteria,mdr,strain,np_synthesis,method,mic_np_µg_ml,concentration,zoi_np_mm,np_size_min_nm,np_size_max_nm,np_size_avg_nm,shape,time_set_hours,zeta_potential_mV,solvent_for_extract,temperature_for_extract_C,duration_preparing_extract_min,precursor_of_np,concentration_of_precursor_mM,hydrodynamic_diameter_nm,ph_during_synthesis,reference,doi,article_list,journal_name,publisher,year,title,journal_is_oa,is_oa,oa_status,pdf,access
950,Ag,0,Escherichia coli,0,ATCC 25922,Green synthesis using Salvia tebesana Bunge,MIC,624,,,10.0,15.0,12.5,spherical,24.0,-38.82,water (distilled),55.0,30.0,AgNO3,10.0,180.0,,https://www.sciencedirect.com/science/article/pii/S2211715624002066?via%3Dihub,10.1016/j.rechem.2024.101510,134,Results in Chemistry,Elsevier BV,2024,"Green synthesis of non-toxic silver nanoparticles using Salvia tebesana Bunge extract: Optimization, cytotoxicity, and antibacterial activities",True,True,gold,134_1-s2.0-S2211715624002066-main.pdf,1
951,Ag,0,Pseudomonas aeruginosa,0,ATCC 27853,Green synthesis using Salvia tebesana Bunge,MIC,39.06,,,10.0,15.0,12.5,spherical,24.0,-38.82,water (distilled),55.0,30.0,AgNO3,10.0,180.0,,https://www.sciencedirect.com/science/article/pii/S2211715624002066?via%3Dihub,10.1016/j.rechem.2024.101510,134,Results in Chemistry,Elsevier BV,2024,"Green synthesis of non-toxic silver nanoparticles using Salvia tebesana Bunge extract: Optimization, cytotoxicity, and antibacterial activities",True,True,gold,134_1-s2.0-S2211715624002066-main.pdf,1
952,Ag,0,Klebsiella pneumoniae,0,ATCC 9997,Green synthesis using Salvia tebesana Bunge,MIC,156,,,10.0,15.0,12.5,spherical,24.0,-38.82,water (distilled),55.0,30.0,AgNO3,10.0,180.0,,https://www.sciencedirect.com/science/article/pii/S2211715624002066?via%3Dihub,10.1016/j.rechem.2024.101510,134,Results in Chemistry,Elsevier BV,2024,"Green synthesis of non-toxic silver nanoparticles using Salvia tebesana Bunge extract: Optimization, cytotoxicity, and antibacterial activities",True,True,gold,134_1-s2.0-S2211715624002066-main.pdf,1
953,Ag,0,Staphylococcus aureus,0,ATCC 25923,Green synthesis using Salvia tebesana Bunge,MIC,78.1,,,10.0,15.0,12.5,spherical,24.0,-38.82,water (distilled),55.0,30.0,AgNO3,10.0,180.0,,https://www.sciencedirect.com/science/article/pii/S2211715624002066?via%3Dihub,10.1016/j.rechem.2024.101510,134,Results in Chemistry,Elsevier BV,2024,"Green synthesis of non-toxic silver nanoparticles using Salvia tebesana Bunge extract: Optimization, cytotoxicity, and antibacterial activities",True,True,gold,134_1-s2.0-S2211715624002066-main.pdf,1
954,Ag,0,Enterococcus faecalis,0,ATCC 29212,Green synthesis using Salvia tebesana Bunge,MIC,156,,,10.0,15.0,12.5,spherical,24.0,-38.82,water (distilled),55.0,30.0,AgNO3,10.0,180.0,,https://www.sciencedirect.com/science/article/pii/S2211715624002066?via%3Dihub,10.1016/j.rechem.2024.101510,134,Results in Chemistry,Elsevier BV,2024,"Green synthesis of non-toxic silver nanoparticles using Salvia tebesana Bunge extract: Optimization, cytotoxicity, and antibacterial activities",True,True,gold,134_1-s2.0-S2211715624002066-main.pdf,1
1180,Ag,0,Escherichia coli,0,ATCC 25922,Chemical synthesis using sodium citrate,MIC,2500,,,10.0,15.0,12.5,,24.0,,water (distilled),25.0,60.0,AgNO3,10.0,,,https://www.sciencedirect.com/science/article/pii/S2211715624002066?via%3Dihub,10.1016/j.rechem.2024.101510,134,Results in Chemistry,Elsevier BV,2024,"Green synthesis of non-toxic silver nanoparticles using Salvia tebesana Bunge extract: Optimization, cytotoxicity, and antibacterial activities",True,True,gold,134_1-s2.0-S2211715624002066-main.pdf,1
1181,Ag,0,Pseudomonas aeruginosa,0,ATCC 27853,Chemical synthesis using sodium citrate,MIC,2500,,,10.0,15.0,12.5,,24.0,,water (distilled),25.0,60.0,AgNO3,10.0,,,https://www.sciencedirect.com/science/article/pii/S2211715624002066?via%3Dihub,10.1016/j.rechem.2024.101510,134,Results in Chemistry,Elsevier BV,2024,"Green synthesis of non-toxic silver nanoparticles using Salvia tebesana Bunge extract: Optimization, cytotoxicity, and antibacterial activities",True,True,gold,134_1-s2.0-S2211715624002066-main.pdf,1
1182,Ag,0,Klebsiella pneumoniae,0,ATCC 9997,Chemical synthesis using sodium citrate,MIC,2500,,,10.0,15.0,12.5,,24.0,,water (distilled),25.0,60.0,AgNO3,10.0,,,https://www.sciencedirect.com/science/article/pii/S2211715624002066?via%3Dihub,10.1016/j.rechem.2024.101510,134,Results in Chemistry,Elsevier BV,2024,"Green synthesis of non-toxic silver nanoparticles using Salvia tebesana Bunge extract: Optimization, cytotoxicity, and antibacterial activities",True,True,gold,134_1-s2.0-S2211715624002066-main.pdf,1
1183,Ag,0,Staphylococcus aureus,0,ATCC 25923,Chemical synthesis using sodium citrate,MIC,2500,,,10.0,15.0,12.5,,24.0,,water (distilled),25.0,60.0,AgNO3,10.0,,,https://www.sciencedirect.com/science/article/pii/S2211715624002066?via%3Dihub,10.1016/j.rechem.2024.101510,134,Results in Chemistry,Elsevier BV,2024,"Green synthesis of non-toxic silver nanoparticles using Salvia tebesana Bunge extract: Optimization, cytotoxicity, and antibacterial activities",True,True,gold,134_1-s2.0-S2211715624002066-main.pdf,1
1184,Ag,0,Enterococcus faecalis,0,ATCC 29212,Chemical synthesis using sodium citrate,MIC,2500,,,10.0,15.0,12.5,,24.0,,water (distilled),25.0,60.0,AgNO3,10.0,,,https://www.sciencedirect.com/science/article/pii/S2211715624002066?via%3Dihub,10.1016/j.rechem.2024.101510,134,Results in Chemistry,Elsevier BV,2024,"Green synthesis of non-toxic silver nanoparticles using Salvia tebesana Bunge extract: Optimization, cytotoxicity, and antibacterial activities",True,True,gold,134_1-s2.0-S2211715624002066-main.pdf,1
