sn,np,coating,bacteria,mdr,strain,np_synthesis,method,mic_np_µg_ml,concentration,zoi_np_mm,np_size_min_nm,np_size_max_nm,np_size_avg_nm,shape,time_set_hours,zeta_potential_mV,solvent_for_extract,temperature_for_extract_C,duration_preparing_extract_min,precursor_of_np,concentration_of_precursor_mM,hydrodynamic_diameter_nm,ph_during_synthesis,reference,doi,article_list,journal_name,publisher,year,title,journal_is_oa,is_oa,oa_status,pdf,access
1031,Ag,0,Escherichia coli,0,MTCC 443,Chemical synthesis using sodium borohydride and trisodium citrate,MIC,20,,,4.3,5.7,5.0,spherical,24.0,-39.95,water,60.0,30.0,AgNO3,,,10.5,https://pubs.rsc.org/en/content/articlelanding/2014/ra/c3ra44507k,10.1039/c3ra44507k,142,RSC Adv.,Royal Society of Chemistry (RSC),2014,Size-controlled silver nanoparticles synthesized over the range 5вЂ“100 nm using the same protocol and their antibacterial efficacy,False,True,hybrid,142_c3ra44507k.pdf,1
1032,Ag,0,Escherichia coli,0,MTCC 739,Chemical synthesis using sodium borohydride and trisodium citrate,MIC,60,,,4.3,5.7,5.0,spherical,24.0,-39.95,water,60.0,30.0,AgNO3,,,10.5,https://pubs.rsc.org/en/content/articlelanding/2014/ra/c3ra44507k,10.1039/c3ra44507k,142,RSC Adv.,Royal Society of Chemistry (RSC),2014,Size-controlled silver nanoparticles synthesized over the range 5вЂ“100 nm using the same protocol and their antibacterial efficacy,False,True,hybrid,142_c3ra44507k.pdf,1
1033,Ag,0,Bacillus subtilis,0,MTCC 441,Chemical synthesis using sodium borohydride and trisodium citrate,MIC,30,,,4.3,5.7,5.0,spherical,24.0,-39.95,water,60.0,30.0,AgNO3,,,10.5,https://pubs.rsc.org/en/content/articlelanding/2014/ra/c3ra44507k,10.1039/c3ra44507k,142,RSC Adv.,Royal Society of Chemistry (RSC),2014,Size-controlled silver nanoparticles synthesized over the range 5вЂ“100 nm using the same protocol and their antibacterial efficacy,False,True,hybrid,142_c3ra44507k.pdf,1
1034,Ag,0,Staphylococcus aureus,0,NCIM 5021,Chemical synthesis using sodium borohydride and trisodium citrate,MIC,70,,,4.3,5.7,5.0,spherical,24.0,-39.95,water,60.0,30.0,AgNO3,,,10.5,https://pubs.rsc.org/en/content/articlelanding/2014/ra/c3ra44507k,10.1039/c3ra44507k,142,RSC Adv.,Royal Society of Chemistry (RSC),2014,Size-controlled silver nanoparticles synthesized over the range 5вЂ“100 nm using the same protocol and their antibacterial efficacy,False,True,hybrid,142_c3ra44507k.pdf,1
1035,Ag,0,Escherichia coli,0,MTCC 443,Chemical synthesis using sodium borohydride and trisodium citrate,MBC,30,,,4.3,5.7,5.0,spherical,24.0,-39.95,water,60.0,30.0,AgNO3,,,10.5,https://pubs.rsc.org/en/content/articlelanding/2014/ra/c3ra44507k,10.1039/c3ra44507k,142,RSC Adv.,Royal Society of Chemistry (RSC),2014,Size-controlled silver nanoparticles synthesized over the range 5вЂ“100 nm using the same protocol and their antibacterial efficacy,False,True,hybrid,142_c3ra44507k.pdf,1
1036,Ag,0,Escherichia coli,0,MTCC 739,Chemical synthesis using sodium borohydride and trisodium citrate,MBC,90,,,4.3,5.7,5.0,spherical,24.0,-39.95,water,60.0,30.0,AgNO3,,,10.5,https://pubs.rsc.org/en/content/articlelanding/2014/ra/c3ra44507k,10.1039/c3ra44507k,142,RSC Adv.,Royal Society of Chemistry (RSC),2014,Size-controlled silver nanoparticles synthesized over the range 5вЂ“100 nm using the same protocol and their antibacterial efficacy,False,True,hybrid,142_c3ra44507k.pdf,1
1037,Ag,0,Bacillus subtilis,0,MTCC 441,Chemical synthesis using sodium borohydride and trisodium citrate,MBC,40,,,4.3,5.7,5.0,spherical,24.0,-39.95,water,60.0,30.0,AgNO3,,,10.5,https://pubs.rsc.org/en/content/articlelanding/2014/ra/c3ra44507k,10.1039/c3ra44507k,142,RSC Adv.,Royal Society of Chemistry (RSC),2014,Size-controlled silver nanoparticles synthesized over the range 5вЂ“100 nm using the same protocol and their antibacterial efficacy,False,True,hybrid,142_c3ra44507k.pdf,1
1038,Ag,0,Staphylococcus aureus,0,NCIM 5021,Chemical synthesis using sodium borohydride and trisodium citrate,MBC,80,,,4.3,5.7,5.0,spherical,24.0,-39.95,water,60.0,30.0,AgNO3,,,10.5,https://pubs.rsc.org/en/content/articlelanding/2014/ra/c3ra44507k,10.1039/c3ra44507k,142,RSC Adv.,Royal Society of Chemistry (RSC),2014,Size-controlled silver nanoparticles synthesized over the range 5вЂ“100 nm using the same protocol and their antibacterial efficacy,False,True,hybrid,142_c3ra44507k.pdf,1
1039,Ag,0,Escherichia coli,0,MTCC 443,Chemical synthesis using sodium borohydride and trisodium citrate,MIC,20,,,5.7,8.3,7.0,spherical,24.0,-39.95,water,60.0,30.0,AgNO3,,,10.5,https://pubs.rsc.org/en/content/articlelanding/2014/ra/c3ra44507k,10.1039/c3ra44507k,142,RSC Adv.,Royal Society of Chemistry (RSC),2014,Size-controlled silver nanoparticles synthesized over the range 5вЂ“100 nm using the same protocol and their antibacterial efficacy,False,True,hybrid,142_c3ra44507k.pdf,1
1040,Ag,0,Escherichia coli,0,MTCC 739,Chemical synthesis using sodium borohydride and trisodium citrate,MIC,90,,,5.7,8.3,7.0,spherical,24.0,-39.95,water,60.0,30.0,AgNO3,,,10.5,https://pubs.rsc.org/en/content/articlelanding/2014/ra/c3ra44507k,10.1039/c3ra44507k,142,RSC Adv.,Royal Society of Chemistry (RSC),2014,Size-controlled silver nanoparticles synthesized over the range 5вЂ“100 nm using the same protocol and their antibacterial efficacy,False,True,hybrid,142_c3ra44507k.pdf,1
