sn,np,coating,bacteria,mdr,strain,np_synthesis,method,mic_np_µg_ml,concentration,zoi_np_mm,np_size_min_nm,np_size_max_nm,np_size_avg_nm,shape,time_set_hours,zeta_potential_mV,solvent_for_extract,temperature_for_extract_C,duration_preparing_extract_min,precursor_of_np,concentration_of_precursor_mM,hydrodynamic_diameter_nm,ph_during_synthesis,reference,doi,article_list,journal_name,publisher,year,title,journal_is_oa,is_oa,oa_status,pdf,access
1300,Ag,0,Pseudomonas aeruginosa,0,PAO1,Chemical synthesis using sodium borohydride,MIC,5.65,,,1.41,2.33,1.87,,24.0,,water (Milli-Q),-2.0,120.0,AgNO3,20.0,,,https://pubs.rsc.org/en/content/articlelanding/2019/na/c9na00017h,10.1039/c9na00017h,164,Nanoscale Advances,Royal Society of Chemistry (RSC),2019,The interplay between size and valence state on the antibacterial activity of sub-10 nm silver nanoparticles,True,True,gold,164_c9na00017h.pdf,1
1301,Ag,0,Staphylococcus epidermidis,0,ATCC 190918,Chemical synthesis using sodium borohydride,MIC,5.65,,,1.41,2.33,1.87,,24.0,,water (Milli-Q),-2.0,120.0,AgNO3,20.0,,,https://pubs.rsc.org/en/content/articlelanding/2019/na/c9na00017h,10.1039/c9na00017h,164,Nanoscale Advances,Royal Society of Chemistry (RSC),2019,The interplay between size and valence state on the antibacterial activity of sub-10 nm silver nanoparticles,True,True,gold,164_c9na00017h.pdf,1
1302,Ag,0,Escherichia coli,0,10P50,Chemical synthesis using sodium borohydride,MIC,22.5,,,1.41,2.33,1.87,,24.0,,water (Milli-Q),-2.0,120.0,AgNO3,20.0,,,https://pubs.rsc.org/en/content/articlelanding/2019/na/c9na00017h,10.1039/c9na00017h,164,Nanoscale Advances,Royal Society of Chemistry (RSC),2019,The interplay between size and valence state on the antibacterial activity of sub-10 nm silver nanoparticles,True,True,gold,164_c9na00017h.pdf,1
1303,Ag,0,Staphylococcus aureus,1,MRSA ATCC 19606,Chemical synthesis using sodium borohydride,MIC,45,,,1.41,2.33,1.87,,24.0,,water (Milli-Q),-2.0,120.0,AgNO3,20.0,,,https://pubs.rsc.org/en/content/articlelanding/2019/na/c9na00017h,10.1039/c9na00017h,164,Nanoscale Advances,Royal Society of Chemistry (RSC),2019,The interplay between size and valence state on the antibacterial activity of sub-10 nm silver nanoparticles,True,True,gold,164_c9na00017h.pdf,1
1304,Ag,0,Staphylococcus aureus,0,MSSA ATCC 25923,Chemical synthesis using sodium borohydride,MIC,45,,,1.41,2.33,1.87,,24.0,,water (Milli-Q),-2.0,120.0,AgNO3,20.0,,,https://pubs.rsc.org/en/content/articlelanding/2019/na/c9na00017h,10.1039/c9na00017h,164,Nanoscale Advances,Royal Society of Chemistry (RSC),2019,The interplay between size and valence state on the antibacterial activity of sub-10 nm silver nanoparticles,True,True,gold,164_c9na00017h.pdf,1
1462,Ag,0,Pseudomonas aeruginosa,0,PAO1,Chemical synthesis using sodium borohydride,MIC,5.65,,,2.48,3.38,2.93,,24.0,,water (Milli-Q),-2.0,1440.0,AgNO3,20.0,,,https://pubs.rsc.org/en/content/articlelanding/2019/na/c9na00017h,10.1039/c9na00017h,164,Nanoscale Advances,Royal Society of Chemistry (RSC),2019,The interplay between size and valence state on the antibacterial activity of sub-10 nm silver nanoparticles,True,True,gold,164_c9na00017h.pdf,1
1463,Ag,0,Staphylococcus epidermidis,0,ATCC 190918,Chemical synthesis using sodium borohydride,MIC,5.65,,,2.48,3.38,2.93,,24.0,,water (Milli-Q),-2.0,1440.0,AgNO3,20.0,,,https://pubs.rsc.org/en/content/articlelanding/2019/na/c9na00017h,10.1039/c9na00017h,164,Nanoscale Advances,Royal Society of Chemistry (RSC),2019,The interplay between size and valence state on the antibacterial activity of sub-10 nm silver nanoparticles,True,True,gold,164_c9na00017h.pdf,1
1464,Ag,0,Escherichia coli,0,10P50,Chemical synthesis using sodium borohydride,MIC,11.25,,,2.48,3.38,2.93,,24.0,,water (Milli-Q),-2.0,1440.0,AgNO3,20.0,,,https://pubs.rsc.org/en/content/articlelanding/2019/na/c9na00017h,10.1039/c9na00017h,164,Nanoscale Advances,Royal Society of Chemistry (RSC),2019,The interplay between size and valence state on the antibacterial activity of sub-10 nm silver nanoparticles,True,True,gold,164_c9na00017h.pdf,1
1465,Ag,0,Staphylococcus aureus,1,MRSA ATCC 32240,Chemical synthesis using sodium borohydride,MIC,22.5,,,2.48,3.38,2.93,,24.0,,water (Milli-Q),-2.0,1440.0,AgNO3,20.0,,,https://pubs.rsc.org/en/content/articlelanding/2019/na/c9na00017h,10.1039/c9na00017h,164,Nanoscale Advances,Royal Society of Chemistry (RSC),2019,The interplay between size and valence state on the antibacterial activity of sub-10 nm silver nanoparticles,True,True,gold,164_c9na00017h.pdf,1
1466,Ag,0,Staphylococcus aureus,0,MSSA ATCC 38557,Chemical synthesis using sodium borohydride,MIC,22.5,,,5.07,7.99,6.53,,24.0,,water (Milli-Q),-2.0,1440.0,AgNO3,2.0,,,https://pubs.rsc.org/en/content/articlelanding/2019/na/c9na00017h,10.1039/c9na00017h,164,Nanoscale Advances,Royal Society of Chemistry (RSC),2019,The interplay between size and valence state on the antibacterial activity of sub-10 nm silver nanoparticles,True,True,gold,164_c9na00017h.pdf,1
