sn,np,coating,bacteria,mdr,strain,np_synthesis,method,mic_np_µg_ml,concentration,zoi_np_mm,np_size_min_nm,np_size_max_nm,np_size_avg_nm,shape,time_set_hours,zeta_potential_mV,solvent_for_extract,temperature_for_extract_C,duration_preparing_extract_min,precursor_of_np,concentration_of_precursor_mM,hydrodynamic_diameter_nm,ph_during_synthesis,reference,doi,article_list,journal_name,publisher,year,title,journal_is_oa,is_oa,oa_status,pdf,access
1414,Ag,1,Escherichia coli,1,,Green synthesis using Kalmia angustifolia,MIC,6.5,,,10.0,60.0,36.3,oval,,,ethanol,28.0,600.0,AgNO3,1.0,,,https://doi.org/10.1186/s43141-022-00414-4,10.1186/s43141-022-00414-4,177,Journal of Genetic Engineering and Biotechnology,Elsevier BV,2022,Phytogenic silver nanoparticles from tissue-cultured Kaempferia angustifolia вЂ” an underutilized medicinal herb: a comparative antibacterial study on urinary pathogens,True,True,gold,177_1-s2.0-S1687157X23008247-main.pdf,1
1415,Ag,1,Escherichia coli,1,,Green synthesis using Kalmia angustifolia,MIC,5,,,10.0,60.0,36.3,oval,,,ethanol,28.0,600.0,AgNO3,1.0,,,https://doi.org/10.1186/s43141-022-00414-4,10.1186/s43141-022-00414-4,177,Journal of Genetic Engineering and Biotechnology,Elsevier BV,2022,Phytogenic silver nanoparticles from tissue-cultured Kaempferia angustifolia вЂ” an underutilized medicinal herb: a comparative antibacterial study on urinary pathogens,True,True,gold,177_1-s2.0-S1687157X23008247-main.pdf,1
1416,Ag,1,Klebsiella pneumoniae,1,,Green synthesis using Kalmia angustifolia,MIC,7.25,,,10.0,60.0,36.3,oval,,,ethanol,28.0,600.0,AgNO3,1.0,,,https://doi.org/10.1186/s43141-022-00414-4,10.1186/s43141-022-00414-4,177,Journal of Genetic Engineering and Biotechnology,Elsevier BV,2022,Phytogenic silver nanoparticles from tissue-cultured Kaempferia angustifolia вЂ” an underutilized medicinal herb: a comparative antibacterial study on urinary pathogens,True,True,gold,177_1-s2.0-S1687157X23008247-main.pdf,1
1417,Ag,1,Klebsiella pneumoniae,1,,Green synthesis using Kalmia angustifolia,MIC,6.5,,,10.0,60.0,36.3,oval,,,ethanol,28.0,600.0,AgNO3,1.0,,,https://doi.org/10.1186/s43141-022-00414-4,10.1186/s43141-022-00414-4,177,Journal of Genetic Engineering and Biotechnology,Elsevier BV,2022,Phytogenic silver nanoparticles from tissue-cultured Kaempferia angustifolia вЂ” an underutilized medicinal herb: a comparative antibacterial study on urinary pathogens,True,True,gold,177_1-s2.0-S1687157X23008247-main.pdf,1
1418,Ag,1,Klebsiella pneumoniae,1,,Green synthesis using Kalmia angustifolia,MIC,10,,,10.0,60.0,36.3,oval,,,ethanol,28.0,600.0,AgNO3,1.0,,,https://doi.org/10.1186/s43141-022-00414-4,10.1186/s43141-022-00414-4,177,Journal of Genetic Engineering and Biotechnology,Elsevier BV,2022,Phytogenic silver nanoparticles from tissue-cultured Kaempferia angustifolia вЂ” an underutilized medicinal herb: a comparative antibacterial study on urinary pathogens,True,True,gold,177_1-s2.0-S1687157X23008247-main.pdf,1
1419,Ag,1,Staphylococcus saprophyticus,1,,Green synthesis using Kalmia angustifolia,MIC,5.5,,,10.0,60.0,36.3,oval,,,ethanol,28.0,600.0,AgNO3,1.0,,,https://doi.org/10.1186/s43141-022-00414-4,10.1186/s43141-022-00414-4,177,Journal of Genetic Engineering and Biotechnology,Elsevier BV,2022,Phytogenic silver nanoparticles from tissue-cultured Kaempferia angustifolia вЂ” an underutilized medicinal herb: a comparative antibacterial study on urinary pathogens,True,True,gold,177_1-s2.0-S1687157X23008247-main.pdf,1
1420,Ag,1,Pseudomonas aeruginosa,1,,Green synthesis using Kalmia angustifolia,MIC,9.5,,,10.0,60.0,36.3,oval,,,ethanol,28.0,600.0,AgNO3,1.0,,,https://doi.org/10.1186/s43141-022-00414-4,10.1186/s43141-022-00414-4,177,Journal of Genetic Engineering and Biotechnology,Elsevier BV,2022,Phytogenic silver nanoparticles from tissue-cultured Kaempferia angustifolia вЂ” an underutilized medicinal herb: a comparative antibacterial study on urinary pathogens,True,True,gold,177_1-s2.0-S1687157X23008247-main.pdf,1
1421,Ag,1,Escherichia coli,1,,Green synthesis using Kalmia angustifolia,MBC,6.5,,,10.0,60.0,36.3,oval,,,ethanol,28.0,600.0,AgNO3,1.0,,,https://doi.org/10.1186/s43141-022-00414-4,10.1186/s43141-022-00414-4,177,Journal of Genetic Engineering and Biotechnology,Elsevier BV,2022,Phytogenic silver nanoparticles from tissue-cultured Kaempferia angustifolia вЂ” an underutilized medicinal herb: a comparative antibacterial study on urinary pathogens,True,True,gold,177_1-s2.0-S1687157X23008247-main.pdf,1
1422,Ag,1,Escherichia coli,1,,Green synthesis using Kalmia angustifolia,MBC,5,,,10.0,60.0,36.3,oval,,,ethanol,28.0,600.0,AgNO3,1.0,,,https://doi.org/10.1186/s43141-022-00414-4,10.1186/s43141-022-00414-4,177,Journal of Genetic Engineering and Biotechnology,Elsevier BV,2022,Phytogenic silver nanoparticles from tissue-cultured Kaempferia angustifolia вЂ” an underutilized medicinal herb: a comparative antibacterial study on urinary pathogens,True,True,gold,177_1-s2.0-S1687157X23008247-main.pdf,1
1423,Ag,1,Klebsiella pneumoniae,1,,Green synthesis using Kalmia angustifolia,MBC,7.25,,,10.0,60.0,36.3,oval,,,ethanol,28.0,600.0,AgNO3,1.0,,,https://doi.org/10.1186/s43141-022-00414-4,10.1186/s43141-022-00414-4,177,Journal of Genetic Engineering and Biotechnology,Elsevier BV,2022,Phytogenic silver nanoparticles from tissue-cultured Kaempferia angustifolia вЂ” an underutilized medicinal herb: a comparative antibacterial study on urinary pathogens,True,True,gold,177_1-s2.0-S1687157X23008247-main.pdf,1
