sn,np,coating,bacteria,mdr,strain,np_synthesis,method,mic_np_µg_ml,concentration,zoi_np_mm,np_size_min_nm,np_size_max_nm,np_size_avg_nm,shape,time_set_hours,zeta_potential_mV,solvent_for_extract,temperature_for_extract_C,duration_preparing_extract_min,precursor_of_np,concentration_of_precursor_mM,hydrodynamic_diameter_nm,ph_during_synthesis,reference,doi,article_list,journal_name,publisher,year,title,journal_is_oa,is_oa,oa_status,pdf,access
1428,Ag,1,Staphylococcus aureus,0,MSSA 30,Green synthesis using Curcuma longa,MIC,3.9,,,10.0,20.0,15.0,spherical,24.0,-18.6,ethanol,60.0,1440.0,AgNO3,200.0,32.48,,https://pubs.rsc.org/en/content/articlelanding/2022/ra/d2ra00231k,10.1039/D2RA00231K,178,RSC Advances,Royal Society of Chemistry (RSC),2022,Curcumin assisted green synthesis of silver and zinc oxide nanostructures and their antibacterial activity against some clinical pathogenic multi-drug resistant bacteria,True,True,gold,178_d2ra00231k.pdf,1
1429,Ag,1,Staphylococcus aureus,1,MRSA 11,Green synthesis using Curcuma longa,MIC,3.9,,,10.0,20.0,15.0,spherical,24.0,-18.6,ethanol,60.0,1440.0,AgNO3,200.0,32.48,,https://pubs.rsc.org/en/content/articlelanding/2022/ra/d2ra00231k,10.1039/D2RA00231K,178,RSC Advances,Royal Society of Chemistry (RSC),2022,Curcumin assisted green synthesis of silver and zinc oxide nanostructures and their antibacterial activity against some clinical pathogenic multi-drug resistant bacteria,True,True,gold,178_d2ra00231k.pdf,1
1430,Ag,1,Enterococcus faecalis,1,,Green synthesis using Curcuma longa,MIC,7.8,,,10.0,20.0,15.0,spherical,24.0,-18.6,ethanol,60.0,1440.0,AgNO3,200.0,32.48,,https://pubs.rsc.org/en/content/articlelanding/2022/ra/d2ra00231k,10.1039/D2RA00231K,178,RSC Advances,Royal Society of Chemistry (RSC),2022,Curcumin assisted green synthesis of silver and zinc oxide nanostructures and their antibacterial activity against some clinical pathogenic multi-drug resistant bacteria,True,True,gold,178_d2ra00231k.pdf,1
1431,Ag,1,Pseudomonas aeruginosa,1,,Green synthesis using Curcuma longa,MIC,3.9,,,10.0,20.0,15.0,spherical,24.0,-18.6,ethanol,60.0,1440.0,AgNO3,200.0,32.48,,https://pubs.rsc.org/en/content/articlelanding/2022/ra/d2ra00231k,10.1039/D2RA00231K,178,RSC Advances,Royal Society of Chemistry (RSC),2022,Curcumin assisted green synthesis of silver and zinc oxide nanostructures and their antibacterial activity against some clinical pathogenic multi-drug resistant bacteria,True,True,gold,178_d2ra00231k.pdf,1
1432,Ag,1,Klebsiella pneumoniae,1,,Green synthesis using Curcuma longa,MIC,3.9,,,10.0,20.0,15.0,spherical,24.0,-18.6,ethanol,60.0,1440.0,AgNO3,200.0,32.48,,https://pubs.rsc.org/en/content/articlelanding/2022/ra/d2ra00231k,10.1039/D2RA00231K,178,RSC Advances,Royal Society of Chemistry (RSC),2022,Curcumin assisted green synthesis of silver and zinc oxide nanostructures and their antibacterial activity against some clinical pathogenic multi-drug resistant bacteria,True,True,gold,178_d2ra00231k.pdf,1
1433,Ag,1,Acinetobacter baumannii,1,,Green synthesis using Curcuma longa,MIC,3.9,,,10.0,20.0,15.0,spherical,24.0,-18.6,ethanol,60.0,1440.0,AgNO3,200.0,32.48,,https://pubs.rsc.org/en/content/articlelanding/2022/ra/d2ra00231k,10.1039/D2RA00231K,178,RSC Advances,Royal Society of Chemistry (RSC),2022,Curcumin assisted green synthesis of silver and zinc oxide nanostructures and their antibacterial activity against some clinical pathogenic multi-drug resistant bacteria,True,True,gold,178_d2ra00231k.pdf,1
1434,Ag,1,Proteus vulgaris,1,,Green synthesis using Curcuma longa,MIC,3.9,,,10.0,20.0,15.0,spherical,24.0,-18.6,ethanol,60.0,1440.0,AgNO3,200.0,32.48,,https://pubs.rsc.org/en/content/articlelanding/2022/ra/d2ra00231k,10.1039/D2RA00231K,178,RSC Advances,Royal Society of Chemistry (RSC),2022,Curcumin assisted green synthesis of silver and zinc oxide nanostructures and their antibacterial activity against some clinical pathogenic multi-drug resistant bacteria,True,True,gold,178_d2ra00231k.pdf,1
1435,Ag,1,Escherichia coli,1,,Green synthesis using Curcuma longa,MIC,3.9,,,10.0,20.0,15.0,spherical,24.0,-18.6,ethanol,60.0,1440.0,AgNO3,200.0,32.48,,https://pubs.rsc.org/en/content/articlelanding/2022/ra/d2ra00231k,10.1039/D2RA00231K,178,RSC Advances,Royal Society of Chemistry (RSC),2022,Curcumin assisted green synthesis of silver and zinc oxide nanostructures and their antibacterial activity against some clinical pathogenic multi-drug resistant bacteria,True,True,gold,178_d2ra00231k.pdf,1
1436,Ag,0,Staphylococcus aureus,0,MSSA 30,Green synthesis using Curcuma longa,MIC,5.3,,,10.0,20.0,15.0,spherical,24.0,,ethanol,60.0,1440.0,AgNO3,200.0,32.48,,https://pubs.rsc.org/en/content/articlelanding/2022/ra/d2ra00231k,10.1039/D2RA00231K,178,RSC Advances,Royal Society of Chemistry (RSC),2022,Curcumin assisted green synthesis of silver and zinc oxide nanostructures and their antibacterial activity against some clinical pathogenic multi-drug resistant bacteria,True,True,gold,178_d2ra00231k.pdf,1
1437,Ag,0,Staphylococcus aureus,1,MRSA 11,Green synthesis using Curcuma longa,MIC,5.1,,,10.0,20.0,15.0,spherical,24.0,,ethanol,60.0,1440.0,AgNO3,200.0,32.48,,https://pubs.rsc.org/en/content/articlelanding/2022/ra/d2ra00231k,10.1039/D2RA00231K,178,RSC Advances,Royal Society of Chemistry (RSC),2022,Curcumin assisted green synthesis of silver and zinc oxide nanostructures and their antibacterial activity against some clinical pathogenic multi-drug resistant bacteria,True,True,gold,178_d2ra00231k.pdf,1
