sn,np,coating,bacteria,mdr,strain,np_synthesis,method,mic_np_µg_ml,concentration,zoi_np_mm,np_size_min_nm,np_size_max_nm,np_size_avg_nm,shape,time_set_hours,zeta_potential_mV,solvent_for_extract,temperature_for_extract_C,duration_preparing_extract_min,precursor_of_np,concentration_of_precursor_mM,hydrodynamic_diameter_nm,ph_during_synthesis,reference,doi,article_list,journal_name,publisher,year,title,journal_is_oa,is_oa,oa_status,pdf,access
1454,Ag,0,Acinetobacter baumannii,1,MDRAB,Green synthesis using Streptomyces chiangmaiensis,MIC,0.0068,,,6.1,23.75,13.57,spherical,24.0,-27.9,water (sterile deionized),37.0,1440.0,AgNO3,1.0,77.03,7.0,https://pubs.rsc.org/en/content/articlelanding/2022/ra/d1ra08238h,10.1039/d1ra08238h,180,RSC Advances,Royal Society of Chemistry (RSC),2022,<i>Streptomyces chiangmaiensis</i> SSUT88A mediated green synthesis of silver nanoparticles: characterization and evaluation of antibacterial action against clinical drug-resistant strains,True,True,gold,180_d1ra08238h.pdf,1
1455,Ag,0,Klebsiella pneumoniae,0,JHCK1 (id:1617),Green synthesis using Streptomyces chiangmaiensis,MIC,0.027,,,6.1,23.75,13.57,spherical,24.0,-27.9,water (sterile deionized),37.0,1440.0,AgNO3,1.0,77.03,7.0,https://pubs.rsc.org/en/content/articlelanding/2022/ra/d1ra08238h,10.1039/d1ra08238h,180,RSC Advances,Royal Society of Chemistry (RSC),2022,<i>Streptomyces chiangmaiensis</i> SSUT88A mediated green synthesis of silver nanoparticles: characterization and evaluation of antibacterial action against clinical drug-resistant strains,True,True,gold,180_d1ra08238h.pdf,1
1456,Ag,0,Pseudomonas aeruginosa,0,N90PS,Green synthesis using Streptomyces chiangmaiensis,MIC,0.013,,,6.1,23.75,13.57,spherical,24.0,-27.9,water (sterile deionized),37.0,1440.0,AgNO3,1.0,77.03,7.0,https://pubs.rsc.org/en/content/articlelanding/2022/ra/d1ra08238h,10.1039/d1ra08238h,180,RSC Advances,Royal Society of Chemistry (RSC),2022,<i>Streptomyces chiangmaiensis</i> SSUT88A mediated green synthesis of silver nanoparticles: characterization and evaluation of antibacterial action against clinical drug-resistant strains,True,True,gold,180_d1ra08238h.pdf,1
1457,Ag,0,Escherichia coli,0,JW0230-1 (CGSC 8465),Green synthesis using Streptomyces chiangmaiensis,MIC,0.027,,,6.1,23.75,13.57,spherical,24.0,-27.9,water (sterile deionized),37.0,1440.0,AgNO3,1.0,77.03,7.0,https://pubs.rsc.org/en/content/articlelanding/2022/ra/d1ra08238h,10.1039/d1ra08238h,180,RSC Advances,Royal Society of Chemistry (RSC),2022,<i>Streptomyces chiangmaiensis</i> SSUT88A mediated green synthesis of silver nanoparticles: characterization and evaluation of antibacterial action against clinical drug-resistant strains,True,True,gold,180_d1ra08238h.pdf,1
1458,Ag,0,Acinetobacter baumannii,1,,"Chemical synthesis, purchased from Sigma-Aldrich",MIC,1.35,,,0.2,100.0,50.1,spherical,24.0,,water (sterile deionized),37.0,1440.0,AgNO3,1.0,,7.0,https://pubs.rsc.org/en/content/articlelanding/2022/ra/d1ra08238h,10.1039/d1ra08238h,180,RSC Advances,Royal Society of Chemistry (RSC),2022,<i>Streptomyces chiangmaiensis</i> SSUT88A mediated green synthesis of silver nanoparticles: characterization and evaluation of antibacterial action against clinical drug-resistant strains,True,True,gold,180_d1ra08238h.pdf,1
1459,Ag,0,Klebsiella pneumoniae,0,JHCK2 (id:1618),"Chemical synthesis, purchased from Sigma-Aldrich",MIC,1.35,,,0.2,100.0,50.1,spherical,24.0,,water (sterile deionized),37.0,1440.0,AgNO3,1.0,,7.0,https://pubs.rsc.org/en/content/articlelanding/2022/ra/d1ra08238h,10.1039/d1ra08238h,180,RSC Advances,Royal Society of Chemistry (RSC),2022,<i>Streptomyces chiangmaiensis</i> SSUT88A mediated green synthesis of silver nanoparticles: characterization and evaluation of antibacterial action against clinical drug-resistant strains,True,True,gold,180_d1ra08238h.pdf,1
1460,Ag,0,Pseudomonas aeruginosa,0,N90PS,"Chemical synthesis, purchased from Sigma-Aldrich",MIC,1.35,,,0.2,100.0,50.1,spherical,24.0,,water (sterile deionized),37.0,1440.0,AgNO3,1.0,,7.0,https://pubs.rsc.org/en/content/articlelanding/2022/ra/d1ra08238h,10.1039/d1ra08238h,180,RSC Advances,Royal Society of Chemistry (RSC),2022,<i>Streptomyces chiangmaiensis</i> SSUT88A mediated green synthesis of silver nanoparticles: characterization and evaluation of antibacterial action against clinical drug-resistant strains,True,True,gold,180_d1ra08238h.pdf,1
1461,Ag,0,Escherichia coli,1,CZAR DC 8466,"Chemical synthesis, purchased from Sigma-Aldrich",MIC,1.35,,,0.2,100.0,50.1,spherical,24.0,,water (sterile deionized),37.0,1440.0,AgNO3,1.0,,7.0,https://pubs.rsc.org/en/content/articlelanding/2022/ra/d1ra08238h,10.1039/d1ra08238h,180,RSC Advances,Royal Society of Chemistry (RSC),2022,<i>Streptomyces chiangmaiensis</i> SSUT88A mediated green synthesis of silver nanoparticles: characterization and evaluation of antibacterial action against clinical drug-resistant strains,True,True,gold,180_d1ra08238h.pdf,1
3162,Ag,0,Acinetobacter baumannii,1,MDRAB,Green synthesis using Streptomyces chiangmaiensis,ZOI,,0.2,20.3,6.1,23.75,13.57,spherical,24.0,-27.9,water (deionized),37.0,1440.0,AgNO3,1.0,77.03,,https://pubs.rsc.org/en/content/articlelanding/2022/ra/d1ra08238h,10.1039/d1ra08238h,180,RSC Advances,Royal Society of Chemistry (RSC),2022,<i>Streptomyces chiangmaiensis</i> SSUT88A mediated green synthesis of silver nanoparticles: characterization and evaluation of antibacterial action against clinical drug-resistant strains,True,True,gold,180_d1ra08238h.pdf,1
3163,Ag,0,Klebsiella pneumoniaee,0,1617,Green synthesis using Streptomyces chiangmaiensis,ZOI,,0.2,12.6,6.1,23.75,13.57,spherical,24.0,-27.9,water (deionized),37.0,1440.0,AgNO3,1.0,77.03,,https://pubs.rsc.org/en/content/articlelanding/2022/ra/d1ra08238h,10.1039/d1ra08238h,180,RSC Advances,Royal Society of Chemistry (RSC),2022,<i>Streptomyces chiangmaiensis</i> SSUT88A mediated green synthesis of silver nanoparticles: characterization and evaluation of antibacterial action against clinical drug-resistant strains,True,True,gold,180_d1ra08238h.pdf,1
