sn,np,coating,bacteria,mdr,strain,np_synthesis,method,mic_np_µg_ml,concentration,zoi_np_mm,np_size_min_nm,np_size_max_nm,np_size_avg_nm,shape,time_set_hours,zeta_potential_mV,solvent_for_extract,temperature_for_extract_C,duration_preparing_extract_min,precursor_of_np,concentration_of_precursor_mM,hydrodynamic_diameter_nm,ph_during_synthesis,reference,doi,article_list,journal_name,publisher,year,title,journal_is_oa,is_oa,oa_status,pdf,access
1472,Ag,0,Escherichia coli,0,ATCC 11229,Green synthesis using Pimpinella anisum,MIC,4,,,,,,spherical,24.0,,water (distilled),25.0,1440.0,AgNO3,1.0,65.4,9.0,https://pubs.rsc.org/en/content/articlelanding/2023/ma/d3ma00089c,10.1039/d3ma00089c,181,Materials Advances,Royal Society of Chemistry (RSC),2023,"Bioinspired green-synthesized silver nanoparticles: <i>in vitro</i> physicochemical, antibacterial, biofilm inhibitory, genotoxicity, antidiabetic, antioxidant, and anticoagulant performance",True,True,gold,181_d3ma00089c.pdf,1
1473,Ag,0,Escherichia coli,0,ATCC 11230,Green synthesis using Pimpinella anisum,MIC,4,,,,,,spherical,24.0,,water (distilled),25.0,1440.0,AgNO3,1.0,65.4,9.0,https://pubs.rsc.org/en/content/articlelanding/2023/ma/d3ma00089c,10.1039/d3ma00089c,181,Materials Advances,Royal Society of Chemistry (RSC),2023,"Bioinspired green-synthesized silver nanoparticles: <i>in vitro</i> physicochemical, antibacterial, biofilm inhibitory, genotoxicity, antidiabetic, antioxidant, and anticoagulant performance",True,True,gold,181_d3ma00089c.pdf,1
1474,Ag,0,Escherichia coli,0,ATCC 11231,Green synthesis using Pimpinella anisum,MIC,4,,,,,,spherical,24.0,,water (distilled),25.0,1440.0,AgNO3,1.0,65.4,9.0,https://pubs.rsc.org/en/content/articlelanding/2023/ma/d3ma00089c,10.1039/d3ma00089c,181,Materials Advances,Royal Society of Chemistry (RSC),2023,"Bioinspired green-synthesized silver nanoparticles: <i>in vitro</i> physicochemical, antibacterial, biofilm inhibitory, genotoxicity, antidiabetic, antioxidant, and anticoagulant performance",True,True,gold,181_d3ma00089c.pdf,1
1475,Ag,0,Escherichia coli,0,ATCC 11232,Green synthesis using Pimpinella anisum,MIC,4,,,,,,spherical,24.0,,water (distilled),25.0,1440.0,AgNO3,1.0,65.4,9.0,https://pubs.rsc.org/en/content/articlelanding/2023/ma/d3ma00089c,10.1039/d3ma00089c,181,Materials Advances,Royal Society of Chemistry (RSC),2023,"Bioinspired green-synthesized silver nanoparticles: <i>in vitro</i> physicochemical, antibacterial, biofilm inhibitory, genotoxicity, antidiabetic, antioxidant, and anticoagulant performance",True,True,gold,181_d3ma00089c.pdf,1
1476,Ag,0,Escherichia coli,0,ATCC 11233,Green synthesis using Pimpinella anisum,MIC,4,,,,,,spherical,24.0,,water (distilled),25.0,1440.0,AgNO3,1.0,65.4,9.0,https://pubs.rsc.org/en/content/articlelanding/2023/ma/d3ma00089c,10.1039/d3ma00089c,181,Materials Advances,Royal Society of Chemistry (RSC),2023,"Bioinspired green-synthesized silver nanoparticles: <i>in vitro</i> physicochemical, antibacterial, biofilm inhibitory, genotoxicity, antidiabetic, antioxidant, and anticoagulant performance",True,True,gold,181_d3ma00089c.pdf,1
1477,Ag,0,Escherichia coli,0,ATCC 11234,Green synthesis using Pimpinella anisum,MIC,2,,,,,,spherical,24.0,,water (distilled),25.0,1440.0,AgNO3,1.0,65.4,9.0,https://pubs.rsc.org/en/content/articlelanding/2023/ma/d3ma00089c,10.1039/d3ma00089c,181,Materials Advances,Royal Society of Chemistry (RSC),2023,"Bioinspired green-synthesized silver nanoparticles: <i>in vitro</i> physicochemical, antibacterial, biofilm inhibitory, genotoxicity, antidiabetic, antioxidant, and anticoagulant performance",True,True,gold,181_d3ma00089c.pdf,1
1478,Ag,0,Escherichia coli,0,ATCC 11235,Green synthesis using Pimpinella anisum,MIC,2,,,,,,spherical,24.0,,water (distilled),25.0,1440.0,AgNO3,1.0,65.4,9.0,https://pubs.rsc.org/en/content/articlelanding/2023/ma/d3ma00089c,10.1039/d3ma00089c,181,Materials Advances,Royal Society of Chemistry (RSC),2023,"Bioinspired green-synthesized silver nanoparticles: <i>in vitro</i> physicochemical, antibacterial, biofilm inhibitory, genotoxicity, antidiabetic, antioxidant, and anticoagulant performance",True,True,gold,181_d3ma00089c.pdf,1
1479,Ag,0,Escherichia coli,0,ATCC 11236,Green synthesis using Pimpinella anisum,MIC,2,,,,,,spherical,24.0,,water (distilled),25.0,1440.0,AgNO3,1.0,65.4,9.0,https://pubs.rsc.org/en/content/articlelanding/2023/ma/d3ma00089c,10.1039/d3ma00089c,181,Materials Advances,Royal Society of Chemistry (RSC),2023,"Bioinspired green-synthesized silver nanoparticles: <i>in vitro</i> physicochemical, antibacterial, biofilm inhibitory, genotoxicity, antidiabetic, antioxidant, and anticoagulant performance",True,True,gold,181_d3ma00089c.pdf,1
1480,Ag,0,Escherichia coli,0,ATCC 11237,Green synthesis using Pimpinella anisum,MIC,2,,,,,,spherical,24.0,,water (distilled),25.0,1440.0,AgNO3,1.0,65.4,9.0,https://pubs.rsc.org/en/content/articlelanding/2023/ma/d3ma00089c,10.1039/d3ma00089c,181,Materials Advances,Royal Society of Chemistry (RSC),2023,"Bioinspired green-synthesized silver nanoparticles: <i>in vitro</i> physicochemical, antibacterial, biofilm inhibitory, genotoxicity, antidiabetic, antioxidant, and anticoagulant performance",True,True,gold,181_d3ma00089c.pdf,1
1481,Ag,0,Escherichia coli,0,ATCC 11238,Green synthesis using Pimpinella anisum,MIC,4,,,,,,spherical,24.0,,water (distilled),25.0,1440.0,AgNO3,1.0,65.4,9.0,https://pubs.rsc.org/en/content/articlelanding/2023/ma/d3ma00089c,10.1039/d3ma00089c,181,Materials Advances,Royal Society of Chemistry (RSC),2023,"Bioinspired green-synthesized silver nanoparticles: <i>in vitro</i> physicochemical, antibacterial, biofilm inhibitory, genotoxicity, antidiabetic, antioxidant, and anticoagulant performance",True,True,gold,181_d3ma00089c.pdf,1
1482,Ag,0,Escherichia coli,0,ATCC 11239,Green synthesis using Pimpinella anisum,MIC,4,,,,,,spherical,24.0,,water (distilled),25.0,1440.0,AgNO3,1.0,65.4,9.0,https://pubs.rsc.org/en/content/articlelanding/2023/ma/d3ma00089c,10.1039/d3ma00089c,181,Materials Advances,Royal Society of Chemistry (RSC),2023,"Bioinspired green-synthesized silver nanoparticles: <i>in vitro</i> physicochemical, antibacterial, biofilm inhibitory, genotoxicity, antidiabetic, antioxidant, and anticoagulant performance",True,True,gold,181_d3ma00089c.pdf,1
1483,Ag,0,Escherichia coli,0,ATCC 25922,Green synthesis using Pimpinella anisum,MIC,4,,,,,,spherical,24.0,,water (distilled),25.0,1440.0,AgNO3,1.0,65.4,9.0,https://pubs.rsc.org/en/content/articlelanding/2023/ma/d3ma00089c,10.1039/d3ma00089c,181,Materials Advances,Royal Society of Chemistry (RSC),2023,"Bioinspired green-synthesized silver nanoparticles: <i>in vitro</i> physicochemical, antibacterial, biofilm inhibitory, genotoxicity, antidiabetic, antioxidant, and anticoagulant performance",True,True,gold,181_d3ma00089c.pdf,1
1484,Ag,0,Escherichia coli,0,ATCC 11229,Green synthesis using Pimpinella anisum,MBC,4,,,,,,spherical,24.0,,water (distilled),25.0,1440.0,AgNO3,1.0,65.4,9.0,https://pubs.rsc.org/en/content/articlelanding/2023/ma/d3ma00089c,10.1039/d3ma00089c,181,Materials Advances,Royal Society of Chemistry (RSC),2023,"Bioinspired green-synthesized silver nanoparticles: <i>in vitro</i> physicochemical, antibacterial, biofilm inhibitory, genotoxicity, antidiabetic, antioxidant, and anticoagulant performance",True,True,gold,181_d3ma00089c.pdf,1
