sn,np,coating,bacteria,mdr,strain,np_synthesis,method,mic_np_µg_ml,concentration,zoi_np_mm,np_size_min_nm,np_size_max_nm,np_size_avg_nm,shape,time_set_hours,zeta_potential_mV,solvent_for_extract,temperature_for_extract_C,duration_preparing_extract_min,precursor_of_np,concentration_of_precursor_mM,hydrodynamic_diameter_nm,ph_during_synthesis,reference,doi,article_list,journal_name,publisher,year,title,journal_is_oa,is_oa,oa_status,pdf,access
1798,Ag,0,Escherichia coli,0,,Green synthesis using Agrimonia eupatoria L.,MIC,156,,,20.0,50.0,40.0,,24.0,,water,,,AgNO3,5.0,,6.0,https://pubs.rsc.org/en/content/articlelanding/2024/ra/d3ra07819a,10.1039/D3RA07819A,202,RSC Advances,Royal Society of Chemistry (RSC),2024,Biosynthesis and characterization of silver nanoparticles synthesized using extracts ofпїЅAgrimonia eupatoriaпїЅL. andпїЅin vitroпїЅandпїЅin vivoпїЅstudies of potential medicinal applications,True,True,gold,202_d3ra07819a.pdf,1
1799,Ag,0,Pseudomonas aeruginosa,0,,Green synthesis using Agrimonia eupatoria L.,MIC,156,,,20.0,50.0,40.0,,24.0,,water,,,AgNO3,5.0,,6.0,https://pubs.rsc.org/en/content/articlelanding/2024/ra/d3ra07819a,10.1039/D3RA07819A,202,RSC Advances,Royal Society of Chemistry (RSC),2024,Biosynthesis and characterization of silver nanoparticles synthesized using extracts ofпїЅAgrimonia eupatoriaпїЅL. andпїЅin vitroпїЅandпїЅin vivoпїЅstudies of potential medicinal applications,True,True,gold,202_d3ra07819a.pdf,1
1800,Ag,0,Escherichia coli,0,,Green synthesis using Agrimonia eupatoria L.,MIC,312.5,,,20.0,50.0,40.0,,24.0,,water,,,AgNO3,5.0,,6.0,https://pubs.rsc.org/en/content/articlelanding/2024/ra/d3ra07819a,10.1039/D3RA07819A,202,RSC Advances,Royal Society of Chemistry (RSC),2024,Biosynthesis and characterization of silver nanoparticles synthesized using extracts ofпїЅAgrimonia eupatoriaпїЅL. andпїЅin vitroпїЅandпїЅin vivoпїЅstudies of potential medicinal applications,True,True,gold,202_d3ra07819a.pdf,1
1801,Ag,0,Salmonella enterica,0,,Green synthesis using Agrimonia eupatoria L.,MIC,312.5,,,20.0,50.0,40.0,,24.0,,water,,,AgNO3,5.0,,6.0,https://pubs.rsc.org/en/content/articlelanding/2024/ra/d3ra07819a,10.1039/D3RA07819A,202,RSC Advances,Royal Society of Chemistry (RSC),2024,Biosynthesis and characterization of silver nanoparticles synthesized using extracts ofпїЅAgrimonia eupatoriaпїЅL. andпїЅin vitroпїЅandпїЅin vivoпїЅstudies of potential medicinal applications,True,True,gold,202_d3ra07819a.pdf,1
1802,Ag,0,Salmonella typhimurium,0,,Green synthesis using Agrimonia eupatoria L.,MIC,312.5,,,20.0,50.0,40.0,,24.0,,water,,,AgNO3,5.0,,6.0,https://pubs.rsc.org/en/content/articlelanding/2024/ra/d3ra07819a,10.1039/D3RA07819A,202,RSC Advances,Royal Society of Chemistry (RSC),2024,Biosynthesis and characterization of silver nanoparticles synthesized using extracts ofпїЅAgrimonia eupatoriaпїЅL. andпїЅin vitroпїЅandпїЅin vivoпїЅstudies of potential medicinal applications,True,True,gold,202_d3ra07819a.pdf,1
1803,Ag,0,Pseudomonas aeruginosa,0,,Green synthesis using Agrimonia eupatoria L.,MIC,312.5,,,20.0,50.0,40.0,,24.0,,water,,,AgNO3,5.0,,6.0,https://pubs.rsc.org/en/content/articlelanding/2024/ra/d3ra07819a,10.1039/D3RA07819A,202,RSC Advances,Royal Society of Chemistry (RSC),2024,Biosynthesis and characterization of silver nanoparticles synthesized using extracts ofпїЅAgrimonia eupatoriaпїЅL. andпїЅin vitroпїЅandпїЅin vivoпїЅstudies of potential medicinal applications,True,True,gold,202_d3ra07819a.pdf,1
1804,Ag,0,Proteus mirabilis,0,,Green synthesis using Agrimonia eupatoria L.,MIC,156,,,20.0,50.0,40.0,,24.0,,water,,,AgNO3,5.0,,6.0,https://pubs.rsc.org/en/content/articlelanding/2024/ra/d3ra07819a,10.1039/D3RA07819A,202,RSC Advances,Royal Society of Chemistry (RSC),2024,Biosynthesis and characterization of silver nanoparticles synthesized using extracts ofпїЅAgrimonia eupatoriaпїЅL. andпїЅin vitroпїЅandпїЅin vivoпїЅstudies of potential medicinal applications,True,True,gold,202_d3ra07819a.pdf,1
1805,Ag,0,Klebsiella pneumoniae,0,,Green synthesis using Agrimonia eupatoria L.,MIC,625,,,20.0,50.0,40.0,,24.0,,water,,,AgNO3,5.0,,6.0,https://pubs.rsc.org/en/content/articlelanding/2024/ra/d3ra07819a,10.1039/D3RA07819A,202,RSC Advances,Royal Society of Chemistry (RSC),2024,Biosynthesis and characterization of silver nanoparticles synthesized using extracts ofпїЅAgrimonia eupatoriaпїЅL. andпїЅin vitroпїЅandпїЅin vivoпїЅstudies of potential medicinal applications,True,True,gold,202_d3ra07819a.pdf,1
1806,Ag,0,Staphylococcus aureus,0,,Green synthesis using Agrimonia eupatoria L.,MIC,78,,,20.0,50.0,40.0,,24.0,,water,,,AgNO3,5.0,,6.0,https://pubs.rsc.org/en/content/articlelanding/2024/ra/d3ra07819a,10.1039/D3RA07819A,202,RSC Advances,Royal Society of Chemistry (RSC),2024,Biosynthesis and characterization of silver nanoparticles synthesized using extracts ofпїЅAgrimonia eupatoriaпїЅL. andпїЅin vitroпїЅandпїЅin vivoпїЅstudies of potential medicinal applications,True,True,gold,202_d3ra07819a.pdf,1
1807,Ag,0,Bacillus subtilis,0,,Green synthesis using Agrimonia eupatoria L.,MIC,625,,,20.0,50.0,40.0,,24.0,,water,,,AgNO3,5.0,,6.0,https://pubs.rsc.org/en/content/articlelanding/2024/ra/d3ra07819a,10.1039/D3RA07819A,202,RSC Advances,Royal Society of Chemistry (RSC),2024,Biosynthesis and characterization of silver nanoparticles synthesized using extracts ofпїЅAgrimonia eupatoriaпїЅL. andпїЅin vitroпїЅandпїЅin vivoпїЅstudies of potential medicinal applications,True,True,gold,202_d3ra07819a.pdf,1
