sn,np,coating,bacteria,mdr,strain,np_synthesis,method,mic_np_µg_ml,concentration,zoi_np_mm,np_size_min_nm,np_size_max_nm,np_size_avg_nm,shape,time_set_hours,zeta_potential_mV,solvent_for_extract,temperature_for_extract_C,duration_preparing_extract_min,precursor_of_np,concentration_of_precursor_mM,hydrodynamic_diameter_nm,ph_during_synthesis,reference,doi,article_list,journal_name,publisher,year,title,journal_is_oa,is_oa,oa_status,pdf,access
2437,ZnO,0,Staphylococcus aureus,0,,green_synthesis using Aloe vera leaves,ZOI,,2000.0,17.49387,2.0,10.0,6.0,,24.0,,,,,,,,,https://www.researchgate.net/profile/Ashwani-Kumar-101/publication/354927338_Antibacterial_Potential_of_Zinc_Oxide_Nanoparticles_Synthesized_using_Aloe_vera_L_Burmf_A_Green_Approach_to_Combat_Drug_Resistance/links/61a7a0de29948f41dbb957c2/Antibacterial-Potential-of-Zinc-Oxide-Nanoparticles-Synthesized-using-Aloe-vera-L-Burmf-A-Green-Approach-to-Combat-Drug-Resistance.pdf,10.22207/JPAM.15.4.12,210,Journal of Pure and Applied Microbiology,Journal of Pure and Applied Microbiology,2021,Antibacterial Potential of Zinc Oxide Nanoparticles Synthesized usingпїЅAloe veraпїЅ(L.) Burm.f.: A Green Approach to Combat Drug Resistance,True,True,green,210_JPAM_Vol_15_Issue4_p_1907-1914.pdf,1
2438,ZnO,0,Staphylococcus aureus,0,,green_synthesis using Aloe vera leaves,ZOI,,4000.0,18.2859,2.0,10.0,6.0,,24.0,,,,,,,,,https://www.researchgate.net/profile/Ashwani-Kumar-101/publication/354927338_Antibacterial_Potential_of_Zinc_Oxide_Nanoparticles_Synthesized_using_Aloe_vera_L_Burmf_A_Green_Approach_to_Combat_Drug_Resistance/links/61a7a0de29948f41dbb957c2/Antibacterial-Potential-of-Zinc-Oxide-Nanoparticles-Synthesized-using-Aloe-vera-L-Burmf-A-Green-Approach-to-Combat-Drug-Resistance.pdf,10.22207/JPAM.15.4.12,210,Journal of Pure and Applied Microbiology,Journal of Pure and Applied Microbiology,2021,Antibacterial Potential of Zinc Oxide Nanoparticles Synthesized usingпїЅAloe veraпїЅ(L.) Burm.f.: A Green Approach to Combat Drug Resistance,True,True,green,210_JPAM_Vol_15_Issue4_p_1907-1914.pdf,1
2439,ZnO,0,Staphylococcus aureus,0,,green_synthesis using Aloe vera leaves,ZOI,,6000.0,26.72798,2.0,10.0,6.0,spherical,24.0,,,,,,,,,https://www.researchgate.net/profile/Ashwani-Kumar-101/publication/354927338_Antibacterial_Potential_of_Zinc_Oxide_Nanoparticles_Synthesized_using_Aloe_vera_L_Burmf_A_Green_Approach_to_Combat_Drug_Resistance/links/61a7a0de29948f41dbb957c2/Antibacterial-Potential-of-Zinc-Oxide-Nanoparticles-Synthesized-using-Aloe-vera-L-Burmf-A-Green-Approach-to-Combat-Drug-Resistance.pdf,10.22207/JPAM.15.4.12,210,Journal of Pure and Applied Microbiology,Journal of Pure and Applied Microbiology,2021,Antibacterial Potential of Zinc Oxide Nanoparticles Synthesized usingпїЅAloe veraпїЅ(L.) Burm.f.: A Green Approach to Combat Drug Resistance,True,True,green,210_JPAM_Vol_15_Issue4_p_1907-1914.pdf,1
2440,ZnO,0,Klebsiella pneumoniae,0,,green_synthesis using Aloe vera leaves,ZOI,,2000.0,13.81051,2.0,10.0,6.0,,24.0,,,,,,,,,https://www.researchgate.net/profile/Ashwani-Kumar-101/publication/354927338_Antibacterial_Potential_of_Zinc_Oxide_Nanoparticles_Synthesized_using_Aloe_vera_L_Burmf_A_Green_Approach_to_Combat_Drug_Resistance/links/61a7a0de29948f41dbb957c2/Antibacterial-Potential-of-Zinc-Oxide-Nanoparticles-Synthesized-using-Aloe-vera-L-Burmf-A-Green-Approach-to-Combat-Drug-Resistance.pdf,10.22207/JPAM.15.4.12,210,Journal of Pure and Applied Microbiology,Journal of Pure and Applied Microbiology,2021,Antibacterial Potential of Zinc Oxide Nanoparticles Synthesized usingпїЅAloe veraпїЅ(L.) Burm.f.: A Green Approach to Combat Drug Resistance,True,True,green,210_JPAM_Vol_15_Issue4_p_1907-1914.pdf,1
2441,ZnO,0,Klebsiella pneumoniae,0,,green_synthesis using Aloe vera leaves,ZOI,,4000.0,14.38034,2.0,10.0,6.0,,24.0,,,,,,,,,https://www.researchgate.net/profile/Ashwani-Kumar-101/publication/354927338_Antibacterial_Potential_of_Zinc_Oxide_Nanoparticles_Synthesized_using_Aloe_vera_L_Burmf_A_Green_Approach_to_Combat_Drug_Resistance/links/61a7a0de29948f41dbb957c2/Antibacterial-Potential-of-Zinc-Oxide-Nanoparticles-Synthesized-using-Aloe-vera-L-Burmf-A-Green-Approach-to-Combat-Drug-Resistance.pdf,10.22207/JPAM.15.4.12,210,Journal of Pure and Applied Microbiology,Journal of Pure and Applied Microbiology,2021,Antibacterial Potential of Zinc Oxide Nanoparticles Synthesized usingпїЅAloe veraпїЅ(L.) Burm.f.: A Green Approach to Combat Drug Resistance,True,True,green,210_JPAM_Vol_15_Issue4_p_1907-1914.pdf,1
2442,ZnO,0,Klebsiella pneumoniae,0,,green_synthesis using Aloe vera leaves,ZOI,,6000.0,17.37723,2.0,10.0,6.0,spherical,24.0,,,,,,,,,https://www.researchgate.net/profile/Ashwani-Kumar-101/publication/354927338_Antibacterial_Potential_of_Zinc_Oxide_Nanoparticles_Synthesized_using_Aloe_vera_L_Burmf_A_Green_Approach_to_Combat_Drug_Resistance/links/61a7a0de29948f41dbb957c2/Antibacterial-Potential-of-Zinc-Oxide-Nanoparticles-Synthesized-using-Aloe-vera-L-Burmf-A-Green-Approach-to-Combat-Drug-Resistance.pdf,10.22207/JPAM.15.4.12,210,Journal of Pure and Applied Microbiology,Journal of Pure and Applied Microbiology,2021,Antibacterial Potential of Zinc Oxide Nanoparticles Synthesized usingпїЅAloe veraпїЅ(L.) Burm.f.: A Green Approach to Combat Drug Resistance,True,True,green,210_JPAM_Vol_15_Issue4_p_1907-1914.pdf,1
2443,ZnO,0,Bacillus subtilis,0,,green_synthesis using Aloe vera leaves,ZOI,,2000.0,11.05469,2.0,10.0,6.0,,24.0,,,,,,,,,https://www.researchgate.net/profile/Ashwani-Kumar-101/publication/354927338_Antibacterial_Potential_of_Zinc_Oxide_Nanoparticles_Synthesized_using_Aloe_vera_L_Burmf_A_Green_Approach_to_Combat_Drug_Resistance/links/61a7a0de29948f41dbb957c2/Antibacterial-Potential-of-Zinc-Oxide-Nanoparticles-Synthesized-using-Aloe-vera-L-Burmf-A-Green-Approach-to-Combat-Drug-Resistance.pdf,10.22207/JPAM.15.4.12,210,Journal of Pure and Applied Microbiology,Journal of Pure and Applied Microbiology,2021,Antibacterial Potential of Zinc Oxide Nanoparticles Synthesized usingпїЅAloe veraпїЅ(L.) Burm.f.: A Green Approach to Combat Drug Resistance,True,True,green,210_JPAM_Vol_15_Issue4_p_1907-1914.pdf,1
2444,ZnO,0,Bacillus subtilis,0,,green_synthesis using Aloe vera leaves,ZOI,,4000.0,13.63034,2.0,10.0,6.0,,24.0,,,,,,,,,https://www.researchgate.net/profile/Ashwani-Kumar-101/publication/354927338_Antibacterial_Potential_of_Zinc_Oxide_Nanoparticles_Synthesized_using_Aloe_vera_L_Burmf_A_Green_Approach_to_Combat_Drug_Resistance/links/61a7a0de29948f41dbb957c2/Antibacterial-Potential-of-Zinc-Oxide-Nanoparticles-Synthesized-using-Aloe-vera-L-Burmf-A-Green-Approach-to-Combat-Drug-Resistance.pdf,10.22207/JPAM.15.4.12,210,Journal of Pure and Applied Microbiology,Journal of Pure and Applied Microbiology,2021,Antibacterial Potential of Zinc Oxide Nanoparticles Synthesized usingпїЅAloe veraпїЅ(L.) Burm.f.: A Green Approach to Combat Drug Resistance,True,True,green,210_JPAM_Vol_15_Issue4_p_1907-1914.pdf,1
2445,ZnO,0,Bacillus subtilis,0,,green_synthesis using Aloe vera leaves,ZOI,,6000.0,16.40596,2.0,10.0,6.0,,24.0,,,,,,,,,https://www.researchgate.net/profile/Ashwani-Kumar-101/publication/354927338_Antibacterial_Potential_of_Zinc_Oxide_Nanoparticles_Synthesized_using_Aloe_vera_L_Burmf_A_Green_Approach_to_Combat_Drug_Resistance/links/61a7a0de29948f41dbb957c2/Antibacterial-Potential-of-Zinc-Oxide-Nanoparticles-Synthesized-using-Aloe-vera-L-Burmf-A-Green-Approach-to-Combat-Drug-Resistance.pdf,10.22207/JPAM.15.4.12,210,Journal of Pure and Applied Microbiology,Journal of Pure and Applied Microbiology,2021,Antibacterial Potential of Zinc Oxide Nanoparticles Synthesized usingпїЅAloe veraпїЅ(L.) Burm.f.: A Green Approach to Combat Drug Resistance,True,True,green,210_JPAM_Vol_15_Issue4_p_1907-1914.pdf,1
2446,ZnO,0,Escherichia coli,0,,green_synthesis using Aloe vera leaves,ZOI,,2000.0,13.91733,2.0,10.0,6.0,,24.0,,,,,,,,,https://www.researchgate.net/profile/Ashwani-Kumar-101/publication/354927338_Antibacterial_Potential_of_Zinc_Oxide_Nanoparticles_Synthesized_using_Aloe_vera_L_Burmf_A_Green_Approach_to_Combat_Drug_Resistance/links/61a7a0de29948f41dbb957c2/Antibacterial-Potential-of-Zinc-Oxide-Nanoparticles-Synthesized-using-Aloe-vera-L-Burmf-A-Green-Approach-to-Combat-Drug-Resistance.pdf,10.22207/JPAM.15.4.12,210,Journal of Pure and Applied Microbiology,Journal of Pure and Applied Microbiology,2021,Antibacterial Potential of Zinc Oxide Nanoparticles Synthesized usingпїЅAloe veraпїЅ(L.) Burm.f.: A Green Approach to Combat Drug Resistance,True,True,green,210_JPAM_Vol_15_Issue4_p_1907-1914.pdf,1
