sn,np,coating,bacteria,mdr,strain,np_synthesis,method,mic_np_µg_ml,concentration,zoi_np_mm,np_size_min_nm,np_size_max_nm,np_size_avg_nm,shape,time_set_hours,zeta_potential_mV,solvent_for_extract,temperature_for_extract_C,duration_preparing_extract_min,precursor_of_np,concentration_of_precursor_mM,hydrodynamic_diameter_nm,ph_during_synthesis,reference,doi,article_list,journal_name,publisher,year,title,journal_is_oa,is_oa,oa_status,pdf,access
282,Ag,0,Escherichia coli,0,ATCC 10536,green_synthesis,MIC,2.5,,,,,,,,,,,,,,,,https://www.nature.com/articles/srep29982,10.1038/srep29982,31,Scientific Reports,Springer Science and Business Media LLC,2016,Elucidating pharmacodynamic interaction of silver nanoparticle - topical deliverable antibiotics,True,True,gold,31_thirumurugan2016.pdf,1
283,Ag,0,Escherichia coli,0,ATCC 10536,green_synthesis,MIC,2.5,,,,,,,,,,,,,,,,https://www.nature.com/articles/srep29982,10.1038/srep29982,31,Scientific Reports,Springer Science and Business Media LLC,2016,Elucidating pharmacodynamic interaction of silver nanoparticle - topical deliverable antibiotics,True,True,gold,31_thirumurugan2016.pdf,1
284,Ag,0,Escherichia coli,0,ATCC 10536,green_synthesis,MIC,2.5,,,,,,,,,,,,,,,,https://www.nature.com/articles/srep29982,10.1038/srep29982,31,Scientific Reports,Springer Science and Business Media LLC,2016,Elucidating pharmacodynamic interaction of silver nanoparticle - topical deliverable antibiotics,True,True,gold,31_thirumurugan2016.pdf,1
285,Ag,0,Escherichia coli,0,ATCC 10536,green_synthesis,MIC,2.5,,,,,,,,,,,,,,,,https://www.nature.com/articles/srep29982,10.1038/srep29982,31,Scientific Reports,Springer Science and Business Media LLC,2016,Elucidating pharmacodynamic interaction of silver nanoparticle - topical deliverable antibiotics,True,True,gold,31_thirumurugan2016.pdf,1
286,Ag,0,Escherichia coli,0,ATCC 10536,green_synthesis,MIC,2.5,,,,,,,,,,,,,,,,https://www.nature.com/articles/srep29982,10.1038/srep29982,31,Scientific Reports,Springer Science and Business Media LLC,2016,Elucidating pharmacodynamic interaction of silver nanoparticle - topical deliverable antibiotics,True,True,gold,31_thirumurugan2016.pdf,1
287,Ag,0,Escherichia coli,0,ATCC 10536,green_synthesis,MIC,2.5,,,,,,,,,,,,,,,,https://www.nature.com/articles/srep29982,10.1038/srep29982,31,Scientific Reports,Springer Science and Business Media LLC,2016,Elucidating pharmacodynamic interaction of silver nanoparticle - topical deliverable antibiotics,True,True,gold,31_thirumurugan2016.pdf,1
288,Ag,0,Pseudomonas aeruginosa,0,ATCC 25619,green_synthesis,MIC,2.5,,,,,,,,,,,,,,,,https://www.nature.com/articles/srep29982,10.1038/srep29982,31,Scientific Reports,Springer Science and Business Media LLC,2016,Elucidating pharmacodynamic interaction of silver nanoparticle - topical deliverable antibiotics,True,True,gold,31_thirumurugan2016.pdf,1
289,Ag,0,Pseudomonas aeruginosa,0,ATCC 25619,green_synthesis,MIC,2.5,,,,,,,,,,,,,,,,https://www.nature.com/articles/srep29982,10.1038/srep29982,31,Scientific Reports,Springer Science and Business Media LLC,2016,Elucidating pharmacodynamic interaction of silver nanoparticle - topical deliverable antibiotics,True,True,gold,31_thirumurugan2016.pdf,1
290,Ag,0,Pseudomonas aeruginosa,0,ATCC 25619,green_synthesis,MIC,2.5,,,,,,,,,,,,,,,,https://www.nature.com/articles/srep29982,10.1038/srep29982,31,Scientific Reports,Springer Science and Business Media LLC,2016,Elucidating pharmacodynamic interaction of silver nanoparticle - topical deliverable antibiotics,True,True,gold,31_thirumurugan2016.pdf,1
291,Ag,0,Pseudomonas aeruginosa,0,ATCC 25619,green_synthesis,MIC,2.5,,,,,,,,,,,,,,,,https://www.nature.com/articles/srep29982,10.1038/srep29982,31,Scientific Reports,Springer Science and Business Media LLC,2016,Elucidating pharmacodynamic interaction of silver nanoparticle - topical deliverable antibiotics,True,True,gold,31_thirumurugan2016.pdf,1
