sn,np,coating,bacteria,mdr,strain,np_synthesis,method,mic_np_µg_ml,concentration,zoi_np_mm,np_size_min_nm,np_size_max_nm,np_size_avg_nm,shape,time_set_hours,zeta_potential_mV,solvent_for_extract,temperature_for_extract_C,duration_preparing_extract_min,precursor_of_np,concentration_of_precursor_mM,hydrodynamic_diameter_nm,ph_during_synthesis,reference,doi,article_list,journal_name,publisher,year,title,journal_is_oa,is_oa,oa_status,pdf,access
2037,Ag,1,Escherichia coli,0,ATCC 8739,green_synthesis using Streptomyces xinghaiensis,MIC,64,,,5.0,20.0,12.5,spherical,24.0,-15.7,water,21.0,2160.0,AgNO3,1.0,,,https://link.springer.com/article/10.1007/s11274-017-2406-3,10.1007/s11274-017-2406-3,33,World Journal of Microbiology and Biotechnology,Springer Science and Business Media LLC,2018,"Synthesis, characterization and evaluation of antimicrobial and cytotoxic activities of biogenic silver nanoparticles synthesized from Streptomyces xinghaiensis OF1 strain",False,True,hybrid,33_s11274-017-2406-3.pdf,1
2038,Ag,1,Klebsiella pneumoniae,0,ATCC 700603,green_synthesis using Streptomyces xinghaiensis,MIC,256,,,5.0,20.0,12.5,spherical,24.0,-15.7,,,,,,,,https://link.springer.com/article/10.1007/s11274-017-2406-3,10.1007/s11274-017-2406-3,33,World Journal of Microbiology and Biotechnology,Springer Science and Business Media LLC,2018,"Synthesis, characterization and evaluation of antimicrobial and cytotoxic activities of biogenic silver nanoparticles synthesized from Streptomyces xinghaiensis OF1 strain",False,True,hybrid,33_s11274-017-2406-3.pdf,1
2039,Ag,1,Pseudomonas aeruginosa,0,ATCC 10145,green_synthesis using Streptomyces xinghaiensis,MIC,16,,,5.0,20.0,12.5,spherical,24.0,-15.7,,,,,,,,https://link.springer.com/article/10.1007/s11274-017-2406-3,10.1007/s11274-017-2406-3,33,World Journal of Microbiology and Biotechnology,Springer Science and Business Media LLC,2018,"Synthesis, characterization and evaluation of antimicrobial and cytotoxic activities of biogenic silver nanoparticles synthesized from Streptomyces xinghaiensis OF1 strain",False,True,hybrid,33_s11274-017-2406-3.pdf,1
2040,Ag,1,Staphylococcus aureus,0,ATCC 6538,green_synthesis using Streptomyces xinghaiensis,MIC,256,,,5.0,20.0,12.5,spherical,24.0,-15.7,,,,,,,,https://link.springer.com/article/10.1007/s11274-017-2406-3,10.1007/s11274-017-2406-3,33,World Journal of Microbiology and Biotechnology,Springer Science and Business Media LLC,2018,"Synthesis, characterization and evaluation of antimicrobial and cytotoxic activities of biogenic silver nanoparticles synthesized from Streptomyces xinghaiensis OF1 strain",False,True,hybrid,33_s11274-017-2406-3.pdf,1
2041,Ag,1,Bacillus subtilis,0,PCM 2021,green_synthesis using Streptomyces xinghaiensis,MIC,64,,,5.0,20.0,12.5,spherical,24.0,-15.7,,,,,,,,https://link.springer.com/article/10.1007/s11274-017-2406-3,10.1007/s11274-017-2406-3,33,World Journal of Microbiology and Biotechnology,Springer Science and Business Media LLC,2018,"Synthesis, characterization and evaluation of antimicrobial and cytotoxic activities of biogenic silver nanoparticles synthesized from Streptomyces xinghaiensis OF1 strain",False,True,hybrid,33_s11274-017-2406-3.pdf,1
2042,Ag,1,Escherichia coli,0,ATCC 8739,green_synthesis using Streptomyces xinghaiensis,MIC,32,,,5.0,20.0,12.5,spherical,24.0,-15.7,,,,,,,,https://link.springer.com/article/10.1007/s11274-017-2406-3,10.1007/s11274-017-2406-3,33,World Journal of Microbiology and Biotechnology,Springer Science and Business Media LLC,2018,"Synthesis, characterization and evaluation of antimicrobial and cytotoxic activities of biogenic silver nanoparticles synthesized from Streptomyces xinghaiensis OF1 strain",False,True,hybrid,33_s11274-017-2406-3.pdf,1
2043,Ag,1,Escherichia coli,0,ATCC 8739,green_synthesis using Streptomyces xinghaiensis,MBC,64,,,5.0,20.0,12.5,spherical,24.0,-15.7,,,,,,,,https://link.springer.com/article/10.1007/s11274-017-2406-3,10.1007/s11274-017-2406-3,33,World Journal of Microbiology and Biotechnology,Springer Science and Business Media LLC,2018,"Synthesis, characterization and evaluation of antimicrobial and cytotoxic activities of biogenic silver nanoparticles synthesized from Streptomyces xinghaiensis OF1 strain",False,True,hybrid,33_s11274-017-2406-3.pdf,1
2044,Ag,1,Klebsiella pneumoniae,0,ATCC 700603,green_synthesis using Streptomyces xinghaiensis,MBC,256,,,5.0,20.0,12.5,spherical,24.0,-15.7,,,,,,,,https://link.springer.com/article/10.1007/s11274-017-2406-3,10.1007/s11274-017-2406-3,33,World Journal of Microbiology and Biotechnology,Springer Science and Business Media LLC,2018,"Synthesis, characterization and evaluation of antimicrobial and cytotoxic activities of biogenic silver nanoparticles synthesized from Streptomyces xinghaiensis OF1 strain",False,True,hybrid,33_s11274-017-2406-3.pdf,1
2045,Ag,1,Pseudomonas aeruginosa,0,ATCC 10145,green_synthesis using Streptomyces xinghaiensis,MBC,32,,,5.0,20.0,12.5,spherical,24.0,-15.7,,,,,,,,https://link.springer.com/article/10.1007/s11274-017-2406-3,10.1007/s11274-017-2406-3,33,World Journal of Microbiology and Biotechnology,Springer Science and Business Media LLC,2018,"Synthesis, characterization and evaluation of antimicrobial and cytotoxic activities of biogenic silver nanoparticles synthesized from Streptomyces xinghaiensis OF1 strain",False,True,hybrid,33_s11274-017-2406-3.pdf,1
2046,Ag,1,Staphylococcus aureus,0,ATCC 6538,green_synthesis using Streptomyces xinghaiensis,MBC,384,,,5.0,20.0,12.5,spherical,24.0,-15.7,,,,,,,,https://link.springer.com/article/10.1007/s11274-017-2406-3,10.1007/s11274-017-2406-3,33,World Journal of Microbiology and Biotechnology,Springer Science and Business Media LLC,2018,"Synthesis, characterization and evaluation of antimicrobial and cytotoxic activities of biogenic silver nanoparticles synthesized from Streptomyces xinghaiensis OF1 strain",False,True,hybrid,33_s11274-017-2406-3.pdf,1
2047,Ag,1,Bacillus subtilis,0,PCM 2021,green_synthesis using Streptomyces xinghaiensis,MBC,64,,,5.0,20.0,12.5,spherical,24.0,-15.7,,,,,,,,https://link.springer.com/article/10.1007/s11274-017-2406-3,10.1007/s11274-017-2406-3,33,World Journal of Microbiology and Biotechnology,Springer Science and Business Media LLC,2018,"Synthesis, characterization and evaluation of antimicrobial and cytotoxic activities of biogenic silver nanoparticles synthesized from Streptomyces xinghaiensis OF1 strain",False,True,hybrid,33_s11274-017-2406-3.pdf,1
