sn,np,coating,bacteria,mdr,strain,np_synthesis,method,mic_np_µg_ml,concentration,zoi_np_mm,np_size_min_nm,np_size_max_nm,np_size_avg_nm,shape,time_set_hours,zeta_potential_mV,solvent_for_extract,temperature_for_extract_C,duration_preparing_extract_min,precursor_of_np,concentration_of_precursor_mM,hydrodynamic_diameter_nm,ph_during_synthesis,reference,doi,article_list,journal_name,publisher,year,title,journal_is_oa,is_oa,oa_status,pdf,access
2116,Ag,0,Escherichia coli,0,KY797673,green_synthesis using Ulva fasciata,ZOI,,170.0,26.0,14.45,15.55,15.0,spherical,18.0,,,,,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7012269/,10.2147/IDR.S234425,34,Dove Medical Press Ltd.,Infect Drug Resis,2020,Synergistic and Antagonistic Effects of Metal Nanoparticles in Combination with Antibiotics Against Some Reference Strains of Pathogenic Microorganisms,True,True,green,34_abo-shama2020.pdf,1
2117,Ag,0,Escherichia coli,0,KY797673,green_synthesis using Ulva fasciata,ZOI,,85.0,20.0,14.45,15.55,15.0,spherical,18.0,,,,,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7012269/,10.2147/IDR.S234425,34,Dove Medical Press Ltd.,Infect Drug Resis,2020,Synergistic and Antagonistic Effects of Metal Nanoparticles in Combination with Antibiotics Against Some Reference Strains of Pathogenic Microorganisms,True,True,green,34_abo-shama2020.pdf,1
2118,Ag,0,Escherichia coli,0,KY797673,green_synthesis using Ulva fasciata,ZOI,,42.5,15.0,14.45,15.55,15.0,spherical,18.0,,,,,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7012269/,10.2147/IDR.S234425,34,Dove Medical Press Ltd.,Infect Drug Resis,2020,Synergistic and Antagonistic Effects of Metal Nanoparticles in Combination with Antibiotics Against Some Reference Strains of Pathogenic Microorganisms,True,True,green,34_abo-shama2020.pdf,1
2119,Ag,0,Escherichia coli,0,KY797673,green_synthesis using Ulva fasciata,ZOI,,21.25,16.0,14.45,15.55,15.0,spherical,18.0,,,,,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7012269/,10.2147/IDR.S234425,34,Dove Medical Press Ltd.,Infect Drug Resis,2020,Synergistic and Antagonistic Effects of Metal Nanoparticles in Combination with Antibiotics Against Some Reference Strains of Pathogenic Microorganisms,True,True,green,34_abo-shama2020.pdf,1
2120,Ag,0,Escherichia coli,0,KY797673,green_synthesis using Ulva fasciata,ZOI,,10.625,15.0,14.45,15.55,15.0,spherical,18.0,,,,,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7012269/,10.2147/IDR.S234425,34,Dove Medical Press Ltd.,Infect Drug Resis,2020,Synergistic and Antagonistic Effects of Metal Nanoparticles in Combination with Antibiotics Against Some Reference Strains of Pathogenic Microorganisms,True,True,green,34_abo-shama2020.pdf,1
2121,Ag,0,Escherichia coli,0,KY797673,green_synthesis using Ulva fasciata,ZOI,,0.31,14.0,14.45,15.55,15.0,spherical,18.0,,,,,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7012269/,10.2147/IDR.S234425,34,Dove Medical Press Ltd.,Infect Drug Resis,2020,Synergistic and Antagonistic Effects of Metal Nanoparticles in Combination with Antibiotics Against Some Reference Strains of Pathogenic Microorganisms,True,True,green,34_abo-shama2020.pdf,1
2122,Ag,0,Escherichia coli,0,KY797673,green_synthesis using Ulva fasciata,ZOI,,2.65,13.0,14.45,15.55,15.0,spherical,18.0,,,,,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7012269/,10.2147/IDR.S234425,34,Dove Medical Press Ltd.,Infect Drug Resis,2020,Synergistic and Antagonistic Effects of Metal Nanoparticles in Combination with Antibiotics Against Some Reference Strains of Pathogenic Microorganisms,True,True,green,34_abo-shama2020.pdf,1
2123,Ag,0,Escherichia coli,0,KY797673,green_synthesis using Ulva fasciata,ZOI,,1.33,11.0,14.45,15.55,15.0,spherical,18.0,,,,,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7012269/,10.2147/IDR.S234425,34,Dove Medical Press Ltd.,Infect Drug Resis,2020,Synergistic and Antagonistic Effects of Metal Nanoparticles in Combination with Antibiotics Against Some Reference Strains of Pathogenic Microorganisms,True,True,green,34_abo-shama2020.pdf,1
2124,Ag,0,Escherichia coli,0,KY797673,green_synthesis using Ulva fasciata,ZOI,,0.66,0.0,14.45,15.55,15.0,spherical,18.0,,,,,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7012269/,10.2147/IDR.S234425,34,Dove Medical Press Ltd.,Infect Drug Resis,2020,Synergistic and Antagonistic Effects of Metal Nanoparticles in Combination with Antibiotics Against Some Reference Strains of Pathogenic Microorganisms,True,True,green,34_abo-shama2020.pdf,1
2125,Ag,0,Staphylococcus aureus,0,MF359584,green_synthesis using Ulva fasciata,ZOI,,170.0,27.0,14.45,15.55,15.0,spherical,18.0,,,,,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7012269/,10.2147/IDR.S234425,34,Dove Medical Press Ltd.,Infect Drug Resis,2020,Synergistic and Antagonistic Effects of Metal Nanoparticles in Combination with Antibiotics Against Some Reference Strains of Pathogenic Microorganisms,True,True,green,34_abo-shama2020.pdf,1
