sn,np,coating,bacteria,mdr,strain,np_synthesis,method,mic_np_µg_ml,concentration,zoi_np_mm,np_size_min_nm,np_size_max_nm,np_size_avg_nm,shape,time_set_hours,zeta_potential_mV,solvent_for_extract,temperature_for_extract_C,duration_preparing_extract_min,precursor_of_np,concentration_of_precursor_mM,hydrodynamic_diameter_nm,ph_during_synthesis,reference,doi,article_list,journal_name,publisher,year,title,journal_is_oa,is_oa,oa_status,pdf,access
2558,Fe3O4,1,Pseudomonas aeruginosa,0,,chemical_synthesis,ZOI,,10.0,23.0,,,16.0,spherical,48.0,,,,,,,,,https://jnanobiotechnology.biomedcentral.com/articles/10.1186/s12951-020-0588-6,10.1186/s12951-020-0588-6,72,Journal of Nanobiotechnology,Springer Science and Business Media LLC,2020,"Antibacterial activity of iron oxide, iron nitride, and tobramycin conjugated nanoparticles against Pseudomonas aeruginosa biofilms",True,True,gold,72_10.1186@s12951-020-0588-6.pdf,1
2559,Fe3O4,1,Pseudomonas aeruginosa,0,,chemical_synthesis,ZOI,,5.0,11.0,,,16.0,spherical,48.0,,,,,,,,,https://jnanobiotechnology.biomedcentral.com/articles/10.1186/s12951-020-0588-6,10.1186/s12951-020-0588-6,72,Journal of Nanobiotechnology,Springer Science and Business Media LLC,2020,"Antibacterial activity of iron oxide, iron nitride, and tobramycin conjugated nanoparticles against Pseudomonas aeruginosa biofilms",True,True,gold,72_10.1186@s12951-020-0588-6.pdf,1
2560,Fe3O4,1,Pseudomonas aeruginosa,0,,chemical_synthesis,ZOI,,2.5,7.0,,,16.0,spherical,48.0,,,,,,,,,https://jnanobiotechnology.biomedcentral.com/articles/10.1186/s12951-020-0588-6,10.1186/s12951-020-0588-6,72,Journal of Nanobiotechnology,Springer Science and Business Media LLC,2020,"Antibacterial activity of iron oxide, iron nitride, and tobramycin conjugated nanoparticles against Pseudomonas aeruginosa biofilms",True,True,gold,72_10.1186@s12951-020-0588-6.pdf,1
2561,Fe3O4,1,Pseudomonas aeruginosa,0,,chemical_synthesis,ZOI,,10.0,22.0,,,16.0,spherical,48.0,,,,,,,,,https://jnanobiotechnology.biomedcentral.com/articles/10.1186/s12951-020-0588-6,10.1186/s12951-020-0588-6,72,Journal of Nanobiotechnology,Springer Science and Business Media LLC,2020,"Antibacterial activity of iron oxide, iron nitride, and tobramycin conjugated nanoparticles against Pseudomonas aeruginosa biofilms",True,True,gold,72_10.1186@s12951-020-0588-6.pdf,1
2562,Fe3O4,1,Pseudomonas aeruginosa,0,,chemical_synthesis,ZOI,,5.0,15.0,,,16.0,spherical,48.0,,,,,,,,,https://jnanobiotechnology.biomedcentral.com/articles/10.1186/s12951-020-0588-6,10.1186/s12951-020-0588-6,72,Journal of Nanobiotechnology,Springer Science and Business Media LLC,2020,"Antibacterial activity of iron oxide, iron nitride, and tobramycin conjugated nanoparticles against Pseudomonas aeruginosa biofilms",True,True,gold,72_10.1186@s12951-020-0588-6.pdf,1
2563,Fe3O4,1,Pseudomonas aeruginosa,0,,chemical_synthesis,ZOI,,2.5,5.0,,,16.0,spherical,48.0,,,,,,,,,https://jnanobiotechnology.biomedcentral.com/articles/10.1186/s12951-020-0588-6,10.1186/s12951-020-0588-6,72,Journal of Nanobiotechnology,Springer Science and Business Media LLC,2020,"Antibacterial activity of iron oxide, iron nitride, and tobramycin conjugated nanoparticles against Pseudomonas aeruginosa biofilms",True,True,gold,72_10.1186@s12951-020-0588-6.pdf,1
2564,Fe3O4,0,Pseudomonas aeruginosa,0,,chemical_synthesis,ZOI,,10.0,22.0,,,16.0,spherical,48.0,,,,,,,,,https://jnanobiotechnology.biomedcentral.com/articles/10.1186/s12951-020-0588-6,10.1186/s12951-020-0588-6,72,Journal of Nanobiotechnology,Springer Science and Business Media LLC,2020,"Antibacterial activity of iron oxide, iron nitride, and tobramycin conjugated nanoparticles against Pseudomonas aeruginosa biofilms",True,True,gold,72_10.1186@s12951-020-0588-6.pdf,1
2565,Fe3O4,0,Pseudomonas aeruginosa,0,,chemical_synthesis,ZOI,,5.0,17.5,,,16.0,spherical,48.0,,,,,,,,,https://jnanobiotechnology.biomedcentral.com/articles/10.1186/s12951-020-0588-6,10.1186/s12951-020-0588-6,72,Journal of Nanobiotechnology,Springer Science and Business Media LLC,2020,"Antibacterial activity of iron oxide, iron nitride, and tobramycin conjugated nanoparticles against Pseudomonas aeruginosa biofilms",True,True,gold,72_10.1186@s12951-020-0588-6.pdf,1
2566,Fe3O4,0,Pseudomonas aeruginosa,0,,chemical_synthesis,ZOI,,2.5,11.0,,,16.0,spherical,48.0,,,,,,,,,https://jnanobiotechnology.biomedcentral.com/articles/10.1186/s12951-020-0588-6,10.1186/s12951-020-0588-6,72,Journal of Nanobiotechnology,Springer Science and Business Media LLC,2020,"Antibacterial activity of iron oxide, iron nitride, and tobramycin conjugated nanoparticles against Pseudomonas aeruginosa biofilms",True,True,gold,72_10.1186@s12951-020-0588-6.pdf,1
2567,Fe3O4,0,Pseudomonas aeruginosa,0,,chemical_synthesis,ZOI,,10.0,21.0,,,16.0,spherical,48.0,,,,,,,,,https://jnanobiotechnology.biomedcentral.com/articles/10.1186/s12951-020-0588-6,10.1186/s12951-020-0588-6,72,Journal of Nanobiotechnology,Springer Science and Business Media LLC,2020,"Antibacterial activity of iron oxide, iron nitride, and tobramycin conjugated nanoparticles against Pseudomonas aeruginosa biofilms",True,True,gold,72_10.1186@s12951-020-0588-6.pdf,1
