sn,NP,bacteria,strain,NP_synthesis,drug,drug_dose_µg_disk,NP_concentration_µg_ml,NP_size_min_nm,NP_size_max_nm,NP_size_avg_nm,shape,method,ZOI_drug_mm_or_MIC _µg_ml,error_ZOI_drug_mm_or_MIC_µg_ml,ZOI_NP_mm_or_MIC_np_µg_ml,error_ZOI_NP_mm_or_MIC_np_µg_ml,ZOI_drug_NP_mm_or_MIC_drug_NP_µg_ml,error_ZOI_drug_NP_mm_or_MIC_drug_NP_µg_ml,fold_increase_in_antibacterial_activity,zeta_potential_mV,MDR,FIC,effect,reference,doi,article_list,time_hr,coating_with_antimicrobial_peptide_polymers,combined_MIC,peptide_MIC,viability_%,viability_error,journal_name,publisher,year,title,journal_is_oa,is_oa,oa_status,pdf,access
372,Ag,Bacillus cereus,13061,green_synthesis using extract of corn leaves,,,50.0,31.0,69.0,45.26,spherical,disc_diffusion,,,11.39,1.2,,,,,,,,https://www.frontiersin.org/articles/10.3389/fmicb.2017.00167/full,10.3389/fmicb.2017.00167,12,24.0,,,,,,Frontiers in Microbiology,Frontiers Media SA,2017,Antibacterial Activity and Synergistic Antibacterial Potential of Biosynthesized Silver Nanoparticles against Foodborne Pathogenic Bacteria along with its Anticandidal and Antioxidant Effects,True,True,gold,12_patra2017.pdf,1
373,Ag,Escherichia coli,43890,green_synthesis using extract of corn leaves,,,50.0,31.0,69.0,45.26,spherical,disc_diffusion,,,10.55,0.27,,,,,,,,https://www.frontiersin.org/articles/10.3389/fmicb.2017.00167/full,10.3389/fmicb.2017.00167,12,24.0,,,,,,Frontiers in Microbiology,Frontiers Media SA,2017,Antibacterial Activity and Synergistic Antibacterial Potential of Biosynthesized Silver Nanoparticles against Foodborne Pathogenic Bacteria along with its Anticandidal and Antioxidant Effects,True,True,gold,12_patra2017.pdf,1
374,Ag,Listeria monocytogenes,19115,green_synthesis using extract of corn leaves,,,50.0,31.0,69.0,45.26,spherical,disc_diffusion,,,9.26,0.31,,,,,,,,https://www.frontiersin.org/articles/10.3389/fmicb.2017.00167/full,10.3389/fmicb.2017.00167,12,24.0,,,,,,Frontiers in Microbiology,Frontiers Media SA,2017,Antibacterial Activity and Synergistic Antibacterial Potential of Biosynthesized Silver Nanoparticles against Foodborne Pathogenic Bacteria along with its Anticandidal and Antioxidant Effects,True,True,gold,12_patra2017.pdf,1
375,Ag,Staphylococcus aureus,49444,green_synthesis using extract of corn leaves,,,50.0,31.0,69.0,45.26,spherical,disc_diffusion,,,11.57,0.25,,,,,,,,https://www.frontiersin.org/articles/10.3389/fmicb.2017.00167/full,10.3389/fmicb.2017.00167,12,24.0,,,,,,Frontiers in Microbiology,Frontiers Media SA,2017,Antibacterial Activity and Synergistic Antibacterial Potential of Biosynthesized Silver Nanoparticles against Foodborne Pathogenic Bacteria along with its Anticandidal and Antioxidant Effects,True,True,gold,12_patra2017.pdf,1
376,Ag,Salmonella typhimurium,43174,green_synthesis using extract of corn leaves,,,50.0,31.0,69.0,45.26,spherical,disc_diffusion,,,11.22,0.38,,,,,,,,https://www.frontiersin.org/articles/10.3389/fmicb.2017.00167/full,10.3389/fmicb.2017.00167,12,24.0,,,,,,Frontiers in Microbiology,Frontiers Media SA,2017,Antibacterial Activity and Synergistic Antibacterial Potential of Biosynthesized Silver Nanoparticles against Foodborne Pathogenic Bacteria along with its Anticandidal and Antioxidant Effects,True,True,gold,12_patra2017.pdf,1
377,Ag,Bacillus cereus,13061,green_synthesis using extract of corn leaves,,,,31.0,69.0,45.26,spherical,MIC,,,25.0,,,,,,,,,https://www.frontiersin.org/articles/10.3389/fmicb.2017.00167/full,10.3389/fmicb.2017.00167,12,24.0,,,,,,Frontiers in Microbiology,Frontiers Media SA,2017,Antibacterial Activity and Synergistic Antibacterial Potential of Biosynthesized Silver Nanoparticles against Foodborne Pathogenic Bacteria along with its Anticandidal and Antioxidant Effects,True,True,gold,12_patra2017.pdf,1
378,Ag,Escherichia coli,43890,green_synthesis using extract of corn leaves,,,,31.0,69.0,45.26,spherical,MIC,,,50.0,,,,,,,,,https://www.frontiersin.org/articles/10.3389/fmicb.2017.00167/full,10.3389/fmicb.2017.00167,12,24.0,,,,,,Frontiers in Microbiology,Frontiers Media SA,2017,Antibacterial Activity and Synergistic Antibacterial Potential of Biosynthesized Silver Nanoparticles against Foodborne Pathogenic Bacteria along with its Anticandidal and Antioxidant Effects,True,True,gold,12_patra2017.pdf,1
379,Ag,Listeria monocytogenes,19115,green_synthesis using extract of corn leaves,,,,31.0,69.0,45.26,spherical,MIC,,,25.0,,,,,,,,,https://www.frontiersin.org/articles/10.3389/fmicb.2017.00167/full,10.3389/fmicb.2017.00167,12,24.0,,,,,,Frontiers in Microbiology,Frontiers Media SA,2017,Antibacterial Activity and Synergistic Antibacterial Potential of Biosynthesized Silver Nanoparticles against Foodborne Pathogenic Bacteria along with its Anticandidal and Antioxidant Effects,True,True,gold,12_patra2017.pdf,1
380,Ag,Staphylococcus aureus,49444,green_synthesis using extract of corn leaves,,,,31.0,69.0,45.26,spherical,MIC,,,12.5,,,,,,,,,https://www.frontiersin.org/articles/10.3389/fmicb.2017.00167/full,10.3389/fmicb.2017.00167,12,24.0,,,,,,Frontiers in Microbiology,Frontiers Media SA,2017,Antibacterial Activity and Synergistic Antibacterial Potential of Biosynthesized Silver Nanoparticles against Foodborne Pathogenic Bacteria along with its Anticandidal and Antioxidant Effects,True,True,gold,12_patra2017.pdf,1
381,Ag,Salmonella typhimurium,43174,green_synthesis using extract of corn leaves,,,,31.0,69.0,45.26,spherical,MIC,,,50.0,,,,,,,,,https://www.frontiersin.org/articles/10.3389/fmicb.2017.00167/full,10.3389/fmicb.2017.00167,12,24.0,,,,,,Frontiers in Microbiology,Frontiers Media SA,2017,Antibacterial Activity and Synergistic Antibacterial Potential of Biosynthesized Silver Nanoparticles against Foodborne Pathogenic Bacteria along with its Anticandidal and Antioxidant Effects,True,True,gold,12_patra2017.pdf,1
