sn,NP,bacteria,strain,NP_synthesis,drug,drug_dose_µg_disk,NP_concentration_µg_ml,NP_size_min_nm,NP_size_max_nm,NP_size_avg_nm,shape,method,ZOI_drug_mm_or_MIC _µg_ml,error_ZOI_drug_mm_or_MIC_µg_ml,ZOI_NP_mm_or_MIC_np_µg_ml,error_ZOI_NP_mm_or_MIC_np_µg_ml,ZOI_drug_NP_mm_or_MIC_drug_NP_µg_ml,error_ZOI_drug_NP_mm_or_MIC_drug_NP_µg_ml,fold_increase_in_antibacterial_activity,zeta_potential_mV,MDR,FIC,effect,reference,doi,article_list,time_hr,coating_with_antimicrobial_peptide_polymers,combined_MIC,peptide_MIC,viability_%,viability_error,journal_name,publisher,year,title,journal_is_oa,is_oa,oa_status,pdf,access
480,Ag,Escherichia coli,,chemical_synthesis using khalafalla and reimers method,Kanamycin,30.0,10.0,30.0,35.0,30.0,spherical,disc_diffusion,37.0,,20.0,,,,,,,,,https://www.frontiersin.org/journals/microbiology/articles/10.3389/fmicb.2022.929491/full,10.3389/fmicb.2022.929491,15,24.0,,,,,,Frontiers in Microbiology,Frontiers Media SA,2022,Synergistic antibacterial activity of compact silver/magnetite core-shell nanoparticles core shell against Gram-negative foodborne pathogens,True,True,gold,15_fmicb-13-929491.pdf,1
481,Ag,Salmonella typhi,,chemical_synthesis using khalafalla and reimers method,Kanamycin,30.0,10.0,30.0,35.0,30.0,spherical,disc_diffusion,37.0,,22.0,,,,,,,,,https://www.frontiersin.org/journals/microbiology/articles/10.3389/fmicb.2022.929491/full,10.3389/fmicb.2022.929491,15,24.0,,,,,,Frontiers in Microbiology,Frontiers Media SA,2022,Synergistic antibacterial activity of compact silver/magnetite core-shell nanoparticles core shell against Gram-negative foodborne pathogens,True,True,gold,15_fmicb-13-929491.pdf,1
482,Ag,Escherichia coli,,chemical_synthesis using khalafalla and reimers method,Kanamycin,,,30.0,35.0,30.0,spherical,MIC,2.5,,8.2,,,,,,,,,https://www.frontiersin.org/journals/microbiology/articles/10.3389/fmicb.2022.929491/full,10.3389/fmicb.2022.929491,15,24.0,,,,,,Frontiers in Microbiology,Frontiers Media SA,2022,Synergistic antibacterial activity of compact silver/magnetite core-shell nanoparticles core shell against Gram-negative foodborne pathogens,True,True,gold,15_fmicb-13-929491.pdf,1
483,Ag,Salmonella typhi,,chemical_synthesis using khalafalla and reimers method,Kanamycin,,,30.0,35.0,30.0,spherical,MIC,2.5,,4.1,,,,,,,,,https://www.frontiersin.org/journals/microbiology/articles/10.3389/fmicb.2022.929491/full,10.3389/fmicb.2022.929491,15,24.0,,,,,,Frontiers in Microbiology,Frontiers Media SA,2022,Synergistic antibacterial activity of compact silver/magnetite core-shell nanoparticles core shell against Gram-negative foodborne pathogens,True,True,gold,15_fmicb-13-929491.pdf,1
484,Ag,Escherichia coli,,chemical_synthesis using khalafalla and reimers method,Kanamycin,,,30.0,35.0,30.0,spherical,MBC,4.2,,13.4,,,,,,,,,https://www.frontiersin.org/journals/microbiology/articles/10.3389/fmicb.2022.929491/full,10.3389/fmicb.2022.929491,15,24.0,,,,,,Frontiers in Microbiology,Frontiers Media SA,2022,Synergistic antibacterial activity of compact silver/magnetite core-shell nanoparticles core shell against Gram-negative foodborne pathogens,True,True,gold,15_fmicb-13-929491.pdf,1
485,Ag,Salmonella typhi,,chemical_synthesis using khalafalla and reimers method,Kanamycin,,,30.0,35.0,30.0,spherical,MBC,4.2,,6.3,,18.86,,,,,,,https://www.frontiersin.org/journals/microbiology/articles/10.3389/fmicb.2022.929491/full,10.3389/fmicb.2022.929491,15,24.0,,,,,,Frontiers in Microbiology,Frontiers Media SA,2022,Synergistic antibacterial activity of compact silver/magnetite core-shell nanoparticles core shell against Gram-negative foodborne pathogens,True,True,gold,15_fmicb-13-929491.pdf,1
2594,Fe3O4,Escherichia coli,,chemical_synthesis by wet chemical reduction approach,Polymyxin,20.0,10.0,25.0,30.0,25.0,polygonal,disc_diffusion,33.0,,15.0,,,,,,,,,https://www.frontiersin.org/journals/microbiology/articles/10.3389/fmicb.2022.929491/full,10.3389/fmicb.2022.929491,15,24.0,,,,,,Frontiers in Microbiology,Frontiers Media SA,2022,Synergistic antibacterial activity of compact silver/magnetite core-shell nanoparticles core shell against Gram-negative foodborne pathogens,True,True,gold,15_fmicb-13-929491.pdf,1
2595,Fe3O4,Salmonella typhi,,chemical_synthesis by wet chemical reduction approach,Polymyxin,20.0,10.0,25.0,30.0,25.0,polygonal,disc_diffusion,33.0,,17.0,,,,,,,,,https://www.frontiersin.org/journals/microbiology/articles/10.3389/fmicb.2022.929491/full,10.3389/fmicb.2022.929491,15,24.0,,,,,,Frontiers in Microbiology,Frontiers Media SA,2022,Synergistic antibacterial activity of compact silver/magnetite core-shell nanoparticles core shell against Gram-negative foodborne pathogens,True,True,gold,15_fmicb-13-929491.pdf,1
2596,Fe3O4,Escherichia coli,,chemical_synthesis by wet chemical reduction approach,Polymyxin,,,25.0,30.0,25.0,polygonal,MIC,4.5,,10.3,,,,,,,,,https://www.frontiersin.org/journals/microbiology/articles/10.3389/fmicb.2022.929491/full,10.3389/fmicb.2022.929491,15,24.0,,,,,,Frontiers in Microbiology,Frontiers Media SA,2022,Synergistic antibacterial activity of compact silver/magnetite core-shell nanoparticles core shell against Gram-negative foodborne pathogens,True,True,gold,15_fmicb-13-929491.pdf,1
2597,Fe3O4,Salmonella typhi,,chemical_synthesis by wet chemical reduction approach,Polymyxin,,,25.0,30.0,25.0,polygonal,MIC,4.5,,6.9,,,,,,,,,https://www.frontiersin.org/journals/microbiology/articles/10.3389/fmicb.2022.929491/full,10.3389/fmicb.2022.929491,15,24.0,,,,,,Frontiers in Microbiology,Frontiers Media SA,2022,Synergistic antibacterial activity of compact silver/magnetite core-shell nanoparticles core shell against Gram-negative foodborne pathogens,True,True,gold,15_fmicb-13-929491.pdf,1
