sn,NP,bacteria,strain,NP_synthesis,drug,drug_dose_µg_disk,NP_concentration_µg_ml,NP_size_min_nm,NP_size_max_nm,NP_size_avg_nm,shape,method,ZOI_drug_mm_or_MIC _µg_ml,error_ZOI_drug_mm_or_MIC_µg_ml,ZOI_NP_mm_or_MIC_np_µg_ml,error_ZOI_NP_mm_or_MIC_np_µg_ml,ZOI_drug_NP_mm_or_MIC_drug_NP_µg_ml,error_ZOI_drug_NP_mm_or_MIC_drug_NP_µg_ml,fold_increase_in_antibacterial_activity,zeta_potential_mV,MDR,FIC,effect,reference,doi,article_list,time_hr,coating_with_antimicrobial_peptide_polymers,combined_MIC,peptide_MIC,viability_%,viability_error,journal_name,publisher,year,title,journal_is_oa,is_oa,oa_status,pdf,access
779,Ag,Escherichia coli,,green_synthesis using extract of Acinetobacter baumannii,Imipenem,,,1.0,9.0,4.7,spherical,MIC,8.0,,64.0,,4.0,,,,,0.56,,https://www.nature.com/articles/s41598-022-19698-0,10.1038/s41598-022-19698-0,30,24.0,,,,,,Scientific Reports,Springer Science and Business Media LLC,2022,Synergistic antibacterial activity of silver nanoparticles biosynthesized by carbapenem-resistant Gram-negative bacilli,True,True,gold,30_s41598-022-19698-0.pdf,1
780,Ag,Escherichia coli,,green_synthesis using extract of Acinetobacter baumannii,Ceftriaxone,,,1.0,9.0,4.7,spherical,MIC,1024.0,,64.0,,16.0,,,,,0.26,,https://www.nature.com/articles/s41598-022-19698-0,10.1038/s41598-022-19698-0,30,24.0,,,,,,Scientific Reports,Springer Science and Business Media LLC,2022,Synergistic antibacterial activity of silver nanoparticles biosynthesized by carbapenem-resistant Gram-negative bacilli,True,True,gold,30_s41598-022-19698-0.pdf,1
781,Ag,Escherichia coli,,green_synthesis using extract of Acinetobacter baumannii,Cefepime,,,1.0,9.0,4.7,spherical,MIC,1024.0,,64.0,,16.0,,,,,0.26,,https://www.nature.com/articles/s41598-022-19698-0,10.1038/s41598-022-19698-0,30,24.0,,,,,,Scientific Reports,Springer Science and Business Media LLC,2022,Synergistic antibacterial activity of silver nanoparticles biosynthesized by carbapenem-resistant Gram-negative bacilli,True,True,gold,30_s41598-022-19698-0.pdf,1
782,Ag,Escherichia coli,,green_synthesis using extract of Acinetobacter baumannii,Ceftazidime,,,1.0,9.0,4.7,spherical,MIC,1024.0,,64.0,,32.0,,,,,0.53,,https://www.nature.com/articles/s41598-022-19698-0,10.1038/s41598-022-19698-0,30,24.0,,,,,,Scientific Reports,Springer Science and Business Media LLC,2022,Synergistic antibacterial activity of silver nanoparticles biosynthesized by carbapenem-resistant Gram-negative bacilli,True,True,gold,30_s41598-022-19698-0.pdf,1
783,Ag,Escherichia coli,,green_synthesis using extract of Acinetobacter baumannii,Imipenem,,,1.0,9.0,4.7,spherical,MBC,16.0,,,,,,,,,,,https://www.nature.com/articles/s41598-022-19698-0,10.1038/s41598-022-19698-0,30,24.0,,,,,,Scientific Reports,Springer Science and Business Media LLC,2022,Synergistic antibacterial activity of silver nanoparticles biosynthesized by carbapenem-resistant Gram-negative bacilli,True,True,gold,30_s41598-022-19698-0.pdf,1
784,Ag,Escherichia coli,,green_synthesis using extract of Acinetobacter baumannii,Ceftriaxone,,,1.0,9.0,4.7,spherical,MBC,,,,,,,,,,,,https://www.nature.com/articles/s41598-022-19698-0,10.1038/s41598-022-19698-0,30,24.0,,,,,,Scientific Reports,Springer Science and Business Media LLC,2022,Synergistic antibacterial activity of silver nanoparticles biosynthesized by carbapenem-resistant Gram-negative bacilli,True,True,gold,30_s41598-022-19698-0.pdf,1
785,Ag,Escherichia coli,,green_synthesis using extract of Acinetobacter baumannii,Cefepime,,,1.0,9.0,4.7,spherical,MBC,,,,,,,,,,,,https://www.nature.com/articles/s41598-022-19698-0,10.1038/s41598-022-19698-0,30,24.0,,,,,,Scientific Reports,Springer Science and Business Media LLC,2022,Synergistic antibacterial activity of silver nanoparticles biosynthesized by carbapenem-resistant Gram-negative bacilli,True,True,gold,30_s41598-022-19698-0.pdf,1
786,Ag,Escherichia coli,,green_synthesis using extract of Acinetobacter baumannii,Ceftazidime,,,1.0,9.0,4.7,spherical,MBC,,,,,,,,,,,,https://www.nature.com/articles/s41598-022-19698-0,10.1038/s41598-022-19698-0,30,24.0,,,,,,Scientific Reports,Springer Science and Business Media LLC,2022,Synergistic antibacterial activity of silver nanoparticles biosynthesized by carbapenem-resistant Gram-negative bacilli,True,True,gold,30_s41598-022-19698-0.pdf,1
787,Ag,Escherichia coli,,green_synthesis using extract of Acinetobacter baumannii,,,,1.0,9.0,4.7,spherical,MBC,,,128.0,,,,,,,,,https://www.nature.com/articles/s41598-022-19698-0,10.1038/s41598-022-19698-0,30,24.0,,,,,,Scientific Reports,Springer Science and Business Media LLC,2022,Synergistic antibacterial activity of silver nanoparticles biosynthesized by carbapenem-resistant Gram-negative bacilli,True,True,gold,30_s41598-022-19698-0.pdf,1
788,Ag,Klebsiella sp.,,green_synthesis using extract of Acinetobacter baumannii,Imipenem,,,1.0,9.0,4.7,spherical,MIC,16.0,,64.0,,4.0,,,,,0.31,,https://www.nature.com/articles/s41598-022-19698-0,10.1038/s41598-022-19698-0,30,24.0,,,,,,Scientific Reports,Springer Science and Business Media LLC,2022,Synergistic antibacterial activity of silver nanoparticles biosynthesized by carbapenem-resistant Gram-negative bacilli,True,True,gold,30_s41598-022-19698-0.pdf,1
789,Ag,Klebsiella sp.,,green_synthesis using extract of Acinetobacter baumannii,Ceftriaxone,,,1.0,9.0,4.7,spherical,MIC,1024.0,,64.0,,8.0,,,,,0.13,,https://www.nature.com/articles/s41598-022-19698-0,10.1038/s41598-022-19698-0,30,24.0,,,,,,Scientific Reports,Springer Science and Business Media LLC,2022,Synergistic antibacterial activity of silver nanoparticles biosynthesized by carbapenem-resistant Gram-negative bacilli,True,True,gold,30_s41598-022-19698-0.pdf,1
790,Ag,Klebsiella sp.,,green_synthesis using extract of Acinetobacter baumannii,Cefepime,,,1.0,9.0,4.7,spherical,MIC,64.0,,64.0,,16.0,,,,,0.5,,https://www.nature.com/articles/s41598-022-19698-0,10.1038/s41598-022-19698-0,30,24.0,,,,,,Scientific Reports,Springer Science and Business Media LLC,2022,Synergistic antibacterial activity of silver nanoparticles biosynthesized by carbapenem-resistant Gram-negative bacilli,True,True,gold,30_s41598-022-19698-0.pdf,1
791,Ag,Klebsiella sp.,,green_synthesis using extract of Acinetobacter baumannii,Ceftazidime,,,1.0,9.0,4.7,spherical,MIC,64.0,,64.0,,8.0,,,,,0.25,,https://www.nature.com/articles/s41598-022-19698-0,10.1038/s41598-022-19698-0,30,24.0,,,,,,Scientific Reports,Springer Science and Business Media LLC,2022,Synergistic antibacterial activity of silver nanoparticles biosynthesized by carbapenem-resistant Gram-negative bacilli,True,True,gold,30_s41598-022-19698-0.pdf,1
792,Ag,Klebsiella sp.,,green_synthesis using extract of Acinetobacter baumannii,,,,1.0,9.0,4.7,spherical,MIC,,,64.0,,,,,,,,,https://www.nature.com/articles/s41598-022-19698-0,10.1038/s41598-022-19698-0,30,24.0,,,,,,Scientific Reports,Springer Science and Business Media LLC,2022,Synergistic antibacterial activity of silver nanoparticles biosynthesized by carbapenem-resistant Gram-negative bacilli,True,True,gold,30_s41598-022-19698-0.pdf,1
793,Ag,Klebsiella sp.,,green_synthesis using extract of Acinetobacter baumannii,Imipenem,,,1.0,9.0,4.7,spherical,MBC,32.0,,,,,,,,,,,https://www.nature.com/articles/s41598-022-19698-0,10.1038/s41598-022-19698-0,30,24.0,,,,,,Scientific Reports,Springer Science and Business Media LLC,2022,Synergistic antibacterial activity of silver nanoparticles biosynthesized by carbapenem-resistant Gram-negative bacilli,True,True,gold,30_s41598-022-19698-0.pdf,1
794,Ag,Klebsiella sp.,,green_synthesis using extract of Acinetobacter baumannii,Ceftriaxone,,,1.0,9.0,4.7,spherical,MBC,,,,,,,,,,,,https://www.nature.com/articles/s41598-022-19698-0,10.1038/s41598-022-19698-0,30,24.0,,,,,,Scientific Reports,Springer Science and Business Media LLC,2022,Synergistic antibacterial activity of silver nanoparticles biosynthesized by carbapenem-resistant Gram-negative bacilli,True,True,gold,30_s41598-022-19698-0.pdf,1
795,Ag,Klebsiella sp.,,green_synthesis using extract of Acinetobacter baumannii,Cefepime,,,1.0,9.0,4.7,spherical,MBC,128.0,,,,,,,,,,,https://www.nature.com/articles/s41598-022-19698-0,10.1038/s41598-022-19698-0,30,24.0,,,,,,Scientific Reports,Springer Science and Business Media LLC,2022,Synergistic antibacterial activity of silver nanoparticles biosynthesized by carbapenem-resistant Gram-negative bacilli,True,True,gold,30_s41598-022-19698-0.pdf,1
796,Ag,Klebsiella sp.,,green_synthesis using extract of Acinetobacter baumannii,Ceftazidime,,,1.0,9.0,4.7,spherical,MBC,128.0,,,,,,,,,,,https://www.nature.com/articles/s41598-022-19698-0,10.1038/s41598-022-19698-0,30,24.0,,,,,,Scientific Reports,Springer Science and Business Media LLC,2022,Synergistic antibacterial activity of silver nanoparticles biosynthesized by carbapenem-resistant Gram-negative bacilli,True,True,gold,30_s41598-022-19698-0.pdf,1
797,Ag,Klebsiella sp.,,green_synthesis using extract of Acinetobacter baumannii,,,,1.0,9.0,4.7,spherical,MBC,,,128.0,,,,,,,,,https://www.nature.com/articles/s41598-022-19698-0,10.1038/s41598-022-19698-0,30,24.0,,,,,,Scientific Reports,Springer Science and Business Media LLC,2022,Synergistic antibacterial activity of silver nanoparticles biosynthesized by carbapenem-resistant Gram-negative bacilli,True,True,gold,30_s41598-022-19698-0.pdf,1
