sn,NP,bacteria,strain,NP_synthesis,drug,drug_dose_µg_disk,NP_concentration_µg_ml,NP_size_min_nm,NP_size_max_nm,NP_size_avg_nm,shape,method,ZOI_drug_mm_or_MIC _µg_ml,error_ZOI_drug_mm_or_MIC_µg_ml,ZOI_NP_mm_or_MIC_np_µg_ml,error_ZOI_NP_mm_or_MIC_np_µg_ml,ZOI_drug_NP_mm_or_MIC_drug_NP_µg_ml,error_ZOI_drug_NP_mm_or_MIC_drug_NP_µg_ml,fold_increase_in_antibacterial_activity,zeta_potential_mV,MDR,FIC,effect,reference,doi,article_list,time_hr,coating_with_antimicrobial_peptide_polymers,combined_MIC,peptide_MIC,viability_%,viability_error,journal_name,publisher,year,title,journal_is_oa,is_oa,oa_status,pdf,access
836,Ag,Staphylococcus aureus,25922,green_synthesis from fungus Phytophthora infestans,Cefazolin,,,5.0,80.0,60.0,spherical,MIC,0.625,,5.0,,0.6,,,-13.7,,,,https://www.nature.com/articles/srep29982,10.1038/srep29982,31,,,,,,,Scientific Reports,Springer Science and Business Media LLC,2016,Elucidating pharmacodynamic interaction of silver nanoparticle - topical deliverable antibiotics,True,True,gold,31_thirumurugan2016.pdf,1
837,Ag,Pseudomonas aeruginosa,25619,green_synthesis from fungus Phytophthora infestans,Cefazolin,,,5.0,80.0,60.0,spherical,MIC,0.625,,2.5,,0.3,,,-13.7,,,,https://www.nature.com/articles/srep29982,10.1038/srep29982,31,,,,,,,Scientific Reports,Springer Science and Business Media LLC,2016,Elucidating pharmacodynamic interaction of silver nanoparticle - topical deliverable antibiotics,True,True,gold,31_thirumurugan2016.pdf,1
838,Ag,Escherichia coli,10536,green_synthesis from fungus Phytophthora infestans,Cefazolin,,,5.0,80.0,60.0,spherical,MIC,0.3125,,2.5,,0.5,,,-13.7,,,,https://www.nature.com/articles/srep29982,10.1038/srep29982,31,,,,,,,Scientific Reports,Springer Science and Business Media LLC,2016,Elucidating pharmacodynamic interaction of silver nanoparticle - topical deliverable antibiotics,True,True,gold,31_thirumurugan2016.pdf,1
839,Ag,Staphylococcus aureus,25922,green_synthesis from fungus Phytophthora infestans,Mupirocin,,,5.0,80.0,60.0,spherical,MIC,0.625,,5.0,,0.3,,,-13.7,,,,https://www.nature.com/articles/srep29982,10.1038/srep29982,31,,,,,,,Scientific Reports,Springer Science and Business Media LLC,2016,Elucidating pharmacodynamic interaction of silver nanoparticle - topical deliverable antibiotics,True,True,gold,31_thirumurugan2016.pdf,1
840,Ag,Pseudomonas aeruginosa,25619,green_synthesis from fungus Phytophthora infestans,Mupirocin,,,5.0,80.0,60.0,spherical,MIC,0.3125,,2.5,,0.1,,,-13.7,,,,https://www.nature.com/articles/srep29982,10.1038/srep29982,31,,,,,,,Scientific Reports,Springer Science and Business Media LLC,2016,Elucidating pharmacodynamic interaction of silver nanoparticle - topical deliverable antibiotics,True,True,gold,31_thirumurugan2016.pdf,1
841,Ag,Escherichia coli,10536,green_synthesis from fungus Phytophthora infestans,Mupirocin,,,5.0,80.0,60.0,spherical,MIC,0.0,,2.5,,1.75,,,-13.7,,,,https://www.nature.com/articles/srep29982,10.1038/srep29982,31,,,,,,,Scientific Reports,Springer Science and Business Media LLC,2016,Elucidating pharmacodynamic interaction of silver nanoparticle - topical deliverable antibiotics,True,True,gold,31_thirumurugan2016.pdf,1
842,Ag,Staphylococcus aureus,25922,green_synthesis from fungus Phytophthora infestans,Gentamicin,,,5.0,80.0,60.0,spherical,MIC,1.25,,5.0,,0.6,,,-13.7,,,,https://www.nature.com/articles/srep29982,10.1038/srep29982,31,,,,,,,Scientific Reports,Springer Science and Business Media LLC,2016,Elucidating pharmacodynamic interaction of silver nanoparticle - topical deliverable antibiotics,True,True,gold,31_thirumurugan2016.pdf,1
843,Ag,Pseudomonas aeruginosa,25619,green_synthesis from fungus Phytophthora infestans,Gentamicin,,,5.0,80.0,60.0,spherical,MIC,0.625,,2.5,,0.4,,,-13.7,,,,https://www.nature.com/articles/srep29982,10.1038/srep29982,31,,,,,,,Scientific Reports,Springer Science and Business Media LLC,2016,Elucidating pharmacodynamic interaction of silver nanoparticle - topical deliverable antibiotics,True,True,gold,31_thirumurugan2016.pdf,1
844,Ag,Escherichia coli,10536,green_synthesis from fungus Phytophthora infestans,Gentamicin,,,5.0,80.0,60.0,spherical,MIC,0.3125,,2.5,,0.3,,,-13.7,,,,https://www.nature.com/articles/srep29982,10.1038/srep29982,31,,,,,,,Scientific Reports,Springer Science and Business Media LLC,2016,Elucidating pharmacodynamic interaction of silver nanoparticle - topical deliverable antibiotics,True,True,gold,31_thirumurugan2016.pdf,1
845,Ag,Staphylococcus aureus,25922,green_synthesis from fungus Phytophthora infestans,Neomycin,,,5.0,80.0,60.0,spherical,MIC,0.625,,5.0,,0.3,,,-13.7,,,,https://www.nature.com/articles/srep29982,10.1038/srep29982,31,,,,,,,Scientific Reports,Springer Science and Business Media LLC,2016,Elucidating pharmacodynamic interaction of silver nanoparticle - topical deliverable antibiotics,True,True,gold,31_thirumurugan2016.pdf,1
