sn,NP,bacteria,strain,NP_synthesis,drug,drug_dose_µg_disk,NP_concentration_µg_ml,NP_size_min_nm,NP_size_max_nm,NP_size_avg_nm,shape,method,ZOI_drug_mm_or_MIC _µg_ml,error_ZOI_drug_mm_or_MIC_µg_ml,ZOI_NP_mm_or_MIC_np_µg_ml,error_ZOI_NP_mm_or_MIC_np_µg_ml,ZOI_drug_NP_mm_or_MIC_drug_NP_µg_ml,error_ZOI_drug_NP_mm_or_MIC_drug_NP_µg_ml,fold_increase_in_antibacterial_activity,zeta_potential_mV,MDR,FIC,effect,reference,doi,article_list,time_hr,coating_with_antimicrobial_peptide_polymers,combined_MIC,peptide_MIC,viability_%,viability_error,journal_name,publisher,year,title,journal_is_oa,is_oa,oa_status,pdf,access
1800,Au,Staphylococcus epidermidis,73,green_synthesis from Bacillus sp.,Gentamycin,30.0,20.0,12.0,32.0,22.0,"spherical, triangular and hexagonal",disc_diffusion,26.0,,,,7.0,,,-15,,,,https://link.springer.com/article/10.1007/s13404-015-0162-4,10.1007/s13404-015-0162-4,43,24.0,,,,,,Gold Bulletin,Springer Science and Business Media LLC,2015,Effect of biofabricated gold nanoparticle-based antibiotic conjugates on minimum inhibitory concentration of bacterial isolates of clinical origin,False,True,hybrid,43_roshmi2015.pdf,1
1801,Au,Staphylococcus epidermidis,73,green_synthesis from Bacillus sp.,Ciprofloxacin,30.0,20.0,12.0,32.0,22.0,"spherical, triangular and hexagonal",disc_diffusion,35.0,,,,8.0,,,-15,,,,https://link.springer.com/article/10.1007/s13404-015-0162-4,10.1007/s13404-015-0162-4,43,24.0,,,,,,Gold Bulletin,Springer Science and Business Media LLC,2015,Effect of biofabricated gold nanoparticle-based antibiotic conjugates on minimum inhibitory concentration of bacterial isolates of clinical origin,False,True,hybrid,43_roshmi2015.pdf,1
1802,Au,Staphylococcus epidermidis,73,green_synthesis from Bacillus sp.,Methicillin,5.0,20.0,12.0,32.0,22.0,"spherical, triangular and hexagonal",disc_diffusion,0.0,,,,8.8,,,-15,,,,https://link.springer.com/article/10.1007/s13404-015-0162-4,10.1007/s13404-015-0162-4,43,24.0,,,,,,Gold Bulletin,Springer Science and Business Media LLC,2015,Effect of biofabricated gold nanoparticle-based antibiotic conjugates on minimum inhibitory concentration of bacterial isolates of clinical origin,False,True,hybrid,43_roshmi2015.pdf,1
1803,Au,Staphylococcus epidermidis,73,green_synthesis from Bacillus sp.,Nalidixic acid,30.0,20.0,12.0,32.0,22.0,"spherical, triangular and hexagonal",disc_diffusion,19.0,,,,9.0,,,-15,,,,https://link.springer.com/article/10.1007/s13404-015-0162-4,10.1007/s13404-015-0162-4,43,24.0,,,,,,Gold Bulletin,Springer Science and Business Media LLC,2015,Effect of biofabricated gold nanoparticle-based antibiotic conjugates on minimum inhibitory concentration of bacterial isolates of clinical origin,False,True,hybrid,43_roshmi2015.pdf,1
1804,Au,Staphylococcus epidermidis,73,green_synthesis from Bacillus sp.,Rifampicin,15.0,20.0,12.0,32.0,22.0,"spherical, triangular and hexagonal",disc_diffusion,36.0,,,,,,,,,,,https://link.springer.com/article/10.1007/s13404-015-0162-4,10.1007/s13404-015-0162-4,43,24.0,,,,,,Gold Bulletin,Springer Science and Business Media LLC,2015,Effect of biofabricated gold nanoparticle-based antibiotic conjugates on minimum inhibitory concentration of bacterial isolates of clinical origin,False,True,hybrid,43_roshmi2015.pdf,1
1805,Au,Staphylococcus epidermidis,73,green_synthesis from Bacillus sp.,Vancomycin,30.0,20.0,12.0,32.0,22.0,"spherical, triangular and hexagonal",disc_diffusion,14.0,,,,,,,,,,,https://link.springer.com/article/10.1007/s13404-015-0162-4,10.1007/s13404-015-0162-4,43,24.0,,,,,,Gold Bulletin,Springer Science and Business Media LLC,2015,Effect of biofabricated gold nanoparticle-based antibiotic conjugates on minimum inhibitory concentration of bacterial isolates of clinical origin,False,True,hybrid,43_roshmi2015.pdf,1
1806,Au,Staphylococcus epidermidis,152,green_synthesis from Bacillus sp.,Gentamycin,30.0,20.0,12.0,32.0,22.0,"spherical, triangular and hexagonal",disc_diffusion,16.0,,,,,,,,,,,https://link.springer.com/article/10.1007/s13404-015-0162-4,10.1007/s13404-015-0162-4,43,24.0,,,,,,Gold Bulletin,Springer Science and Business Media LLC,2015,Effect of biofabricated gold nanoparticle-based antibiotic conjugates on minimum inhibitory concentration of bacterial isolates of clinical origin,False,True,hybrid,43_roshmi2015.pdf,1
1807,Au,Staphylococcus epidermidis,152,green_synthesis from Bacillus sp.,Ciprofloxacin,30.0,20.0,12.0,32.0,22.0,"spherical, triangular and hexagonal",disc_diffusion,25.0,,,,,,,,,,,https://link.springer.com/article/10.1007/s13404-015-0162-4,10.1007/s13404-015-0162-4,43,24.0,,,,,,Gold Bulletin,Springer Science and Business Media LLC,2015,Effect of biofabricated gold nanoparticle-based antibiotic conjugates on minimum inhibitory concentration of bacterial isolates of clinical origin,False,True,hybrid,43_roshmi2015.pdf,1
1808,Au,Staphylococcus epidermidis,152,green_synthesis from Bacillus sp.,Methicillin,5.0,20.0,12.0,32.0,22.0,"spherical, triangular and hexagonal",disc_diffusion,0.0,,,,,,,,,,,https://link.springer.com/article/10.1007/s13404-015-0162-4,10.1007/s13404-015-0162-4,43,24.0,,,,,,Gold Bulletin,Springer Science and Business Media LLC,2015,Effect of biofabricated gold nanoparticle-based antibiotic conjugates on minimum inhibitory concentration of bacterial isolates of clinical origin,False,True,hybrid,43_roshmi2015.pdf,1
1809,Au,Staphylococcus epidermidis,152,green_synthesis from Bacillus sp.,Nalidixic acid,30.0,20.0,12.0,32.0,22.0,"spherical, triangular and hexagonal",disc_diffusion,0.0,,,,,,,,R,,,https://link.springer.com/article/10.1007/s13404-015-0162-4,10.1007/s13404-015-0162-4,43,24.0,,,,,,Gold Bulletin,Springer Science and Business Media LLC,2015,Effect of biofabricated gold nanoparticle-based antibiotic conjugates on minimum inhibitory concentration of bacterial isolates of clinical origin,False,True,hybrid,43_roshmi2015.pdf,1
1810,Au,Staphylococcus epidermidis,152,green_synthesis from Bacillus sp.,Rifampicin,15.0,20.0,12.0,32.0,22.0,"spherical, triangular and hexagonal",disc_diffusion,0.0,,,,,,,,R,,,https://link.springer.com/article/10.1007/s13404-015-0162-4,10.1007/s13404-015-0162-4,43,24.0,,,,,,Gold Bulletin,Springer Science and Business Media LLC,2015,Effect of biofabricated gold nanoparticle-based antibiotic conjugates on minimum inhibitory concentration of bacterial isolates of clinical origin,False,True,hybrid,43_roshmi2015.pdf,1
1811,Au,Staphylococcus epidermidis,152,green_synthesis from Bacillus sp.,Vancomycin,30.0,20.0,12.0,32.0,22.0,"spherical, triangular and hexagonal",disc_diffusion,15.0,,,,,,,,R,,,https://link.springer.com/article/10.1007/s13404-015-0162-4,10.1007/s13404-015-0162-4,43,24.0,,,,,,Gold Bulletin,Springer Science and Business Media LLC,2015,Effect of biofabricated gold nanoparticle-based antibiotic conjugates on minimum inhibitory concentration of bacterial isolates of clinical origin,False,True,hybrid,43_roshmi2015.pdf,1
