sn,NP,bacteria,strain,NP_synthesis,drug,drug_dose_µg_disk,NP_concentration_µg_ml,NP_size_min_nm,NP_size_max_nm,NP_size_avg_nm,shape,method,ZOI_drug_mm_or_MIC _µg_ml,error_ZOI_drug_mm_or_MIC_µg_ml,ZOI_NP_mm_or_MIC_np_µg_ml,error_ZOI_NP_mm_or_MIC_np_µg_ml,ZOI_drug_NP_mm_or_MIC_drug_NP_µg_ml,error_ZOI_drug_NP_mm_or_MIC_drug_NP_µg_ml,fold_increase_in_antibacterial_activity,zeta_potential_mV,MDR,FIC,effect,reference,doi,article_list,time_hr,coating_with_antimicrobial_peptide_polymers,combined_MIC,peptide_MIC,viability_%,viability_error,journal_name,publisher,year,title,journal_is_oa,is_oa,oa_status,pdf,access
2245,Au,Bacillus subtilis,,green_synthesis using Pleurotus ostreatus,Levofloxacin,5.0,25.0,10.0,30.0,20.0,spherical,disc_diffusion,28.0,,,,37.0,,0.12,,,,,https://japsonline.com/admin/php/uploads/2634_pdf.pdf,10.7324/japs.2018.8516,57,24.0,,,,,,Journal of Applied Pharmaceutical Science,MediPoeia,2018,Biosynthesis Physico-Chemical Optimization of Gold Nanoparticles as Anti-Cancer and Synergetic Antimicrobial Activity Using�Pleurotus ostreatus�Fungus,True,True,green,57_2634_pdf.pdf,1
2246,Au,Bacillus subtilis,,green_synthesis using Pleurotus ostreatus,Azithromycin,15.0,25.0,10.0,30.0,20.0,spherical,disc_diffusion,27.0,,,,20.0,,0.0,,,,,https://japsonline.com/admin/php/uploads/2634_pdf.pdf,10.7324/japs.2018.8516,57,24.0,,,,,,Journal of Applied Pharmaceutical Science,MediPoeia,2018,Biosynthesis Physico-Chemical Optimization of Gold Nanoparticles as Anti-Cancer and Synergetic Antimicrobial Activity Using�Pleurotus ostreatus�Fungus,True,True,green,57_2634_pdf.pdf,1
2247,Au,Bacillus subtilis,,green_synthesis using Pleurotus ostreatus,Ciprofloxacin,5.0,25.0,10.0,30.0,20.0,spherical,disc_diffusion,26.0,,,,7.81,,,,,,,https://japsonline.com/admin/php/uploads/2634_pdf.pdf,10.7324/japs.2018.8516,57,24.0,,,,,,Journal of Applied Pharmaceutical Science,MediPoeia,2018,Biosynthesis Physico-Chemical Optimization of Gold Nanoparticles as Anti-Cancer and Synergetic Antimicrobial Activity Using�Pleurotus ostreatus�Fungus,True,True,green,57_2634_pdf.pdf,1
2248,Au,Bacillus subtilis,,green_synthesis using Pleurotus ostreatus,Amoxicillin,25.0,25.0,10.0,30.0,20.0,spherical,disc_diffusion,18.0,,,,3.9,,,,,,,https://japsonline.com/admin/php/uploads/2634_pdf.pdf,10.7324/japs.2018.8516,57,24.0,,,,,,Journal of Applied Pharmaceutical Science,MediPoeia,2018,Biosynthesis Physico-Chemical Optimization of Gold Nanoparticles as Anti-Cancer and Synergetic Antimicrobial Activity Using�Pleurotus ostreatus�Fungus,True,True,green,57_2634_pdf.pdf,1
2249,Au,Staphylococcus aureus,,green_synthesis using Pleurotus ostreatus,Levofloxacin,5.0,25.0,10.0,30.0,20.0,spherical,disc_diffusion,25.0,,,,7.81,,,,,,,https://japsonline.com/admin/php/uploads/2634_pdf.pdf,10.7324/japs.2018.8516,57,24.0,,,,,,Journal of Applied Pharmaceutical Science,MediPoeia,2018,Biosynthesis Physico-Chemical Optimization of Gold Nanoparticles as Anti-Cancer and Synergetic Antimicrobial Activity Using�Pleurotus ostreatus�Fungus,True,True,green,57_2634_pdf.pdf,1
2250,Au,Staphylococcus aureus,,green_synthesis using Pleurotus ostreatus,Azithromycin,15.0,25.0,10.0,30.0,20.0,spherical,disc_diffusion,26.0,,,,15.65,,,,,,,https://japsonline.com/admin/php/uploads/2634_pdf.pdf,10.7324/japs.2018.8516,57,24.0,,,,,,Journal of Applied Pharmaceutical Science,MediPoeia,2018,Biosynthesis Physico-Chemical Optimization of Gold Nanoparticles as Anti-Cancer and Synergetic Antimicrobial Activity Using�Pleurotus ostreatus�Fungus,True,True,green,57_2634_pdf.pdf,1
2251,Au,Staphylococcus aureus,,green_synthesis using Pleurotus ostreatus,Ciprofloxacin,5.0,25.0,10.0,30.0,20.0,spherical,disc_diffusion,25.0,,,,15.62,,,,,,,https://japsonline.com/admin/php/uploads/2634_pdf.pdf,10.7324/japs.2018.8516,57,24.0,,,,,,Journal of Applied Pharmaceutical Science,MediPoeia,2018,Biosynthesis Physico-Chemical Optimization of Gold Nanoparticles as Anti-Cancer and Synergetic Antimicrobial Activity Using�Pleurotus ostreatus�Fungus,True,True,green,57_2634_pdf.pdf,1
2252,Au,Staphylococcus aureus,,green_synthesis using Pleurotus ostreatus,Amoxicillin,25.0,25.0,10.0,30.0,20.0,spherical,disc_diffusion,17.0,,,,31.25,,,,,,,https://japsonline.com/admin/php/uploads/2634_pdf.pdf,10.7324/japs.2018.8516,57,24.0,,,,,,Journal of Applied Pharmaceutical Science,MediPoeia,2018,Biosynthesis Physico-Chemical Optimization of Gold Nanoparticles as Anti-Cancer and Synergetic Antimicrobial Activity Using�Pleurotus ostreatus�Fungus,True,True,green,57_2634_pdf.pdf,1
2253,Au,Escherichia coli,,green_synthesis using Pleurotus ostreatus,Levofloxacin,5.0,25.0,10.0,30.0,20.0,spherical,disc_diffusion,36.0,,,,125.0,,,,,,,https://japsonline.com/admin/php/uploads/2634_pdf.pdf,10.7324/japs.2018.8516,57,24.0,,,,,,Journal of Applied Pharmaceutical Science,MediPoeia,2018,Biosynthesis Physico-Chemical Optimization of Gold Nanoparticles as Anti-Cancer and Synergetic Antimicrobial Activity Using�Pleurotus ostreatus�Fungus,True,True,green,57_2634_pdf.pdf,1
2254,Au,Escherichia coli,,green_synthesis using Pleurotus ostreatus,Azithromycin,15.0,25.0,10.0,30.0,20.0,spherical,disc_diffusion,25.0,,,,15.62,,,,,,,https://japsonline.com/admin/php/uploads/2634_pdf.pdf,10.7324/japs.2018.8516,57,24.0,,,,,,Journal of Applied Pharmaceutical Science,MediPoeia,2018,Biosynthesis Physico-Chemical Optimization of Gold Nanoparticles as Anti-Cancer and Synergetic Antimicrobial Activity Using�Pleurotus ostreatus�Fungus,True,True,green,57_2634_pdf.pdf,1
