sn,NP,bacteria,strain,NP_synthesis,drug,drug_dose_µg_disk,NP_concentration_µg_ml,NP_size_min_nm,NP_size_max_nm,NP_size_avg_nm,shape,method,ZOI_drug_mm_or_MIC _µg_ml,error_ZOI_drug_mm_or_MIC_µg_ml,ZOI_NP_mm_or_MIC_np_µg_ml,error_ZOI_NP_mm_or_MIC_np_µg_ml,ZOI_drug_NP_mm_or_MIC_drug_NP_µg_ml,error_ZOI_drug_NP_mm_or_MIC_drug_NP_µg_ml,fold_increase_in_antibacterial_activity,zeta_potential_mV,MDR,FIC,effect,reference,doi,article_list,time_hr,coating_with_antimicrobial_peptide_polymers,combined_MIC,peptide_MIC,viability_%,viability_error,journal_name,publisher,year,title,journal_is_oa,is_oa,oa_status,pdf,access
2760,TiO2,Staphylococcus aureus,,chemical_synthesis by two step sol-gel preparation,Penicillin,6.0,20.0,20.0,20.0,20.0,irregular,disc_diffusion,34.0,,,,44.0,,,,R,,,https://www.scirp.org/journal/paperinformation?paperid=3005,10.4236/jbnb.2010.11005,79,24.0,,,,,,Journal of Biomaterials and Nanobiotechnology,"Scientific Research Publishing, Inc.",2010,Effect of Nano - Titanium Dioxide with Different Antibiotics against Methicillin-Resistant Staphylococcus Aureus,True,True,gold,79_10.4236@jbnb.2010.11005.pdf,1
2761,TiO2,Staphylococcus aureus,,chemical_synthesis by two step sol-gel preparation,Oxacillin,1.0,20.0,20.0,20.0,20.0,irregular,disc_diffusion,11.0,,,,19.0,,,,R,,,https://www.scirp.org/journal/paperinformation?paperid=3005,10.4236/jbnb.2010.11005,79,24.0,,,,,,Journal of Biomaterials and Nanobiotechnology,"Scientific Research Publishing, Inc.",2010,Effect of Nano - Titanium Dioxide with Different Antibiotics against Methicillin-Resistant Staphylococcus Aureus,True,True,gold,79_10.4236@jbnb.2010.11005.pdf,1
2762,TiO2,Staphylococcus aureus,,chemical_synthesis by two step sol-gel preparation,Cloxacillin,30.0,20.0,20.0,20.0,20.0,irregular,disc_diffusion,19.0,,,,27.0,,,,R,,,https://www.scirp.org/journal/paperinformation?paperid=3005,10.4236/jbnb.2010.11005,79,24.0,,,,,,Journal of Biomaterials and Nanobiotechnology,"Scientific Research Publishing, Inc.",2010,Effect of Nano - Titanium Dioxide with Different Antibiotics against Methicillin-Resistant Staphylococcus Aureus,True,True,gold,79_10.4236@jbnb.2010.11005.pdf,1
2763,TiO2,Staphylococcus aureus,,chemical_synthesis by two step sol-gel preparation,Ampicillin,10.0,20.0,20.0,20.0,20.0,irregular,disc_diffusion,29.0,,,,38.0,,,,R,,,https://www.scirp.org/journal/paperinformation?paperid=3005,10.4236/jbnb.2010.11005,79,24.0,,,,,,Journal of Biomaterials and Nanobiotechnology,"Scientific Research Publishing, Inc.",2010,Effect of Nano - Titanium Dioxide with Different Antibiotics against Methicillin-Resistant Staphylococcus Aureus,True,True,gold,79_10.4236@jbnb.2010.11005.pdf,1
2764,TiO2,Staphylococcus aureus,,chemical_synthesis by two step sol-gel preparation,Amoxicillin,25.0,20.0,20.0,20.0,20.0,irregular,disc_diffusion,20.0,,,,26.0,,,,R,,,https://www.scirp.org/journal/paperinformation?paperid=3005,10.4236/jbnb.2010.11005,79,24.0,,,,,,Journal of Biomaterials and Nanobiotechnology,"Scientific Research Publishing, Inc.",2010,Effect of Nano - Titanium Dioxide with Different Antibiotics against Methicillin-Resistant Staphylococcus Aureus,True,True,gold,79_10.4236@jbnb.2010.11005.pdf,1
2765,TiO2,Staphylococcus aureus,,chemical_synthesis by two step sol-gel preparation,Cephalexin,30.0,20.0,20.0,20.0,20.0,irregular,disc_diffusion,25.0,,,,32.0,,,,R,,,https://www.scirp.org/journal/paperinformation?paperid=3005,10.4236/jbnb.2010.11005,79,24.0,,,,,,Journal of Biomaterials and Nanobiotechnology,"Scientific Research Publishing, Inc.",2010,Effect of Nano - Titanium Dioxide with Different Antibiotics against Methicillin-Resistant Staphylococcus Aureus,True,True,gold,79_10.4236@jbnb.2010.11005.pdf,1
2766,TiO2,Staphylococcus aureus,,chemical_synthesis by two step sol-gel preparation,Cefotaxime,30.0,20.0,20.0,20.0,20.0,irregular,disc_diffusion,24.0,,,,33.0,,,,R,,,https://www.scirp.org/journal/paperinformation?paperid=3005,10.4236/jbnb.2010.11005,79,24.0,,,,,,Journal of Biomaterials and Nanobiotechnology,"Scientific Research Publishing, Inc.",2010,Effect of Nano - Titanium Dioxide with Different Antibiotics against Methicillin-Resistant Staphylococcus Aureus,True,True,gold,79_10.4236@jbnb.2010.11005.pdf,1
2767,TiO2,Staphylococcus aureus,,chemical_synthesis by two step sol-gel preparation,Ceftazidime,30.0,20.0,20.0,20.0,20.0,irregular,disc_diffusion,16.0,,,,23.0,,,,R,,,https://www.scirp.org/journal/paperinformation?paperid=3005,10.4236/jbnb.2010.11005,79,24.0,,,,,,Journal of Biomaterials and Nanobiotechnology,"Scientific Research Publishing, Inc.",2010,Effect of Nano - Titanium Dioxide with Different Antibiotics against Methicillin-Resistant Staphylococcus Aureus,True,True,gold,79_10.4236@jbnb.2010.11005.pdf,1
2768,TiO2,Staphylococcus aureus,,chemical_synthesis by two step sol-gel preparation,Vancomycin,30.0,20.0,20.0,20.0,20.0,irregular,disc_diffusion,15.0,,,,22.0,,,,R,,,https://www.scirp.org/journal/paperinformation?paperid=3005,10.4236/jbnb.2010.11005,79,24.0,,,,,,Journal of Biomaterials and Nanobiotechnology,"Scientific Research Publishing, Inc.",2010,Effect of Nano - Titanium Dioxide with Different Antibiotics against Methicillin-Resistant Staphylococcus Aureus,True,True,gold,79_10.4236@jbnb.2010.11005.pdf,1
2769,TiO2,Staphylococcus aureus,,chemical_synthesis by two step sol-gel preparation,Amikacin,10.0,20.0,20.0,20.0,20.0,irregular,disc_diffusion,15.0,,,,25.0,,,,R,,,https://www.scirp.org/journal/paperinformation?paperid=3005,10.4236/jbnb.2010.11005,79,24.0,,,,,,Journal of Biomaterials and Nanobiotechnology,"Scientific Research Publishing, Inc.",2010,Effect of Nano - Titanium Dioxide with Different Antibiotics against Methicillin-Resistant Staphylococcus Aureus,True,True,gold,79_10.4236@jbnb.2010.11005.pdf,1
