sn,NP,bacteria,strain,NP_synthesis,drug,drug_dose_µg_disk,NP_concentration_µg_ml,NP_size_min_nm,NP_size_max_nm,NP_size_avg_nm,shape,method,ZOI_drug_mm_or_MIC _µg_ml,error_ZOI_drug_mm_or_MIC_µg_ml,ZOI_NP_mm_or_MIC_np_µg_ml,error_ZOI_NP_mm_or_MIC_np_µg_ml,ZOI_drug_NP_mm_or_MIC_drug_NP_µg_ml,error_ZOI_drug_NP_mm_or_MIC_drug_NP_µg_ml,fold_increase_in_antibacterial_activity,zeta_potential_mV,MDR,FIC,effect,reference,doi,article_list,time_hr,coating_with_antimicrobial_peptide_polymers,combined_MIC,peptide_MIC,viability_%,viability_error,journal_name,publisher,year,title,journal_is_oa,is_oa,oa_status,pdf,access
2981,ZnO,Bacillus subtilis,MTCC 736,"purchased (obtained) from physics departiment, chitkara university, chandigarh",Ciprofloxacin,,,20.0,20.0,20.0,,MIC,,,0.26,0.09,0.61,0.02,,,,,,https://www.scielo.br/j/aabc/a/CS6WTFgyyDtg9FJQfzftXny/?lang=en#,10.1590/0001-3765201620150713,89,,,,,,,Anais da Academia Brasileira de Ci��ncias,FapUNIFESP (SciELO),2016,"Synergistic activity of doped zinc oxide nanoparticles with antibiotics: ciprofloxacin, ampicillin, fluconazole and amphotericin B against pathogenic microorganisms",True,True,gold,89_sharma2016.pdf,1
2982,ZnO,Bacillus subtilis,,"purchased (obtained) from physics departiment, chitkara university, chandigarh",Ciprofloxacin,,,20.0,20.0,20.0,,MIC,,,0.24,0.04,0.52,0.05,,,,,,https://www.scielo.br/j/aabc/a/CS6WTFgyyDtg9FJQfzftXny/?lang=en#,10.1590/0001-3765201620150713,89,,,,,,,Anais da Academia Brasileira de Ci��ncias,FapUNIFESP (SciELO),2016,"Synergistic activity of doped zinc oxide nanoparticles with antibiotics: ciprofloxacin, ampicillin, fluconazole and amphotericin B against pathogenic microorganisms",True,True,gold,89_sharma2016.pdf,1
2983,ZnO,Klebsiella pneumoniae,MTCC 109,"purchased (obtained) from physics departiment, chitkara university, chandigarh",Ciprofloxacin,,,20.0,20.0,20.0,,MIC,,,0.31,0.02,0.46,0.1,,,,,,https://www.scielo.br/j/aabc/a/CS6WTFgyyDtg9FJQfzftXny/?lang=en#,10.1590/0001-3765201620150713,89,,,,,,,Anais da Academia Brasileira de Ci��ncias,FapUNIFESP (SciELO),2016,"Synergistic activity of doped zinc oxide nanoparticles with antibiotics: ciprofloxacin, ampicillin, fluconazole and amphotericin B against pathogenic microorganisms",True,True,gold,89_sharma2016.pdf,1
2984,ZnO,Klebsiella pneumoniae,,"purchased (obtained) from physics departiment, chitkara university, chandigarh",Ciprofloxacin,,,20.0,20.0,20.0,,MIC,,,0.31,0.02,0.33,0.18,,,,,,https://www.scielo.br/j/aabc/a/CS6WTFgyyDtg9FJQfzftXny/?lang=en#,10.1590/0001-3765201620150713,89,,,,,,,Anais da Academia Brasileira de Ci��ncias,FapUNIFESP (SciELO),2016,"Synergistic activity of doped zinc oxide nanoparticles with antibiotics: ciprofloxacin, ampicillin, fluconazole and amphotericin B against pathogenic microorganisms",True,True,gold,89_sharma2016.pdf,1
2985,ZnO,Staphylococcus aureus,MTCC 737,"purchased (obtained) from physics departiment, chitkara university, chandigarh",Ciprofloxacin,,,20.0,20.0,20.0,,MIC,,,0.31,0.01,0.69,0.16,,,,,,https://www.scielo.br/j/aabc/a/CS6WTFgyyDtg9FJQfzftXny/?lang=en#,10.1590/0001-3765201620150713,89,,,,,,,Anais da Academia Brasileira de Ci��ncias,FapUNIFESP (SciELO),2016,"Synergistic activity of doped zinc oxide nanoparticles with antibiotics: ciprofloxacin, ampicillin, fluconazole and amphotericin B against pathogenic microorganisms",True,True,gold,89_sharma2016.pdf,1
2986,ZnO,Staphylococcus aureus,,"purchased (obtained) from physics departiment, chitkara university, chandigarh",Ciprofloxacin,,,20.0,20.0,20.0,,MIC,,,0.31,0.01,0.62,0.21,,,,,,https://www.scielo.br/j/aabc/a/CS6WTFgyyDtg9FJQfzftXny/?lang=en#,10.1590/0001-3765201620150713,89,,,,,,,Anais da Academia Brasileira de Ci��ncias,FapUNIFESP (SciELO),2016,"Synergistic activity of doped zinc oxide nanoparticles with antibiotics: ciprofloxacin, ampicillin, fluconazole and amphotericin B against pathogenic microorganisms",True,True,gold,89_sharma2016.pdf,1
2987,ZnO,Escherichia coli,MTCC 739,"purchased (obtained) from physics departiment, chitkara university, chandigarh",Ciprofloxacin,,,20.0,20.0,20.0,,MIC,,,0.16,0.02,0.74,0.15,,,,,,https://www.scielo.br/j/aabc/a/CS6WTFgyyDtg9FJQfzftXny/?lang=en#,10.1590/0001-3765201620150713,89,,,,,,,Anais da Academia Brasileira de Ci��ncias,FapUNIFESP (SciELO),2016,"Synergistic activity of doped zinc oxide nanoparticles with antibiotics: ciprofloxacin, ampicillin, fluconazole and amphotericin B against pathogenic microorganisms",True,True,gold,89_sharma2016.pdf,1
2988,ZnO,Escherichia coli,,"purchased (obtained) from physics departiment, chitkara university, chandigarh",Ciprofloxacin,,,20.0,20.0,20.0,,MIC,,,0.42,0.03,0.69,0.06,,,,,,https://www.scielo.br/j/aabc/a/CS6WTFgyyDtg9FJQfzftXny/?lang=en#,10.1590/0001-3765201620150713,89,,,,,,,Anais da Academia Brasileira de Ci��ncias,FapUNIFESP (SciELO),2016,"Synergistic activity of doped zinc oxide nanoparticles with antibiotics: ciprofloxacin, ampicillin, fluconazole and amphotericin B against pathogenic microorganisms",True,True,gold,89_sharma2016.pdf,1
2989,ZnO,Pseudomonas aeruginosa,MTCC 741,"purchased (obtained) from physics departiment, chitkara university, chandigarh",Ciprofloxacin,,,20.0,20.0,20.0,,MIC,,,0.43,0.05,0.54,0.09,,,,,,https://www.scielo.br/j/aabc/a/CS6WTFgyyDtg9FJQfzftXny/?lang=en#,10.1590/0001-3765201620150713,89,,,,,,,Anais da Academia Brasileira de Ci��ncias,FapUNIFESP (SciELO),2016,"Synergistic activity of doped zinc oxide nanoparticles with antibiotics: ciprofloxacin, ampicillin, fluconazole and amphotericin B against pathogenic microorganisms",True,True,gold,89_sharma2016.pdf,1
2990,ZnO,Pseudomonas aeruginosa,,"purchased (obtained) from physics departiment, chitkara university, chandigarh",Ciprofloxacin,,,20.0,20.0,20.0,,MIC,,,0.43,0.05,0.94,0.07,,,,,,https://www.scielo.br/j/aabc/a/CS6WTFgyyDtg9FJQfzftXny/?lang=en#,10.1590/0001-3765201620150713,89,,,,,,,Anais da Academia Brasileira de Ci��ncias,FapUNIFESP (SciELO),2016,"Synergistic activity of doped zinc oxide nanoparticles with antibiotics: ciprofloxacin, ampicillin, fluconazole and amphotericin B against pathogenic microorganisms",True,True,gold,89_sharma2016.pdf,1
