domain,pdf,doi,status,reason,saved_path,source_url
benzimidazole,acsomega.2c06142,10.1021/acsomega.2c06142,failed,not_pdf:text/html; charset=utf-8,,
benzimidazole,s41598-022-21435-6,10.1038/s41598-022-21435-6,downloaded,downloaded,data/pdfs/pdf_benzimidazole/s41598-022-21435-6.pdf,https://www.nature.com/articles/s41598-022-21435-6.pdf
benzimidazole,d2ra06667j,10.1039/d2ra06667j,downloaded,downloaded,data/pdfs/pdf_benzimidazole/d2ra06667j.pdf,https://pubs.rsc.org/en/content/articlepdf/2023/ra/d2ra06667j
benzimidazole,s13065-018-0479-1,10.1186/s13065-018-0479-1,downloaded,downloaded,data/pdfs/pdf_benzimidazole/s13065-018-0479-1.pdf,https://bmcchem.biomedcentral.com/counter/pdf/10.1186/s13065-018-0479-1
benzimidazole,RJC.2023.1638382,10.31788/RJC.2023.1638382,failed,http_403,,
benzimidazole,antibiotics10081002,10.3390/antibiotics10081002,failed,not_pdf:text/html; charset=utf-8,,
benzimidazole,antibiotics12071220,10.3390/antibiotics12071220,failed,http_403,,
benzimidazole,2023.12.si5a.0471,10.48047/ecb/2023.12.si5a.0471,failed,no_oa_url,,
benzimidazole,intechopen.108949,10.5772/intechopen.108949,downloaded,downloaded,data/pdfs/pdf_benzimidazole/intechopen.108949.pdf,https://www.intechopen.com/citation-pdf-url/85057
oxazolidinone,molecules27031103,10.3390/molecules27031103,failed,not_pdf:text/html; charset=utf-8,,
oxazolidinone,ph16040516,10.3390/ph16040516,failed,http_403,,
nanozymes,ANIE.200805279,10.1002/anie.200805279,failed,not_pdf:text/html; charset=utf-8,,
nanozymes,CBIC.202000147,10.1002/cbic.202000147,failed,no_oa_url,,
nanozymes,S1320501710821,10.1007/s13205-017-1082-1,failed,not_pdf:text/html; charset=utf-8,,
nanozymes,J.ACA.2015.04.052,10.1016/j.aca.2015.04.052,failed,no_oa_url,,
nanozymes,J.ACA.2020.01.035,10.1016/j.aca.2020.01.035,failed,no_oa_url,,
nanozymes,J.APMT.2019.03.009,10.1016/j.apmt.2019.03.009,failed,no_oa_url,,
nanozymes,J.BIOMATERIALS.2009.05.005,10.1016/j.biomaterials.2009.05.005,failed,no_oa_url,,
nanozymes,J.BIOS.2013.11.040,10.1016/j.bios.2013.11.040,failed,not_pdf:image/jpeg,,
nanozymes,J.JCIS.2017.11.064,10.1016/j.jcis.2017.11.064,failed,request_error:ConnectTimeout,,
