domain,pdf,doi,doi_url,suggested_filename,notes
benzimidazole,acsomega.2c06142,10.1021/acsomega.2c06142,https://doi.org/10.1021/acsomega.2c06142,acsomega.2c06142.pdf,Download only legal OA PDF. Save into data/pdfs/pdf_benzimidazole/ with suggested filename.
benzimidazole,RJC.2023.1638382,10.31788/RJC.2023.1638382,https://doi.org/10.31788/RJC.2023.1638382,RJC.2023.1638382.pdf,Download only legal OA PDF. Save into data/pdfs/pdf_benzimidazole/ with suggested filename.
benzimidazole,antibiotics10081002,10.3390/antibiotics10081002,https://doi.org/10.3390/antibiotics10081002,antibiotics10081002.pdf,Download only legal OA PDF. Save into data/pdfs/pdf_benzimidazole/ with suggested filename.
benzimidazole,antibiotics12071220,10.3390/antibiotics12071220,https://doi.org/10.3390/antibiotics12071220,antibiotics12071220.pdf,Download only legal OA PDF. Save into data/pdfs/pdf_benzimidazole/ with suggested filename.
benzimidazole,2023.12.si5a.0471,10.48047/ecb/2023.12.si5a.0471,https://doi.org/10.48047/ecb/2023.12.si5a.0471,2023.12.si5a.0471.pdf,Download only legal OA PDF. Save into data/pdfs/pdf_benzimidazole/ with suggested filename.
oxazolidinone,molecules27031103,10.3390/molecules27031103,https://doi.org/10.3390/molecules27031103,molecules27031103.pdf,Download only legal OA PDF. Save into data/pdfs/pdf_oxazolidinone/ with suggested filename.
oxazolidinone,ph16040516,10.3390/ph16040516,https://doi.org/10.3390/ph16040516,ph16040516.pdf,Download only legal OA PDF. Save into data/pdfs/pdf_oxazolidinone/ with suggested filename.
nanozymes,ANIE.200805279,10.1002/anie.200805279,https://doi.org/10.1002/anie.200805279,ANIE.200805279.pdf,Download only legal OA PDF. Save into data/pdfs/pdf_nanozymes/ with suggested filename.
nanozymes,CBIC.202000147,10.1002/cbic.202000147,https://doi.org/10.1002/cbic.202000147,CBIC.202000147.pdf,Download only legal OA PDF. Save into data/pdfs/pdf_nanozymes/ with suggested filename.
nanozymes,S1320501710821,10.1007/s13205-017-1082-1,https://doi.org/10.1007/s13205-017-1082-1,S1320501710821.pdf,Download only legal OA PDF. Save into data/pdfs/pdf_nanozymes/ with suggested filename.
nanozymes,J.ACA.2015.04.052,10.1016/j.aca.2015.04.052,https://doi.org/10.1016/j.aca.2015.04.052,J.ACA.2015.04.052.pdf,Download only legal OA PDF. Save into data/pdfs/pdf_nanozymes/ with suggested filename.
nanozymes,J.ACA.2020.01.035,10.1016/j.aca.2020.01.035,https://doi.org/10.1016/j.aca.2020.01.035,J.ACA.2020.01.035.pdf,Download only legal OA PDF. Save into data/pdfs/pdf_nanozymes/ with suggested filename.
nanozymes,J.APMT.2019.03.009,10.1016/j.apmt.2019.03.009,https://doi.org/10.1016/j.apmt.2019.03.009,J.APMT.2019.03.009.pdf,Download only legal OA PDF. Save into data/pdfs/pdf_nanozymes/ with suggested filename.
nanozymes,J.BIOMATERIALS.2009.05.005,10.1016/j.biomaterials.2009.05.005,https://doi.org/10.1016/j.biomaterials.2009.05.005,J.BIOMATERIALS.2009.05.005.pdf,Download only legal OA PDF. Save into data/pdfs/pdf_nanozymes/ with suggested filename.
nanozymes,J.BIOS.2013.11.040,10.1016/j.bios.2013.11.040,https://doi.org/10.1016/j.bios.2013.11.040,J.BIOS.2013.11.040.pdf,Download only legal OA PDF. Save into data/pdfs/pdf_nanozymes/ with suggested filename.
nanozymes,J.JCIS.2017.11.064,10.1016/j.jcis.2017.11.064,https://doi.org/10.1016/j.jcis.2017.11.064,J.JCIS.2017.11.064.pdf,Download only legal OA PDF. Save into data/pdfs/pdf_nanozymes/ with suggested filename.
nanozymes,J.JCIS.2018.12.093,10.1016/j.jcis.2018.12.093,https://doi.org/10.1016/j.jcis.2018.12.093,J.JCIS.2018.12.093.pdf,Download only legal OA PDF. Save into data/pdfs/pdf_nanozymes/ with suggested filename.
nanozymes,J.JCIS.2021.06.170,10.1016/j.jcis.2021.06.170,https://doi.org/10.1016/j.jcis.2021.06.170,J.JCIS.2021.06.170.pdf,Download only legal OA PDF. Save into data/pdfs/pdf_nanozymes/ with suggested filename.
nanozymes,J.JCIS.2022.01.041,10.1016/j.jcis.2022.01.041,https://doi.org/10.1016/j.jcis.2022.01.041,J.JCIS.2022.01.041.pdf,Download only legal OA PDF. Save into data/pdfs/pdf_nanozymes/ with suggested filename.
nanozymes,J.LWT.2021.112821,10.1016/j.lwt.2021.112821,https://doi.org/10.1016/j.lwt.2021.112821,J.LWT.2021.112821.pdf,Download only legal OA PDF. Save into data/pdfs/pdf_nanozymes/ with suggested filename.
nanozymes,J.SINTL.2020.100031,10.1016/j.sintl.2020.100031,https://doi.org/10.1016/j.sintl.2020.100031,J.SINTL.2020.100031.pdf,Download only legal OA PDF. Save into data/pdfs/pdf_nanozymes/ with suggested filename.
nanozymes,J.SNB.2016.04.041,10.1016/j.snb.2016.04.041,https://doi.org/10.1016/j.snb.2016.04.041,J.SNB.2016.04.041.pdf,Download only legal OA PDF. Save into data/pdfs/pdf_nanozymes/ with suggested filename.
nanozymes,ACS.ANALCHEM.7B02880,10.1021/acs.analchem.7b02880,https://doi.org/10.1021/acs.analchem.7b02880,ACS.ANALCHEM.7B02880.pdf,Download only legal OA PDF. Save into data/pdfs/pdf_nanozymes/ with suggested filename.
nanozymes,ACSOMEGA.0C00147,10.1021/acsomega.0c00147,https://doi.org/10.1021/acsomega.0c00147,ACSOMEGA.0C00147.pdf,Download only legal OA PDF. Save into data/pdfs/pdf_nanozymes/ with suggested filename.
nanozymes,ACSOMEGA.9B03252,10.1021/acsomega.9b03252,https://doi.org/10.1021/acsomega.9b03252,ACSOMEGA.9B03252.pdf,Download only legal OA PDF. Save into data/pdfs/pdf_nanozymes/ with suggested filename.
nanozymes,CM8031863,10.1021/cm8031863,https://doi.org/10.1021/cm8031863,CM8031863.pdf,Download only legal OA PDF. Save into data/pdfs/pdf_nanozymes/ with suggested filename.
nanozymes,JACS.0C12605,10.1021/jacs.0c12605,https://doi.org/10.1021/jacs.0c12605,JACS.0C12605.pdf,Download only legal OA PDF. Save into data/pdfs/pdf_nanozymes/ with suggested filename.
nanozymes,JACS.5B09337,10.1021/jacs.5b09337,https://doi.org/10.1021/jacs.5b09337,JACS.5B09337.pdf,Download only legal OA PDF. Save into data/pdfs/pdf_nanozymes/ with suggested filename.
nanozymes,C6TB01233G,10.1039/C6TB01233G,https://doi.org/10.1039/C6TB01233G,C6TB01233G.pdf,Download only legal OA PDF. Save into data/pdfs/pdf_nanozymes/ with suggested filename.
nanozymes,C8TB01132J,10.1039/C8TB01132J,https://doi.org/10.1039/C8TB01132J,C8TB01132J.pdf,Download only legal OA PDF. Save into data/pdfs/pdf_nanozymes/ with suggested filename.
nanozymes,5416963,10.1155/2019/5416963,https://doi.org/10.1155/2019/5416963,5416963.pdf,Download only legal OA PDF. Save into data/pdfs/pdf_nanozymes/ with suggested filename.
nanozymes,CHEMOSENSORS10090359,10.3390/chemosensors10090359,https://doi.org/10.3390/chemosensors10090359,CHEMOSENSORS10090359.pdf,Download only legal OA PDF. Save into data/pdfs/pdf_nanozymes/ with suggested filename.
nanozymes,NANO10020313,10.3390/nano10020313,https://doi.org/10.3390/nano10020313,NANO10020313.pdf,Download only legal OA PDF. Save into data/pdfs/pdf_nanozymes/ with suggested filename.
nanozymes,NANO10061015,10.3390/nano10061015,https://doi.org/10.3390/nano10061015,NANO10061015.pdf,Download only legal OA PDF. Save into data/pdfs/pdf_nanozymes/ with suggested filename.
nanozymes,NANO12050755,10.3390/nano12050755,https://doi.org/10.3390/nano12050755,NANO12050755.pdf,Download only legal OA PDF. Save into data/pdfs/pdf_nanozymes/ with suggested filename.
nanozymes,NANO9020210,10.3390/nano9020210,https://doi.org/10.3390/nano9020210,NANO9020210.pdf,Download only legal OA PDF. Save into data/pdfs/pdf_nanozymes/ with suggested filename.
nanozymes,S16040584,10.3390/s16040584,https://doi.org/10.3390/s16040584,S16040584.pdf,Download only legal OA PDF. Save into data/pdfs/pdf_nanozymes/ with suggested filename.
synergy,69_pageni2018.pdf,10.1016/j.biomaterials.2018.05.007,https://doi.org/10.1016/j.biomaterials.2018.05.007,69_pageni2018.pdf,Download only legal OA PDF. Save into data/pdfs/pdf_synergy/ with suggested filename.
synergy,70_10.1016@j.dib.2019.104929.pdf,10.1016/j.dib.2019.104929,https://doi.org/10.1016/j.dib.2019.104929,70_10.1016@j.dib.2019.104929.pdf,Download only legal OA PDF. Save into data/pdfs/pdf_synergy/ with suggested filename.
synergy,63_pallela2019.pdf,10.1016/j.heliyon.2019.e02765,https://doi.org/10.1016/j.heliyon.2019.e02765,63_pallela2019.pdf,Download only legal OA PDF. Save into data/pdfs/pdf_synergy/ with suggested filename.
synergy,45_1-s2.0-S1876034121003282-main.pdf,10.1016/j.jiph.2021.10.007,https://doi.org/10.1016/j.jiph.2021.10.007,45_1-s2.0-S1876034121003282-main.pdf,Download only legal OA PDF. Save into data/pdfs/pdf_synergy/ with suggested filename.
synergy,55_8f8eba2a8c57f32465306f7e987d8050.pdf,10.1016/j.jsps.2018.11.010,https://doi.org/10.1016/j.jsps.2018.11.010,55_8f8eba2a8c57f32465306f7e987d8050.pdf,Download only legal OA PDF. Save into data/pdfs/pdf_synergy/ with suggested filename.
synergy,23_1-s2.0-S0944501315300136-main.pdf,10.1016/j.micres.2015.09.009,https://doi.org/10.1016/j.micres.2015.09.009,23_1-s2.0-S0944501315300136-main.pdf,Download only legal OA PDF. Save into data/pdfs/pdf_synergy/ with suggested filename.
synergy,66_1-s2.0-S2590123022001207-main.pdf,10.1016/j.rineng.2022.100450,https://doi.org/10.1016/j.rineng.2022.100450,66_1-s2.0-S2590123022001207-main.pdf,Download only legal OA PDF. Save into data/pdfs/pdf_synergy/ with suggested filename.
synergy,83_10.1016@j.sajb.2019.05.024.pdf,10.1016/j.sajb.2019.05.024,https://doi.org/10.1016/j.sajb.2019.05.024,83_10.1016@j.sajb.2019.05.024.pdf,Download only legal OA PDF. Save into data/pdfs/pdf_synergy/ with suggested filename.
synergy,41_li2014.pdf,10.1021/nn5042625,https://doi.org/10.1021/nn5042625,41_li2014.pdf,Download only legal OA PDF. Save into data/pdfs/pdf_synergy/ with suggested filename.
synergy,78_priyanka2016.pdf,10.1049/iet-nbt.2015.0038,https://doi.org/10.1049/iet-nbt.2015.0038,78_priyanka2016.pdf,Download only legal OA PDF. Save into data/pdfs/pdf_synergy/ with suggested filename.
synergy,2_ghafoori2017.pdf,10.1088/2043-6254/aa92bb,https://doi.org/10.1088/2043-6254/aa92bb,2_ghafoori2017.pdf,Download only legal OA PDF. Save into data/pdfs/pdf_synergy/ with suggested filename.
synergy,19_markowska2014.pdf,10.1099/jmm.0.068833-0,https://doi.org/10.1099/jmm.0.068833-0,19_markowska2014.pdf,Download only legal OA PDF. Save into data/pdfs/pdf_synergy/ with suggested filename.
synergy,22_lambio0680.pdf,10.1111/lam.13759,https://doi.org/10.1111/lam.13759,22_lambio0680.pdf,Download only legal OA PDF. Save into data/pdfs/pdf_synergy/ with suggested filename.
synergy,5_habash2014.pdf,10.1128/aac.03170-14,https://doi.org/10.1128/aac.03170-14,5_habash2014.pdf,Download only legal OA PDF. Save into data/pdfs/pdf_synergy/ with suggested filename.
synergy,56_li2016.pdf,10.2147/ijn.s119618,https://doi.org/10.2147/ijn.s119618,56_li2016.pdf,Download only legal OA PDF. Save into data/pdfs/pdf_synergy/ with suggested filename.
