domain,pdf,doi,doi_url,suggested_filename,notes
cocrystals,Li2020,10.1002/anie.202009714,https://doi.org/10.1002/anie.202009714,Li2020.pdf,Download only legal OA PDF. Save into data/pdfs/pdf_cocrystals/ with suggested filename.
cocrystals,Qu2024,10.1016/j.cej.2024.151902,https://doi.org/10.1016/j.cej.2024.151902,Qu2024.pdf,Download only legal OA PDF. Save into data/pdfs/pdf_cocrystals/ with suggested filename.
cocrystals,Nugrahani2024,10.1016/j.heliyon.2024.e33280,https://doi.org/10.1016/j.heliyon.2024.e33280,Nugrahani2024.pdf,Download only legal OA PDF. Save into data/pdfs/pdf_cocrystals/ with suggested filename.
cocrystals,Kawabata2023,10.1016/j.jpap.2023.100172,https://doi.org/10.1016/j.jpap.2023.100172,Kawabata2023.pdf,Download only legal OA PDF. Save into data/pdfs/pdf_cocrystals/ with suggested filename.
cocrystals,Cugovčan2017,10.1016/j.jpba.2017.01.025,https://doi.org/10.1016/j.jpba.2017.01.025,Cugovčan2017.pdf,Download only legal OA PDF. Save into data/pdfs/pdf_cocrystals/ with suggested filename.
cocrystals,Diniz2024,10.1021/acs.molpharmaceut.4c00393,https://doi.org/10.1021/acs.molpharmaceut.4c00393,Diniz2024.pdf,Download only legal OA PDF. Save into data/pdfs/pdf_cocrystals/ with suggested filename.
cocrystals,Zheng2024,10.1021/acsomega.4c03864,https://doi.org/10.1021/acsomega.4c03864,Zheng2024.pdf,Download only legal OA PDF. Save into data/pdfs/pdf_cocrystals/ with suggested filename.
cocrystals,Yutani2019,10.3390/cryst9110553,https://doi.org/10.3390/cryst9110553,Yutani2019.pdf,Download only legal OA PDF. Save into data/pdfs/pdf_cocrystals/ with suggested filename.
cocrystals,Xie2024,10.3390/molecules29102208,https://doi.org/10.3390/molecules29102208,Xie2024.pdf,Download only legal OA PDF. Save into data/pdfs/pdf_cocrystals/ with suggested filename.
cocrystals,Dhakar2019,10.3390/pharmaceutics11100545,https://doi.org/10.3390/pharmaceutics11100545,Dhakar2019.pdf,Download only legal OA PDF. Save into data/pdfs/pdf_cocrystals/ with suggested filename.
cocrystals,Nugrahani2023,10.3390/pharmaceutics15010124,https://doi.org/10.3390/pharmaceutics15010124,Nugrahani2023.pdf,Download only legal OA PDF. Save into data/pdfs/pdf_cocrystals/ with suggested filename.
