domain,pdf,doi,status,reason,saved_path,source_url
cytotox,54_liang2013.pdf,10.1002/jat.2953,failed,http_403,,
cytotox,32_costa2015.pdf,10.1002/jat.3213,failed,request_error:ConnectTimeout,,
cytotox,105_nahle2019.pdf,10.1002/jat.3765,failed,not_pdf:text/html; charset=utf-8,,
cytotox,3_mojicapisciotti2014.pdf,10.1002/jbm.b.33068,failed,request_error:ConnectTimeout,,
cytotox,10_soenen2014.pdf,10.1002/ppsc.201300357,downloaded,downloaded,data/pdfs/pdf_cytotox/10_soenen2014.pdf,https://biblio.ugent.be/publication/6852091/file/8520044.pdf
cytotox,41_senut2015.pdf,10.1002/smll.201502346,failed,not_pdf:text/html; charset=utf-8,,
cytotox,44_10.1007@s10856-019-6221-2.pdf,10.1007/s10856-019-6221-2,downloaded,downloaded,data/pdfs/pdf_cytotox/44_10.1007@s10856-019-6221-2.pdf,https://link.springer.com/content/pdf/10.1007/s10856-019-6221-2.pdf
cytotox,72_10.1007@s11051-018-4406-0.pdf,10.1007/s11051-018-4406-0,downloaded,downloaded,data/pdfs/pdf_cytotox/72_10.1007@s11051-018-4406-0.pdf,https://link.springer.com/content/pdf/10.1007/s11051-018-4406-0.pdf
cytotox,136_hanley2009.pdf,10.1007/s11671-009-9413-8,downloaded,downloaded,data/pdfs/pdf_cytotox/136_hanley2009.pdf,https://link.springer.com/content/pdf/10.1007/s11671-009-9413-8.pdf
cytotox,67_botelho2014.67_pdf.pdf,10.1016/j.biopha.2013.08.006,failed,request_error:ConnectTimeout,,
cytotox,164_krishnaraj2014.pdf,10.1016/j.btre.2014.08.002,failed,http_403,,
cytotox,48_park2019.pdf,10.1016/j.matdes.2019.108187,failed,not_pdf:text/html;charset=UTF-8,,
cytotox,39_10.1016@j.mrgentox.2019.05.015.pdf,10.1016/j.mrgentox.2019.05.015,failed,http_500,,
cytotox,36_wang2011.pdf,10.1016/j.scitotenv.2011.07.039,failed,not_pdf:text/html; charset=utf-8,,
cytotox,45_paino2012.pdf,10.1016/j.toxlet.2012.09.025,failed,not_pdf:text/html;charset=UTF-8,,
cytotox,113_shukla2015.pdf,10.1016/j.toxrep.2014.11.002,failed,not_pdf:text/html; charset=utf-8,,
cytotox,5_arvizo2010.pdf,10.1021/nl101140t,failed,not_pdf:text/html; charset=utf-8,,
cytotox,158_herd2013.pdf,10.1021/nn304439f,failed,no_oa_url,,
cytotox,133_mccracken2013.pdf,10.1021/tx400231u,downloaded,downloaded,data/pdfs/pdf_cytotox/133_mccracken2013.pdf,https://kb.osu.edu/bitstreams/d6fb63d5-1549-57f9-8ebb-2af15f08e10d/download
cytotox,81_feng2018.pdf,10.1038/s41598-018-19628-z,downloaded,downloaded,data/pdfs/pdf_cytotox/81_feng2018.pdf,https://www.nature.com/articles/s41598-018-19628-z.pdf
cytotox,129_chen2008.pdf,10.1080/17458080802235765,failed,http_403,,
cytotox,120_chen2011.pdf,10.1088/0957-4484/22/10/105708,failed,no_oa_url,,
cytotox,135_baek2011.pdf,10.1088/1742-6596/304/1/012044,failed,not_pdf:text/html; charset=UTF-8,,
cytotox,95_oup-accepted-manuscript-2017.pdf,10.1093/mutage/gex027,failed,http_403,,
cytotox,154_braydich-stolle2005.pdf,10.1093/toxsci/kfi256,failed,not_pdf:text/html; charset=utf-8,,
cytotox,107_mrakovcic2014.pdf,10.1093/toxsci/kfu260,failed,http_403,,
cytotox,56_peng2012.pdf,10.1155/2012/160145,failed,http_403,,
cytotox,162_vijayakumar2012.pdf,10.1155/2012/734398,failed,http_403,,
cytotox,89_sahu2014.pdf,10.1155/2014/827019,failed,not_pdf:text/html; charset=utf-8,,
cytotox,88_10.1155@2016@4023852.pdf,10.1155/2016/4023852,failed,http_403,,
cytotox,24_f49b4c3eccf090acd4d0bf7d19be972f.pdf,10.1155/2018/1367801,failed,not_pdf:text/html; charset=utf-8,,
cytotox,57_yang2018.pdf,10.1155/2018/2036176,failed,not_pdf:text/html; charset=utf-8,,
cytotox,122_10.1155@2019@5287632.pdf,10.1155/2019/5287632,failed,http_403,,
