domain,pdf,doi,doi_url,suggested_filename,notes
cytotox,54_liang2013.pdf,10.1002/jat.2953,https://doi.org/10.1002/jat.2953,54_liang2013.pdf,Download only legal OA PDF. Save into data/pdfs/pdf_cytotox/ with suggested filename.
cytotox,32_costa2015.pdf,10.1002/jat.3213,https://doi.org/10.1002/jat.3213,32_costa2015.pdf,Download only legal OA PDF. Save into data/pdfs/pdf_cytotox/ with suggested filename.
cytotox,105_nahle2019.pdf,10.1002/jat.3765,https://doi.org/10.1002/jat.3765,105_nahle2019.pdf,Download only legal OA PDF. Save into data/pdfs/pdf_cytotox/ with suggested filename.
cytotox,3_mojicapisciotti2014.pdf,10.1002/jbm.b.33068,https://doi.org/10.1002/jbm.b.33068,3_mojicapisciotti2014.pdf,Download only legal OA PDF. Save into data/pdfs/pdf_cytotox/ with suggested filename.
cytotox,41_senut2015.pdf,10.1002/smll.201502346,https://doi.org/10.1002/smll.201502346,41_senut2015.pdf,Download only legal OA PDF. Save into data/pdfs/pdf_cytotox/ with suggested filename.
cytotox,67_botelho2014.67_pdf.pdf,10.1016/j.biopha.2013.08.006,https://doi.org/10.1016/j.biopha.2013.08.006,67_botelho2014.67_pdf.pdf,Download only legal OA PDF. Save into data/pdfs/pdf_cytotox/ with suggested filename.
cytotox,164_krishnaraj2014.pdf,10.1016/j.btre.2014.08.002,https://doi.org/10.1016/j.btre.2014.08.002,164_krishnaraj2014.pdf,Download only legal OA PDF. Save into data/pdfs/pdf_cytotox/ with suggested filename.
cytotox,48_park2019.pdf,10.1016/j.matdes.2019.108187,https://doi.org/10.1016/j.matdes.2019.108187,48_park2019.pdf,Download only legal OA PDF. Save into data/pdfs/pdf_cytotox/ with suggested filename.
cytotox,39_10.1016@j.mrgentox.2019.05.015.pdf,10.1016/j.mrgentox.2019.05.015,https://doi.org/10.1016/j.mrgentox.2019.05.015,39_10.1016@j.mrgentox.2019.05.015.pdf,Download only legal OA PDF. Save into data/pdfs/pdf_cytotox/ with suggested filename.
cytotox,36_wang2011.pdf,10.1016/j.scitotenv.2011.07.039,https://doi.org/10.1016/j.scitotenv.2011.07.039,36_wang2011.pdf,Download only legal OA PDF. Save into data/pdfs/pdf_cytotox/ with suggested filename.
cytotox,45_paino2012.pdf,10.1016/j.toxlet.2012.09.025,https://doi.org/10.1016/j.toxlet.2012.09.025,45_paino2012.pdf,Download only legal OA PDF. Save into data/pdfs/pdf_cytotox/ with suggested filename.
cytotox,113_shukla2015.pdf,10.1016/j.toxrep.2014.11.002,https://doi.org/10.1016/j.toxrep.2014.11.002,113_shukla2015.pdf,Download only legal OA PDF. Save into data/pdfs/pdf_cytotox/ with suggested filename.
cytotox,5_arvizo2010.pdf,10.1021/nl101140t,https://doi.org/10.1021/nl101140t,5_arvizo2010.pdf,Download only legal OA PDF. Save into data/pdfs/pdf_cytotox/ with suggested filename.
cytotox,158_herd2013.pdf,10.1021/nn304439f,https://doi.org/10.1021/nn304439f,158_herd2013.pdf,Download only legal OA PDF. Save into data/pdfs/pdf_cytotox/ with suggested filename.
cytotox,129_chen2008.pdf,10.1080/17458080802235765,https://doi.org/10.1080/17458080802235765,129_chen2008.pdf,Download only legal OA PDF. Save into data/pdfs/pdf_cytotox/ with suggested filename.
cytotox,120_chen2011.pdf,10.1088/0957-4484/22/10/105708,https://doi.org/10.1088/0957-4484/22/10/105708,120_chen2011.pdf,Download only legal OA PDF. Save into data/pdfs/pdf_cytotox/ with suggested filename.
cytotox,135_baek2011.pdf,10.1088/1742-6596/304/1/012044,https://doi.org/10.1088/1742-6596/304/1/012044,135_baek2011.pdf,Download only legal OA PDF. Save into data/pdfs/pdf_cytotox/ with suggested filename.
cytotox,95_oup-accepted-manuscript-2017.pdf,10.1093/mutage/gex027,https://doi.org/10.1093/mutage/gex027,95_oup-accepted-manuscript-2017.pdf,Download only legal OA PDF. Save into data/pdfs/pdf_cytotox/ with suggested filename.
cytotox,154_braydich-stolle2005.pdf,10.1093/toxsci/kfi256,https://doi.org/10.1093/toxsci/kfi256,154_braydich-stolle2005.pdf,Download only legal OA PDF. Save into data/pdfs/pdf_cytotox/ with suggested filename.
cytotox,107_mrakovcic2014.pdf,10.1093/toxsci/kfu260,https://doi.org/10.1093/toxsci/kfu260,107_mrakovcic2014.pdf,Download only legal OA PDF. Save into data/pdfs/pdf_cytotox/ with suggested filename.
cytotox,56_peng2012.pdf,10.1155/2012/160145,https://doi.org/10.1155/2012/160145,56_peng2012.pdf,Download only legal OA PDF. Save into data/pdfs/pdf_cytotox/ with suggested filename.
cytotox,162_vijayakumar2012.pdf,10.1155/2012/734398,https://doi.org/10.1155/2012/734398,162_vijayakumar2012.pdf,Download only legal OA PDF. Save into data/pdfs/pdf_cytotox/ with suggested filename.
cytotox,89_sahu2014.pdf,10.1155/2014/827019,https://doi.org/10.1155/2014/827019,89_sahu2014.pdf,Download only legal OA PDF. Save into data/pdfs/pdf_cytotox/ with suggested filename.
cytotox,88_10.1155@2016@4023852.pdf,10.1155/2016/4023852,https://doi.org/10.1155/2016/4023852,88_10.1155@2016@4023852.pdf,Download only legal OA PDF. Save into data/pdfs/pdf_cytotox/ with suggested filename.
cytotox,24_f49b4c3eccf090acd4d0bf7d19be972f.pdf,10.1155/2018/1367801,https://doi.org/10.1155/2018/1367801,24_f49b4c3eccf090acd4d0bf7d19be972f.pdf,Download only legal OA PDF. Save into data/pdfs/pdf_cytotox/ with suggested filename.
cytotox,57_yang2018.pdf,10.1155/2018/2036176,https://doi.org/10.1155/2018/2036176,57_yang2018.pdf,Download only legal OA PDF. Save into data/pdfs/pdf_cytotox/ with suggested filename.
cytotox,122_10.1155@2019@5287632.pdf,10.1155/2019/5287632,https://doi.org/10.1155/2019/5287632,122_10.1155@2019@5287632.pdf,Download only legal OA PDF. Save into data/pdfs/pdf_cytotox/ with suggested filename.
cytotox,21_3c8805ef2a3d99c34dd3823dfe1e3bbc.pdf,10.1177/1559325818807382,https://doi.org/10.1177/1559325818807382,21_3c8805ef2a3d99c34dd3823dfe1e3bbc.pdf,Download only legal OA PDF. Save into data/pdfs/pdf_cytotox/ with suggested filename.
cytotox,138_hoskins2012.pdf,10.1186/1556-276x-7-77,https://doi.org/10.1186/1556-276x-7-77,138_hoskins2012.pdf,Download only legal OA PDF. Save into data/pdfs/pdf_cytotox/ with suggested filename.
cytotox,35_10.1186@s12951-019-0456-4.pdf,10.1186/s12951-019-0456-4,https://doi.org/10.1186/s12951-019-0456-4,35_10.1186@s12951-019-0456-4.pdf,Download only legal OA PDF. Save into data/pdfs/pdf_cytotox/ with suggested filename.
cytotox,87_naqvi2010.pdf,10.2147/ijn.s13244,https://doi.org/10.2147/ijn.s13244,87_naqvi2010.pdf,Download only legal OA PDF. Save into data/pdfs/pdf_cytotox/ with suggested filename.
cytotox,50_wu2017.pdf,10.2147/ijn.s135189,https://doi.org/10.2147/ijn.s135189,50_wu2017.pdf,Download only legal OA PDF. Save into data/pdfs/pdf_cytotox/ with suggested filename.
cytotox,40_10.2147@IJN.S208225.pdf,10.2147/ijn.s208225,https://doi.org/10.2147/ijn.s208225,40_10.2147@IJN.S208225.pdf,Download only legal OA PDF. Save into data/pdfs/pdf_cytotox/ with suggested filename.
cytotox,73_xia2019.pdf,10.2147/ijn.s214008,https://doi.org/10.2147/ijn.s214008,73_xia2019.pdf,Download only legal OA PDF. Save into data/pdfs/pdf_cytotox/ with suggested filename.
cytotox,119_tyner2014.pdf,10.2147/ijn.s72580,https://doi.org/10.2147/ijn.s72580,119_tyner2014.pdf,Download only legal OA PDF. Save into data/pdfs/pdf_cytotox/ with suggested filename.
cytotox,23_10.3390@cells8050444.pdf,10.3390/cells8050444,https://doi.org/10.3390/cells8050444,23_10.3390@cells8050444.pdf,Download only legal OA PDF. Save into data/pdfs/pdf_cytotox/ with suggested filename.
cytotox,140_watanabe2013.pdf,10.3390/ijms140815546,https://doi.org/10.3390/ijms140815546,140_watanabe2013.pdf,Download only legal OA PDF. Save into data/pdfs/pdf_cytotox/ with suggested filename.
cytotox,19_10.3390@nano9081081.pdf,10.3390/nano9081081,https://doi.org/10.3390/nano9081081,19_10.3390@nano9081081.pdf,Download only legal OA PDF. Save into data/pdfs/pdf_cytotox/ with suggested filename.
cytotox,2_International Scholarly Research Notices - 2012 - Bancos - Evaluation of Viability and Proliferation Profiles on.pdf,10.5402/2012/454072,https://doi.org/10.5402/2012/454072,2_International_Scholarly_Research_Notices_-_2012_-_Bancos_-_Evaluation_of_Viability_and_Proliferation_Profiles_on.pdf,Download only legal OA PDF. Save into data/pdfs/pdf_cytotox/ with suggested filename.
