pdf,doi,title,journal_name,publisher,year,access,is_oa,oa_status
54_liang2013.pdf,10.1002/jat.2953,Cytotoxicity of silica nanoparticles on HaCaT cells,Journal of Applied Toxicology,Wiley,2013,1,TRUE,bronze
32_costa2015.pdf,10.1002/jat.3213,<i>In vitro</i> cytotoxicity of superparamagnetic iron oxide nanoparticles on neuronal and glial cells. Evaluation of nanoparticle interference with viability tests,Journal of Applied Toxicology,Wiley,2015,1,TRUE,green
105_nahle2019.pdf,10.1002/jat.3765,Single wall and multiwall carbon nanotubes induce different toxicological responses in rat alveolar macrophages,Journal of Applied Toxicology,Wiley,2019,1,TRUE,hybrid
3_mojicapisciotti2014.pdf,10.1002/jbm.b.33068,<i>In vitro</i> and <i>in vivo</i> experiments with iron oxide nanoparticles functionalized with DEXTRAN or polyethylene glycol for medical applications: Magnetic targeting,Journal of Biomedical Materials Research Part B: Applied Biomaterials,Wiley,2014,1,TRUE,green
10_soenen2014.pdf,10.1002/ppsc.201300357,The Cellular Interactions of PEGylated Gold Nanoparticles: Effect of PEGylation on Cellular Uptake and Cytotoxicity,Particle &amp; Particle Systems Characterization,Wiley,2014,1,TRUE,green
41_senut2015.pdf,10.1002/smll.201502346,SizeГўВЂВђDependent Toxicity of Gold Nanoparticles on Human Embryonic Stem Cells and Their Neural Derivatives,Small,Wiley,2015,1,TRUE,green
44_10.1007@s10856-019-6221-2.pdf,10.1007/s10856-019-6221-2,Impact of gold nanoparticles shape on their cytotoxicity against human osteoblast and osteosarcoma in in vitro model. Evaluation of the safety of use and anti-cancer potential,Journal of Materials Science: Materials in Medicine,Springer Science and Business Media LLC,2019,1,TRUE,hybrid
72_10.1007@s11051-018-4406-0.pdf,10.1007/s11051-018-4406-0,Influence of size and surface capping on photoluminescence and cytotoxicity of gold nanoparticles,Journal of Nanoparticle Research,Springer Science and Business Media LLC,2018,1,TRUE,hybrid
136_hanley2009.pdf,10.1007/s11671-009-9413-8,The Influences of Cell Type and ZnO Nanoparticle Size on Immune Cell Cytotoxicity and Cytokine Induction,Nanoscale Research Letters,Springer Science and Business Media LLC,2009,1,TRUE,gold
67_botelho2014.67_pdf.pdf,10.1016/j.biopha.2013.08.006,Effects of titanium dioxide nanoparticles in human gastric epithelial cells in vitro,Biomedicine &amp; Pharmacotherapy,Elsevier BV,2014,1,TRUE,green
164_krishnaraj2014.pdf,10.1016/j.btre.2014.08.002,"Acalypha indica Linn: Biogenic synthesis of silver and gold nanoparticles and their cytotoxic effects against MDA-MB-231, human breast cancer cells",Biotechnology Reports,Elsevier BV,2014,1,TRUE,gold
48_park2019.pdf,10.1016/j.matdes.2019.108187,Functionalised mesoporous silica nanoparticles with excellent cytotoxicity against various cancer cells for pH-responsive and controlled drug delivery,Materials &amp; Design,Elsevier BV,2019,1,TRUE,gold
39_10.1016@j.mrgentox.2019.05.015.pdf,10.1016/j.mrgentox.2019.05.015,"Silica coated iron oxide nanoparticles-induced cytotoxicity, genotoxicity and its underlying mechanism in human HK-2 renal proximal tubule epithelial cells",Mutation Research/Genetic Toxicology and Environmental Mutagenesis,Elsevier BV,2019,1,TRUE,green
36_wang2011.pdf,10.1016/j.scitotenv.2011.07.039,A study of the mechanism of in vitro cytotoxicity of metal oxide nanoparticles using catfish primary hepatocytes and human HepG2 cells,Science of The Total Environment,Elsevier BV,2011,1,TRUE,green
45_paino2012.pdf,10.1016/j.toxlet.2012.09.025,Cyto and genotoxicity of gold nanoparticles in human hepatocellular carcinoma and peripheral blood mononuclear cells,Toxicology Letters,Elsevier BV,2012,1,TRUE,hybrid
113_shukla2015.pdf,10.1016/j.toxrep.2014.11.002,In vitro toxicity assessment of chitosan oligosaccharide coated iron oxide nanoparticles,Toxicology Reports,Elsevier BV,2015,1,TRUE,gold
5_arvizo2010.pdf,10.1021/nl101140t,Effect of Nanoparticle Surface Charge at the Plasma Membrane and Beyond,Nano Letters,American Chemical Society (ACS),2010,1,TRUE,green
158_herd2013.pdf,10.1021/nn304439f,Nanoparticle Geometry and Surface Orientation Influence Mode of Cellular Uptake,ACS Nano,American Chemical Society (ACS),2013,1,TRUE,green
133_mccracken2013.pdf,10.1021/tx400231u,Minimal Intestinal Epithelial Cell Toxicity in Response to Short- and Long-Term Food-Relevant Inorganic Nanoparticle Exposure,Chemical Research in Toxicology,American Chemical Society (ACS),2013,1,TRUE,green
