domain,pdf,doi,status,reason,saved_path,source_url
nanomag,adfm.201403436.pdf,10.1002/adfm.201403436,failed,http_403,,
nanomag,adma.201101877.pdf,10.1002/adma.201101877,failed,not_pdf:text/html; charset=utf-8,,
nanomag,adma.201203169.pdf,10.1002/adma.201203169,failed,not_pdf:text/html; charset=utf-8,,
nanomag,advs.201901800.pdf,10.1002/advs.201901800,failed,not_pdf:text/html; charset=utf-8,,
nanomag,anie.201100101.pdf,10.1002/anie.201100101,failed,http_405,,
nanomag,cmmi.1473.pdf,10.1002/cmmi.1473,downloaded,downloaded,data/pdfs/pdf_nanomag/cmmi.1473.pdf,https://orbi.umons.ac.be/bitstream/20.500.12907/13955/1/ye2012.pdf
nanomag,smll.202107426.pdf,10.1002/smll.202107426,failed,request_error:SSLError,,
nanomag,smtd.202300647.pdf,10.1002/smtd.202300647,downloaded,downloaded,data/pdfs/pdf_nanomag/smtd.202300647.pdf,https://pure.au.dk/ws/files/417856313/Small_Methods_-_2023_-_Muzzi_-_Defect_Engineering_by_Solvent_Mediated_Mild_Oxidation_as_a_Tool_to_Induce_Exchange_Bias_in.pdf
nanomag,j.bioactmat.2021.09.028.pdf,10.1016/j.bioactmat.2021.09.028,failed,not_pdf:text/html; charset=utf-8,,
nanomag,j.colsurfa.2023.132281.pdf,10.1016/j.colsurfa.2023.132281,downloaded,downloaded,data/pdfs/pdf_nanomag/j.colsurfa.2023.132281.pdf,https://hal.science/hal-04283600/document
nanomag,j.heliyon.2023.e22876.pdf,10.1016/j.heliyon.2023.e22876,failed,http_403,,
nanomag,j.jcis.2020.06.011.pdf,10.1016/j.jcis.2020.06.011,failed,no_oa_url,,
nanomag,j.jmmm.2007.01.007.pdf,10.1016/j.jmmm.2007.01.007,downloaded,downloaded,data/pdfs/pdf_nanomag/j.jmmm.2007.01.007.pdf,https://arxiv.org/pdf/nlin/0604027
nanomag,j.jmmm.2018.05.064.pdf,10.1016/j.jmmm.2018.05.064,failed,no_oa_url,,
nanomag,j.jmmm.2019.165783.pdf,10.1016/j.jmmm.2019.165783,failed,no_oa_url,,
nanomag,j.jmmm.2019.165940.pdf,10.1016/j.jmmm.2019.165940,failed,no_oa_url,,
nanomag,j.jsamd.2020.04.001.pdf,10.1016/j.jsamd.2020.04.001,failed,http_403,,
nanomag,j.materresbull.2022.112035.pdf,10.1016/j.materresbull.2022.112035,failed,no_oa_url,,
nanomag,j.msec.2009.09.003.pdf,10.1016/j.msec.2009.09.003,failed,not_pdf:text/html; charset=utf-8,,
nanomag,j.rinp.2024.107469.pdf,10.1016/j.rinp.2024.107469,failed,http_403,,
nanomag,acs.chemmater.0c03017.pdf,10.1021/acs.chemmater.0c03017,failed,no_oa_url,,
nanomag,acs.jpcc.7b01469.pdf,10.1021/acs.jpcc.7b01469,failed,request_error:ConnectTimeout,,
nanomag,acs.nanolett.0c02795.pdf,10.1021/acs.nanolett.0c02795,failed,not_pdf:text/html; charset=utf-8,,
nanomag,acsami.3c18334.pdf,10.1021/acsami.3c18334,downloaded,downloaded,data/pdfs/pdf_nanomag/acsami.3c18334.pdf,https://ddd.uab.cat/pub/artpub/2024/kb7j62cq3re3/acsappmat_a2024_v16_p14799.pdf
nanomag,acsnano.8b06542.pdf,10.1021/acsnano.8b06542,failed,no_oa_url,,
nanomag,acsomega.0c03332.pdf,10.1021/acsomega.0c03332,failed,not_pdf:text/html; charset=utf-8,,
nanomag,acsomega.0c05382.pdf,10.1021/acsomega.0c05382,failed,not_pdf:text/html; charset=utf-8,,
nanomag,acsomega.8b03004.pdf,10.1021/acsomega.8b03004,failed,not_pdf:text/html; charset=utf-8,,
nanomag,ja104503g.pdf,10.1021/ja104503g,failed,not_pdf:text/html; charset=utf-8,,
nanomag,nl102623x.pdf,10.1021/nl102623x,failed,not_pdf:text/html; charset=utf-8,,
nanomag,nn101643u.pdf,10.1021/nn101643u,failed,no_oa_url,,
nanomag,nn305991e.pdf,10.1021/nn305991e,failed,no_oa_url,,
nanomag,nn5038652.pdf,10.1021/nn5038652,failed,not_pdf:text/html; charset=utf-8,,
nanomag,ncomms15468.pdf,10.1038/ncomms15468,downloaded,downloaded,data/pdfs/pdf_nanomag/ncomms15468.pdf,https://www.nature.com/articles/ncomms15468.pdf
nanomag,ncomms3266.pdf,10.1038/ncomms3266,downloaded,downloaded,data/pdfs/pdf_nanomag/ncomms3266.pdf,https://www.nature.com/articles/ncomms3266.pdf
nanomag,s41467-024-47537-5.pdf,10.1038/s41467-024-47537-5,downloaded,downloaded,data/pdfs/pdf_nanomag/s41467-024-47537-5.pdf,https://www.nature.com/articles/s41467-024-47537-5.pdf
nanomag,s41598-018-19676-5.pdf,10.1038/s41598-018-19676-5,downloaded,downloaded,data/pdfs/pdf_nanomag/s41598-018-19676-5.pdf,https://www.nature.com/articles/s41598-018-19676-5.pdf
nanomag,s41598-019-55649-y.pdf,10.1038/s41598-019-55649-y,downloaded,downloaded,data/pdfs/pdf_nanomag/s41598-019-55649-y.pdf,https://www.nature.com/articles/s41598-019-55649-y.pdf
nanomag,s41598-020-74188-5.pdf,10.1038/s41598-020-74188-5,downloaded,downloaded,data/pdfs/pdf_nanomag/s41598-020-74188-5.pdf,https://www.nature.com/articles/s41598-020-74188-5.pdf
nanomag,s41598-020-75669-3.pdf,10.1038/s41598-020-75669-3,downloaded,downloaded,data/pdfs/pdf_nanomag/s41598-020-75669-3.pdf,https://www.nature.com/articles/s41598-020-75669-3.pdf
nanomag,s41598-023-43734-2.pdf,10.1038/s41598-023-43734-2,downloaded,downloaded,data/pdfs/pdf_nanomag/s41598-023-43734-2.pdf,https://www.nature.com/articles/s41598-023-43734-2.pdf
nanomag,s41598-024-65757-z.pdf,10.1038/s41598-024-65757-z,downloaded,downloaded,data/pdfs/pdf_nanomag/s41598-024-65757-z.pdf,https://www.nature.com/articles/s41598-024-65757-z.pdf
nanomag,srep06641.pdf,10.1038/srep06641,downloaded,downloaded,data/pdfs/pdf_nanomag/srep06641.pdf,https://www.nature.com/articles/srep06641.pdf
nanomag,C7NR03740F.pdf,10.1039/C7NR03740F,failed,request_error:ConnectTimeout,,
