domain,pdf,doi,doi_url,suggested_filename,notes
nanomag,adfm.201403436.pdf,10.1002/adfm.201403436,https://doi.org/10.1002/adfm.201403436,adfm.201403436.pdf,Download only legal OA PDF. Save into data/pdfs/pdf_nanomag/ with suggested filename.
nanomag,adma.201101877.pdf,10.1002/adma.201101877,https://doi.org/10.1002/adma.201101877,adma.201101877.pdf,Download only legal OA PDF. Save into data/pdfs/pdf_nanomag/ with suggested filename.
nanomag,adma.201203169.pdf,10.1002/adma.201203169,https://doi.org/10.1002/adma.201203169,adma.201203169.pdf,Download only legal OA PDF. Save into data/pdfs/pdf_nanomag/ with suggested filename.
nanomag,advs.201901800.pdf,10.1002/advs.201901800,https://doi.org/10.1002/advs.201901800,advs.201901800.pdf,Download only legal OA PDF. Save into data/pdfs/pdf_nanomag/ with suggested filename.
nanomag,anie.201100101.pdf,10.1002/anie.201100101,https://doi.org/10.1002/anie.201100101,anie.201100101.pdf,Download only legal OA PDF. Save into data/pdfs/pdf_nanomag/ with suggested filename.
nanomag,smll.202107426.pdf,10.1002/smll.202107426,https://doi.org/10.1002/smll.202107426,smll.202107426.pdf,Download only legal OA PDF. Save into data/pdfs/pdf_nanomag/ with suggested filename.
nanomag,j.bioactmat.2021.09.028.pdf,10.1016/j.bioactmat.2021.09.028,https://doi.org/10.1016/j.bioactmat.2021.09.028,j.bioactmat.2021.09.028.pdf,Download only legal OA PDF. Save into data/pdfs/pdf_nanomag/ with suggested filename.
nanomag,j.heliyon.2023.e22876.pdf,10.1016/j.heliyon.2023.e22876,https://doi.org/10.1016/j.heliyon.2023.e22876,j.heliyon.2023.e22876.pdf,Download only legal OA PDF. Save into data/pdfs/pdf_nanomag/ with suggested filename.
nanomag,j.jcis.2020.06.011.pdf,10.1016/j.jcis.2020.06.011,https://doi.org/10.1016/j.jcis.2020.06.011,j.jcis.2020.06.011.pdf,Download only legal OA PDF. Save into data/pdfs/pdf_nanomag/ with suggested filename.
nanomag,j.jmmm.2018.05.064.pdf,10.1016/j.jmmm.2018.05.064,https://doi.org/10.1016/j.jmmm.2018.05.064,j.jmmm.2018.05.064.pdf,Download only legal OA PDF. Save into data/pdfs/pdf_nanomag/ with suggested filename.
nanomag,j.jmmm.2019.165783.pdf,10.1016/j.jmmm.2019.165783,https://doi.org/10.1016/j.jmmm.2019.165783,j.jmmm.2019.165783.pdf,Download only legal OA PDF. Save into data/pdfs/pdf_nanomag/ with suggested filename.
nanomag,j.jmmm.2019.165940.pdf,10.1016/j.jmmm.2019.165940,https://doi.org/10.1016/j.jmmm.2019.165940,j.jmmm.2019.165940.pdf,Download only legal OA PDF. Save into data/pdfs/pdf_nanomag/ with suggested filename.
nanomag,j.jsamd.2020.04.001.pdf,10.1016/j.jsamd.2020.04.001,https://doi.org/10.1016/j.jsamd.2020.04.001,j.jsamd.2020.04.001.pdf,Download only legal OA PDF. Save into data/pdfs/pdf_nanomag/ with suggested filename.
nanomag,j.materresbull.2022.112035.pdf,10.1016/j.materresbull.2022.112035,https://doi.org/10.1016/j.materresbull.2022.112035,j.materresbull.2022.112035.pdf,Download only legal OA PDF. Save into data/pdfs/pdf_nanomag/ with suggested filename.
nanomag,j.msec.2009.09.003.pdf,10.1016/j.msec.2009.09.003,https://doi.org/10.1016/j.msec.2009.09.003,j.msec.2009.09.003.pdf,Download only legal OA PDF. Save into data/pdfs/pdf_nanomag/ with suggested filename.
nanomag,j.rinp.2024.107469.pdf,10.1016/j.rinp.2024.107469,https://doi.org/10.1016/j.rinp.2024.107469,j.rinp.2024.107469.pdf,Download only legal OA PDF. Save into data/pdfs/pdf_nanomag/ with suggested filename.
nanomag,acs.chemmater.0c03017.pdf,10.1021/acs.chemmater.0c03017,https://doi.org/10.1021/acs.chemmater.0c03017,acs.chemmater.0c03017.pdf,Download only legal OA PDF. Save into data/pdfs/pdf_nanomag/ with suggested filename.
