pdf,doi,title,journal,publisher,year,access
adfm.201403436.pdf,10.1002/adfm.201403436,Ultrathin Iron Oxide Nanowhiskers as Positive Contrast Agents for Magnetic Resonance Imaging,Advanced Functional Materials,Wiley,2014,1.0
adma.201101877.pdf,10.1002/adma.201101877,Enhanced Magnetic Resonance Contrast of Fe<sub>3</sub>O<sub>4</sub> Nanoparticles Trapped in a Porous Silicon Nanoparticle Host,Advanced Materials,Wiley,2011,1.0
adma.201203169.pdf,10.1002/adma.201203169,A Synergistically Enhanced <i>T</i><sub>1</sub>–<i>T</i><sub>2</sub> Dual‐Modal Contrast Agent,Advanced Materials,Wiley,2012,1.0
advs.201901800.pdf,10.1002/advs.201901800,Light‐Addressable Nanoclusters of Ultrasmall Iron Oxide Nanoparticles for Enhanced and Dynamic Magnetic Resonance Imaging of Arthritis,Advanced Science,Wiley,2019,1.0
anie.201100101.pdf,10.1002/anie.201100101,Highly Magnetic Core–Shell Nanoparticles with a Unique Magnetization Mechanism,Angewandte Chemie International Edition,Wiley,2011,1.0
cmmi.1473.pdf,10.1002/cmmi.1473,"Uniform mesoporous silica coated iron oxide nanoparticles as a highly efficient, nontoxic MRI <i>T</i><sub>2</sub> contrast agent with tunable proton relaxivities",Contrast Media &amp; Molecular Imaging,Wiley,2012,1.0
smll.202107426.pdf,10.1002/smll.202107426,3d Metal Doping of Core@Shell Wüstite@ferrite Nanoparticles as a Promising Route toward Room Temperature Exchange Bias Magnets,Small,Wiley,2022,1.0
smtd.202300647.pdf,10.1002/smtd.202300647,Defect‐Engineering by Solvent Mediated Mild Oxidation as a Tool to Induce Exchange Bias in Metal Doped Ferrites,Small Methods,Wiley,2023,1.0
j.bioactmat.2021.09.028.pdf,10.1016/j.bioactmat.2021.09.028,Controlled temperature-mediated curcumin release from magneto-thermal nanocarriers to kill bone tumors,Bioactive Materials,Elsevier BV,2022,1.0
j.colsurfa.2023.132281.pdf,10.1016/j.colsurfa.2023.132281,Influence of the nanocrystallinity on exchange bias in Co/CoO core/shell nanoparticles,Colloids and Surfaces A: Physicochemical and Engineering Aspects,Elsevier BV,2023,1.0
j.heliyon.2023.e22876.pdf,10.1016/j.heliyon.2023.e22876,Magnetic properties of Fe-doped NiO nanoparticles,Heliyon,Elsevier BV,2023,1.0
j.jcis.2020.06.011.pdf,10.1016/j.jcis.2020.06.011,The influence of cation incorporation and leaching in the properties of Mn-doped nanoparticles for biomedical applications,Journal of Colloid and Interface Science,Elsevier BV,2020,1.0
j.jmmm.2007.01.007.pdf,10.1016/j.jmmm.2007.01.007,Exchange bias and vertical shift in CoFe2O4 nanoparticles,Journal of Magnetism and Magnetic Materials,Elsevier BV,2007,1.0
