domain,pdf,doi,doi_url,suggested_filename,notes
nanozymes,ANIE.200805279,10.1002/anie.200805279,https://doi.org/10.1002/anie.200805279,ANIE.200805279.pdf,Download only legal OA PDF. Save into data/pdfs/pdf_nanozymes/ with suggested filename.
nanozymes,CBIC.202000147,10.1002/cbic.202000147,https://doi.org/10.1002/cbic.202000147,CBIC.202000147.pdf,Download only legal OA PDF. Save into data/pdfs/pdf_nanozymes/ with suggested filename.
nanozymes,S1320501710821,10.1007/s13205-017-1082-1,https://doi.org/10.1007/s13205-017-1082-1,S1320501710821.pdf,Download only legal OA PDF. Save into data/pdfs/pdf_nanozymes/ with suggested filename.
nanozymes,J.ACA.2015.04.052,10.1016/j.aca.2015.04.052,https://doi.org/10.1016/j.aca.2015.04.052,J.ACA.2015.04.052.pdf,Download only legal OA PDF. Save into data/pdfs/pdf_nanozymes/ with suggested filename.
nanozymes,J.ACA.2020.01.035,10.1016/j.aca.2020.01.035,https://doi.org/10.1016/j.aca.2020.01.035,J.ACA.2020.01.035.pdf,Download only legal OA PDF. Save into data/pdfs/pdf_nanozymes/ with suggested filename.
nanozymes,J.APMT.2019.03.009,10.1016/j.apmt.2019.03.009,https://doi.org/10.1016/j.apmt.2019.03.009,J.APMT.2019.03.009.pdf,Download only legal OA PDF. Save into data/pdfs/pdf_nanozymes/ with suggested filename.
nanozymes,J.BIOMATERIALS.2009.05.005,10.1016/j.biomaterials.2009.05.005,https://doi.org/10.1016/j.biomaterials.2009.05.005,J.BIOMATERIALS.2009.05.005.pdf,Download only legal OA PDF. Save into data/pdfs/pdf_nanozymes/ with suggested filename.
nanozymes,J.BIOS.2013.11.040,10.1016/j.bios.2013.11.040,https://doi.org/10.1016/j.bios.2013.11.040,J.BIOS.2013.11.040.pdf,Download only legal OA PDF. Save into data/pdfs/pdf_nanozymes/ with suggested filename.
nanozymes,J.JCIS.2017.11.064,10.1016/j.jcis.2017.11.064,https://doi.org/10.1016/j.jcis.2017.11.064,J.JCIS.2017.11.064.pdf,Download only legal OA PDF. Save into data/pdfs/pdf_nanozymes/ with suggested filename.
nanozymes,J.JCIS.2018.12.093,10.1016/j.jcis.2018.12.093,https://doi.org/10.1016/j.jcis.2018.12.093,J.JCIS.2018.12.093.pdf,Download only legal OA PDF. Save into data/pdfs/pdf_nanozymes/ with suggested filename.
